;FFMETADATA1
title=It's Not a Clown, Bill
artist=Leo Laporte, Alex Lindsay, Rene Ritchie, Andy Ihnatko
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2021-08-17
track=779
language=English
genre=Podcast
comment=Apple CSAM updates, Safari updates, Apple TV's value
encoded_by=Uniblab 5.3
date=2021
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.200]   It's time for Mac break weekly Andy Renee Alex. They're all here lots to talk about
[00:00:05.200 --> 00:00:13.840]   iOS 15 beta 6 is out. We'll tell you what happened with that and also some very good news for people who hated the new Safari
[00:00:13.840 --> 00:00:23.200]   1471 is causing some problems for iPhone users a new bill in Congress could really change the way the app store works and
[00:00:23.200 --> 00:00:28.660]   Yes, we've got more information about Apple's c-sam technology all that's coming up plus a lot more
[00:00:29.160 --> 00:00:33.200]   In fact, we've got some great pics of the week this week Mac break weekly is next
[00:00:33.200 --> 00:00:38.400]   Podcasts you love from people you trust
[00:00:38.400 --> 00:00:41.560]   This is tweet
[00:00:41.560 --> 00:00:46.600]   This is Mac break weekly episode
[00:00:46.600 --> 00:00:54.080]   779 recorded Tuesday August 17th, 2021. It's not a clown bill
[00:00:54.080 --> 00:00:56.720]   Mac break weekly is supported by
[00:00:57.440 --> 00:01:07.280]   AT&T active armor we rely so much on our phones these days and are always on them whether it's live streaming content catching up with family on weekly video calls or
[00:01:07.280 --> 00:01:12.040]   Watching your favorite podcast. There's no room for fraud calls
[00:01:12.040 --> 00:01:17.800]   Thankfully AT&T makes customer security a priority helping block those pesky calls
[00:01:17.800 --> 00:01:21.280]   It's not complicated AT&T active armor
[00:01:21.280 --> 00:01:27.200]   24/7 proactive network security and fraud call blocking to help stop threats
[00:01:27.200 --> 00:01:34.560]   At no extra charge compatible device and service required visit ATT.com/active armor for details
[00:01:34.560 --> 00:01:38.280]   It's time for Mac break weekly to show we come with a little news from Apple
[00:01:38.280 --> 00:01:42.680]   There's not a lot of news because guess what I think we're gonna have some news from Apple in a couple of months anyway
[00:01:42.680 --> 00:01:46.560]   Meanwhile weeks yeah, who knows
[00:01:46.560 --> 00:01:54.640]   Meanwhile we should gather together to talk about the non-news Renee Richie is here at least we don't have to talk about c-sam
[00:01:54.640 --> 00:02:00.400]   Maybe we do Renee Richie is here. He is from youtube.com/Renee Richie. Hello Renee
[00:02:00.400 --> 00:02:07.200]   Well, you know like the rage never ends and we just cycled a rage we talked about that rage last week this week
[00:02:07.200 --> 00:02:10.040]   It's all electron app rage. We have fresh new rage
[00:02:10.040 --> 00:02:16.360]   I wonder how much of that is is really Twitter based because Twitter ain't nothing without the rage
[00:02:16.360 --> 00:02:19.480]   And so you got to keep going it tells you that you
[00:02:20.120 --> 00:02:24.640]   It tells you have to broadcast an opinion or nothing about as fast and as loudly as possible
[00:02:24.640 --> 00:02:31.960]   Andy and I was also here WGBH in Boston's Andy and I go hello Andy
[00:02:31.960 --> 00:02:38.600]   Hello, I'm pretty salty as it is and boy this thing that we're about to talk about its boy
[00:02:38.600 --> 00:02:47.240]   and
[00:02:47.240 --> 00:02:53.920]   From Hollywood it's Alex Lindsey oh nine oh dot media office hours that global
[00:02:53.920 --> 00:02:58.840]   Did you do office hours from Hollywood from the Abington studios? I did I didn't do it
[00:02:58.840 --> 00:03:03.160]   I'm an Abington studios in the instrument. Oh, cuz I hidden location instrument. Oh, and
[00:03:03.160 --> 00:03:09.200]   But I I actually did for my hotel room. I did office hours and I took a picture if you go up a Twitter
[00:03:09.200 --> 00:03:13.800]   I took a picture of what I did to my hotel room. I my hotel room was actually this is actually much better
