;FFMETADATA1
title=Machine Gun Clippy
artist=Leo Laporte, Alex Lindsay, Rene Ritchie, Andy Ihnatko
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2022-01-18
track=801
language=English
genre=Podcast
comment=Safari bug, Netherlands App Store ruling, Apple Watch ads
encoded_by=Uniblab 5.3
date=2022
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:02.480]   [MUSIC PLAYING]
[00:00:02.480 --> 00:00:04.320]   Podcasts you love.
[00:00:04.320 --> 00:00:06.840]   From people you trust.
[00:00:06.840 --> 00:00:10.520]   This is Detroit.
[00:00:10.520 --> 00:00:15.640]   This is Mac Break Weekly, episode 801, recorded Tuesday,
[00:00:15.640 --> 00:00:18.440]   January 18, 2022.
[00:00:18.440 --> 00:00:20.800]   Machine gun clippy.
[00:00:20.800 --> 00:00:24.440]   Mac Break Weekly is brought to you by ExpressVPN.
[00:00:24.440 --> 00:00:27.120]   Protect yourself with a VPN I use and trust.
[00:00:27.120 --> 00:00:30.840]   Use my link at expressvpn.com/macbreak today
[00:00:30.840 --> 00:00:34.240]   and get an extra three months free with a one year package.
[00:00:34.240 --> 00:00:36.200]   And by ZokDoc.
[00:00:36.200 --> 00:00:38.320]   In this chaotic world of health care,
[00:00:38.320 --> 00:00:41.000]   let ZokDoc be your trusted guide
[00:00:41.000 --> 00:00:44.760]   to find a quality doctor in a way that's surprisingly pain free.
[00:00:44.760 --> 00:00:49.880]   Go to zokDoc.com/macbreak, download the ZokDoc app for free,
[00:00:49.880 --> 00:00:53.080]   and start your search for a top rated doctor, many available
[00:00:53.080 --> 00:00:55.280]   within 24 hours.
[00:00:55.280 --> 00:00:57.200]   And by Hover.
[00:00:57.200 --> 00:01:00.640]   Whether you are a developer, photographer, or small business,
[00:01:00.640 --> 00:01:03.440]   Hover has something for you to expand your projects
[00:01:03.440 --> 00:01:05.360]   and get the visibility you want.
[00:01:05.360 --> 00:01:09.240]   Go to hover.com/twit and get 10% off your first purchase
[00:01:09.240 --> 00:01:12.920]   of any domain extension for the entire first year.
[00:01:12.920 --> 00:01:14.840]   It's time for Mac Break Weekly.
[00:01:14.840 --> 00:01:15.520]   Yay!
[00:01:15.520 --> 00:01:17.920]   Tuesday has come around once again as it is
[00:01:17.920 --> 00:01:20.800]   wants to do, which means it's time to talk about the latest
[00:01:20.800 --> 00:01:24.240]   news from Apple with Renee Ritchie of YouTube fame.
[00:01:24.240 --> 00:01:27.800]   YouTube.com/ReneeRitchie, Forbes Magazine,
[00:01:27.800 --> 00:01:32.120]   top 50,000 money makers on YouTube or something.
[00:01:32.120 --> 00:01:34.120]   I don't even know if I'm top 50,000.
[00:01:34.120 --> 00:01:35.760]   You got to-- I don't know those lists.
[00:01:35.760 --> 00:01:36.640]   They're so funny anyway.
[00:01:36.640 --> 00:01:38.400]   It's like if the Rock makes one YouTube video,
[00:01:38.400 --> 00:01:39.800]   is he the highest paid YouTuber?
[00:01:39.800 --> 00:01:43.120]   Because he made a-- it's all just--
[00:01:43.120 --> 00:01:45.760]   I think they're probably right, Mr. Beast, probably is number one.
[00:01:45.760 --> 00:01:46.120]   Right?
[00:01:46.120 --> 00:01:47.320]   He's in there.
[00:01:47.320 --> 00:01:48.040]   He's a beast.
[00:01:48.040 --> 00:01:48.560]   He's a beast.
[00:01:48.560 --> 00:01:49.440]   Yeah, he does all right.
[00:01:49.440 --> 00:01:50.400]   That's Alex Lainsey.
[00:01:50.400 --> 00:01:53.920]   He knows a little bit about monetizing the stream,
[00:01:53.920 --> 00:01:55.480]   except Office Hours is free.
[00:01:55.480 --> 00:01:59.800]   But anyway, Office Hours.Global, 090.media.
[00:01:59.800 --> 00:02:00.840]   Yeah, I don't know.
[00:02:00.840 --> 00:02:02.440]   We help people monetize their stream,
[00:02:02.440 --> 00:02:06.000]   where we produce streams that are worth monetizing.
[00:02:06.000 --> 00:02:08.880]   Oh, and I know we mostly just talk about it.
[00:02:08.880 --> 00:02:09.800]   Yeah, it's free.
[00:02:09.800 --> 00:02:10.320]   Yeah.
[00:02:10.320 --> 00:02:10.800]   I'm sorry.
[00:02:10.800 --> 00:02:11.800]   Also, I was just talking about it.
[00:02:11.800 --> 00:02:13.080]   Yeah, yeah, yeah.
[00:02:13.080 --> 00:02:17.320]   Nothing but also with us Andy and Akko from WGBH,
[00:02:17.320 --> 00:02:19.880]   who is soon going to monetize his PES dispenser
[00:02:19.880 --> 00:02:20.880]   collection.
[00:02:20.880 --> 00:02:23.400]   Oh, thank god.
[00:02:23.400 --> 00:02:26.920]   I should point out that I'm the person who pivoted from print
[00:02:26.920 --> 00:02:30.240]   newspaper writing to terrestrial radio.
[00:02:30.240 --> 00:02:34.240]   Please don't take my buy song money or anything.
[00:02:34.240 --> 00:02:38.480]   I've done this dumb thing, which is, ooh, that looks like a good way
[00:02:38.480 --> 00:02:39.600]   to spend the day.
[00:02:39.600 --> 00:02:42.400]   This looks like this will be challenging and interesting.
[00:02:42.400 --> 00:02:44.720]   I should have-- but when I should have had the conversation
[00:02:44.720 --> 00:02:47.680]   with myself at 23 saying, yeah, but maybe you
[00:02:47.680 --> 00:02:49.520]   want to have a real estate license in addition to that,
[00:02:49.520 --> 00:02:52.040]   because they don't give you a lot of money for doing things
[00:02:52.040 --> 00:02:53.360]   you love.
[00:02:53.360 --> 00:02:58.000]   I just got an email from my boss at the radio syndicator
[00:02:58.000 --> 00:03:01.320]   premiere saying, congratulations on 15 years
[00:03:01.320 --> 00:03:02.280]   and syndication.
[00:03:02.280 --> 00:03:02.880]   Wow.
[00:03:02.880 --> 00:03:03.280]   I went--
[00:03:03.280 --> 00:03:04.080]   I phone hold.
[00:03:04.080 --> 00:03:06.240]   What?
[00:03:06.240 --> 00:03:07.400]   And then-- but I wrote back.
[00:03:07.400 --> 00:03:12.280]   I said, actually, last month was my 45th year in broadcasting.
[00:03:12.280 --> 00:03:15.280]   So wow, that's a long time.
[00:03:15.280 --> 00:03:17.040]   I remember when I first started thinking,
[00:03:17.040 --> 00:03:19.840]   I'll never get to five years of experience.
[00:03:19.840 --> 00:03:21.080]   How am I going to get these jobs?
[00:03:21.080 --> 00:03:24.120]   They all say three to five years of experience required.
[00:03:24.120 --> 00:03:25.760]   Was radio black and white back then, Leon?
[00:03:25.760 --> 00:03:26.240]   Yeah, it was.
[00:03:26.240 --> 00:03:26.760]   It was amazing.
[00:03:26.760 --> 00:03:27.280]   Am I really not correct?
[00:03:27.280 --> 00:03:28.240]   And those were the days.
[00:03:28.240 --> 00:03:28.840]   No, actually, it was all--
[00:03:28.840 --> 00:03:32.400]   [SINGING]
[00:03:32.400 --> 00:03:32.880]   It was a lot.
[00:03:32.880 --> 00:03:33.640]   I had about two years in.
[00:03:33.640 --> 00:03:35.240]   I thought I was going to do it for the rest of my life,
[00:03:35.240 --> 00:03:36.840]   and that was it.
[00:03:36.840 --> 00:03:37.840]   Yeah, you were smart.
[00:03:37.840 --> 00:03:39.200]   It took me a while to figure it out.
[00:03:39.200 --> 00:03:39.760]   I got fired.
[00:03:39.760 --> 00:03:40.640]   That's how I got out of it.
[00:03:40.640 --> 00:03:41.600]   I got fired.
[00:03:41.600 --> 00:03:44.880]   No, you were smart, because we were talking about this
[00:03:44.880 --> 00:03:47.640]   in the club twit discord the other day.
[00:03:47.640 --> 00:03:50.680]   What's fun as a hobby turns out to be horrible
[00:03:50.680 --> 00:03:52.600]   is a job.
[00:03:52.600 --> 00:03:55.120]   And I thought college radio, I love this.
[00:03:55.120 --> 00:03:57.000]   I get to play the music I love.
[00:03:57.000 --> 00:03:59.600]   OK, make great segues, talk to the people.
[00:03:59.600 --> 00:04:01.840]   Then I got a real job, and it's like, play this,
[00:04:01.840 --> 00:04:05.000]   push a button, no more than 20 words, read the weather.
[00:04:05.000 --> 00:04:08.320]   And it's like, that's assembly line work.
[00:04:08.320 --> 00:04:09.240]   That's not--
[00:04:09.240 --> 00:04:13.920]   But I got to say, I would like to be negotiating
[00:04:13.920 --> 00:04:17.280]   on closing the cell on my fourth vacation home right now.
[00:04:17.280 --> 00:04:20.640]   But there's something to be said for being
[00:04:20.640 --> 00:04:24.280]   like deep, deep, deep into middle age and still thinking
[00:04:24.280 --> 00:04:25.640]   that, wow, I can't wait to--
[00:04:25.640 --> 00:04:26.560]   I can't wait to--
[00:04:26.560 --> 00:04:28.880]   I'm so enjoying doing this podcast, month of podcast,
[00:04:28.880 --> 00:04:29.880]   and I can't wait.
[00:04:29.880 --> 00:04:31.960]   I'll say, I can't wait to go do this next thing
[00:04:31.960 --> 00:04:35.040]   that I got to do, because if I had become an attorney
[00:04:35.040 --> 00:04:37.040]   or an accountant, it would have been--
[00:04:37.040 --> 00:04:38.280]   It would have been a great 10 years.
[00:04:38.280 --> 00:04:39.840]   Those 10 years have been great.
[00:04:39.840 --> 00:04:42.680]   I would have had so much stuff during those 10 years.
[00:04:42.680 --> 00:04:45.280]   But then I would be one of those guys who's like,
[00:04:45.280 --> 00:04:48.040]   you know what, maybe living in a camper van
[00:04:48.040 --> 00:04:50.440]   and having no fixed address for the rest of my life
[00:04:50.440 --> 00:04:52.840]   I think at 43 that's what I want to do.
[00:04:52.840 --> 00:04:55.440]   I don't-- I don't like people.
[00:04:55.440 --> 00:04:57.240]   I don't like procedures anymore.
[00:04:57.240 --> 00:04:58.040]   I don't like--
[00:04:58.040 --> 00:04:59.440]   That's the wrong way to stand by the river.
[00:04:59.440 --> 00:05:00.840]   Nothing wrong with it.
[00:05:00.840 --> 00:05:02.960]   You know, me in a jock, I don't think I could have done
[00:05:02.960 --> 00:05:04.840]   forever, but I was as a music director.
[00:05:04.840 --> 00:05:06.040]   It was kind of the life.
[00:05:06.040 --> 00:05:07.440]   Like a music director for--
[00:05:07.440 --> 00:05:08.440]   In those days.
[00:05:08.440 --> 00:05:09.440]   In those days.
[00:05:09.440 --> 00:05:09.440]   In those--
[00:05:09.440 --> 00:05:11.840]   In those old days, a music director for an R&R parallel
[00:05:11.840 --> 00:05:15.040]   was like a good time, especially when you're 21 years old.
[00:05:15.040 --> 00:05:16.040]   Yeah.
[00:05:16.040 --> 00:05:16.040]   It was--
[00:05:16.040 --> 00:05:17.040]   It was--
[00:05:17.040 --> 00:05:17.040]   It was great.
[00:05:17.040 --> 00:05:18.040]   Yeah.
[00:05:18.040 --> 00:05:19.440]   Yeah, but every night.
[00:05:19.440 --> 00:05:21.440]   It was really bad for my liver.
[00:05:21.440 --> 00:05:23.440]   So it was--
[00:05:23.440 --> 00:05:25.440]   Yeah, but it was--
[00:05:25.440 --> 00:05:28.440]   But I did imagine, I did project out forward looking at everyone
[00:05:28.440 --> 00:05:31.440]   around me going, probably going to have a, you know,
[00:05:31.440 --> 00:05:33.440]   a 30-year-old van by the river.
[00:05:33.440 --> 00:05:34.440]   Yeah.
[00:05:34.440 --> 00:05:35.440]   I know a lot of people.
[00:05:35.440 --> 00:05:36.440]   You're never going to make anybody.
[00:05:36.440 --> 00:05:38.440]   That's exactly what you do.
[00:05:38.440 --> 00:05:39.440]   But you can't-- it's hard to give up.
[00:05:39.440 --> 00:05:40.440]   You're hanging out with the band.
[00:05:40.440 --> 00:05:41.440]   You love it.
[00:05:41.440 --> 00:05:42.440]   It's fun.
[00:05:42.440 --> 00:05:43.440]   You know, it's a good life.
[00:05:43.440 --> 00:05:44.440]   Yeah.
[00:05:44.440 --> 00:05:46.440]   No, thank God I found podcasting and changing--
[00:05:46.440 --> 00:05:47.440]   Yeah, yeah, I turned it over.
[00:05:47.440 --> 00:05:48.440]   Yeah, I turned it over.
[00:05:48.440 --> 00:05:50.440]   I know so many people in radio still Hawaii.
[00:05:50.440 --> 00:05:54.440]   They just laid off pretty much all of the best known
[00:05:54.440 --> 00:05:56.440]   Hawaiian radio people just all got fired.
[00:05:56.440 --> 00:05:57.440]   Right.
[00:05:57.440 --> 00:05:59.440]   And it's like 30 years, you know, nothing.
[00:05:59.440 --> 00:06:01.440]   What do you got to show for it?
[00:06:01.440 --> 00:06:02.440]   Nothing.
[00:06:02.440 --> 00:06:03.440]   Yeah.
[00:06:03.440 --> 00:06:05.440]   That's why part of this component is if you can work for yourself
[00:06:05.440 --> 00:06:09.440]   and do the thing that you love, that's better than, oh boy,
[00:06:09.440 --> 00:06:11.440]   if I get fired from this job, I'm totally screwed.
[00:06:11.440 --> 00:06:12.440]   It's like my--
[00:06:12.440 --> 00:06:16.440]   I think all of us have like parts of the story, which is like,
[00:06:16.440 --> 00:06:19.440]   my God, oh no, this newspaper folder, oh no, they stop doing
[00:06:19.440 --> 00:06:20.440]   this show.
[00:06:20.440 --> 00:06:23.440]   It's like, if I lose six more jobs, I could be in real trouble.
[00:06:23.440 --> 00:06:24.440]   [LAUGHTER]
[00:06:24.440 --> 00:06:26.440]   No, in fact, every one of us has a freelance career.
[00:06:26.440 --> 00:06:31.440]   I guess, Alex, you work for somebody, but you know, I think
[00:06:31.440 --> 00:06:34.440]   you're still pretty much your own boss.
[00:06:34.440 --> 00:06:35.440]   Yeah, I'm kind of left to my own devices.
[00:06:35.440 --> 00:06:36.440]   Yeah.
[00:06:36.440 --> 00:06:37.440]   One is like, keep generating revenue.
[00:06:37.440 --> 00:06:38.440]   Exactly.
[00:06:38.440 --> 00:06:39.440]   Exactly.
[00:06:39.440 --> 00:06:41.440]   And you've started many a business and we're all kind of--
[00:06:41.440 --> 00:06:42.440]   Yeah, well, it's--
[00:06:42.440 --> 00:06:45.440]   You know, there was some point where we were in Vegas and a bunch
[00:06:45.440 --> 00:06:48.440]   of us were having dinner and all of us had started companies.
[00:06:48.440 --> 00:06:49.440]   And they were all about the same size.
[00:06:49.440 --> 00:06:51.440]   All had about 30 employees or so.
[00:06:51.440 --> 00:06:52.440]   And we were talking about it.
[00:06:52.440 --> 00:06:54.440]   And we realized that none of us had gone to college and finished
[00:06:54.440 --> 00:06:55.440]   college.
[00:06:55.440 --> 00:06:56.440]   And we'd all started college and we'd finished it.
[00:06:56.440 --> 00:06:58.440]   And we were wondering what the connection was.
[00:06:58.440 --> 00:07:01.440]   And someone brought up that it was like, well, when you don't have a
[00:07:01.440 --> 00:07:03.440]   college degree, there's a little voice in the back of your head
[00:07:03.440 --> 00:07:06.440]   that always says, the next job after this is McDonald's.
[00:07:06.440 --> 00:07:07.440]   [LAUGHTER]
[00:07:07.440 --> 00:07:08.440]   That's funny.
[00:07:08.440 --> 00:07:09.440]   Exactly.
[00:07:09.440 --> 00:07:10.440]   That voice in my head.
[00:07:10.440 --> 00:07:11.440]   Keep your movement.
[00:07:11.440 --> 00:07:12.440]   Yeah.
[00:07:12.440 --> 00:07:14.440]   Hey, it's not really an Apple story, but boy, what a big story.
[00:07:14.440 --> 00:07:16.440]   Broke this morning.
[00:07:16.440 --> 00:07:18.440]   You know what I'm talking about, right?
[00:07:18.440 --> 00:07:19.440]   Yeah.
[00:07:19.440 --> 00:07:20.440]   We're all talking about it this morning.
[00:07:20.440 --> 00:07:26.440]   Microsoft buying Blizzard, Activision Blizzard, for a massive
[00:07:26.440 --> 00:07:27.440]   amount of money.
[00:07:27.440 --> 00:07:30.440]   Of course, this is a company that's been very troubled by
[00:07:30.440 --> 00:07:34.440]   accusations of harassment, misogyny, mistreatment of women,
[00:07:34.440 --> 00:07:36.440]   of frack culture.
[00:07:36.440 --> 00:07:39.440]   But they also make some of the biggest games in the world.
[00:07:39.440 --> 00:07:40.440]   And Microsoft--
[00:07:40.440 --> 00:07:41.440]   Is that Microsoft?
[00:07:41.440 --> 00:07:42.440]   Is that Microsoft?
[00:07:42.440 --> 00:07:43.440]   Was that the amount?
[00:07:43.440 --> 00:07:45.440]   70 and 70 Instagrams, something like that.
[00:07:45.440 --> 00:07:46.440]   Yeah.
[00:07:46.440 --> 00:07:47.440]   I'm worth every penny.
[00:07:47.440 --> 00:07:49.440]   I mean, it was incredible.
[00:07:49.440 --> 00:07:51.440]   68 Instagrams, I think, directly.
[00:07:51.440 --> 00:07:52.440]   68 billion dollars.
[00:07:52.440 --> 00:07:53.440]   Yeah.
[00:07:53.440 --> 00:07:57.440]   Oh, look at what-- like, who decided it was 68 instead of 70?
[00:07:57.440 --> 00:07:59.440]   That's the one-- like, how did they negotiate that down?
[00:07:59.440 --> 00:08:02.440]   Someone said 75, someone said 63, and they were like, about 70.
[00:08:02.440 --> 00:08:04.440]   I'm a champion, I'm metal.
[00:08:04.440 --> 00:08:07.440]   Or is it New York Times says nearly 70 billion.
[00:08:07.440 --> 00:08:08.440]   Yeah, exactly.
[00:08:08.440 --> 00:08:09.440]   Yeah, exactly.
[00:08:09.440 --> 00:08:10.440]   It's funny.
