;FFMETADATA1
title=You Can't Touch This
artist=Leo Laporte, Rene Ritchie, Andy Ihnatko
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2022-05-10
track=817
language=English
genre=Podcast
comment=The history of the iPod, Apple & FIDO, Apple's AR plans
encoded_by=Uniblab 5.3
date=2022
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:06.340]   It's time for Mac Break Weekly. Alex has the day off Andy and Renee are here as we started the show
[00:00:06.340 --> 00:00:15.600]   Sad news a farewell to the iPod will look back at 20 years of great music that and a whole lot more coming up next
[00:00:15.600 --> 00:00:17.600]   I'm Mac Break Weekly
[00:00:17.600 --> 00:00:22.840]   Podcasts you love from people you trust
[00:00:22.840 --> 00:00:26.000]   This is to it
[00:00:29.400 --> 00:00:35.080]   This is Mac Break Weekly episode 817 recorded Tuesday May 10th
[00:00:35.080 --> 00:00:38.520]   2022 you can't touch this
[00:00:38.520 --> 00:00:46.000]   Mac Break Weekly is brought to you by Blue Land stop wasting water and throwing out more plastic get Blue Land's
[00:00:46.000 --> 00:00:51.980]   Revolutionary refill cleaning system instead right now you can get 20% off your first order when you go to
[00:00:51.980 --> 00:00:55.120]   blue land calm slash Mac Break and
[00:00:56.040 --> 00:01:04.440]   By Ultimate ears fits Ultimate ears fits are the world's most comfortable earbuds with premium sound and all-day comfort
[00:01:04.440 --> 00:01:09.840]   Use promo code Mac Break at ue.com/fits to get your pair
[00:01:09.840 --> 00:01:19.120]   And by the new and recently updated TriCaster 2 elite by new tech the most complete live production system on the planet
[00:01:19.120 --> 00:01:24.840]   There's a TriCaster for every production including yours visit go.newtech.com
[00:01:25.640 --> 00:01:31.560]   Twitch - TV where an interactive guide will advise you on which TriCaster is right for you
[00:01:31.560 --> 00:01:35.360]   It's time for Mac Break Weekly the show we cover the latest news from Apple
[00:01:35.360 --> 00:01:41.360]   Alex Lindsay has the day off Renee Richie is here YouTube.com/Renee Richie good to see you sir
[00:01:41.360 --> 00:01:45.660]   Good to see you Leo. I'm completing all my Apple gear to make sure nothing gets canceled during the show
[00:01:45.660 --> 00:01:48.160]   Hold it tight
[00:01:48.160 --> 00:01:51.840]   Now that I like that that's that hoodie you're wearing
[00:01:53.080 --> 00:01:59.440]   Mark has Mark has Brown Lee is that a mark has Brown man. Yes, sir. Yeah, he's he's doing well
[00:01:59.440 --> 00:02:04.040]   I wonder if you'll sell the thing. He's pretty good. I'm a gala, right? Yeah, I wonder if you sell the six-eater
[00:02:04.040 --> 00:02:06.040]   We're at the Met Gala Wow
[00:02:06.040 --> 00:02:13.880]   Nice also with us Andy and I call let's see who he's plugging today good man. Let's see you bolder buffs
[00:02:13.880 --> 00:02:16.640]   Hello
[00:02:16.640 --> 00:02:22.280]   Renee does this does this mean that like there's like a YouTube cinematic universe like you and Marquez are like
[00:02:22.280 --> 00:02:25.920]   I think so one one mega event away from like being in the same
[00:02:25.920 --> 00:02:30.200]   It's definitely gala. It's definitely a
[00:02:30.200 --> 00:02:33.560]   World unto itself really
[00:02:33.560 --> 00:02:39.320]   These days I mean the YouTube stars are kind of in their own they are in their own universe
[00:02:39.320 --> 00:02:42.080]   It's very I can't I can't give names
[00:02:42.080 --> 00:02:48.360]   But I've heard of a couple really big events recently where they had like you know like like people at the top of Hollywood the top of the tech
[00:02:48.360 --> 00:02:52.320]   Industry and then the top youtubers like all just in the same room at the same time
[00:02:52.320 --> 00:02:56.840]   They've done even Met Gala was like that but but I have to say crossovers not easy
[00:02:56.840 --> 00:03:01.160]   For some reason I just ask annoying orange
[00:03:01.160 --> 00:03:06.440]   It's true and for a while YouTube had a fetish with the traditional stars
[00:03:06.440 --> 00:03:09.880]   They would all the top right video like and they didn't late night. I couldn't make it Jimmy's yep
[00:03:09.880 --> 00:03:17.160]   I mean, I guess John Krasinski sort of is with his during COVID, but I really feel like it's its own
[00:03:17.160 --> 00:03:20.880]   Universe with its own stars anyway, I don't know that's just a
[00:03:20.880 --> 00:03:26.360]   No, no, you're right, but with YouTube you never get out you never get a day off
[00:03:26.360 --> 00:03:32.640]   All the people who do well are like no no no no no we're not skipping this week. We're not skipping today
[00:03:32.640 --> 00:03:37.000]   Oh, yeah, we're putting out something well and I live my life at I'm war so nothing changed
[00:03:37.000 --> 00:03:40.800]   It's sort of the same for a tick-tock like my son's trying to cross over
[00:03:40.800 --> 00:03:45.680]   Into YouTube as I have urged him to do for some time. Yeah way better monetization
[00:03:45.680 --> 00:03:49.160]   And well, maybe maybe yes, maybe no
[00:03:49.160 --> 00:03:54.160]   You tiktok some some people are making money. He visited
[00:03:54.160 --> 00:03:59.760]   I don't know who was a tiktok or seven million dollar house over the weekend and his garage full of cars
[00:03:59.760 --> 00:04:05.600]   So somebody's making money, but yeah, it's all hand. Yeah, it's not sharing the money
[00:04:06.040 --> 00:04:07.520]   They're not sharing it
[00:04:07.520 --> 00:04:13.740]   Well, they shared it with this guy. I have to ask saltman co it was but he's only got 20,000 YouTube subscribers
[00:04:13.740 --> 00:04:20.740]   So he's got he's got a little ways to go. It's good. That's good, right? It's not zero. Yeah, he's only got a few videos so far
[00:04:20.740 --> 00:04:22.740]   He's just he's working on it
[00:04:22.740 --> 00:04:30.320]   It's hard though. It's hard. I think to cross over I think you're each is its own thing Instagram it took time not so hard
[00:04:30.760 --> 00:04:36.800]   And also frankly, you know those seven cars. I'm not sure that I'd want to have a job that required that much driving
[00:04:36.800 --> 00:04:38.000]   I
[00:04:38.000 --> 00:04:44.080]   Mean having to drive from house to house building to building. I mean, that's just I did what I what kind of life is
[00:04:44.080 --> 00:04:48.960]   I did tell Hank that if he makes a lot of money, please do not invest in cars. Yeah
[00:04:48.960 --> 00:04:52.000]   Generally a bad
[00:04:52.000 --> 00:04:58.000]   On the other hand if you were to invest your money into some mint in the box
[00:04:59.160 --> 00:05:03.800]   iPod touches right now. You might be you might be pretty loaded
[00:05:03.800 --> 00:05:09.860]   You might don't touch those Renee don't even open them. Don't unseal them. How many do you have? I?
[00:05:09.860 --> 00:05:13.840]   Got two mint in the box iPod touches here for some reason
[00:05:13.840 --> 00:05:16.160]   I don't know why I never opened them and I've got like the open versions
[00:05:16.160 --> 00:05:21.060]   I have the open gold version too, but it's out of reach. Wow the man is flush very duplicative
[00:05:21.060 --> 00:05:26.840]   But this is my past iPod and it is now official that after 21 years
[00:05:26.840 --> 00:05:33.960]   It's the end of the line for iPod Apple announced today that the iPod touch will be available while supplies last
[00:05:33.960 --> 00:05:40.840]   The music lives on Leo the music lives on I guess the music I guess they must have a few in the warehouse
[00:05:40.840 --> 00:05:44.600]   Yeah, that's that's such good marketing saying no no
[00:05:44.600 --> 00:05:48.200]   We're not we're not we're not end of life and discontinuing a product that we're having
[00:05:48.200 --> 00:05:53.080]   Most people wondered why was there was a prize where we're still on the on the price list anyway
[00:05:53.080 --> 00:06:00.060]   We're oh no. No, this is a limited edition opportunity to be in on the end of a term of legend
[00:06:00.060 --> 00:06:04.600]   They should have made it at least people are fighting for home like for the original home pods now
[00:06:04.600 --> 00:06:08.120]   They can't they're harder and harder to get and people like just give them to us give them to us
[00:06:08.120 --> 00:06:13.260]   They're fighting over them like they're tickle me elmo dolls or something so music is always this is great. Jaws
[00:06:13.260 --> 00:06:16.840]   We act jaws now of a senior vice president of worldwide marketing
[00:06:16.840 --> 00:06:21.740]   He took Schiller's role music has always been part of our core at Apple bringing hundreds of millions of users in the way
[00:06:21.740 --> 00:06:24.120]   iPod did impact it more than just the music industry
[00:06:24.120 --> 00:06:30.280]   This is actually sounds like hyperbole, but I think it's fair. It also redefined how music is discovered
[00:06:30.280 --> 00:06:34.540]   Listened to and shared today the spirit of iPod lives on
[00:06:34.540 --> 00:06:40.580]   I don't know if that's true. We've integrated an incredible music experience across all of our products
[00:06:40.580 --> 00:06:45.460]   My phone to the Apple watch to home pod many and across Mac iPad Apple TV. So
[00:06:45.460 --> 00:06:48.020]   Bye-bye
[00:06:48.020 --> 00:06:53.700]   It was introduced October 23rd 2001. I vividly remember that day
