;FFMETADATA1
title=He Left in a Hurry-cane
artist=Leo Laporte, Andy Ihnatko, Stephen Robles, Mikah Sargent
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2022-09-27
track=837
language=English
genre=Podcast
comment=Apple Watch Ultra, Super Bowl, Apple Pay Later
encoded_by=Uniblab 5.3
date=2022
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.680]   It's time for Mac break weekly and Ian Ocko's here Mike as Sargent's filling in for Jason Snell
[00:00:05.680 --> 00:00:09.240]   Joining us for Alex Lindsey from Apple insider Steven Robles
[00:00:09.240 --> 00:00:16.320]   Steven and I both have the new Apple watch ultra will get our capsule reviews on the air plus a look at the new
[00:00:16.320 --> 00:00:21.840]   AirPods to the new AirPods Pro 2 and what to expect next month
[00:00:21.840 --> 00:00:26.920]   Will there be an Apple event? Maybe not. It's all coming up next on Mac break weekly
[00:00:29.520 --> 00:00:32.360]   Podcasts you love from people you trust
[00:00:32.360 --> 00:00:35.480]   This is to it
[00:00:35.480 --> 00:00:46.320]   This is Mac break weekly episode 837 recorded Tuesday September 27th 2022
[00:00:46.320 --> 00:00:48.640]   He left in a hurry game
[00:00:48.640 --> 00:00:54.100]   This episode of Mac break weekly is brought to you by the new and recently updated
[00:00:54.100 --> 00:00:59.260]   TriCaster to elite by new tech the most complete live production system in the planet
[00:00:59.260 --> 00:01:05.900]   There's a TriCaster for every production including yours living ours visit go.newtech.com
[00:01:05.900 --> 00:01:13.500]   Slash twit - TV where an interactive guide will advise you on which TriCaster is right for you
[00:01:13.500 --> 00:01:19.200]   It's time for Mac break weekly the show we cover the latest news from Apple
[00:01:19.900 --> 00:01:24.660]   And since both Jason Snell and Alex Lindsey have decided to recuse themselves
[00:01:24.660 --> 00:01:26.780]   It's just me and Andy and not go today
[00:01:26.780 --> 00:01:30.780]   Wg big h in Boston. Hello Andrew
[00:01:30.780 --> 00:01:36.740]   Hello, let's see the thing is like if it were just Alex I'd wonder okay some head of state
[00:01:36.740 --> 00:01:40.860]   This guy yeah, and we need and then a live stream if it were just Jason
[00:01:40.860 --> 00:01:45.320]   I just you know I think okay well he had like an overlap he has kids he's sending a kid off to college
[00:01:45.320 --> 00:01:52.480]   Both of them makes me think that what is Apple releasing tomorrow that I don't know about that everybody needs to be briefed about or live streamed
[00:01:52.480 --> 00:01:58.500]   Exactly and now I'm going to stop everybody from tuning out because it's just me and Andy because it isn't just me and Andy
[00:01:58.500 --> 00:02:00.040]   Hey, hey
[00:02:00.040 --> 00:02:07.560]   Welcome Michael Sergeant always great to have you Mike a filling in at the last minute from iOS today and tech news weekly and the tech guy and
[00:02:07.560 --> 00:02:14.640]   And of course an Apple expert your timing is excellent. Did you get your watch? Did you get your watch today yesterday?
[00:02:15.040 --> 00:02:20.880]   Well, I've got my series eight. Yeah. Oh no you were waiting for your air pods. I was waiting for my air
[00:02:20.880 --> 00:02:27.640]   I like him so much. I put him on a land here. Look at you. You're carrying like it's a precious heirloom
[00:02:27.640 --> 00:02:34.880]   Yeah, yeah, there's a precious precious heirloom. We'll talk about that in a bit also from Apple insider great to have back to our
[00:02:34.880 --> 00:02:40.800]   Microfolds Steven this time I'm gonna say his name mate right Robles. Hello, Steven
[00:02:41.440 --> 00:02:47.600]   All right. Thank you. It's great to be here once again. Well, doing the beard back to the show beard FM
[00:02:47.600 --> 00:02:52.080]   That's his website so yeah
[00:02:52.080 --> 00:02:58.880]   Everybody got their ultra as the reviews have been out for a while Steven have you had one for a while? I
[00:02:58.880 --> 00:03:04.480]   Do I got one on launch day? There's the ultra with the white ocean band right there nice
[00:03:04.480 --> 00:03:08.280]   Oh, you have the ocean band I have the gray ocean band and at some point
[00:03:08.280 --> 00:03:11.280]   I'll bring in the did it take you a while to figure out how the ocean
[00:03:11.280 --> 00:03:17.800]   I read the instructions I copiously read I know about the second loop and putting it through
[00:03:17.800 --> 00:03:22.240]   Yeah, I think I threw the instructions out or something because so it comes with a
[00:03:22.240 --> 00:03:28.360]   Removable in fact, it's not even a touch when you get it second loop for the tab end and that I
[00:03:28.360 --> 00:03:33.480]   Didn't pay attention and I just put it around the back and which means I couldn't get the tab in at all
[00:03:33.480 --> 00:03:37.020]   Like it wouldn't fit. I thought well, that's this is I don't I
[00:03:37.560 --> 00:03:40.360]   Then I figured it out. I thought oh, there's holes there
[00:03:40.360 --> 00:03:44.080]   I could just thread it through a hole and now I quite like it and it's adjustable
[00:03:44.080 --> 00:03:48.840]   So that's because this is the one size fits all band even your wet I do like it
[00:03:48.840 --> 00:03:54.000]   I have been using a lot of my previous solo loops with the ultra because they are fit and they fit great
[00:03:54.000 --> 00:03:57.760]   Yeah, I was concerned about my pan and quill
[00:03:57.760 --> 00:04:02.880]   What mica what are you young people call those a cuff?
[00:04:03.440 --> 00:04:08.880]   Thank you. Oh, I was concerned about that because the whole cutout for the
[00:04:08.880 --> 00:04:12.720]   Back of the watch and it actually works. So everything's fine
[00:04:12.720 --> 00:04:17.160]   So that's good. We're here to report that your ultra as huge as it might be and
[00:04:17.160 --> 00:04:23.040]   I put this on Lisa's my wife's wrist and it really is too big for her. I said come on you would love this watch
[00:04:23.040 --> 00:04:25.800]   So what do you think mr. Roblith? I
[00:04:25.800 --> 00:04:31.000]   Really like it. I mean the battery life. I've been testing it when 48 hours
[00:04:31.280 --> 00:04:39.800]   Yeah off charger and it was still at 28% battery, which is pretty amazing and even did some deep-sea diving in my pool
[00:04:39.800 --> 00:04:51.800]   They did go down to five feet and so you assume that the Apple watch ultra submerged depth app comes up went down to five feet
[00:04:51.800 --> 00:04:57.240]   And it saw read the water temperature depth and it was pretty accurate. So I turn you know when you setting it up
[00:04:57.240 --> 00:04:58.360]   It says well
[00:04:58.360 --> 00:05:02.920]   If you go in water you want to know how deep you are and how cold it is and I said well of course
[00:05:02.920 --> 00:05:08.600]   I do because if I fall off the Titanic it would be nice as I sink to know how far I've sunk
[00:05:08.600 --> 00:05:13.640]   But I maybe I'll scuba sometime. I have scuba in the past. I like scuba diving
[00:05:13.640 --> 00:05:18.600]   This is really though silly for a person like me to have because it's I mean it seemed for me
[00:05:18.600 --> 00:05:23.440]   I have no practical use for it the most action I've had is grocery shopping with Apple watch ultra
[00:05:23.960 --> 00:05:29.600]   But that larger display showing my grocery list that was that was key feature right there. It's a great experience
[00:05:29.600 --> 00:05:34.760]   I yeah, yeah, yeah, that's a good point. It's great for grocery shopping. I'm sure Apple put that in a next ad
[00:05:34.760 --> 00:05:41.240]   Yeah, I was shopping in the aisle. It's safe way when all of a sudden I couldn't remember iceberg or romaine
[00:05:41.240 --> 00:05:44.560]   Then my watch came to the rescue. I
[00:05:44.560 --> 00:05:46.200]   I
[00:05:46.200 --> 00:05:51.220]   Reach I reached into by a bundle of romaine and then that's when the automatic spritters came on it
[00:05:51.220 --> 00:05:56.240]   They gotta have the rugged version well things could have gotten pretty south pretty fast
[00:05:56.240 --> 00:06:00.980]   Let me tell you that you know in this shot it the close it does look kind of hunky chunky
[00:06:00.980 --> 00:06:06.040]   That's why that's why I'm looking forward to like designers coming forward with like more
