;FFMETADATA1
album=This Week In Google
artist=Leo Laporte, Jeff Jarvis and Gina Trapani
iTunPGAP=0
comment=http://twit.tv/twig150
encoded_by=iTunes v7.0
genre=Tech News
TGID=http://www.podtrac.com/pts/redirect.mp3/twit.cachefly.net/twig0115.mp3
TDES=Hosts: Leo Laporte, Jeff Jarvis, and Gina Trapani\
\
Apple's iPhone 4S keynote, what is PhoneGap, \# on Google +, Google won't screw up Android, and more cloud news.\
\
Download or subscribe to this show at twit.tv/twig.\
\
We invite you to read, add to, and amend our show notes.\
\
Friendfeed links for this episode.\
\
Thanks to Cachefly for the bandwidth for this show.\
\
Running time: 1:29:14
track=150
title=This Week In Google 150: SIM surgery
date=2012
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:01.220]   Coming up, it's Twig.
[00:00:01.220 --> 00:00:07.260]   This week at Google with Gina Jeff and a visit from James Spann, a weatherman whose Facebook page was taken down.
[00:00:07.260 --> 00:00:10.060]   We'll also talk about the hot new Google phone.
[00:00:10.060 --> 00:00:10.900]   And I got it.
[00:00:10.900 --> 00:00:12.240]   He has three, my review.
[00:00:12.240 --> 00:00:13.900]   Coming up next on Twig.
[00:00:13.900 --> 00:00:20.940]   Netcast, you love.
[00:00:20.940 --> 00:00:22.940]   From people you trust.
[00:00:22.940 --> 00:00:28.240]   This is Twig.
[00:00:29.080 --> 00:00:36.200]   Bandwidth for this week in Google is provided by CashFly, C-A-C-H-E-F-L-Y.com.
[00:00:36.200 --> 00:00:40.960]   This is Twig.
[00:00:40.960 --> 00:00:46.040]   This week in Google, episode 150, recorded June 6, 2012.
[00:00:46.040 --> 00:00:47.840]   Sim surgery.
[00:00:47.840 --> 00:00:51.840]   This week in Google is brought to you by Stamps.com.
[00:00:51.840 --> 00:00:56.640]   Use Stamps.com to buy and print real US postage the instant you need it right from your desk.
[00:00:56.640 --> 00:01:02.320]   For our special offer visit Stamps.com, click the radio microphone and use the offer code Twig.
[00:01:02.320 --> 00:01:08.240]   And buy Squarespace.com, the fast and easy way to create a high quality website or blog.
[00:01:08.240 --> 00:01:13.100]   For a free trial and 10% off your first purchase on new accounts, go to squarespace.com
[00:01:13.100 --> 00:01:15.020]   and use the offer code Twig6.
[00:01:15.020 --> 00:01:19.520]   And don't forget, they now offer free domain registration with annual planned subscriptions.
[00:01:19.520 --> 00:01:25.720]   It's time for Twig this week in Google.
[00:01:25.720 --> 00:01:28.360]   The show that talks about Google, the cloud.
[00:01:28.360 --> 00:01:30.800]   We'll talk a little about Facebook as well today.
[00:01:30.800 --> 00:01:33.520]   Gina Trapani is here from smarterwear.org.
[00:01:33.520 --> 00:01:35.400]   Great to have you, Gina.
[00:01:35.400 --> 00:01:35.920]   Great to be here.
[00:01:35.920 --> 00:01:36.920]   Yay.
[00:01:36.920 --> 00:01:38.720]   And we only have a little bit of Jeff.
[00:01:38.720 --> 00:01:39.920]   We're going to have an hour of Jeff.
[00:01:39.920 --> 00:01:41.280]   We've got an hour of plus, yeah.
[00:01:41.280 --> 00:01:42.160]   An hour of Jeff.
[00:01:42.160 --> 00:01:43.200]   Jeff Jarvis is here.
[00:01:43.200 --> 00:01:43.760]   Where are you?
[00:01:43.760 --> 00:01:47.880]   You're not at the City University of New York, where you normally haunt.
[00:01:47.880 --> 00:01:54.040]   I'm in Toronto and I stayed longer after meeting and taking the last flight out so I can be on Twig.
[00:01:54.040 --> 00:01:55.320]   On you on Air Canada.
[00:01:55.320 --> 00:01:56.920]   It's a quick flight to New York, though.
[00:01:56.920 --> 00:01:57.920]   It's not a bad flight.
[00:01:57.920 --> 00:01:57.920]   It is.
[00:01:57.920 --> 00:01:58.920]   It's the last flight out.
[00:01:58.920 --> 00:01:59.520]   No Air Canada.
[00:01:59.520 --> 00:02:03.440]   Last time I was here, the pilots had a Wildcat strike.
[00:02:03.440 --> 00:02:04.720]   Drove me absolutely bad.
[00:02:04.720 --> 00:02:06.920]   So no, I flew United this time.
[00:02:06.920 --> 00:02:09.320]   Next time I'll fly Porter, not Air Canada.
[00:02:09.320 --> 00:02:10.320]   I flew.
[00:02:10.320 --> 00:02:15.920]   I did a lot of flying on Air Canada every month for four years or something.
[00:02:15.920 --> 00:02:16.840]   I would fly up to Toronto.
[00:02:16.840 --> 00:02:17.720]   I liked Toronto, though.
[00:02:17.720 --> 00:02:18.400]   It's a great town.
