;FFMETADATA1
title=Google Forked Itself
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=285
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.200]   It's time for Twig this week in Google Danny Sullivan and Jeff Jarvis are here
[00:00:05.200 --> 00:00:12.360]   We'll talk about why the police want ways to change its way Google fiber coming to four
[00:00:12.360 --> 00:00:18.760]   New cities and a debate over whether Android really is open. It's all next on Twig
[00:00:18.760 --> 00:00:25.480]   Netcasts you love from people you trust
[00:00:29.240 --> 00:00:38.080]   This is Twig bandwidth for this week in Google is provided by cash fly C A C H E F L Y
[00:00:38.080 --> 00:00:40.080]   .com
[00:00:40.080 --> 00:00:51.640]   This is Twig this week in Google episode 285 recorded January 28 2015 Google forked itself
[00:00:53.720 --> 00:01:03.220]   This week in Google is brought to you by LD products.com the ink and toner experts shop online at LD products.com for high quality products at
[00:01:03.220 --> 00:01:12.040]   discount prices for 10% off ink and toner cartridges plus free shipping excluding OEM go to LD products.com/twit and
[00:01:12.040 --> 00:01:14.240]   enter the offer code Twit and
[00:01:14.240 --> 00:01:22.880]   Buy personal capital with personal capital you can monitor your income spending and the performance of your investments on a single
[00:01:22.880 --> 00:01:29.800]   Easy to read screen best of all it's free to sign up go to personal capital.com/twig and
[00:01:29.800 --> 00:01:32.400]   Buy hip chat plus
[00:01:32.400 --> 00:01:41.140]   Collaborate save time and be more productive with your teams hip chat plus as I am video chat plus file code and screen sharing
[00:01:41.140 --> 00:01:48.040]   All in one place invite your team members and get a free 30-day trial of hip chat plus at hip chat.com/twig
[00:01:48.040 --> 00:01:51.100]   It's time for twig this weekend Google
[00:01:51.720 --> 00:02:00.240]   Show we cover Google, but also the cloud and all that that entails Jeff Jarvis is back from Davos at his office at the City University of New York
[00:02:00.240 --> 00:02:07.280]   CUNY where it teaches journalism he also blogs a budget machine.com and as the author of geeks bearing gifts and
[00:02:07.280 --> 00:02:11.600]   A lot more there it is holding up at the book
[00:02:11.600 --> 00:02:14.880]   imagining new futures for news
[00:02:15.240 --> 00:02:22.160]   Danny Sullivan is also here from search engine land and search engine marketing engine land and all the different lands
[00:02:22.160 --> 00:02:28.040]   He's from even measles land measles. No, you don't have measles. Do you know?
[00:02:28.040 --> 00:02:32.160]   But I gotta go to Disneyland on Friday. Oh, yeah, we were thinking this would be a good time of the year to go
[00:02:32.160 --> 00:02:37.300]   I'm actually going tomorrow. Yeah, it'll be it won't be anybody there. I
[00:02:37.300 --> 00:02:41.880]   Know they're all down with measles. How could there be a measles epidemic?
[00:02:42.120 --> 00:02:46.120]   Because people don't get vaccines currently in this in Southern, California in
[00:02:46.120 --> 00:02:53.560]   Spades or something this bizarre. It's there's definite apparent hot spots where people don't do it. Yeah
[00:02:53.560 --> 00:02:55.360]   Well
[00:02:55.360 --> 00:03:03.400]   They're all getting measles now. I had measles as a kid. I'm old enough. Yeah, and Jeff is - we were we were children before there were
[00:03:03.400 --> 00:03:05.480]   vaccines for many of these childhood illnesses
[00:03:06.040 --> 00:03:12.280]   Mm-hmm. I remember growing up getting them and what what a miracle it was that we had these vaccines
[00:03:12.280 --> 00:03:15.040]   Yeah, these diseases and now one wants them some mumps
[00:03:15.040 --> 00:03:19.560]   Yeah, chicken pox got it. We had them all in fact sometimes
[00:03:19.560 --> 00:03:25.680]   I remember parents if said kid had chicken pox would bring their kids over yeah to get it done before there was a
