;FFMETADATA1
title=Stop Spocking My Bills!
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=290
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.580]   It's time for Twig this week in Google. Aaron Nukem joins Jeff Jarvis and me
[00:00:04.580 --> 00:00:12.480]   We're gonna talk about the GDC the game developer conference some big announcements there the mobile world conference all the latest
[00:00:12.480 --> 00:00:19.440]   Android devices the future of Google and we welcome back Bradley Horrois to the Google+ team. It's all ahead next
[00:00:19.440 --> 00:00:27.520]   From people you trust
[00:00:27.520 --> 00:00:39.840]   This is Twig bandwidth for this week in Google is provided by cash fly C A C A G F L Y
[00:00:39.840 --> 00:00:45.840]   This is Twig
[00:00:45.840 --> 00:00:52.280]   Episode 290 recorded Wednesday March 4th 2015 stops spocking my bills
[00:00:53.160 --> 00:01:00.720]   This week at Google is brought to you by LegalZoom it's national start your business month at LegalZoom in the best time to create a business
[00:01:00.720 --> 00:01:03.760]   You've always dreamed of legal zooms not a law firm
[00:01:03.760 --> 00:01:11.960]   But they can connect you with an independent attorney visit legalzoom.com and use the offer code Twig in the referral box to save even more
[00:01:11.960 --> 00:01:17.100]   And by Linda.com the online learning platform with over
[00:01:17.560 --> 00:01:26.680]   2000 on-demand video courses to help you strengthen your business technology and creative skills for a free 10-day trial visit Linda.com/twig
[00:01:26.680 --> 00:01:29.680]   That's L Y N D A.com/twig
[00:01:29.680 --> 00:01:32.480]   And by hip chat
[00:01:32.480 --> 00:01:41.920]   Collaborate save time and be more productive with your teams hip chat as I am video chat plus file code and screen sharing all in one place
[00:01:42.040 --> 00:01:48.080]   invite your team members and get a free 30-day trial of the full version of it jet at hip chat.com
[00:01:48.080 --> 00:01:56.400]   Slash Twig. I am for Twig this week in Google the show where we cover all the googly goodness out there in the universe the cloud
[00:01:56.400 --> 00:02:02.080]   And we throw a little Facebook little Twitter little this a little that little geek sparing news
[00:02:02.080 --> 00:02:07.040]   And speaking of which Jeff Jarvis is here from oh excuse me
[00:02:07.040 --> 00:02:11.080]   I was just reading a little bit good good and good and they unpacked of printing
[00:02:11.080 --> 00:02:16.040]   That's not your book that somebody else's book. What else is Stefan fusen off?
[00:02:16.040 --> 00:02:18.920]   You have written of course a
