;FFMETADATA1
title=Give Peas a Chance
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=307
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.000]   It's time for Twig this week in Google.
[00:00:04.000 --> 00:00:06.000]   Leo's not here, he's on a boat.
[00:00:06.000 --> 00:00:11.000]   I'm Mike Elgin, to its news director, Jeff and Gina are here, and we're going to talk about Google's
[00:00:11.000 --> 00:00:16.000]   anti-trust troubles, Facebook's news business, and Amazon's virtual assistant.
[00:00:16.000 --> 00:00:18.000]   It's all coming up next on Twig.
[00:00:18.000 --> 00:00:23.000]   Netcast you love.
[00:00:23.000 --> 00:00:25.000]   From people you trust.
[00:00:28.000 --> 00:00:30.000]   This is Twig.
[00:00:30.000 --> 00:00:34.000]   Bandwidth for this week in Google is provided by
[00:00:34.000 --> 00:00:38.000]   CashFly, C-A-C-H-E-F-L-Y.com.
[00:00:38.000 --> 00:00:42.000]   [MUSIC]
[00:00:42.000 --> 00:00:44.000]   This is Twig.
[00:00:44.000 --> 00:00:50.000]   This week in Google, episode 307, recorded July 1, 2015.
[00:00:50.000 --> 00:00:52.000]   Give P's a chance.
[00:00:52.000 --> 00:00:58.000]   This episode of This Week in Google is brought to you by FreshBooks, a super simple cloud
[00:00:58.000 --> 00:01:02.000]   accounting and invoicing solution designed to help small business owners save time
[00:01:02.000 --> 00:01:04.000]   billing and get paid faster.
[00:01:04.000 --> 00:01:07.000]   Try it free at freshbooks.com/twig.
[00:01:08.000 --> 00:01:10.000]   And by LegalZoom.
[00:01:10.000 --> 00:01:16.000]   If you're looking to incorporate form an LLC, get a trademark and more, LegalZoom can help you get started the right way.
[00:01:16.000 --> 00:01:20.000]   LegalZoom is not a law firm but can connect you with an independent attorney,
[00:01:20.000 --> 00:01:27.000]   is at LegalZoom.com and use offer code TWIG in the referral box at checkout this month for your special discount.
[00:01:27.000 --> 00:01:29.000]   And by BrainTree.
[00:01:29.000 --> 00:01:34.000]   If you're working on a mobile app and searching for a simple payment solution, check out BrainTree.
[00:01:34.000 --> 00:01:38.000]   With one simple integration, you can offer your customers every way to pay.
[00:01:38.000 --> 00:01:39.000]   Period.
[00:01:39.000 --> 00:01:47.000]   To learn more and for your first $50,000 in transactions, fee free, go to braintreatpayments.com/twig.
[00:01:47.000 --> 00:01:50.000]   It's time for Twig.
[00:01:50.000 --> 00:01:56.000]   This week in Google, the show where we talk about Google, the cloud and whatever Jeff and Gina want to talk about.
[00:01:56.000 --> 00:01:57.000]   Leo's on vacation.
[00:01:57.000 --> 00:01:58.000]   My name is Mike Elgin.
[00:01:58.000 --> 00:02:00.000]   I'm the news director here at Twit.
[00:02:00.000 --> 00:02:07.000]   And we've got an action-packed show and a couple of action-packed regulars starting with Gina, Trippani, Gina, how the heck are you?
[00:02:07.000 --> 00:02:09.000]   Hi, I'm doing great. Glad to be here.
[00:02:09.000 --> 00:02:13.000]   So glad you're here, Gina, as the creator of ThinkUp.com and Makerbase.
[00:02:13.000 --> 00:02:20.000]   Can you explain one more time what Makerbase is going to be when it's born into the world?
[00:02:20.000 --> 00:02:24.000]   Makerbase isn't quite public yet. It's invitation only right now.
[00:02:24.000 --> 00:02:29.000]   But the idea is that it's basically like an IMDB for apps.
[00:02:29.000 --> 00:02:35.000]   So it's going to be a directory of people who make apps and websites and podcasts and other sort of digital things.
[00:02:35.000 --> 00:02:38.000]   And it's going to be totally user-editable, much like Wikipedia.
[00:02:38.000 --> 00:02:45.000]   It's kind of going to be like LinkedIn, but for coders, broadcasters, ebook authors, that kind of thing.
[00:02:45.000 --> 00:02:47.000]   So it's going to be a lot of fun.
[00:02:47.000 --> 00:02:53.000]   Well, I can't wait until you give Tech News today an exclusive on the announcement when it comes out.
[00:02:53.000 --> 00:02:55.000]   Absolutely.
[00:02:55.000 --> 00:02:59.000]   And of course, Gina is the founding editor of Life Hacker.
[00:02:59.000 --> 00:03:05.000]   And also joining us as usual is Jeff Jarvis, professor of journalism at the City University of New York, author of Public Parts,
[00:03:05.000 --> 00:03:07.000]   Google Dune, Gutenberg, the geek.
[00:03:07.000 --> 00:03:08.000]   Who needs the old publishing?
[00:03:08.000 --> 00:03:10.000]   We have Gina Trippani.
[00:03:10.000 --> 00:03:11.000]   Exactly.
[00:03:11.000 --> 00:03:17.000]   The office office is bowed under a bunch of old people and crews going down the river, having time of his life.
[00:03:17.000 --> 00:03:19.000]   We have genes.
[00:03:19.000 --> 00:03:27.000]   You know, there's something extraordinarily leisurely about taking a cruise on a river and taking pictures of Europe just as Europe goes by.
[00:03:27.000 --> 00:03:33.000]   You can announce the camera on the side of the boat and just have an app that just takes a picture of me.
[00:03:33.000 --> 00:03:36.000]   Anyway, someday, someday.
[00:03:36.000 --> 00:03:39.000]   Well, let's jump right into the stories today.
[00:03:39.000 --> 00:03:44.000]   Let's start with a sort of a Yelp funded...
[00:03:44.000 --> 00:03:45.000]   Wait, wait, wait, wait.
[00:03:45.000 --> 00:03:46.000]   Okay.
[00:03:46.000 --> 00:03:47.000]   Breaking news.
[00:03:47.000 --> 00:03:48.000]   Breaking news alert.
[00:03:48.000 --> 00:03:49.000]   What's up?
[00:03:49.000 --> 00:03:53.000]   The President of the United States, honest to God, the President of the United States has answered the controversy,
