;FFMETADATA1
title=The Alpha Bet
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=313
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:03.660]   It's time for Twig this weekend Google a big show today in fact
[00:00:03.660 --> 00:00:09.500]   This is the show that everybody wanted to be on Mike Galgan Matthew Ingram and Jeff Jarvis
[00:00:09.500 --> 00:00:14.760]   What does alphabet mean to Google? We'll figure it all out next on Twig
[00:00:14.760 --> 00:00:21.440]   Netcasts you love from people you trust
[00:00:25.240 --> 00:00:31.460]   This is Twig bandwidth for this week in Google is provided by cash fly
[00:00:31.460 --> 00:00:34.440]   C A C H E F L Y
[00:00:34.440 --> 00:00:36.440]   Dotcom
[00:00:36.440 --> 00:00:45.800]   It's time for Twig this week in Google episode 313 recorded Wednesday August 12 2015
[00:00:45.800 --> 00:00:48.160]   the alpha bets
[00:00:49.200 --> 00:00:56.360]   This week in Google is brought to you by Casper an online retailer of premium mattresses for a fraction of the price because
[00:00:56.360 --> 00:01:04.920]   Everyone deserves a great night's sleep get $50 off any mattress purchase by visiting casper.com/twig and entering the promo code twig
[00:01:04.920 --> 00:01:09.840]   and by Linda.com the online learning platform with over
[00:01:09.840 --> 00:01:17.480]   3,000 on-demand video courses to help you strengthen your business technology and creative skills for a free 10-day trial
[00:01:17.560 --> 00:01:23.880]   Visit Linda.com/twig that's L Y N D A dot com slash twig and by
[00:01:23.880 --> 00:01:27.760]   Zip recruiter are you hiring with zip recruiter calm?
[00:01:27.760 --> 00:01:35.960]   You can post to 100 plus job sites including social networks all with a single click screen rate and hire the right candidates fast
[00:01:35.960 --> 00:01:41.880]   Tries it recruiter with a free four-day trial now at zip recruiter.com/twig
[00:01:43.240 --> 00:01:48.760]   It's time for twig this week in Google or we gonna have a fun show today Mike Elgin sitting in
[00:01:48.760 --> 00:01:53.960]   It's nice to have you you brought some dopey chrome thing. It's just plain large
[00:01:53.960 --> 00:01:57.900]   Just plain very large. This is an Acer chrome base touch
[00:01:57.900 --> 00:02:04.280]   $430 and it's just it's just enormous prices right though. It's great, you know, it's like it's a big screen
[00:02:04.280 --> 00:02:07.080]   It's a touch screen 10 points of touch and it's cheap
[00:02:07.080 --> 00:02:13.040]   And it's a Chromebook basically and you're reviewing it for before you buy I did I did do and gave it a buy
[00:02:13.040 --> 00:02:18.400]   Because because the price is so good and the fact that how are these speakers or is there is that grill at the bottom?
