;FFMETADATA1
title=Flying Cellphones
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=326
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.620]   It's time for Twig this week in Google. Oh, I'm so excited Jeff Jarvis has the day off
[00:00:04.620 --> 00:00:05.600]   He'll be back next week
[00:00:05.600 --> 00:00:10.500]   But Gina Trappani is here and she's joining my good friend Christopher Michael
[00:00:10.500 --> 00:00:15.400]   It's perfect for a Veterans Day Christopher was the founder of military.com. We'll talk about that
[00:00:15.400 --> 00:00:21.440]   Photography Google smart phones smart watches miniature drones. It's all next
[00:00:21.440 --> 00:00:28.920]   Netcast you love from people you trust
[00:00:28.920 --> 00:00:41.520]   This is tweet bandwidth for this week in Google is provided by cash fly C A C H E F L Y
[00:00:41.520 --> 00:00:43.520]   .com
[00:00:43.520 --> 00:00:55.600]   This is Twig this week in Google episode 326 recorded Wednesday November 11 2015 flying cell phones
[00:00:56.160 --> 00:01:01.520]   This week in Google is brought to you by fresh books the super simple cloud accounting software
[00:01:01.520 --> 00:01:07.600]   It's giving thousands of freelancers and small businesses the tools to save time billing and get paid faster
[00:01:07.600 --> 00:01:12.480]   Try it free at fresh books.com/twig and by
[00:01:12.480 --> 00:01:20.120]   Blue Apron blue apron will send you all the ingredients to cook fresh delicious meals with simple step-by-step instructions
[00:01:20.400 --> 00:01:26.340]   Right to your door see what's on the menu this week and get your first two meals free by going to blue apron
[00:01:26.340 --> 00:01:32.200]   Dot-com slash to it. That's blue apron dot-com slash with and by
[00:01:32.200 --> 00:01:36.240]   Zip recruiter are you hiring with zip recruiter calm?
[00:01:36.240 --> 00:01:44.240]   You can post to 100 plus job sites including social networks all with a single click screen rate and hire the right candidates fast
[00:01:44.240 --> 00:01:49.880]   Try zip recruiter with a free four-day trial now at zip recruiter dot com slash twig
