;FFMETADATA1
title=Honey, I Livestreamed the Kid
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=353
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2016
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.760]   It's time for a twig this week in Google and of course it's our post I/O keynote show
[00:00:04.760 --> 00:00:09.960]   Which means there's lots to talk about lots of announcements from Google and we couldn't have a better panel to do it
[00:00:09.960 --> 00:00:16.560]   Jason Howell, Gina Trepani, Jeff Jarvis and Matt Cutt, stay tuned a very special twig is next
[00:00:16.560 --> 00:00:22.920]   Netcast you love from people you trust
[00:00:26.720 --> 00:00:32.960]   This is Twig band width for this week in Google is provided by cash fly
[00:00:32.960 --> 00:00:35.920]   C A C H E F L Y
[00:00:35.920 --> 00:00:37.920]   Dot com
[00:00:37.920 --> 00:00:43.800]   This is twig this week in Google episode
[00:00:43.800 --> 00:00:50.600]   353 recorded Wednesday May 18th 2016 honey I live stream the kid
[00:00:50.600 --> 00:00:54.960]   This week in Google is brought to you by blue apron blue apron
[00:00:54.960 --> 00:01:02.000]   I'll send you fresh high quality ingredients to cook delicious meals with simple step-by-step instructions right to your door
[00:01:02.000 --> 00:01:03.480]   See what's on the menu this week?
[00:01:03.480 --> 00:01:10.080]   You get your first two meals free with free shipping by going to blue apron calm slash quit that's blue apron
[00:01:10.080 --> 00:01:12.720]   slash twit and by
[00:01:12.720 --> 00:01:17.600]   Casper an online retailer of premium mattresses for a fraction of the price
[00:01:17.600 --> 00:01:23.480]   Because everyone deserves a great night's sleep get $50 off any mattress purchase by visiting casper
[00:01:23.680 --> 00:01:28.000]   Dot com slash twig and entering the promo code TWIG and
[00:01:28.000 --> 00:01:29.720]   by
[00:01:29.720 --> 00:01:37.080]   Headspace train your mind for a healthier less stressed life download the free headspace app and begin their take 10 program
[00:01:37.080 --> 00:01:42.280]   For 10 days of guided meditation and headspace dot com slash twig
[00:01:42.280 --> 00:01:48.760]   It's time for twig this week in Google the show where we cover Google and this is a very good day to watch
[00:01:49.240 --> 00:01:56.360]   For a lot of reasons of course, this is Google I/O and coming to us from the Google plexin Mountain View
[00:01:56.360 --> 00:01:58.440]   We've got a great team. We'll start with
[00:01:58.440 --> 00:02:06.600]   Oh, who did it start with it's so great. Let's start with Jason Howell who is of course the host of all about Android last
[00:02:06.600 --> 00:02:10.680]   I had some great Google developers on the show and was at the keynote. Hi Jason
[00:02:10.680 --> 00:02:17.040]   How's it going Leo? It's good today T&T will be hosted by Megan because you're gonna spend the whole year spending the rest of the week there
[00:02:17.480 --> 00:02:19.080]   Yeah, well, I'm here to Friday
[00:02:19.080 --> 00:02:21.480]   You know normally at Google I/O they give you you know
[00:02:21.480 --> 00:02:24.600]   Obviously the talks and there's a lot of people here to talk to and everything
[00:02:24.600 --> 00:02:30.280]   They also usually have a big demonstration area for things and I'm told that there is a whole lot of that going on this year
[00:02:30.280 --> 00:02:36.000]   That's where I normally spend a lot of my time. So we'll see what happens. Yeah, I remember in years past at Moscone
[00:02:36.000 --> 00:02:41.160]   There were we booths and very interesting things to do and stuff. It's a different Google I/O
[00:02:41.160 --> 00:02:43.640]   We'll talk about that in just a second also here Jeff Jarvis
[00:02:45.840 --> 00:02:49.800]   Wearing his swag. He's got a do rag and
[00:02:49.800 --> 00:02:56.280]   It's not a it's not a it's not a do rag. It's a gurag. It's a gurag from Google
[00:02:56.280 --> 00:02:58.360]   but
[00:02:58.360 --> 00:03:01.800]   What is is there something pretty googling about it or is it just well?
[00:03:01.800 --> 00:03:05.840]   See I was amused that mother at Google sent us all emails before we got here saying children
[00:03:05.840 --> 00:03:09.240]   It could be very chilly amount of view in the morning. You should all bring good sweater
[00:03:09.240 --> 00:03:15.320]   They said bring a thick sweater. I thought well then give us a hoodie. Yeah, so instead they give us they give us some
[00:03:15.320 --> 00:03:21.800]   Screen and this well you need that because this is the first time I can remember a major tech keynote outside
[00:03:21.800 --> 00:03:26.200]   Out of doors nature. We don't go. Geeks don't do nature. I know
[00:03:26.200 --> 00:03:31.880]   Good to have you by the way, they're all in the same room. So occasionally you'll hear some cross chatter
[00:03:31.880 --> 00:03:35.080]   You know who's not in the same room, but has joined us and I'm so thrilled
[00:03:35.080 --> 00:03:38.000]   Gina Trapani is here. Hi Gina
[00:03:38.000 --> 00:03:45.280]   From New York City from New York in the white room. Yes the white actually she's at her new place
[00:03:45.280 --> 00:03:50.720]   Of employee. I am I'm at post-light what now tell us about okay, so
[00:03:50.720 --> 00:03:57.680]   When we when we came out to New York you said just on the QT. I've had a very interesting interview
[00:03:57.680 --> 00:04:02.320]   And so the good news is what is post-light?
[00:04:02.320 --> 00:04:06.400]   Post-light is a new digital agency in New York
[00:04:06.400 --> 00:04:13.440]   So we do client services we build apps and websites and platforms and all sorts of little digital things for for clients
[00:04:13.440 --> 00:04:19.960]   Some really cool interesting clients. It was founded by Paul Ford who people here might know him
[00:04:19.960 --> 00:04:23.280]   He was the author of that that amazing bluebird business week piece
[00:04:23.280 --> 00:04:27.880]   What is code and and rich ziadi who was a founder readability and
[00:04:27.880 --> 00:04:33.280]   Yeah, it's a really really fun team. I'm having a lot of fun very cool post-light
[00:04:33.280 --> 00:04:36.080]   P-o-s-t-l-i-g-h-t dot-com
[00:04:36.080 --> 00:04:42.160]   And you're the CTO now is that right? I'm a director of engineering director of engineering even better
[00:04:43.000 --> 00:04:47.440]   Well, congratulations on the new thing now. Does this mean that think up is?
[00:04:47.440 --> 00:04:55.800]   Still going on or what's the status with think up think up is alive and well and going strong as is maker base
[00:04:55.800 --> 00:05:01.040]   We we did write a little bit about think up on our blog blog that think up about that calm
[00:05:01.040 --> 00:05:07.560]   You know, we we have sort of reckoned with the fact that think up isn't it does the business model for it as a standalone
[00:05:07.960 --> 00:05:11.560]   Product doesn't work. So we're trying to figure out, you know
[00:05:11.560 --> 00:05:18.200]   How can we how can we keep think up around and maybe pass it on to someone who can who can keep it going and maybe as an add-on to a
[00:05:18.200 --> 00:05:22.160]   Different product or or as an additional offering we're trying to figure that out
[00:05:22.160 --> 00:05:25.640]   But we we wrote about it on the blog blog.thinkup.com in the meantime
[00:05:25.640 --> 00:05:29.160]   The services, you know, we're running think up. We're working on it
[00:05:29.160 --> 00:05:33.720]   That's I'm keep keeping that going and Neil and I and maker base as well. Good because I love both of them
[00:05:33.720 --> 00:05:35.720]   I think they're both great ideas
[00:05:35.720 --> 00:05:39.600]   but sometimes one must gain gainful employment and
[00:05:39.600 --> 00:05:42.560]   Sounds like post-light's gonna be a lot of fun for you
[00:05:42.560 --> 00:05:44.560]   And of course we love having Gina here
[00:05:44.560 --> 00:05:49.520]   Because she was original member of the cast and I'm hoping we can get more time with you
[00:05:49.520 --> 00:05:55.440]   Although sounds like as director engineering you're gonna be just as busy if not more so but we also love having a developer
[00:05:55.440 --> 00:06:00.040]   Especially for Google I/O so we appreciate you spending some time with us today. Thanks for having me
[00:06:00.040 --> 00:06:04.640]   Also from the Google plex mr. Matt cuts is here great to have you Matt
[00:06:04.640 --> 00:06:06.640]   Oh, you shaved the beard man
[00:06:06.640 --> 00:06:15.640]   Good unmute the unmute Matt's Mike we had muted it. It's my dis muke. There you go. Mute. Mest might is muked
[00:06:15.640 --> 00:06:20.400]   You can probably talk now Matt
[00:06:20.400 --> 00:06:26.480]   Anyway, no, no, we hear him now here. It's okay. Yeah. Yeah. Yeah. Hey. Thanks for being here
