;FFMETADATA1
title=Fail Whale on Ice
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=372
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2016
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:06.600]   It's time for Twig. This week in Google, I'm taking over the show for the second of three weeks.
[00:00:06.600 --> 00:00:09.900]   We have a lot of fun. We've got Jeff Jarvis, of course, who joins us.
[00:00:09.900 --> 00:00:15.100]   For most of the show, we've got Kevin Marks, also Ron Richards, my cohort from all about Android.
[00:00:15.100 --> 00:00:18.700]   We're going to talk all about next week's hardware event and Dramata.
[00:00:18.700 --> 00:00:21.900]   We've got some Twitter talk on who might buy them, maybe Google.
[00:00:21.900 --> 00:00:25.200]   Snapchat's spectacles are pretty crazy.
[00:00:25.200 --> 00:00:29.800]   And we talk all about that and more coming up next on this week in Google.
[00:00:29.800 --> 00:00:35.100]   NetCasts you love.
[00:00:35.100 --> 00:00:37.100]   From people you trust.
[00:00:37.100 --> 00:00:42.300]   This is Twig.
[00:00:42.300 --> 00:00:50.300]   Bandwidth for this week in Google is provided by CashFly, C-A-C-H-E-F-L-Y.com.
[00:00:53.800 --> 00:01:01.800]   This is Twig. This week in Google, episode 372, recorded on Wednesday, September 28th, 2016.
[00:01:01.800 --> 00:01:04.300]   Fail Well on Ice.
[00:01:04.300 --> 00:01:08.400]   This episode of This Week in Google is brought to you by the Ring Video Doorbell with Ring.
[00:01:08.400 --> 00:01:12.800]   You can see and talk to anyone at your door from anywhere in the world using your smartphone.
[00:01:12.800 --> 00:01:15.200]   It's like caller ID for your home.
[00:01:15.200 --> 00:01:23.600]   Go to Ring.com/Twig and get up to $150 off a Ring of Security Kit with their limited time offer.
[00:01:23.600 --> 00:01:26.500]   Hello everyone and welcome to another episode of Twig.
[00:01:26.500 --> 00:01:35.100]   This week in Google, it's my honor to be here, Jason Howell, filling in for Leo the Port while he is still gallivanting around the world, as far as I know.
[00:01:35.100 --> 00:01:41.900]   This is my second of three weeks in a row that I will be happy to be on set here to talk all things Google.
[00:01:41.900 --> 00:01:47.200]   We might get a little bit into the cloud and the some of the social network stuff that's happening out there.
[00:01:47.200 --> 00:01:51.600]   But we've got a lot of Google news today, so I think it'll be pretty easy to stay on point for the most part.
[00:01:51.600 --> 00:01:55.200]   Joining me today is my cohort and friend, Ron Richards.
[00:01:55.200 --> 00:01:57.800]   Of course, we do a show every single week together.
[00:01:57.800 --> 00:02:01.600]   We gallivant across the Android ecosystem every week.
[00:02:01.600 --> 00:02:06.600]   That's right, with all about Android, it's always awesome to get to get the podcast with you.
[00:02:06.600 --> 00:02:11.200]   I get that honor every single week and now I get it a couple of times, so that's great.
[00:02:11.200 --> 00:02:15.400]   Yeah, and I like to talk about a little more general stuff on this show as well too, so that's good.
[00:02:15.400 --> 00:02:16.400]   For sure.
[00:02:16.400 --> 00:02:22.600]   Also joining us is Kevin Marks, who, when I was producing behind the scenes for Leo,
[00:02:22.600 --> 00:02:29.600]   communicated a lot with Kevin to get the show going, but I've never actually done a show with you, so it's really nice to do that.
[00:02:29.600 --> 00:02:31.600]   That's great. It's great to see you and be able to do that.
[00:02:31.600 --> 00:02:34.400]   Yes, I really do appreciate it. KevinMarkz.com.
[00:02:34.400 --> 00:02:37.400]   Yeah, we got a lot to talk about.
[00:02:37.400 --> 00:02:45.200]   I don't know if we jump right into the event because I feel like that's where we started last week
[00:02:45.200 --> 00:02:51.600]   because it's like firmly in the rumor world leading up to Google's hardware event next week.
[00:02:51.600 --> 00:02:58.200]   Before we kind of talk about this, I know how Ron feels about kind of what we've learned kind of getting closer to this event.
[00:02:58.200 --> 00:03:03.200]   Kevin, I'm curious, are you anticipating what Google has in store for us next week?
[00:03:03.200 --> 00:03:05.200]   Do you think it's going to be a really big deal?
[00:03:05.200 --> 00:03:07.200]   I haven't been following it super closely.
[00:03:07.200 --> 00:03:10.200]   I'm assuming it's basically a refresh of the line.
[00:03:10.200 --> 00:03:17.200]   But the piece that I'm kind of intrigued about is what they're doing to support the VR stuff
[00:03:17.200 --> 00:03:21.200]   and what they're doing in terms of hardware and particularly camera hardware around that.
[00:03:21.200 --> 00:03:24.200]   I haven't seen much discussion of that so far.
[00:03:24.200 --> 00:03:33.200]   Yeah, I mean, we know that on the underlying OS on NuGet, there is Daydream VR Google announced that at I/O this last summer.
[00:03:33.200 --> 00:03:39.200]   And then it's kind of been pretty silent on that mainly because even when they announced it at Google I/O, they said,
[00:03:39.200 --> 00:03:42.200]   "All this stuff is going to happen sometime in the fall."
[00:03:42.200 --> 00:03:46.200]   And that's kind of where we're at now and the event lines up with that.
[00:03:46.200 --> 00:03:55.200]   So, I mean, if you're excited about the VR stuff, I have a very good feeling that we're going to see at least a decent amount of information revealed at the event next week.
[00:03:55.200 --> 00:03:59.200]   What excites you about kind of the VR aspect of Android right now?
[00:03:59.200 --> 00:04:03.200]   Well, part of it is more sort of what that implies for the device.
[00:04:03.200 --> 00:04:11.200]   So, my assumption is that they're going to start moving cameras around on the device to make it more plausible as an AR headset as well.
[00:04:11.200 --> 00:04:19.200]   So, if you take the six that I've got here, actually I take it out of its case of this one talking about slightly more obvious, so it's still stickery.
[00:04:19.200 --> 00:04:24.200]   This has a lens at one end.
[00:04:24.200 --> 00:04:32.200]   It would be very natural to put another lens at the other end, and suddenly then when it's in the viewer, you're able to do overlay much, much more easily.
[00:04:32.200 --> 00:04:35.200]   You've got the stereoscopic thing naturally there.
[00:04:35.200 --> 00:04:36.200]   So, that's one thought.
[00:04:36.200 --> 00:04:40.200]   It's like if you put a second camera there, that would be the thing.
[00:04:40.200 --> 00:04:48.200]   The other thing to think about would be if you align this camera with the camera on the other side, which is currently offset a bit,
[00:04:48.200 --> 00:04:52.200]   that would let you do the spherical VR stuff fairly easily as well.
[00:04:52.200 --> 00:04:59.200]   So, in the same way that Apple has been showing off what you can do with two lenses, and we've seen there are a couple of Android devices that have done that too.
[00:04:59.200 --> 00:05:10.200]   If you think about where you place them, you can make a very straightforward, both stereoscopic capture device if you have those two, and spherical capture device if you had these two.
[00:05:10.200 --> 00:05:18.200]   So, I'm not sure if they've been thinking that, but it makes sense to me given the direction they've been talking about with VR and AR.
[00:05:18.200 --> 00:05:26.200]   And it maybe that doesn't quite make it into this cycle, but it's the natural tendency to add more and more cameras and microphones to these devices.
[00:05:26.200 --> 00:05:30.200]   That's only going to grow over time because it makes more and more sense about what you can do with them.
[00:05:30.200 --> 00:05:31.200]   For sure.
[00:05:31.200 --> 00:05:32.200]   And I feel like the trend.
[00:05:32.200 --> 00:05:33.200]   Oh, hello.
[00:05:33.200 --> 00:05:36.200]   Where did you come from, Mr. Jeff Jarvis?
[00:05:36.200 --> 00:05:37.200]   I'm playing hooky.
[00:05:37.200 --> 00:05:38.200]   I'm running the...
[00:05:38.200 --> 00:05:39.200]   Oops, microphone.
[00:05:39.200 --> 00:05:40.200]   I'm playing hooky.
[00:05:40.200 --> 00:05:45.200]   I'm running an all day event here with the audience developing people from media, but this is important to me.
[00:05:45.200 --> 00:05:47.200]   So, I'm running out.
[00:05:47.200 --> 00:05:50.200]   Turn on the podcast for a while, and then I'll sneak away again, but I can't miss you guys.
[00:05:50.200 --> 00:05:53.200]   I missed two weeks recently, and that's a sin.
[00:05:53.200 --> 00:05:54.200]   Well, it's great to stop with me.
[00:05:54.200 --> 00:05:55.200]   I'm here.
[00:05:55.200 --> 00:05:56.200]   It's great to be here.
[00:05:56.200 --> 00:05:56.200]   Excellent.
[00:05:56.200 --> 00:05:58.200]   I'm happy that you've chosen to play hooky.
[00:05:58.200 --> 00:06:06.200]   If only for an hour, we'll take you for as long as you can stick around, and we'll do the really juicy nuggets up at the top so you can get all this stuff.
[00:06:06.200 --> 00:06:14.200]   We're just kind of talking a little bit about Google's VR virtual reality, augmented reality ambitions, and how much we actually expect to see.
[00:06:14.200 --> 00:06:16.200]   Out of the event coming up.
[00:06:16.200 --> 00:06:32.200]   Google has this daydream spec, and we've heard a little bit about that, basically geared towards getting hardware developers to create headsets that will work with daydream that's built into Android underneath, and that has certain hardware requirements.
[00:06:32.200 --> 00:06:43.200]   I haven't heard much about kind of the dual camera kind of stereoscopic stuff, if at all, right now, but I could totally see that being part of the plan in the longer term.
[00:06:43.200 --> 00:06:47.200]   As they try and kind of fill out the feature set for VR specifically.
[00:06:47.200 --> 00:06:55.200]   I think going off what Kevin was just saying, I think I'm more interested in starting with 180 to 360.
