;FFMETADATA1
title=More Burritoshot than Moonshot
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=378
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2016
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.400]   It's time for Twig this week in Google Jeff Jarvis is here Mike Elgin is in studio with us
[00:00:04.400 --> 00:00:08.560]   Of course, it's the day after the election so we're gonna have to talk a little bit of politics
[00:00:08.560 --> 00:00:14.400]   particularly how the president-elect Trump will affect Silicon Valley what's happening at Twitter
[00:00:14.400 --> 00:00:21.520]   There's been a big management change and a couple of Google projects that are going down. It's all next on Twig
[00:00:21.520 --> 00:00:28.600]   Netcasts you love from people you trust
[00:00:28.920 --> 00:00:33.960]   This is Twig
[00:00:33.960 --> 00:00:42.080]   Bandwidth for this week in Google is provided by cash fly C A C H E F L Y calm
[00:00:42.080 --> 00:00:51.520]   This is Twig this week in Google episode 378 recorded Wednesday November 9th
[00:00:51.520 --> 00:00:55.680]   2016 more burrito shot than moonshot
[00:00:56.440 --> 00:01:04.080]   This week in Google is brought to you by Casper an online retailer premium mattresses for a fraction of the price because everyone deserves a
[00:01:04.080 --> 00:01:11.200]   Great night's sleep get $50 off any mattress purchase by visiting casper.com/twig and in her promo code twig
[00:01:11.200 --> 00:01:18.680]   And by the ring video doorbell with ring you can see and talk to anyone at your door from anywhere in the world using your smartphone
[00:01:18.680 --> 00:01:23.500]   It's like caller ID for your home go to ring.com/twig and get up to
[00:01:23.500 --> 00:01:26.040]   $150 off a ring of security kit
[00:01:26.120 --> 00:01:28.120]   with their limited time offer
[00:01:28.120 --> 00:01:37.200]   And by the all-new base camp 3 discover a much calmer more organized way to work with your team try it out free at base camp.com
[00:01:37.200 --> 00:01:39.400]   slash twig
[00:01:39.400 --> 00:01:44.680]   It's time for twig this week in Google to show we cover the latest in the Google verse
[00:01:44.680 --> 00:01:48.960]   Which includes the Facebook verse the Twitter verse the cloud verse and all the other verse I
[00:01:48.960 --> 00:01:53.440]   I'm thrilled to have Mike Elgin in studio with us. We love having you on this show. I'm sorry
[00:01:53.440 --> 00:01:55.440]   It's like the palace
[00:01:55.440 --> 00:02:02.360]   Versailles I'm glad to be here and what a day to be here. This is a momentous day and it's fantastic be here with you and Jeff
[00:02:02.360 --> 00:02:05.760]   If you're just tuning in this is the day after the US president
[00:02:05.760 --> 00:02:12.420]   That's right. Also with us Jeff Jarvis a known Clinton supporter not wearing the hat anymore though. Are you Jeffy?
[00:02:12.420 --> 00:02:17.280]   I still have the Jeffy. Thank you very much. I still have the button all right
[00:02:17.280 --> 00:02:21.020]   It's a black one though. That's interesting. Do they make black ones for a
[00:02:22.480 --> 00:02:24.480]   With my outfit
[00:02:24.480 --> 00:02:31.920]   Professor of journalism at the city yesterday. I got home and there is one of my thank you Hillary Clinton magnets sitting there finally got here
[00:02:31.920 --> 00:02:34.120]   Yeah, a little late
[00:02:34.120 --> 00:02:36.800]   But you know that refrigerator wasn't gonna vote for her anyway
[00:02:36.800 --> 00:02:39.780]   That one magnet could have made a difference man that one
[00:02:39.780 --> 00:02:44.520]   So just to reassure you well, maybe I won't reassure you if you're tuning in and saying well
[00:02:44.520 --> 00:02:47.360]   I hope they talk about Google we will but I think we have
[00:02:47.360 --> 00:02:50.120]   We have to talk a little bit about the election
[00:02:50.120 --> 00:02:56.080]   But I think what we're gonna do is talk about it and the lessons of the election and talk about it in context with Silicon Valley actually
[00:02:56.080 --> 00:03:01.720]   Starting with and I bet you this is what the PBS NewsHour wants you to talk about Jeff Jarvis
[00:03:01.720 --> 00:03:06.240]   Silicon Valley's reaction. This is the Wall Street Journal's piece today
[00:03:06.240 --> 00:03:14.920]   Silicon Valley braces for uncertainty after Trump's victory there are wins and losses for Silicon Valley on the one hand
[00:03:15.560 --> 00:03:20.520]   Donald Trump called for a boycott of Apple because they didn't hand over the phone in the San Bernardino case
[00:03:20.520 --> 00:03:25.400]   And wants Apple to bring all of its manufacturing back to the United States on the other
[00:03:25.400 --> 00:03:31.960]   Amazon and Jeff Bezos doesn't like the Washington Post and as a result doesn't like Jeff or Amazon very much and his promised
[00:03:31.960 --> 00:03:33.600]   Antitrust action against Amazon
[00:03:33.600 --> 00:03:36.040]   But on the other hand says but we do want their
[00:03:36.040 --> 00:03:43.120]   Companies to repatriate all their money Apple would love to bring its billions back. So would Amazon Microsoft Google. Yeah, and
[00:03:43.480 --> 00:03:51.840]   One proposal it's very hard the hardest thing is to figure out what Trump's proposals were for instance on the H1B visa
[00:03:51.840 --> 00:03:53.840]   He went back and forth and back and forth
[00:03:53.840 --> 00:03:56.080]   But it does seem that at least on his website
[00:03:56.080 --> 00:03:59.040]   He proposed a 10% tax rate for repatriated money
[00:03:59.040 --> 00:04:05.680]   Yeah, which I think Tim Cook would like to do they want to get that money back in the US and be good for our economy
[00:04:05.680 --> 00:04:10.080]   Billions of dollars that would be spent on R&D acquisitions hires
[00:04:12.160 --> 00:04:16.880]   Now whether he wants to amend the tax code so that the rent so the new money doesn't go out of the United States
[00:04:16.880 --> 00:04:18.280]   I don't know I think
[00:04:18.280 --> 00:04:25.800]   This is the I think this is the big problem. I don't know. Yeah is he answered a lot of these questions. I'm less concerned about
[00:04:25.800 --> 00:04:28.800]   benefits or penalties for
[00:04:28.800 --> 00:04:34.520]   multi-billion dollar corporations than I am about Silicon Valley's role in in
[00:04:34.520 --> 00:04:37.280]   Providing fees free speech
[00:04:37.280 --> 00:04:44.920]   Trump has talked about the cyber a lot and he has a new as the internet Trump Trump does not really understand technology very well
[00:04:44.920 --> 00:04:52.040]   He I guess he'll be looking to his son Barron for he doesn't use a computer doesn't use a computer uses
[00:04:52.040 --> 00:05:00.540]   iPhone very well. However, he's no an Android phone. No Android. That's right. He's certainly Twitter aware. Yeah, he though has
[00:05:00.540 --> 00:05:04.260]   He said he's not in favor of net neutrality
[00:05:05.800 --> 00:05:07.800]   he says he
[00:05:07.800 --> 00:05:11.560]   He says
[00:05:11.560 --> 00:05:21.080]   He doesn't have an official position, but he this is the journal writing he expressed displeasure with the FCC's open internet order by tweeting
[00:05:21.080 --> 00:05:30.120]   I'm telling you were reading the tweet leaves at this point Obama's attack on the internet is another top-down power grab net neutrality is the fairness doctrine will target
[00:05:30.120 --> 00:05:33.640]   Conservative what media I know I know
[00:05:34.400 --> 00:05:37.520]   That's why we don't really know what he thinks and I don't think he knows what he thinks
[00:05:37.520 --> 00:05:40.560]   one thing though an interesting quote from
[00:05:40.560 --> 00:05:43.760]   Aaron Levine the chief executive officer of box
