;FFMETADATA1
title=Grackles, Nuthatches, and Swifts, Oh My!
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=449
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2018
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:03.800]   It's time for Twig this week at Google Jeff Jarvis is here Stacy Higginbotham
[00:00:03.800 --> 00:00:08.280]   We'll talk about the self-driving car from Uber is at the end of the line
[00:00:08.280 --> 00:00:13.940]   We'll talk about Facebook it is the end of the line and Congress has done a shameful thing
[00:00:13.940 --> 00:00:16.680]   It's all coming up next are you surprised on twig?
[00:00:16.680 --> 00:00:23.360]   Netcast you love from people you trust
[00:00:23.360 --> 00:00:28.800]   This is twig
[00:00:29.520 --> 00:00:35.900]   Bandwidth for this week in Google is provided by cash fly C A C A G F L Y
[00:00:35.900 --> 00:00:36.900]   .com
[00:00:36.900 --> 00:00:43.640]   This is Twig this week in Google episode
[00:00:43.640 --> 00:00:47.600]   449 recorded Wednesday March 21st 2018
[00:00:47.600 --> 00:00:51.680]   Grackles nut hatches and swifts. Oh my
[00:00:51.680 --> 00:00:58.320]   This week in Google is brought to you by word press reach more customers when you build your business website on
[00:00:58.320 --> 00:01:06.200]   Wordpress.com plans start at just four dollars a month get 15% off any new plan at wordpress.com/twig
[00:01:06.200 --> 00:01:14.120]   It's time for twig this week in Google although we should call it Twif this week or Twica
[00:01:14.120 --> 00:01:18.440]   With us Jeff Jarvis City University New York professor of journalism
[00:01:18.440 --> 00:01:23.520]   Buzz machine.com author of what would Google do public parts geek sparing gifts
[00:01:24.160 --> 00:01:29.240]   First day of spring first day of full full day of the vernal equinox in the snow
[00:01:29.240 --> 00:01:33.020]   Came a tumbling down you got Toby out your window
[00:01:33.020 --> 00:01:38.640]   It's it's snowing hello. You want to see out my window. Yeah, let's see
[00:01:38.640 --> 00:01:43.920]   Austin where oh
[00:01:43.920 --> 00:01:48.120]   Handy know you looked out at that beautiful view while you're doing the show
[00:01:48.120 --> 00:01:50.800]   It is no wonder you can tolerate us
[00:01:51.120 --> 00:01:55.000]   Wow, do you have those those those those strange little Austin birds on that tree?
[00:01:55.000 --> 00:01:57.680]   the crackles
[00:01:57.680 --> 00:01:59.200]   Yeah
[00:01:59.200 --> 00:02:04.320]   Strange for their name only. I mean I thought they're they're ginormous creepy evil birds
[00:02:04.320 --> 00:02:09.160]   I don't know there's a little ones the little ones lots and lots of little ones. Oh the little sparrow type birds
[00:02:09.160 --> 00:02:14.320]   Yeah, the swift nut hatches switch. I don't know tiny little birds. I don't get birds
[00:02:14.320 --> 00:02:19.680]   I'm just gonna make this up. I do have birds crackles and nudge has is and swift. Oh my
[00:02:20.360 --> 00:02:22.880]   It's crackles and not hatches and swift
[00:02:22.880 --> 00:02:27.300]   Well well well well did anything happen this weekend?
[00:02:27.300 --> 00:02:34.440]   Nothing's anything nothing. It's been really boring nothing's happened. Everybody's been happy good. No, look at the future
[00:02:34.440 --> 00:02:39.880]   Yeah, yeah, it's a new world. You know it's a good it's a good new world and it's okay
[00:02:39.880 --> 00:02:41.960]   It's fun
[00:02:41.960 --> 00:02:48.960]   I want to do a countdown actually let's start this show with let's do a countdown until how long Jeff says techno panic
[00:02:48.960 --> 00:02:50.960]   I'm pretty sure we're gonna hit it
[00:02:50.960 --> 00:02:53.280]   To it a bunch of goes in moral panic
[00:02:53.280 --> 00:03:01.880]   So there was a very good New York Times the daily yesterday it was actually a
[00:03:01.880 --> 00:03:05.520]   Observer guardian to the game of the New York Times. So the way you're talking about
[00:03:05.520 --> 00:03:11.840]   Well, it was in their podcast. So it was the daily but it may have but yes
[00:03:11.840 --> 00:03:14.320]   It's observer had the had the story of course
[00:03:14.320 --> 00:03:20.080]   Yeah, I broke the story and it was a whistleblower Christopher Wiley from Cambridge Analytica who went to the observer
[00:03:20.080 --> 00:03:26.160]   but I thought a very good synopsis of this which I will kind of attempt to rehash because the I
[00:03:26.160 --> 00:03:32.680]   Think before we even talk about Facebook's culpability in all this it would be good to understand what exactly
[00:03:32.680 --> 00:03:38.560]   Yeah, a lot of the coverage is way wrong and and it doesn't make a lot of sense for Facebook to parse
[00:03:38.560 --> 00:03:42.360]   Breach versus not breach, but it does make sense for us to get the facts right. Yeah
[00:03:42.680 --> 00:03:47.680]   So this began Christopher Wiley will start with him. He was the whistleblower
[00:03:47.680 --> 00:03:50.640]   He was a high school dropout from PC from Canada
[00:03:50.640 --> 00:03:53.040]   Who became fascinated with
[00:03:53.040 --> 00:03:55.860]   Data big data when he was
[00:03:55.860 --> 00:03:59.780]   volunteering at the Obama campaign in 2012 and
[00:03:59.780 --> 00:04:03.880]   Was very intrigued by what data was tell them
[00:04:03.880 --> 00:04:08.160]   About reaching out to voters, you know how to advertise to them
[00:04:08.160 --> 00:04:11.320]   Who to who to advertise to and all of that stuff?
[00:04:12.440 --> 00:04:17.520]   He had was following an interesting study
[00:04:17.520 --> 00:04:21.800]   And I'm trying to remember if that was from Cambridge or somewhere else. I think not
[00:04:21.800 --> 00:04:23.440]   where
[00:04:23.440 --> 00:04:27.480]   Some researchers found out that if we get 50 of your likes 50
[00:04:27.480 --> 00:04:34.960]   So who's 50 of your likes we can tell whether what race you are we can tell what kind of education you have to tell a lot about you
[00:04:34.960 --> 00:04:36.240]   Give us
[00:04:36.240 --> 00:04:39.560]   500 of your likes we'll know more about you than your spouse does
[00:04:40.520 --> 00:04:45.920]   And they were able to do that by correlating kind of it was a kind of imperfect system
[00:04:45.920 --> 00:04:47.840]   correlating
[00:04:47.840 --> 00:04:51.280]   You can likes were scrapable. I think they still are scrapable from Facebook
[00:04:51.280 --> 00:04:54.240]   You don't have to have permission to see what people like it's in there
[00:04:54.240 --> 00:04:56.640]   It's right there on their on their profile
[00:04:56.640 --> 00:05:02.040]   So they would they would basically get as much of that like data as they could and see if they could find correlations
[00:05:02.040 --> 00:05:07.600]   And this is very different from you or me. I mean one of the things they found out for instance if if you like hello kitty
[00:05:09.200 --> 00:05:13.440]   What what what are they I don't even remember but it said something about you was that you were
[00:05:13.440 --> 00:05:18.040]   You were a nice person, but not a rule follower something like that
[00:05:18.040 --> 00:05:24.680]   So you could deduce all of these things and they did this again by taking great lumps of data and making correlations
[00:05:24.680 --> 00:05:25.760]   and then
