;FFMETADATA1
title=Gelato in Perugia With Craig
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=504
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2019
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:01.200]   It's time for Twig!
[00:00:01.200 --> 00:00:05.800]   This week in Google Jeff Jarvis and Matthew Ingram are here, lots to talk about.
[00:00:05.800 --> 00:00:09.680]   Holy cow, Julian Assange's arrest can you defend him?
[00:00:09.680 --> 00:00:11.920]   As a journalist? Is it free speech?
[00:00:11.920 --> 00:00:15.760]   The bad news for Facebook just keeps on coming.
[00:00:15.760 --> 00:00:20.280]   And how Assassin's Creed is going to help rebuild Notre Dame.
[00:00:20.280 --> 00:00:22.560]   It's all coming up next on Twig.
[00:00:22.560 --> 00:00:26.960]   Netcast you love.
[00:00:26.960 --> 00:00:28.960]   From people you trust.
[00:00:28.960 --> 00:00:33.960]   This is Twig.
[00:00:33.960 --> 00:00:45.960]   This is Twig. This week in Google, episode 504, recorded Wednesday, April 17th, 2019.
[00:00:45.960 --> 00:00:48.960]   Gelato in Peružia with Greg.
[00:00:48.960 --> 00:00:51.960]   This week in Google is brought to you by Grammarly.
[00:00:51.960 --> 00:00:55.960]   Grammarly is a communication tool that helps people improve their writing
[00:00:55.960 --> 00:00:58.960]   to be mistake-free, clear, and effective.
[00:00:58.960 --> 00:01:06.960]   Start writing confidently by going to grammarly.com/twig and get 20% off a Grammarly Premium account today.
[00:01:06.960 --> 00:01:12.960]   And by WordPress. Turn your dreams into reality and launch your website at WordPress.com.
[00:01:12.960 --> 00:01:18.960]   Get 15% off any new plan at WordPress.com/twig.
[00:01:18.960 --> 00:01:22.960]   It's time for Twig! This week in Google to show where you cover the latest from the Googleverse.
[00:01:22.960 --> 00:01:26.960]   And boy, this is going to be the week that was joining us.
[00:01:26.960 --> 00:01:30.960]   Of course, Jeff Jarvis, welcome. Were you here last week?
[00:01:30.960 --> 00:01:32.960]   Yes, I was. You were, but I was.
[00:01:32.960 --> 00:01:33.960]   Yeah, you and Stacy were.
[00:01:33.960 --> 00:01:34.960]   Oh, good.
[00:01:34.960 --> 00:01:36.960]   Thanks to Jason Howell for filling in.
[00:01:36.960 --> 00:01:38.960]   And then I missed you before that because I was traveling.
[00:01:38.960 --> 00:01:39.960]   So it's worth saying.
[00:01:39.960 --> 00:01:40.960]   You've been back together.
[00:01:40.960 --> 00:01:41.960]   Nice to see you.
[00:01:41.960 --> 00:01:42.960]   Nice to see you.
[00:01:42.960 --> 00:01:43.960]   Hugs.
[00:01:43.960 --> 00:01:46.960]   He's supposed to do this, Jeff.
[00:01:46.960 --> 00:01:48.960]   Heart.
[00:01:48.960 --> 00:01:54.960]   He's the Leonard Tap Professor for journalistic innovation at the Craig Newmark Graduate School of Journalism at the City University of New York.
[00:01:54.960 --> 00:02:01.960]   Buzzmachine.com is his blog. His books are available everywhere, including public parts, what would Google do.
[00:02:01.960 --> 00:02:04.960]   And Gutenberg the geek.
[00:02:04.960 --> 00:02:06.960]   Very nice to see you.
[00:02:06.960 --> 00:02:07.960]   Nice to see you.
[00:02:07.960 --> 00:02:11.960]   Now Stacy is gone again. Where'd she go this time?
[00:02:11.960 --> 00:02:14.960]   She, she, uh, had, she is out with a migraine.
[00:02:14.960 --> 00:02:15.960]   Oh, poor Stacy.
[00:02:15.960 --> 00:02:16.960]   Oh.
[00:02:16.960 --> 00:02:18.960]   So she was, I thought she was playing.
[00:02:18.960 --> 00:02:19.960]   She was planning to be here.
[00:02:19.960 --> 00:02:20.960]   We can go to the moon.
[00:02:20.960 --> 00:02:21.960]   We can't cure a migraine.
[00:02:21.960 --> 00:02:22.960]   Isn't that ridiculous?
[00:02:22.960 --> 00:02:23.960]   Yeah.
[00:02:23.960 --> 00:02:34.960]   But the good offices of Matthew Ingram are always welcome on the show, Chief Digital Writer at CJR.org and a guy who had gelato with Craig Newmark and Perugia.
[00:02:34.960 --> 00:02:35.960]   I did.
