;FFMETADATA1
title=You Can't Taste the Crickets
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=529
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2019
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.320]   It's time for Twig this week in Google and Pruitt's here, Jeff Jarvis, Stacy Hickenbotham.
[00:00:05.320 --> 00:00:09.440]   We're going to have a great show, Little Delayed by the Power Outages in Northern California.
[00:00:09.440 --> 00:00:12.160]   Thank you for your patience, but we've got a show for you.
[00:00:12.160 --> 00:00:17.360]   We're going to spend some time talking about what American companies should do about China
[00:00:17.360 --> 00:00:23.520]   and what they shouldn't do, but Facebook should do about political ads, and Jeff's going to
[00:00:23.520 --> 00:00:28.520]   rant on about dark mode because our changelog is full of new dark mode features.
[00:00:28.520 --> 00:00:30.520]   This is all coming up next on Twig.
[00:00:30.520 --> 00:00:35.520]   Netcast you love from people you trust.
[00:00:35.520 --> 00:00:40.520]   This is Twig.
[00:00:40.520 --> 00:00:47.520]   This is Twig.
[00:00:47.520 --> 00:00:48.520]   This is Twig.
[00:00:48.520 --> 00:00:55.520]   This week in Google, episode 529, recorded Friday, October 11th, 2019.
[00:00:55.520 --> 00:00:57.520]   You can't taste the crickets.
[00:00:57.520 --> 00:01:01.520]   This week in Google is brought to you by Worldwide Technology.
[00:01:01.520 --> 00:01:05.520]   Worldwide Technology's Advanced Technology Center is like no other testing and research
[00:01:05.520 --> 00:01:10.520]   lab with more than half a billion dollars of equipment, including OEMs like NetApp and
[00:01:10.520 --> 00:01:13.520]   its virtual so you can access it 24/7.
[00:01:13.520 --> 00:01:20.520]   To learn more and get insights into all it offers, go to www.wt.com/twit
[00:01:20.520 --> 00:01:22.520]   and buy monday.com.
[00:01:22.520 --> 00:01:28.520]   Monday helps teams manage work and meet deadlines while building a culture of transparency.
[00:01:28.520 --> 00:01:32.520]   Manage all your core business activities in one place.
[00:01:32.520 --> 00:01:35.520]   Learn more at monday.com/twig.
[00:01:35.520 --> 00:01:37.520]   And buy Zapier.
[00:01:37.520 --> 00:01:42.520]   Zapier connects all your business software and handles the work for you so you can focus
[00:01:42.520 --> 00:01:43.520]   on what matters most.
[00:01:43.520 --> 00:01:50.520]   Right now through November, go to zapier.com/twig for your free 14-day trial.
[00:01:50.520 --> 00:01:55.520]   It's time for Twig this week in Google to show we talk about the latest from everything but
[00:01:55.520 --> 00:01:56.520]   Google sometimes.
[00:01:56.520 --> 00:01:58.520]   Not this time.
[00:01:58.520 --> 00:02:03.520]   Hey, we want to apologize to everybody we were off for a couple of days.
[00:02:03.520 --> 00:02:09.520]   I wish I could apologize for PG&E, but the courts have forbidden me from doing so.
[00:02:09.520 --> 00:02:14.520]   But we are back and I thank our hosts for putting up with the two-day delay.
[00:02:14.520 --> 00:02:15.520]   Stacey Higginbotham.
[00:02:15.520 --> 00:02:17.520]   So nice to see you.
[00:02:17.520 --> 00:02:22.520]   That's not Stacey.
[00:02:22.520 --> 00:02:27.520]   One more time.
[00:02:27.520 --> 00:02:32.520]   Is it freezing in Seattle?
[00:02:32.520 --> 00:02:36.520]   I'm cold.
[00:02:36.520 --> 00:02:51.520]   I swear to God.
[00:02:51.520 --> 00:03:10.520]   I'm cold.
[00:03:10.520 --> 00:03:25.520]   I'm cold.
[00:03:25.520 --> 00:03:45.520]   I'm cold.
[00:03:45.520 --> 00:04:03.520]   I'm cold.
[00:04:03.520 --> 00:04:21.520]   I'm cold.
[00:04:21.520 --> 00:04:36.520]   I'm cold.
[00:04:36.520 --> 00:04:57.520]   I'm cold.
[00:04:57.520 --> 00:05:18.520]   I'm cold.
[00:05:18.520 --> 00:05:39.520]   I'm cold.
[00:05:39.520 --> 00:06:00.520]   I'm cold.
[00:06:00.520 --> 00:06:21.520]   I'm cold.
[00:06:21.520 --> 00:06:42.520]   I'm cold.
[00:06:42.520 --> 00:07:03.520]   I'm cold.
[00:07:03.520 --> 00:07:24.520]   I'm cold.
[00:07:24.520 --> 00:07:45.520]   I'm cold.
[00:07:45.520 --> 00:08:06.520]   I'm cold.
[00:08:06.520 --> 00:08:27.520]   I'm cold.
[00:08:27.520 --> 00:08:48.520]   I'm cold.
[00:08:48.520 --> 00:09:09.520]   I'm cold.
[00:09:09.520 --> 00:09:30.520]   I'm cold.
[00:09:30.520 --> 00:09:51.520]   I'm cold.
[00:09:51.520 --> 00:10:12.520]   I'm cold.
[00:10:12.520 --> 00:10:33.520]   I'm cold.
[00:10:33.520 --> 00:10:54.520]   I'm cold.
[00:10:54.520 --> 00:11:15.520]   I'm cold.
[00:11:15.520 --> 00:11:36.520]   I'm cold.
[00:11:36.520 --> 00:11:57.520]   I'm cold.
[00:11:57.520 --> 00:12:18.520]   I'm cold.
[00:12:18.520 --> 00:12:39.520]   I'm cold.
[00:12:39.520 --> 00:13:00.520]   I'm cold.
[00:13:00.520 --> 00:13:21.520]   I'm cold.
[00:13:21.520 --> 00:13:42.520]   I'm cold.
[00:13:42.520 --> 00:14:03.520]   I'm cold.
[00:14:03.520 --> 00:14:24.520]   I'm cold.
[00:14:24.520 --> 00:14:45.520]   I'm cold.
[00:14:45.520 --> 00:15:06.520]   I'm cold.
[00:15:06.520 --> 00:15:27.520]   I'm cold.
[00:15:27.520 --> 00:15:48.520]   I'm cold.
[00:15:48.520 --> 00:16:09.520]   I'm cold.
[00:16:09.520 --> 00:16:30.520]   I'm cold.
[00:16:30.520 --> 00:16:51.520]   I'm cold.
[00:16:51.520 --> 00:17:12.520]   I'm cold.
[00:17:12.520 --> 00:17:33.520]   I'm cold.
[00:17:33.520 --> 00:17:54.520]   I'm cold.
[00:17:54.520 --> 00:18:15.520]   I'm cold.
[00:18:15.520 --> 00:18:36.520]   I'm cold.
[00:18:36.520 --> 00:18:57.520]   I'm cold.
[00:18:57.520 --> 00:19:18.520]   I'm cold.
[00:19:18.520 --> 00:19:39.520]   I'm cold.
[00:19:39.520 --> 00:20:00.520]   I'm cold.
[00:20:00.520 --> 00:20:21.520]   I'm cold.
[00:20:21.520 --> 00:20:42.520]   I'm cold.
[00:20:42.520 --> 00:21:03.520]   I'm cold.
[00:21:03.520 --> 00:21:24.520]   I'm cold.
[00:21:24.520 --> 00:21:45.520]   I'm cold.
[00:21:45.520 --> 00:22:06.520]   I'm cold.
[00:22:06.520 --> 00:22:27.520]   I'm cold.
[00:22:27.520 --> 00:22:48.520]   I'm cold.
[00:22:48.520 --> 00:23:09.520]   I'm cold.
[00:23:09.520 --> 00:23:30.520]   I'm cold.
[00:23:30.520 --> 00:23:51.520]   I'm cold.
[00:23:51.520 --> 00:24:12.520]   I'm cold.
[00:24:12.520 --> 00:24:33.520]   I'm cold.
[00:24:33.520 --> 00:24:54.520]   I'm cold.
[00:24:54.520 --> 00:25:15.520]   I'm cold.
[00:25:15.520 --> 00:25:36.520]   I'm cold.
[00:25:36.520 --> 00:25:57.520]   I'm cold.
[00:25:57.520 --> 00:26:18.520]   I'm cold.
[00:26:18.520 --> 00:26:39.520]   I'm cold.
[00:26:39.520 --> 00:27:00.520]   I'm cold.
[00:27:00.520 --> 00:27:21.520]   I'm cold.
[00:27:21.520 --> 00:27:42.520]   I'm cold.
[00:27:42.520 --> 00:28:03.520]   I'm cold.
[00:28:03.520 --> 00:28:24.520]   I'm cold.
[00:28:24.520 --> 00:28:45.520]   I'm cold.
[00:28:45.520 --> 00:29:06.520]   I'm cold.
[00:29:06.520 --> 00:29:27.520]   I'm cold.
[00:29:27.520 --> 00:29:48.520]   I'm cold.
[00:29:48.520 --> 00:30:09.520]   I'm cold.
[00:30:09.520 --> 00:30:30.520]   I'm cold.
[00:30:30.520 --> 00:30:51.520]   I'm cold.
[00:30:51.520 --> 00:31:12.520]   I'm cold.
[00:31:12.520 --> 00:31:33.520]   I'm cold.
[00:31:33.520 --> 00:31:54.520]   I'm cold.
[00:31:54.520 --> 00:32:15.520]   I'm cold.
[00:32:15.520 --> 00:32:36.520]   I'm cold.
[00:32:36.520 --> 00:32:57.520]   I'm cold.
[00:32:57.520 --> 00:33:18.520]   I'm cold.
[00:33:18.520 --> 00:33:39.520]   I'm cold.
[00:33:39.520 --> 00:34:00.520]   I'm cold.
[00:34:00.520 --> 00:34:21.520]   I'm cold.
[00:34:21.520 --> 00:34:42.520]   I'm cold.
[00:34:42.520 --> 00:35:03.520]   I'm cold.
[00:35:03.520 --> 00:35:24.520]   I'm cold.
[00:35:24.520 --> 00:35:45.520]   I'm cold.
[00:35:45.520 --> 00:36:06.520]   I'm cold.
[00:36:06.520 --> 00:36:27.520]   I'm cold.
[00:36:27.520 --> 00:36:48.520]   I'm cold.
[00:36:48.520 --> 00:37:09.520]   I'm cold.
[00:37:09.520 --> 00:37:30.520]   I'm cold.
[00:37:30.520 --> 00:37:51.520]   I'm cold.
[00:37:51.520 --> 00:38:12.520]   I'm cold.
[00:38:12.520 --> 00:38:33.520]   I'm cold.
[00:38:33.520 --> 00:38:54.520]   I'm cold.
[00:38:54.520 --> 00:39:15.520]   I'm cold.
[00:39:15.520 --> 00:39:36.520]   I'm cold.
[00:39:36.520 --> 00:39:57.520]   I'm cold.
[00:39:57.520 --> 00:40:18.520]   I'm cold.
[00:40:18.520 --> 00:40:39.520]   I'm cold.
[00:40:39.520 --> 00:41:00.520]   I'm cold.
[00:41:00.520 --> 00:41:21.520]   I'm cold.
[00:41:21.520 --> 00:41:42.520]   I'm cold.
[00:41:42.520 --> 00:42:03.520]   I'm cold.
[00:42:03.520 --> 00:42:24.520]   I'm cold.
[00:42:24.520 --> 00:42:45.520]   I'm cold.
[00:42:45.520 --> 00:43:06.520]   I'm cold.
[00:43:06.520 --> 00:43:27.520]   I'm cold.
[00:43:27.520 --> 00:43:48.520]   I'm cold.
[00:43:48.520 --> 00:44:09.520]   I'm cold.
[00:44:09.520 --> 00:44:30.520]   I'm cold.
[00:44:30.520 --> 00:44:51.520]   I'm cold.
[00:44:51.520 --> 00:45:12.520]   I'm cold.
