;FFMETADATA1
album=This Week In Google
artist=Leo Laporte, Jeff Jarvis and Gina Trapani
iTunPGAP=0
comment=http://twit.tv/twig136
encoded_by=iTunes v7.0
genre=Tech News
TGID=http://www.podtrac.com/pts/redirect.mp3/twit.cachefly.net/twig0115.mp3
TDES=Hosts: Leo Laporte, Jeff Jarvis, and Gina Trapani\
\
Apple's iPhone 4S keynote, what is PhoneGap, \# on Google +, Google won't screw up Android, and more cloud news.\
\
Download or subscribe to this show at twit.tv/twig.\
\
We invite you to read, add to, and amend our show notes.\
\
Friendfeed links for this episode.\
\
Thanks to Cachefly for the bandwidth for this show.\
\
Running time: 1:29:14
track=136
title=This Week In Google 136: It's A Polar Bear
date=2012
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.140]   It's time for Twig this week in Google. We're gonna talk about cookies
[00:00:04.140 --> 00:00:08.100]   Yes, third-party cookies and why they're good for you bad for you good for you bad for you
[00:00:08.100 --> 00:00:11.640]   We can't figure out our minds either. It's all coming up next on Twig
[00:00:11.640 --> 00:00:18.500]   Netcasts you love from people you trust
[00:00:18.500 --> 00:00:24.300]   This is Twig
[00:00:25.600 --> 00:00:30.800]   Bandwidth for this week in Google is provided by cash fly CACHE
[00:00:30.800 --> 00:00:33.360]   FLY.com
[00:00:33.360 --> 00:00:43.360]   This is Twig this week in Google episode 136 recorded February 29th late day 2012
[00:00:43.360 --> 00:00:46.000]   It's a polar bear
[00:00:46.000 --> 00:00:48.200]   This week in Google is brought to you by
[00:00:48.200 --> 00:00:54.940]   Ting.com Ting gives you big savings and billing clarity for mobile phone service
[00:00:54.940 --> 00:01:01.840]   Try their online savings calculator and save $50 on your device purchase at Ting.com/Twig
[00:01:01.840 --> 00:01:10.680]   This is Twig this week in Google the show that covers Google the internet the cloud the Facebook the Twitter and all of that jazz
[00:01:10.680 --> 00:01:13.440]   Gina Spani is here from smarter where
[00:01:13.440 --> 00:01:19.940]   Dot org and the author of think up app at think up app dot com great to have you Gina
[00:01:20.240 --> 00:01:26.920]   Happy leap day happy leap day the 29th. I'm not wearing blue and yellow today, but where did that come from?
[00:01:26.920 --> 00:01:30.200]   Lee day Williams 30 rock. Yeah. Yes
[00:01:30.200 --> 00:01:36.760]   So that show aired a few days ago and already blue and yellow is
[00:01:36.760 --> 00:01:45.000]   It it's like become like it's in stone and any minute. I'm gonna sprout gills and you know and ten years from now
[00:01:45.000 --> 00:01:48.780]   People wear blue and yellow and they won't know why actually it'll be 12 years from now
[00:01:48.780 --> 00:01:56.820]   They won't know why it was actual is an excellent cultural commentary on absurd holiday figures and rituals and customs
[00:01:56.820 --> 00:02:03.780]   I missed it. I didn't see it and I still know about it. It's it's really fascinating. Yeah, it's true. Yeah
[00:02:03.780 --> 00:02:08.980]   Jeff Jarvis is also here the author of what would Google do is no his book is called public parts
[00:02:08.980 --> 00:02:15.980]   He blogs at Buzz machine calm and teaches journalism at the City University of New York. Hello, Jeff and I have a new venture
[00:02:16.980 --> 00:02:21.060]   Downloaded mine, but I haven't had chance to read it. This is a little bitty book
[00:02:21.060 --> 00:02:23.840]   It's a Kindle single only a buck folks
[00:02:23.840 --> 00:02:30.020]   I want I'm number 12 on the Kindle single with you guys got me up higher in
[00:02:30.020 --> 00:02:36.620]   The debate over privacy come on twig nation. Come on. It's only 99 cents
[00:02:36.620 --> 00:02:39.740]   So what's in this book?
[00:02:39.740 --> 00:02:43.420]   It argues that it's not a book. It's just me book. It's just six thousand words
[00:02:43.420 --> 00:02:51.820]   It argues that Gutenberg was the original technology entrepreneur that he went through all the same challenges that a technology entrepreneur goes through today
[00:02:51.820 --> 00:02:54.260]   solving technology problems
[00:02:54.260 --> 00:02:57.140]   developing in secret and then later he became more open source
[00:02:57.140 --> 00:03:05.940]   putting together a team finding capital finding customers and and he was done in in the end by his cash flow and his cap table
[00:03:05.940 --> 00:03:13.180]   but even so he obviously disrupted the world in a way that we all hope to do today and
[00:03:13.180 --> 00:03:17.340]   I think he's the patron state of Silicon Valley and that's what I argued
[00:03:17.340 --> 00:03:21.300]   Wow, that sounds great six thousand words
[00:03:21.300 --> 00:03:26.820]   And it's selling all right. It sounds like no more than a typical twig rant for me. So you know
[00:03:26.820 --> 00:03:30.540]   Is so easy to is it a profit deal?
[00:03:30.540 --> 00:03:37.380]   Well, yeah, I mean, I'll make you know, it's all profit. I guess isn't it doesn't cost you anything. Yeah, exactly. Yeah, so
[00:03:37.380 --> 00:03:40.620]   You know Kindle single was actually very easy to be worth
[00:03:40.620 --> 00:03:45.980]   They said last week. Okay, we'll go with it within a week. It was copy. Oh, so you have to get them. Who is they Amazon
[00:03:45.980 --> 00:03:53.220]   Get Amazon Amazon. Yeah, so do they do the copy copy? Oh, okay, and do they do the copy editing and they created the cover and
[00:03:53.220 --> 00:04:03.420]   Like a very easy very pleasant and they take what what percentage they take 30% just like Apple. Yeah
[00:04:03.420 --> 00:04:05.220]   Yeah, you know
[00:04:05.220 --> 00:04:08.180]   Well, you sent me a coupon so I can't say I bought it
[00:04:08.780 --> 00:04:14.300]   But may I'll just buy another one. Oh, I can't though because I've turned off third-party cookies and I can't
[00:04:14.300 --> 00:04:18.180]   Sorry, Jeff
