;FFMETADATA1
title=Jiggery Pokery
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=229
genre=Podcast
comment=http://www.twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2013
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:01.300]   It's time for Twig.
[00:00:01.300 --> 00:00:05.760]   This week in Google, Kevin Marks and Mike Yelken join Jeff Jarvis and me to talk about
[00:00:05.760 --> 00:00:08.600]   the 60 minutes exposé of the NSA.
[00:00:08.600 --> 00:00:12.520]   We'll also talk about some new tools from Google, Google Give It, and Google Take It
[00:00:12.520 --> 00:00:14.440]   The Way It's All Next.
[00:00:14.440 --> 00:00:18.400]   On our last Twig for 2013, stay tuned.
[00:00:18.400 --> 00:00:23.920]   Netcast you love.
[00:00:23.920 --> 00:00:27.160]   From people you trust.
[00:00:27.160 --> 00:00:31.480]   This is Twig.
[00:00:31.480 --> 00:00:42.720]   Bandwidth for this week in Google is provided by cash fly, C-A-C-H-E-F-L-Y.com.
[00:00:42.720 --> 00:00:51.800]   This is Twig this week in Google, Episode 229, recorded December 18, 2013, Jigiri Pokari.
[00:00:51.800 --> 00:00:54.600]   This week in Google is brought to you by Personal Capital.
[00:00:54.600 --> 00:00:58.400]   With Personal Capital you'll finally have all your financial life in one place and get
[00:00:58.400 --> 00:01:00.480]   a clear view of everything you own.
[00:01:00.480 --> 00:01:02.120]   Best of all, it's free.
[00:01:02.120 --> 00:01:08.480]   To sign up, go to personalcapital.com/twig and buy Hulu Plus.
[00:01:08.480 --> 00:01:13.920]   Hulu Plus lets you binge on thousands of hit TV shows anytime, anywhere, on your TV, your
[00:01:13.920 --> 00:01:17.320]   PC, your smartphone, your tablet, your Chromecast.
[00:01:17.320 --> 00:01:22.120]   Visit huluplus.com/twig to start your free two-week trial.
[00:01:22.120 --> 00:01:26.520]   It's time for Twig this week in Google to show the covers Google, Google vs the cloud.
[00:01:26.520 --> 00:01:28.520]   Jeff Jarvis is here.
[00:01:28.520 --> 00:01:35.040]   He is at his post at the City University of New York where he's training young minds.
[00:01:35.040 --> 00:01:38.480]   To the twisted world of journalism.
[00:01:38.480 --> 00:01:40.240]   Hello Jeff.
[00:01:40.240 --> 00:01:41.240]   Happy holidays.
[00:01:41.240 --> 00:01:42.240]   Same back.
[00:01:42.240 --> 00:01:44.440]   You have a pleasure at work.
[00:01:44.440 --> 00:01:45.440]   I am still.
[00:01:45.440 --> 00:01:46.440]   I have meetings all day today.
[00:01:46.440 --> 00:01:47.920]   The kids are almost a jam, everything.
[00:01:47.920 --> 00:01:51.960]   Oh my God, if we don't do it by the end of the year, it'll be next year.
[00:01:51.960 --> 00:01:52.960]   Next week.
[00:01:52.960 --> 00:01:53.960]   But the kids have gone.
[00:01:53.960 --> 00:01:54.960]   They're gone.
[00:01:54.960 --> 00:01:55.960]   Yeah.
[00:01:55.960 --> 00:01:56.960]   You had a graduation.
[00:01:56.960 --> 00:01:57.960]   I wore my...
[00:01:57.960 --> 00:01:58.960]   Your gown?
[00:01:58.960 --> 00:01:59.960]   Love tea.
[00:01:59.960 --> 00:02:00.960]   Yeah.
