;FFMETADATA1
title=Just Lean Forward
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=232
genre=Podcast
comment=http://www.twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2014
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:06.240]   It's time for Twig this week at Google. We will watch live Gina Trappani launch her new enterprise
[00:00:06.240 --> 00:00:15.500]   Think up. We'll talk with Matthew Ingram about the FCC's net neutrality decision and find out all about Jeff Jarvis's bathroom habits
[00:00:15.500 --> 00:00:17.500]   It's coming up next on Twig
[00:00:17.500 --> 00:00:24.380]   Netcast you love from people you trust
[00:00:28.160 --> 00:00:30.160]   This is Twig
[00:00:30.160 --> 00:00:37.900]   Bandwidth for this week in Google is provided by cash fly C A C H E F L Y dot com
[00:00:37.900 --> 00:00:50.280]   This is Twig this week at Google episode 232 recorded January 15th 2014 just lean forward
[00:00:50.280 --> 00:00:52.840]   This week in Google is brought to you by
[00:00:53.240 --> 00:01:01.340]   99 designs the world's largest graphic design marketplace 99 designs connects businesses seeking quality affordable designs with a
[00:01:01.340 --> 00:01:10.640]   Community of more than 225,000 graphic designers visit 99 designs dot com slash twig to receive a free power pack upgrade valued at
[00:01:10.640 --> 00:01:12.960]   $99 and buy
[00:01:12.960 --> 00:01:19.480]   Square space the all-in-one platform that makes it fast and easy to create your own professional website or online portfolio
[00:01:19.880 --> 00:01:27.080]   For a free two-week trial and 10% off go to squarespace.com and use the offer code twig one
[00:01:27.080 --> 00:01:29.600]   It's time for twig this week in
[00:01:29.600 --> 00:01:33.280]   Google to show the covers Google and really anything else we darn well, please
[00:01:33.280 --> 00:01:36.400]   Including the cloud Facebook Twitter and more
[00:01:36.400 --> 00:01:43.840]   Gina Trappani is here despite this being a red letter day for her a big day in a day that she may at any moment be called upon
[00:01:43.840 --> 00:01:45.840]   to serve
[00:01:45.840 --> 00:01:47.840]   And I mean serve like server
[00:01:49.200 --> 00:01:54.760]   Think up is up actually is now down because everybody's just gone because everyone just found out about it
[00:01:54.760 --> 00:01:58.800]   Yeah, because I've announced it here on the show. Yeah, thank you. I'm very very excited
[00:01:58.800 --> 00:02:03.440]   It's been a long particularly this past week has been very long days. So I'm very excited
[00:02:03.440 --> 00:02:10.840]   Congratulations. Thank you. That's exciting. That's Jeff Jarvis. He's a professor of journalism city University of Newark also a regular
[00:02:10.840 --> 00:02:13.040]   Not in Davos yet
[00:02:13.040 --> 00:02:18.040]   No, no next week. All right, and Jeff Jarvis dot think up dot com. Yeah
[00:02:18.680 --> 00:02:23.880]   Or plus Jeff Starves or budge machine calm. That's right. We can now start using our think up URLs
[00:02:23.880 --> 00:02:30.720]   Yes, also here from gig. Oh Matthew Ingram and by the way Matthew. I owe you a great debt of gratitude
[00:02:30.720 --> 00:02:32.920]   You sure do you did a
[00:02:32.920 --> 00:02:41.000]   Fabulous roll-up page of everything there you need to know about the FCC decision yesterday. Oh, thanks priceless
