;FFMETADATA1
title=93 Million Selfies
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=255
genre=Podcast
comment=http://www.twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2014
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:06.120]   It's time for Twig is Weekend Google and we are just back from the Google I/O keynote.
[00:00:06.120 --> 00:00:10.140]   Jeff and Gina are here. They were in the room. They've brought me back.
[00:00:10.140 --> 00:00:16.880]   Something really exciting. What could it possibly be? Fresh from Google I/O next.
[00:00:16.880 --> 00:00:22.160]   Netcast you love.
[00:00:22.160 --> 00:00:24.160]   From people you trust.
[00:00:24.160 --> 00:00:29.520]   This is Twig.
[00:00:29.520 --> 00:00:36.960]   bandwidth for this week in Google is provided by cash fly C A C H E F L Y .com
[00:00:36.960 --> 00:00:49.600]   This is Twig this week in Google episode 255 recorded June 25th 2014 93 million selfies
[00:00:49.600 --> 00:00:57.840]   This week in Google is brought to you by smart things the easiest and most affordable way to create a smart home
[00:00:58.200 --> 00:01:05.920]   Protect and control your home from anywhere with no contracts or monthly fees for 10% off any home security kit visit smartthings.com
[00:01:05.920 --> 00:01:09.720]   slash twit and use the code twit 10 at checkout and
[00:01:09.720 --> 00:01:18.920]   By hover.com hovers the best way to buy and manage domain names. It's simple honest and easy to use for 10% off your first purchase
[00:01:18.920 --> 00:01:22.720]   Go to hover.com and enter the promo code twig six
[00:01:23.360 --> 00:01:28.120]   It's time for Twig this week in Google and this is the week for Google
[00:01:28.120 --> 00:01:34.960]   The Google I/O conference started this morning and lo and behold look who's here?
[00:01:34.960 --> 00:01:41.240]   Jeff Jarvis and Gina Trapani came up over the bridge over the river and through the woods and
[00:01:41.240 --> 00:01:46.640]   Over the bridge and over the bridge. We didn't even talk about the bridge going over it. I was flying somebody else drove and it was foggy
[00:01:46.640 --> 00:01:51.280]   Oh, did you have a we were chatting or you had wall? No, we had wall. That's great. Love wall
[00:01:51.280 --> 00:01:54.280]   Yeah, right. Well, we'll keep you occupied. Yeah, so
[00:01:54.280 --> 00:01:59.280]   Welcome first of all. Thank you. Nice to have you in studio. So great to be here
[00:01:59.280 --> 00:02:03.800]   We covered it this morning Kevin Marks and covered it and covered it and covered it
[00:02:03.800 --> 00:02:10.240]   I started at nine and it went to an almost two and a half hours a very long a keynote
[00:02:10.240 --> 00:02:15.400]   Speech and so long and I think a lot of the interesting things were buried in a lot of needless detail
[00:02:15.400 --> 00:02:18.200]   But there is some good news for those who went to Google I/O
[00:02:19.680 --> 00:02:27.140]   Hardboard this is the gift wait a minute. We should say you did get a certificate good for either an LG G watch or a Samsung
[00:02:27.140 --> 00:02:34.600]   Gear live. Yes. Yep, and you're gonna get a Moto 360 whenever that comes out right later this year. Yeah, but you're currently
[00:02:34.600 --> 00:02:40.520]   Nothing you got yeah, we that's the only thing we watch watch because I could just take this
[00:02:40.520 --> 00:02:46.920]   I'm gonna put it together. It's a little kit if you're really ingenious and smart enough you just take it and there it is
[00:02:46.920 --> 00:02:49.080]   it turns into
[00:02:50.080 --> 00:02:52.840]   Turns into wait a minute. What the hell is that? Okay?
[00:02:52.840 --> 00:02:54.840]   How you put a phone in there?
[00:02:54.840 --> 00:03:00.760]   Well it worked with any smartphone yeah any smartphone has to run Android did you have to install an Android app?
[00:03:00.760 --> 00:03:05.840]   No, there's a Chrome experiment, which is actually not currently loaded up, but how does it oh so you have to load it on the phone?
[00:03:05.840 --> 00:03:09.920]   Yeah, you have to load the chrome. Yeah, you know the chrome on the phone. So what's happens is this is a stereo
[00:03:09.920 --> 00:03:13.880]   You remember this this is like the view master and you press the thing yeah
[00:03:13.880 --> 00:03:19.800]   Instead of a view master you've loaded it with a phone and then watch I'm gonna put it to my eyes and then oh look
[00:03:19.800 --> 00:03:22.520]   I see the stars the stars the beautiful wait a minute
