;FFMETADATA1
title=Uber for Metaphors
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=291
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.500]   It's time for Twig this week in Google Gina Terpattie's back her monthly visit
[00:00:04.500 --> 00:00:11.560]   We're gonna boy there's breaking news like crazy a brand new Chromebook pixel just came out Google just got in the insurance business
[00:00:11.560 --> 00:00:17.700]   We're still waiting for the Google cell phone business. It's all coming up next on Twig
[00:00:17.700 --> 00:00:24.520]   Netcasts you love from people you trust
[00:00:28.320 --> 00:00:34.560]   This is Twig bandwidth for this week in Google is provided by cash fly
[00:00:34.560 --> 00:00:38.000]   CAC HE FLY.com
[00:00:38.000 --> 00:00:46.320]   This is Twig this week in Google episode
[00:00:46.320 --> 00:00:50.320]   291 recorded March 11th 2015
[00:00:50.320 --> 00:00:52.840]   uber for metaphors
[00:00:52.840 --> 00:01:01.720]   This week in Google is brought to you by Casper an online retailer of premium mattresses for a fraction of the price because everyone deserves a great night's sleep
[00:01:01.720 --> 00:01:08.760]   Get $50 off any mattress purchased by visiting casper.com/twig and after the promo code twig
[00:01:08.760 --> 00:01:11.400]   And by hip chat
[00:01:11.400 --> 00:01:19.620]   Collaborate save time be more productive with your teams hip chat as I am video chat plus file code and screen sharing all in one place
[00:01:19.880 --> 00:01:25.480]   invite your team members and get a free 30-day trial of the full version of hip chat at hip chat.com
[00:01:25.480 --> 00:01:28.160]   slash twig and by
[00:01:28.160 --> 00:01:30.720]   Shutterstock.com with over
[00:01:30.720 --> 00:01:33.160]   49 million high quality stock photos
[00:01:33.160 --> 00:01:41.780]   Illustrations vectors and video clips shutter stock helps you take your creative projects to the next level for 20% off image
[00:01:41.780 --> 00:01:48.880]   Subscription packages on your new account go to shutter stock.com and use the offer code twig 315
[00:01:49.440 --> 00:01:54.960]   Time for twig this week in Google the show where we talk about Google the cloud Facebook Twitter
[00:01:54.960 --> 00:01:58.240]   media news
[00:01:58.240 --> 00:02:05.120]   Anchors whatever we want to talk about Jeff Jarvis is here from his waterlogged office at the city in her city in New York
[00:02:05.120 --> 00:02:13.560]   Good to see you little tiny spot here. This is big enough for one chair sitting up against her filing cabinet with my microphone here
[00:02:13.560 --> 00:02:16.600]   Trying to act like this is normal
[00:02:17.680 --> 00:02:21.120]   TV you can do it from any crappy corner doesn't really matter where I am
[00:02:21.120 --> 00:02:28.240]   You see behind me this where they store the sodas for parties in your office now out in the hall
[00:02:28.240 --> 00:02:30.240]   they had to move all of the
[00:02:30.240 --> 00:02:31.840]   cabinets
[00:02:31.840 --> 00:02:35.840]   Away from the opposite walls to cut they cut like a foot and a half in the bottom of
[00:02:35.840 --> 00:02:42.760]   Numbers and numbers of walls around here then go up and dry it out. God knows what they've got there was a snow emergency
[00:02:42.760 --> 00:02:45.480]   it snowed
[00:02:45.480 --> 00:02:48.200]   It froze it froze in the hell hell froze
[00:02:48.200 --> 00:02:53.000]   You had it was frozen pipes is that a minute? Who's that wait a minute? What wait a minute?
[00:02:53.000 --> 00:02:55.920]   What I'll close wait a minute what am I am I dreaming?
[00:02:55.920 --> 00:02:59.520]   Hey, Javu am I dreaming? Did I lose my mind? It's Gina Trappani
[00:02:59.520 --> 00:03:03.560]   Asia Gina am I back in 2014? I know
[00:03:03.560 --> 00:03:07.760]   Love you we miss you how's everything going to think up?
[00:03:07.760 --> 00:03:13.440]   Things are good. Thanks. Thank you. Yeah, yeah, we actually just launched a new insight last week
[00:03:13.440 --> 00:03:17.040]   It's I think it lets you know now when you're when your friends have changed their avatar
[00:03:17.040 --> 00:03:23.200]   So you get to you could admire high res beautiful pictures of your friends when they change up their avatar
[00:03:23.200 --> 00:03:26.120]   So that's been really fun. I asked you this before
[00:03:26.120 --> 00:03:30.160]   Is this Ruby on what is it? What is the
[00:03:30.160 --> 00:03:36.440]   This is a good question. Yeah, well, you know think up startup start off as an open source project
[00:03:36.440 --> 00:03:40.240]   So one of our requirements was like hey, somebody should be able to run this on the simplest cheapest
[00:03:40.920 --> 00:03:45.800]   You know, I'm seeing package. So it's it's PHP. So it's a lamp stack. It's a land
[00:03:45.800 --> 00:03:50.920]   It's a it's it's old school lamp stack. They ain't nothing new or fancy going on here much to my
[00:03:50.920 --> 00:03:55.920]   Shagrin, but it's old technology that works. So, you know, it feels very
[00:03:55.920 --> 00:04:03.760]   modern, I guess that's the design, right? It's the design right right yeah, but the back end is just is straight PHP
[00:04:03.760 --> 00:04:07.960]   Which you know, you know what it's easy to do. It's easy to maintain
[00:04:08.600 --> 00:04:12.880]   I'm all I'm all about the node JS and I know you're like fancy
[00:04:12.880 --> 00:04:20.520]   No, that's that's the right way to do it if I was building where you were building. Yeah, you choose your technology on what you're building
[00:04:20.520 --> 00:04:26.800]   That that is the right choice. I'm very proud to say though that the great team that's doing this at Fort kitchen
[00:04:26.800 --> 00:04:30.960]   So it's already contributed some of the code back to the Drupal core. So we're not
[00:04:30.960 --> 00:04:37.300]   Maybe this core, but yeah, so because we're using an open source CMS Drupal
[00:04:37.920 --> 00:04:44.040]   As the back end for the API to serve the API actually everything we're all the stuff we're using is still open source nodes open source, right?
[00:04:44.040 --> 00:04:46.320]   So
[00:04:46.320 --> 00:04:50.800]   But yeah, they did something cool. I guess I don't understand it, but they said hey, yeah, we contributed it back
[00:04:50.800 --> 00:04:55.520]   So that's nice. That's awesome. It's a good feeling. It's a great feeling
[00:04:55.520 --> 00:05:00.180]   Yeah, it's an open source software to be able to contribute back to it is great anyway, Gina said when Gina
[00:05:00.180 --> 00:05:03.200]   I don't feel so bad. Yeah, there you go, right?
[00:05:03.640 --> 00:05:07.360]   When Gina left us she said very kindly she'd come back once a month
[00:05:07.360 --> 00:05:12.560]   I mean she's got to focus on her startup and we understand that but it's really nice to have you you were at all about Android last night
[00:05:12.560 --> 00:05:17.000]   Yeah, that was a lot of fun. It's great to be here. You couldn't be completely rid of me. Yeah
[00:05:17.000 --> 00:05:24.400]   No, that's why I'm right by the way chat room said did Jason think I was talking about him when I said but that's why I always say Jason
[00:05:24.400 --> 00:05:26.400]   Yeah, yeah, it always throws me off
[00:05:26.400 --> 00:05:32.840]   Just just to make sure that you understand the distinction. I like to think that I'm that important to the website using Jason
[00:05:33.000 --> 00:05:40.560]   Yeah, I've never been busier than I am right now
[00:05:40.560 --> 00:05:43.120]   There is a lot of Google news this week
[00:05:43.120 --> 00:05:47.160]   But I think we're gonna start with the one that Jeff Jarvis is so most excited about which is
[00:05:47.160 --> 00:05:52.160]   This happened minutes before the show began the new pixels here. Oh, I should say by the way if you're I
[00:05:52.160 --> 00:05:55.520]   Got to explain this. There's and this only matters if you're watching live
[00:05:55.520 --> 00:06:00.800]   We flip flop windows weekly and twig this today because of travel schedules Jeff. You're going to murder Madrid
[00:06:01.480 --> 00:06:03.480]   right tonight, yeah and
[00:06:03.480 --> 00:06:09.440]   And then Paul was just coming back from Colorado. So it worked out great. Everybody was happy
[00:06:09.440 --> 00:06:11.600]   But if you're tuning
[00:06:11.600 --> 00:06:14.920]   That'll be after this week in Google this week only
[00:06:14.920 --> 00:06:17.640]   Yes, anyway new pixel is here
[00:06:17.640 --> 00:06:24.200]   Apparently it's been seeded to people because tech crunch has a review the verge has a review Wall Street Journal has a review
[00:06:24.200 --> 00:06:29.240]   It's up on the rundown - they like it. I would have given one to Jeff Jarvis Google. I really well, yeah
[00:06:30.680 --> 00:06:37.280]   Just let me let me review it for God. Yeah, I'm the old I'm your only friend and pick and crime and pixel land
[00:06:37.280 --> 00:06:43.760]   Is it an actually mock that this comes out like like a couple of months before Google I owe
[00:06:43.760 --> 00:06:47.600]   I mean are they gonna get they're gonna give everyone do that again. Well, I don't know what
[00:06:47.600 --> 00:06:53.360]   They don't seem to repeat themselves on the things they give out they seem to be very different every year
[00:06:53.360 --> 00:06:55.680]   So you've had a cardboard wondering. Yeah, right
