;FFMETADATA1
title=Weiner, Weiner, Pizza Dinner
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=304
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.800]   It's time for Twig this week in Google Jeff Jarvis is here Mike Elgin
[00:00:04.800 --> 00:00:10.840]   We'll talk about the latest news from Google the latest news from Apple the latest news on the media front ads
[00:00:10.840 --> 00:00:14.680]   I got a lot to talk about you're gonna hear it next on Twig
[00:00:14.680 --> 00:00:21.400]   Netcasts you love from people you trust
[00:00:25.160 --> 00:00:33.000]   This is Twig bandwidth for this week in Google is provided by cash fly C A C H E
[00:00:33.000 --> 00:00:35.320]   F L Y dot com
[00:00:35.320 --> 00:00:44.160]   This is Twig this week in Google episode 304 recorded Wednesday June 10th
[00:00:44.160 --> 00:00:47.600]   2015 we near weener pizza dinner
[00:00:47.600 --> 00:00:55.120]   This week in Google has brought to you by zip recruiter are you hiring with zip recruiter comm you can post a 100 plus
[00:00:55.120 --> 00:01:01.040]   Job sites including social networks all with a single click screen rate and higher the right candidates fast
[00:01:01.040 --> 00:01:06.060]   Try zip recruiter with a free four-day trial now at zip recruiter comm slash twig and
[00:01:06.060 --> 00:01:12.060]   By green tree if you're working on a mobile app and searching for a simple payment solution
[00:01:12.060 --> 00:01:14.720]   Check out brain tree with one simple integration
[00:01:14.720 --> 00:01:16.800]   You can offer your customers every way to pay
[00:01:16.800 --> 00:01:24.080]   Period to learn more and for your first fifty thousand dollars in transactions fee free go to brain tree payments
[00:01:24.080 --> 00:01:25.920]   Dot com slash twig
[00:01:25.920 --> 00:01:32.680]   It's time for twig this week in Google to show where we cover the latest news from the Google verse and Facebook and so forth and
[00:01:32.680 --> 00:01:35.440]   Twitter and whatever the hell we want to talk about basically
[00:01:35.440 --> 00:01:41.000]   I don't have to justify it. It's my show and it's Jeff Jarvis's show and if Jeff says it goes it goes
[00:01:41.000 --> 00:01:45.960]   Jeff Jell-oh professor journalism City University of New York Hello Jeff
[00:01:45.960 --> 00:01:48.400]   How are you today?
