;FFMETADATA1
title=Name Your Child Fester
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=500
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2019
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.240]   It's time for twig this week in Google. We've got a great show for your Stacey Higginbotham is here
[00:00:05.240 --> 00:00:09.840]   Mike Elgin visiting from Mexico City and of course that prompted a deep discussion
[00:00:09.840 --> 00:00:16.600]   About the merits of mole then we'll talk about Google's new Stadia gaming streaming gaming system
[00:00:16.600 --> 00:00:22.840]   And why it might not be all it's cracked up to be and then Devin Nunes his mother and his cow
[00:00:22.840 --> 00:00:24.880]   It's all coming up next on twig
[00:00:27.880 --> 00:00:31.200]   Netcasts you love from people you trust
[00:00:31.200 --> 00:00:36.640]   This is twig
[00:00:36.640 --> 00:00:48.720]   This is twig this week at Google episode 500 recorded Wednesday March 20th
[00:00:48.720 --> 00:00:55.720]   2019 name your child fester this week in Google is brought to you by express VPN
[00:00:56.400 --> 00:01:02.720]   Protect your online privacy with one click. Yeah, it's that easy for an extra three months free with a one-year package
[00:01:02.720 --> 00:01:08.320]   Go to express VPN calm slash twig and by thousand eyes
[00:01:08.320 --> 00:01:11.760]   Companies that run in the cloud rely on thousand eyes
[00:01:11.760 --> 00:01:14.360]   It's the place they go first to see
[00:01:14.360 --> 00:01:22.800]   Understand and improve the digital experience of their cloud based applications and services do the cloud right and improve services for your
[00:01:22.840 --> 00:01:29.960]   Customers and employees today visit thousand eyes calm slash twit. It's time for twig this week in Google
[00:01:29.960 --> 00:01:32.400]   And finally there's a lot of Google stuff to talk about
[00:01:32.400 --> 00:01:39.840]   Jeff Jarvis is lost somewhere in the snow drifts of Denver, Colorado, but Mike Elgin's here filling in from him
[00:01:39.840 --> 00:01:41.840]   It's great to have Mike always
[00:01:41.840 --> 00:01:46.840]   long time friend of twit and I don't I probably don't even need to introduce him
[00:01:46.840 --> 00:01:48.600]   But remember Elgin calm
[00:01:48.600 --> 00:01:52.680]   Gastronomad.net where they do these great trips around the world and Mike is a
[00:01:52.680 --> 00:01:57.320]   Gastronomad himself the pair of pathetic Mike Elgin you're at home though right now
[00:01:57.320 --> 00:02:05.320]   I'm in Mexico City right now. Oh this is Mexico City. Yes. We arrived last night. So nice here in Taco Taco Town
[00:02:05.320 --> 00:02:07.560]   Now I don't think they appreciate being
[00:02:07.560 --> 00:02:13.320]   Yeah, I was gonna say I'm pretty sure they don't go for Taco Town. Well, they have tacos
[00:02:13.840 --> 00:02:19.240]   They do they I personally think tacos is the greatest food in the world
[00:02:19.240 --> 00:02:21.920]   I love I think Mexico City as the greatest tacos in the world
[00:02:21.920 --> 00:02:29.560]   So it's my highest complement for a city to call it taco. No, no burritos because that's a thick American. Yeah
[00:02:29.560 --> 00:02:32.880]   There's a lot of awesome tacos. Yeah
[00:02:32.880 --> 00:02:36.680]   What what are they what's different about them is at the breakfast?
[00:02:36.680 --> 00:02:42.840]   We have all kinds of tacos. We have tacos for Mexico City. We have tacos from interior of Mexico
[00:02:42.840 --> 00:02:49.360]   We stick everything in a taco. What I'm thinking plantains or southern Mexico that kind of thing
[00:02:49.360 --> 00:02:56.200]   What's that what's a typical Mexico City taco? By the way, that's Stacy Higginbotham of Stacy on IOT and
[00:02:56.200 --> 00:03:03.440]   Stacy on IOT podcast with Kevin Tofol. Sorry. I want to introduce you before we get it. Meet in onions and cilantro. Yes. Oh, yum
[00:03:03.440 --> 00:03:06.040]   That's all you need
[00:03:06.840 --> 00:03:15.440]   Well to to answer your question the the great thing about Mexico City is that all of the different regions are represented here and
[00:03:15.440 --> 00:03:20.120]   In addition to modern regions of Mexico. You also have a lot of ancient
[00:03:20.120 --> 00:03:26.120]   Aztec and Olmec foods that are just completely amazing most of the
[00:03:26.120 --> 00:03:29.640]   The every country has a food region or two
[00:03:29.640 --> 00:03:33.560]   They like to brag about and here it and here in Mexico. It's southern
[00:03:34.200 --> 00:03:39.800]   Mexico it's where all the great stuff is is coming from but I agree but they there's just so much
[00:03:39.800 --> 00:03:45.840]   Incredible variety and layered on top of all of that regional variety. Well, it has to be said that
[00:03:45.840 --> 00:03:49.560]   Texas and California Mexican food are considered
[00:03:49.560 --> 00:03:51.240]   legitimate
[00:03:51.240 --> 00:03:58.200]   Variants of Mexican food here in Mexico City as well. So layered on top of all of that you have this revival in the food business with
[00:03:58.200 --> 00:04:03.240]   You know hipsters creating like experimenting with a lot of different things one of our favorite taco places
[00:04:03.240 --> 00:04:10.720]   They put goat cheese and avocado and things like that. It's just it's just really fantastic and it's just a great foodie city all around
[00:04:10.720 --> 00:04:17.280]   Wait, are you eating any moly because in Mexico City? I would be doing like the moly sampler all day long
[00:04:17.280 --> 00:04:20.160]   Stacy I'm bathing in it and
[00:04:20.160 --> 00:04:24.560]   That's an Aztec invention chocolates and Aztec invention
[00:04:24.560 --> 00:04:30.560]   It's it's it's actually a little more recent than that that the Aztecs used a lot of chocolate
[00:04:31.120 --> 00:04:35.200]   But the but they didn't use it in a sweet variety or in a sauce like that
[00:04:35.200 --> 00:04:38.880]   But it was kind of like up it came in the last few centuries
[00:04:38.880 --> 00:04:44.480]   But there's so much innovation in in moly. It's just mind-blowing and yes, we eat tons of it
[00:04:44.480 --> 00:04:53.800]   My understanding is moly is not just a particular sauce, but it's a mix of ingredients. It's kind of like gravy
[00:04:53.800 --> 00:04:56.080]   How we wait?
[00:04:56.080 --> 00:05:01.320]   Is that yeah, we we go and we do on the guest room and Mexico City experience. We did this
[00:05:01.320 --> 00:05:05.880]   Essentially, it's a chili class where we're learning about chili
[00:05:05.880 --> 00:05:13.360]   But we also do this go into moly in multiple ways and one of the molys that we try it actually has a hundred and thirty
[00:05:13.360 --> 00:05:20.120]   Something ingredients one of what one of which is cookies. There's this style of cookies that they actually grind up but put in the mole
[00:05:20.120 --> 00:05:26.120]   So that's like that cookies multiple ingredients itself, but but that's made by this woman
[00:05:26.120 --> 00:05:32.800]   Who's like she's she's an older woman who lives in a village where they grow this very rare kind of chili and she
[00:05:32.800 --> 00:05:36.320]   Once in a while comes to Mexico City and teaches chefs
[00:05:36.320 --> 00:05:42.360]   Three-day class on how to make her moly the entire three days is just about her mole
[00:05:42.360 --> 00:05:47.560]   And we get to eat it and it's just it's really really really incredible
[00:05:47.560 --> 00:05:52.760]   We also go to Puyol, which is probably Latin America's best restaurant and they have their
[00:05:52.760 --> 00:05:55.960]   What do they call it there? They have a five-year-old mole
[00:05:55.960 --> 00:05:59.880]   Which I know about this
[00:05:59.880 --> 00:06:07.080]   Yeah, well, they serve they serve you a plate and they put the five-year mole in a circle on the plate
[00:06:07.080 --> 00:06:12.520]   And then they put a new mole in in on top of it. I could be there
[00:06:14.160 --> 00:06:18.960]   Come on Stacy seriously. We had somebody who postponed the Mexico City experience
[00:06:18.960 --> 00:06:23.160]   And they're gonna come later. We have a room for you. Come on. Come on down. When is the Mexico City event?
[00:06:23.160 --> 00:06:32.360]   I know
[00:06:32.360 --> 00:06:39.160]   Wow, yeah, five years or twenty way. Wow. Yeah, oh I could come down for the 26
[00:06:40.400 --> 00:06:44.320]   Come on. Then I have to then I have to fly out Tuesday morning to Helsinki
[00:06:44.320 --> 00:06:51.280]   Bucker sounds like a trip. Sounds like it. You should do it. That's a daughter and bring everybody's Spain
[00:06:51.280 --> 00:06:54.920]   So Spain yeah, she's in Spain. Oh
[00:06:54.920 --> 00:07:01.960]   Everyone's cool places except me. No, you're in Austin. That's a cool place. I'm always in Austin
[00:07:01.960 --> 00:07:08.160]   So let's change the subject for something Stacy's intensely interested in oh
[00:07:09.120 --> 00:07:11.120]   Something she couldn't care less about
[00:07:11.120 --> 00:07:13.440]   queso gaming
[00:07:13.440 --> 00:07:19.040]   Stadium why am I on this show all I do is talk about food
[00:07:19.040 --> 00:07:23.880]   You know, I don't mind is turning into a food show. I totally am behind that
[00:07:23.880 --> 00:07:27.920]   queso and chips with Stacy. Yeah, sorry
[00:07:27.920 --> 00:07:31.120]   That's the title of this episode as a matter of
[00:07:31.120 --> 00:07:35.200]   So you better get some queso talk in there pretty darn quick
[00:07:36.080 --> 00:07:38.480]   Stadia which we taught we covered the event
[00:07:38.480 --> 00:07:47.600]   Yesterday at the Google Google spoke at the gamers developers conference GDC game developers conference and announced their streaming
[00:07:47.600 --> 00:07:56.480]   Gaming service. Well announced is a big word for what they did because they didn't they left out a few critical elements like
[00:07:56.480 --> 00:08:02.000]   Time it will be released sometime this year cost we don't know
[00:08:03.360 --> 00:08:08.640]   Nor do we know what games will be on it except it looks like there might be a version of doom
[00:08:08.640 --> 00:08:16.960]   Um, however, it's an int there were a lot of interesting technical features and I think yeah for GDC. That's probably
[00:08:16.960 --> 00:08:22.560]   Uh, you know why they were talking about it there. They want to get developers on board
