;FFMETADATA1
title=Nothing About Me Without Me
artist=Leo Laporte, Jeff Jarvis, Ant Pruitt, Cory Doctorow
album_artist=TWiT
publisher=TWiT
album=This Week in Google
TRDA=2021-10-14
track=633
language=English
genre=Podcast
comment=Federated Twitter, Section 230 reform, Instagram moral panic
encoded_by=Uniblab 5.3
date=2021
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.300]   It's time for Twig this week in Google Stacey's got the week off good news
[00:00:04.300 --> 00:00:09.480]   Oh Corey doctor. Oh is agreed to fill in Jeff Jarvis is also here and Pruitt
[00:00:09.480 --> 00:00:16.060]   We will talk about Facebook Corey solutions. There are fascinating Twitter has a new plan
[00:00:16.060 --> 00:00:24.200]   It looks like it's a pretty good one for kind of a federated Twitter and the words you can't say on
[00:00:24.200 --> 00:00:29.160]   UK TV. It's a pretty long list. It's all coming up next on Twig
[00:00:29.160 --> 00:00:35.280]   Podcasts you love from people you trust
[00:00:35.280 --> 00:00:38.100]   This is twig
[00:00:38.100 --> 00:00:49.080]   This is twig this week in Google episode 633 recorded Wednesday October 13th
[00:00:49.080 --> 00:00:52.840]   2021 nothing about me without me
[00:00:52.840 --> 00:00:56.920]   This episode of this week in Google is brought to you by Akama
[00:00:57.440 --> 00:01:02.800]   Akama powers and protects life online and is changing how we live work and play
[00:01:02.800 --> 00:01:08.340]   See how Akama is unleashing the Internet of possibilities for the biggest brands in the world visit
[00:01:08.340 --> 00:01:13.280]   Akama dot com slash twig today to learn more and by
[00:01:13.280 --> 00:01:17.120]   Melissa the US Postal Service process is more than
[00:01:17.120 --> 00:01:21.520]   98,000 address changes daily is your customer contact up-to-date
[00:01:22.360 --> 00:01:28.600]   Crime Alyssa's APIs in the developer portal. It's easy to log on sign up and start playing in the API sandbox
[00:01:28.600 --> 00:01:36.360]   24/7 get started today with 1000 records clean for free at Melissa dot com slash twit
[00:01:36.360 --> 00:01:38.560]   and by
[00:01:38.560 --> 00:01:40.560]   Noreva Noreva is
[00:01:40.560 --> 00:01:47.960]   Revolutionizing audio for meeting and learning spaces by making it possible to get full room microphone coverage in medium to large spaces
[00:01:48.600 --> 00:01:56.840]   Without the cost and complexity of multi component pro AV solutions, and that's a revolution learn more at noreva.com
[00:01:56.840 --> 00:01:59.600]   slash twit
[00:01:59.600 --> 00:02:09.920]   It's time for twig this week at Google the show we cover the latest world of Google and Facebook and Twitter and media in general and joining us as
[00:02:09.920 --> 00:02:16.040]   Always the townite professor wait a minute. Let me get the get me get the song. Oh no
[00:02:16.040 --> 00:02:18.040]   I gotta get I gotta get
[00:02:18.040 --> 00:02:24.680]   CHAP it's page 16 in the hymnal the Leonard Taal professor for journalistic innovation at
[00:02:24.680 --> 00:02:27.920]   the Craig
