;FFMETADATA1
encoder=Lavf58.76.100
;FFMETADATA1
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:19.760]   [Music]
[00:00:19.760 --> 00:00:26.000]   Here we go. This is Twit, this week in Tech, episode 13 for Sunday, July 10th, 2005.
[00:00:26.000 --> 00:00:31.000]   Hello ladies and gentlemen, I'm Patrick Norton, Leo the Port is flying back from Europe,
[00:00:31.000 --> 00:00:38.000]   joining me on the show today. We've got Kevin Rose, David Prager, and Roger Chang.
[00:00:38.000 --> 00:00:45.000]   Hello. Gentlemen, Kevin, I'm going to let you start because you're in the process of dealing with a little upgraded dig
[00:00:45.000 --> 00:00:47.000]   and I think you're going to have to bow out pretty fast.
[00:00:47.000 --> 00:00:50.000]   Yes, yes, I have to take off in just a few minutes.
[00:00:50.000 --> 00:00:57.000]   Yes, well basically we're getting ready to turn Dig 2.0 live, which is the little side I work on the side.
[00:00:57.000 --> 00:01:04.000]   I'm having some problems. It's actually quite a process to move from one server to multiple machines now.
[00:01:04.000 --> 00:01:10.000]   Not only that, but adding a ton of features and a new design.
[00:01:10.000 --> 00:01:15.000]   There's issues and there's tons of people trying to access the site right now.
[00:01:15.000 --> 00:01:19.000]   It's just one of those things you kind of have to handle.
[00:01:19.000 --> 00:01:24.000]   I'm going to try and fix these bugs and hopefully we won't have too much downtime.
[00:01:24.000 --> 00:01:29.000]   I would imagine if it's down by the time this podcast gets heard, that's doing pretty bad.
[00:01:29.000 --> 00:01:34.000]   Well, it depends. The DNS has to propagate because we're moving to a whole other bank of servers.
[00:01:34.000 --> 00:01:38.000]   The downtime could be anywhere from a couple hours to maybe a year or two,
[00:01:38.000 --> 00:01:42.000]   depending on how quickly their DNS updates go.
[00:01:42.000 --> 00:01:45.000]   What else have you been up to this weekend, Kevin?
[00:01:45.000 --> 00:01:50.000]   House hunting. Actually, what does this cause? It's Marin Dam?
[00:01:50.000 --> 00:01:57.000]   It's Marin County. I was in San Francisco all week in long, enjoying the good food and looking for a house.
[00:01:57.000 --> 00:02:00.000]   I think we found a four bedroom house.
[00:02:00.000 --> 00:02:04.000]   Myself, Ron, Dan, and Keith are...
[00:02:04.000 --> 00:02:06.000]   Party house.
[00:02:06.000 --> 00:02:07.000]   Party house.
[00:02:07.000 --> 00:02:12.000]   Yeah, well, no. Well, there will be some partying, but...
[00:02:12.000 --> 00:02:15.000]   Are you going to be producing, I guess, system up here and what else is going on, Kevin?
[00:02:15.000 --> 00:02:21.000]   Yeah, basically, once we nail down our living arrangement, we're going to start looking for a studio.
[00:02:21.000 --> 00:02:29.000]   And just open up a small little studio, you know, nothing too fancy and start producing shows of the broken in system
[00:02:29.000 --> 00:02:32.000]   and maybe a couple other little tiny things.
[00:02:32.000 --> 00:02:37.000]   And that'll be about it. That's when we are full-time gig and that and I'll be working on Diggs
[00:02:37.000 --> 00:02:41.000]   and doing other podcast type stuff. So, keeps us busy.
[00:02:41.000 --> 00:02:45.000]   No, I think there's a picture of the front door of the studio on Kevin's mobile app right now.
[00:02:45.000 --> 00:02:49.000]   Oh, yeah, I won't buy the old tech TV. No, there is. I won't buy the old tech TV studios.
[00:02:49.000 --> 00:02:52.000]   No, no, I'm just making a joke. It's not the new studio.
