;FFMETADATA1
title=TWiT 48: Apple's 30th Anniversary
comment=http://twit.tv/48
album=TWiT April 2006
TYER=2006-04-02
genre=Podcast
artist=Leo Laporte
encoder=Lavf58.76.100
;FFMETADATA1
title=TWiT 48: Apple's 30th Anniversary
comment=http://twit.tv/48
album=TWiT April 2006
TYER=2006-04-02
genre=Podcast
artist=Leo Laporte
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:06.000]   This is Twit, this weekend tech, episode 48 for April 2nd, 2006.
[00:00:06.000 --> 00:00:08.000]   Apple's 30th anniversary.
[00:00:08.000 --> 00:00:33.000]   [Music]
[00:00:33.000 --> 00:00:37.000]   Hi, this is Leo LaPorte and I'd like to welcome you to a special edition of this weekend tech.
[00:00:37.000 --> 00:00:43.000]   And no news, a new crew, we're going to talk a little bit about the 30th anniversary of Apple computer
[00:00:43.000 --> 00:00:47.000]   and with it of course the 30th anniversary of the personal computer revolution.
[00:00:47.000 --> 00:00:52.000]   Don't worry, the regular cast of Twits will reassemble next week for our usual broadcast.
[00:00:52.000 --> 00:00:59.000]   We do want to thank our friends at AOL Radio for providing us with the bandwidth for this podcast at AOL.com/podcasting.
[00:00:59.000 --> 00:01:05.000]   And now, to commemorate the 30th anniversary of Apple computer, Steve Wozniak, Andy Hertzfeld, Randy Wiginton,
[00:01:05.000 --> 00:01:08.000]   Bill Fernandez and Dan Kocky.
[00:01:08.000 --> 00:01:10.000]   Hey Bill, how you doing?
[00:01:10.000 --> 00:01:13.000]   Excellent, good to hear you.
[00:01:13.000 --> 00:01:18.000]   I've got, as you can see, Daniel Kocky, Randy Wiginton and Andy Hertzfeld in here.
[00:01:18.000 --> 00:01:21.000]   Hi guys, hey Bill.
[00:01:21.000 --> 00:01:23.000]   So first of all, happy anniversary.
[00:01:23.000 --> 00:01:31.000]   Let me probably should introduce in order of Apple employee ID number and I think Bill, you'd probably get the pride of place until Woz gets here.
[00:01:31.000 --> 00:01:35.000]   I'm number four.
[00:01:35.000 --> 00:01:37.000]   I'm number four.
[00:01:37.000 --> 00:01:39.000]   I'm number four.
[00:01:39.000 --> 00:01:41.000]   I'm number four.
[00:01:41.000 --> 00:01:42.000]   I'm number four.
[00:01:42.000 --> 00:01:44.000]   I'm number four.
[00:01:44.000 --> 00:01:45.000]   I'm number four.
[00:01:45.000 --> 00:01:46.000]   I'm number four.
[00:01:46.000 --> 00:01:47.000]   I'm number four.
[00:01:47.000 --> 00:01:48.000]   I'm number four.
[00:01:48.000 --> 00:01:49.000]   I'm number four.
[00:01:49.000 --> 00:01:50.000]   I'm number four.
[00:01:50.000 --> 00:01:51.000]   I'm number four.
[00:01:51.000 --> 00:01:52.000]   I'm number four.
[00:01:52.000 --> 00:01:53.000]   I'm number four.
[00:01:53.000 --> 00:01:54.000]   I'm number four.
[00:01:54.000 --> 00:01:55.000]   I'm number four.
[00:01:55.000 --> 00:01:56.000]   I'm number four.
[00:01:56.000 --> 00:01:57.000]   I'm number four.
[00:01:57.000 --> 00:01:58.000]   I'm number four.
[00:01:58.000 --> 00:01:59.000]   I'm number four.
[00:01:59.000 --> 00:02:00.000]   I'm number four.
[00:02:00.000 --> 00:02:01.000]   I'm number four.
[00:02:01.000 --> 00:02:02.000]   I'm number four.
[00:02:02.000 --> 00:02:03.000]   I'm number four.
[00:02:03.000 --> 00:02:04.000]   I'm number four.
[00:02:04.000 --> 00:02:05.000]   I'm number four.
[00:02:05.000 --> 00:02:06.000]   I'm number four.
[00:02:06.000 --> 00:02:07.000]   I'm number four.
[00:02:07.000 --> 00:02:08.000]   I'm number four.
[00:02:08.000 --> 00:02:09.000]   I'm number four.
[00:02:09.000 --> 00:02:10.000]   I'm number four.
[00:02:10.000 --> 00:02:11.000]   I'm number four.
[00:02:11.000 --> 00:02:12.000]   I'm number four.
[00:02:12.000 --> 00:02:13.000]   I'm number four.
[00:02:13.000 --> 00:02:14.000]   I'm number four.
[00:02:14.000 --> 00:02:15.000]   I'm number four.
[00:02:15.000 --> 00:02:16.000]   I'm number four.
[00:02:16.000 --> 00:02:17.000]   I'm number four.
[00:02:17.000 --> 00:02:18.000]   I'm number four.
[00:02:18.000 --> 00:02:19.000]   I'm number four.
[00:02:19.000 --> 00:02:20.000]   I'm number four.
[00:02:20.000 --> 00:02:21.000]   I'm number four.
[00:02:21.000 --> 00:02:22.000]   I'm number four.
[00:02:22.000 --> 00:02:23.000]   I'm number four.
[00:02:23.000 --> 00:02:24.000]   I'm number four.
[00:02:24.000 --> 00:02:25.000]   I'm number four.
[00:02:25.000 --> 00:02:26.000]   I'm number four.
[00:02:26.000 --> 00:02:27.000]   I'm number four.
[00:02:27.000 --> 00:02:28.000]   I'm number four.
[00:02:28.000 --> 00:02:29.000]   I'm number four.
[00:02:29.000 --> 00:02:30.000]   I'm number four.
[00:02:30.000 --> 00:02:31.000]   I'm number four.
[00:02:31.000 --> 00:02:32.000]   I'm number four.
[00:02:32.000 --> 00:02:33.000]   I'm number four.
[00:02:33.000 --> 00:02:34.000]   I'm number four.
[00:02:34.000 --> 00:02:35.000]   I'm number four.
[00:02:35.000 --> 00:02:36.000]   I'm number four.
[00:02:36.000 --> 00:02:37.000]   I'm number four.
[00:02:37.000 --> 00:02:38.000]   I'm number four.
[00:02:38.000 --> 00:02:39.000]   I'm number four.
[00:02:39.000 --> 00:02:40.000]   I'm number four.
[00:02:40.000 --> 00:02:41.000]   I'm number four.
[00:02:41.000 --> 00:02:42.000]   I'm number four.
[00:02:42.000 --> 00:02:43.000]   I'm number four.
[00:02:43.000 --> 00:02:44.000]   I'm number four.
[00:02:44.000 --> 00:02:45.000]   I'm number four.
[00:02:45.000 --> 00:02:46.000]   I'm number four.
[00:02:46.000 --> 00:02:47.000]   I'm number four.
[00:02:47.000 --> 00:02:48.000]   I'm number four.
[00:02:48.000 --> 00:02:49.000]   I'm number four.
[00:02:49.000 --> 00:02:50.000]   I'm number four.
[00:02:50.000 --> 00:02:51.000]   I'm number four.
[00:02:51.000 --> 00:02:52.000]   I'm number four.
[00:02:52.000 --> 00:02:53.000]   I'm number four.
[00:02:53.000 --> 00:02:54.000]   I'm number four.
[00:02:54.000 --> 00:02:55.000]   I'm number four.
