;FFMETADATA1
title=TWiT 74: Memories
comment=http://twit.tv/74
album=TWiT October 2006
TYER=2006-10-29
genre=Podcast
artist=Leo Laporte and the TWiTs
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a   xmpDM:genre\="Other"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\=""\\x0a   xmpDM:duration\="1:07:16.652"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="10025"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\="">\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100
;FFMETADATA1
title=TWiT 74: Memories
comment=http://twit.tv/74
album=TWiT October 2006
TYER=2006-10-29
genre=Podcast
artist=Leo Laporte and the TWiTs
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a   xmpDM:genre\="Other"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\=""\\x0a   xmpDM:duration\="1:07:16.652"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="10025"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\="">\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:13.000]   This is Twit.
[00:00:13.000 --> 00:00:17.000]   Bandwidth for this week in tech is provided by
[00:00:17.000 --> 00:00:21.000]   AOL Radio at AOL.com/podcasting.
[00:00:21.000 --> 00:00:31.000]   [ Music ]
[00:00:31.000 --> 00:00:33.000]   This is Twit.
[00:00:33.000 --> 00:00:34.000]   This week in tech.
[00:00:34.000 --> 00:00:39.000]   Episode 74 for October 29th, 2006.
[00:00:39.000 --> 00:00:40.000]   Memories.
[00:00:40.000 --> 00:00:47.000]   [ Music ]
[00:00:47.000 --> 00:00:50.000]   This week in tech is brought to you by
[00:00:50.000 --> 00:00:51.000]   Dell.
[00:00:51.000 --> 00:00:54.000]   Visit Leo's Bix for some great deals on Dell desktops
[00:00:54.000 --> 00:00:57.000]   and laptops at twit.tv/dell.
[00:00:57.000 --> 00:01:08.000]   [ Music ]
[00:01:08.000 --> 00:01:10.000]   Hi, this is Leo Laport.
[00:01:10.000 --> 00:01:13.000]   I want to thank everybody for the wonderfully supportive
[00:01:13.000 --> 00:01:17.000]   emails and messages and comments on the website.
[00:01:17.000 --> 00:01:20.000]   We missed it a week last week.
[00:01:20.000 --> 00:01:22.000]   I scared some people.
[00:01:22.000 --> 00:01:24.000]   I didn't mean to scare you.
[00:01:24.000 --> 00:01:26.000]   I was just a little tired and burnt out and
[00:01:26.000 --> 00:01:28.000]   I think a hard time putting a show together.
[00:01:28.000 --> 00:01:30.000]   Well, I'm gone on a cruise right now.
[00:01:30.000 --> 00:01:33.000]   I'm off with the Geek Cruises Mac Mania.
[00:01:33.000 --> 00:01:36.000]   But Joe Kelly did a pretty neat thing.
[00:01:36.000 --> 00:01:39.000]   He set me and he really did cheer me up.
[00:01:39.000 --> 00:01:42.000]   An edited version of some of the best moments in his opinion
[00:01:42.000 --> 00:01:45.000]   from many, many Twits.
[00:01:45.000 --> 00:01:48.000]   I think he goes back to some of the very earliest Twits.
[00:01:48.000 --> 00:01:51.000]   Before we even were called Twit.
[00:01:51.000 --> 00:01:53.000]   It's about an hour long show.
[00:01:53.000 --> 00:01:56.000]   I hope you'll enjoy these clips and I hope it'll wet your
[00:01:56.000 --> 00:01:58.000]   appetite for a future Twits to come.
[00:01:58.000 --> 00:02:02.000]   You bet they're going to keep coming and we'll be back with
[00:02:02.000 --> 00:02:09.000]   a special Twit from the cruise itself next Sunday, November 5th,
[00:02:09.000 --> 00:02:14.000]   and then we'll be back to our regularly scheduled Twit, November 12th.
[00:02:14.000 --> 00:02:17.000]   Thank you for all your support and enjoy these memories
[00:02:17.000 --> 00:02:21.000]   from 73 great Twits.
[00:02:21.000 --> 00:02:24.000]   You got a lot of good suggestions for the show name,
[00:02:24.000 --> 00:02:28.000]   but one of the ones I liked the best Patrick with Sledgecast.
[00:02:28.000 --> 00:02:29.000]   Nice.
[00:02:29.000 --> 00:02:31.000]   Wouldn't that be great?
[00:02:31.000 --> 00:02:33.000]   It's a Sledgecast.
[00:02:33.000 --> 00:02:35.000]   We are going to unveil on the podcast this week our new name.
[00:02:35.000 --> 00:02:39.000]   I'm embarrassed to say that it was none of, as far as I can tell,
[00:02:39.000 --> 00:02:43.000]   well, there's two possibilities, but the one that I'm kind of in favor with,
[00:02:43.000 --> 00:02:46.000]   nobody submitted probably because it's so boring.
[00:02:46.000 --> 00:02:49.000]   We got so many creative clever submissions.
[00:02:49.000 --> 00:02:52.000]   You want to hear some of the names that people sent in?
[00:02:52.000 --> 00:02:53.000]   Absolutely.
[00:02:53.000 --> 00:02:55.000]   Al Hill said saved by the geeks.
[00:02:55.000 --> 00:02:57.000]   That's kind of keeping the screensavers idea.
[00:02:57.000 --> 00:02:59.000]   I think a number of people did that.
[00:02:59.000 --> 00:03:05.000]   Claudia Flores said, "WWSSD, what would the screensavers do?"
[00:03:05.000 --> 00:03:06.000]   No.
[00:03:06.000 --> 00:03:08.000]   We'll leave that one out.
[00:03:08.000 --> 00:03:12.000]   There was also a G4 eats as young, but in a deference to G4,
[00:03:12.000 --> 00:03:13.000]   we'll leave that one out.
[00:03:13.000 --> 00:03:16.000]   Are you now or have you ever been a G4 employee?
[00:03:16.000 --> 00:03:17.000]   No.
[00:03:17.000 --> 00:03:18.000]   How about this one?
[00:03:18.000 --> 00:03:20.000]   I think you'd like this one, Patrick.
[00:03:20.000 --> 00:03:21.000]   Those, by the way, were all from Shane.
[00:03:21.000 --> 00:03:22.000]   This is from Lance.
[00:03:22.000 --> 00:03:24.000]   Return of the meat popsicles.
[00:03:24.000 --> 00:03:25.000]   Excellent.
[00:03:25.000 --> 00:03:26.000]   Yeah.
[00:03:26.000 --> 00:03:27.000]   Green eggs of ram.
[00:03:27.000 --> 00:03:29.000]   That was from Kevin Davis.
[00:03:29.000 --> 00:03:30.000]   I like that one.
[00:03:30.000 --> 00:03:33.000]   Kurt Golic said, "Good fellows."
[00:03:33.000 --> 00:03:35.000]   But I think maybe geek fellows might be good.
[00:03:35.000 --> 00:03:36.000]   Geek fellows.
[00:03:36.000 --> 00:03:37.000]   What do you think?
[00:03:37.000 --> 00:03:38.000]   No.
[00:03:38.000 --> 00:03:39.000]   That's pretty cool.
[00:03:39.000 --> 00:03:41.000]   Kurt also suggested this week in geek.
[00:03:41.000 --> 00:03:44.000]   Which is the closest to the one where I think I actually use.
[00:03:44.000 --> 00:03:46.000]   What do you think of this week in geek?
[00:03:46.000 --> 00:03:47.000]   That's not bad at all.
[00:03:47.000 --> 00:03:48.000]   We can call it geek.
[00:03:48.000 --> 00:03:49.000]   We can call it geek.
[00:03:49.000 --> 00:03:50.000]   Twig.
[00:03:50.000 --> 00:03:51.000]   Yeah.
[00:03:51.000 --> 00:03:52.000]   TWIG.
[00:03:52.000 --> 00:03:54.000]   I like the fact that at Ron's, how about Alex's?
[00:03:54.000 --> 00:03:56.000]   My big fat video cast.
[00:03:56.000 --> 00:03:57.000]   My big fat tiger.
[00:03:57.000 --> 00:03:58.000]   My big fat geek wedding.
[00:03:58.000 --> 00:03:59.000]   Yeah.
[00:03:59.000 --> 00:04:01.000]   My big fat geek cast.
[00:04:01.000 --> 00:04:02.000]   Let's see.
[00:04:02.000 --> 00:04:04.000]   Attack of the podcast.
[00:04:04.000 --> 00:04:08.000]   There are a lot of them where plays on Attack of the Show, Kevin.
[00:04:08.000 --> 00:04:13.000]   I think that like Dave said, "A hack of the show," which I kind of liked.
[00:04:13.000 --> 00:04:19.000]   A 10-year-old named Sonya suggested reunion of tech support scholars.
[00:04:19.000 --> 00:04:22.000]   She wanted to keep the ROTSS acronym.
[00:04:22.000 --> 00:04:24.000]   He hated tech support scholars.
[00:04:24.000 --> 00:04:25.000]   John Wilson, geek weekly.
[00:04:25.000 --> 00:04:26.000]   The pocket protectors.
[00:04:26.000 --> 00:04:27.000]   Ray Bromley.
[00:04:27.000 --> 00:04:28.000]   That was a good one.
[00:04:28.000 --> 00:04:35.000]   Here's one from Dustin that incorporates all of our kind of reputations.
[00:04:35.000 --> 00:04:42.000]   It's the revenge of the dark tipping sledgehammer swinging PC modding lab rat tech guys.
[00:04:42.000 --> 00:04:43.000]   Excellent.
[00:04:43.000 --> 00:04:45.000]   It's a little long.
[00:04:45.000 --> 00:04:46.000]   Winner.
[00:04:46.000 --> 00:04:47.000]   But I like it.
[00:04:47.000 --> 00:04:49.000]   Hey, the domain name is available.
[00:04:49.000 --> 00:04:50.000]   I'm sure.
[00:04:50.000 --> 00:04:51.000]   Yeah, I think we can register that.
[00:04:51.000 --> 00:04:59.000]   Well, isn't there a domain name somebody registered that was like, because all the other good domain names were taken, something like that.com.
[00:04:59.000 --> 00:05:01.000]   All the other good domain names are taken.com.
[00:05:01.000 --> 00:05:04.000]   Joel suggested four guys in a box of crap.
[00:05:04.000 --> 00:05:06.000]   Oh, jeez.
[00:05:06.000 --> 00:05:09.000]   Robert wasn't here last week.
[00:05:09.000 --> 00:05:16.000]   He doesn't know that that's the grand prize for this is we're giving Patrick's going to donate a box of crap from his garage.
[00:05:16.000 --> 00:05:17.000]   Excellent.
[00:05:17.000 --> 00:05:18.000]   That's the grand prize.
[00:05:18.000 --> 00:05:19.000]   Incredible.
[00:05:19.000 --> 00:05:21.000]   Vital vintage computer technology.
[00:05:21.000 --> 00:05:23.000]   Completely random.
[00:05:23.000 --> 00:05:27.000]   Yes, credit will definitely be the mystery prize.
[00:05:27.000 --> 00:05:30.000]   I'm kind of embarrassed to admit that we're going to, I think we're going to go.
[00:05:30.000 --> 00:05:32.000]   Robert, you weren't in on this conversation because you were busy finding headsets.
[00:05:32.000 --> 00:05:36.000]   But I think we're going to go with the boring this week in tech.
[00:05:36.000 --> 00:05:37.000]   TWIT.
[00:05:37.000 --> 00:05:46.000]   And the only reason is I think the podcast has to say in its name what it is because otherwise when people look at it in the directory, they'll have no clue.
[00:05:46.000 --> 00:05:49.000]   Is that so boring that we should just say no?
[00:05:49.000 --> 00:05:53.000]   Oh, thanks for backing me up, guys.
[00:05:53.000 --> 00:05:59.000]   Well, I think the Skype just faded out again.
[00:05:59.000 --> 00:06:01.000]   Oh, it's yeah, it's the Skype problem.
[00:06:01.000 --> 00:06:02.000]   Same here, Leo.
[00:06:02.000 --> 00:06:03.000]   Same here.
[00:06:03.000 --> 00:06:04.000]   Yeah, right.
