;FFMETADATA1
title=TWiT 79: Fifty Plus
comment=http://twit.tv/79
album=TWiT December 2006
TYER=2006-12-03
genre=Podcast
artist=Leo Laporte and the TWiTs
encoder=Lavf58.76.100
;FFMETADATA1
title=TWiT 79: Fifty Plus
comment=http://twit.tv/79
album=TWiT December 2006
TYER=2006-12-03
genre=Podcast
artist=Leo Laporte and the TWiTs
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:13.000]   This is Twit.
[00:00:13.000 --> 00:00:17.000]   Bandwidth for this weekend tech is provided by
[00:00:17.000 --> 00:00:21.000]   AOL Radio at AOL.com/podcasting.
[00:00:21.000 --> 00:00:28.000]   [ Music ]
[00:00:28.000 --> 00:00:32.000]   This is Twit. This weekend tech, Episode 79 for
[00:00:32.000 --> 00:00:36.000]   December 3rd, 2006. 50 Plus.
[00:00:36.000 --> 00:00:41.000]   [ Music ]
[00:00:41.000 --> 00:00:44.000]   This weekend tech is brought to you by Dell.
[00:00:44.000 --> 00:00:48.000]   Visit Leo's Fix for some great deals on Dell desktops and laptops
[00:00:48.000 --> 00:00:51.000]   at twit.tv/dell.
[00:00:51.000 --> 00:00:56.000]   [ Music ]
[00:00:56.000 --> 00:01:00.000]   This weekend tech, we're going to do with apologies to Andy Walker,
[00:01:00.000 --> 00:01:04.000]   the over 50 version since I am now officially over 50.
[00:01:04.000 --> 00:01:07.000]   Devorak apparently has declined.
[00:01:07.000 --> 00:01:11.000]   But Jerry Pournell is here and our senior member in more ways
[00:01:11.000 --> 00:01:14.000]   than one of the Twit panel. It's great to have you on Jerry.
[00:01:14.000 --> 00:01:15.000]   Thank you.
[00:01:15.000 --> 00:01:19.000]   Welcome back from a beautiful studio city California.
[00:01:19.000 --> 00:01:21.000]   From the nation's capital, Washington DC.
[00:01:21.000 --> 00:01:23.000]   This name, the US, when I say the nation's capital,
[00:01:23.000 --> 00:01:26.000]   I have to be careful where global podcast could be anywhere.
[00:01:26.000 --> 00:01:29.000]   Frank Barnico of MarketWatch. Great to have you.
[00:01:29.000 --> 00:01:31.000]   Frank, I've wanted to get you on the show for a long time.
[00:01:31.000 --> 00:01:34.000]   You've written more about podcasting than probably any other
[00:01:34.000 --> 00:01:36.000]   columnist out there, at least mainstream columnist.
[00:01:36.000 --> 00:01:39.000]   Thank you, Leo. It's very generous of you to invite me.
[00:01:39.000 --> 00:01:42.000]   Well, you've always been very kind to Twit, so I had to.
[00:01:42.000 --> 00:01:44.000]   In fact, I had to talk about what you've done.
[00:01:44.000 --> 00:01:46.000]   I had to talk you into it.
[00:01:46.000 --> 00:01:49.000]   I've been trying to get you on since podcast expo.
[00:01:49.000 --> 00:01:51.000]   I'm so glad you could join us.
[00:01:51.000 --> 00:01:54.000]   We'll be talking about a couple of recent columns, actually,
[00:01:54.000 --> 00:01:55.000]   that Frank wrote.
[00:01:55.000 --> 00:01:59.000]   And from Toronto, my good friend haven't talked to him in ages.
[00:01:59.000 --> 00:02:02.000]   Mr. Andy Walker, formerly of Call for Help.
[00:02:02.000 --> 00:02:06.000]   And now of, of course, cyberwalker media, where he does lab rats,
[00:02:06.000 --> 00:02:08.000]   which is a great video podcast.
[00:02:08.000 --> 00:02:10.000]   Hello. Hello from Toronto.
[00:02:10.000 --> 00:02:11.000]   Blustry Toronto at that.
[00:02:11.000 --> 00:02:13.000]   Is it cold and blustry?
[00:02:13.000 --> 00:02:16.000]   Blowing sideways, Leo. Luckily, it's not.
[00:02:16.000 --> 00:02:18.000]   It's still wet out there.
[00:02:18.000 --> 00:02:21.000]   You were having a heat wave for a while.
[00:02:21.000 --> 00:02:24.000]   We were having a heat wave? Absolutely.
[00:02:24.000 --> 00:02:25.000]   Absolutely.
[00:02:25.000 --> 00:02:26.000]   There were no more winters here.
[00:02:26.000 --> 00:02:29.000]   It was in the teens, but Celsius.
[00:02:29.000 --> 00:02:31.000]   That's warmer than it sounds.
[00:02:31.000 --> 00:02:33.000]   It's all global warming.
[00:02:33.000 --> 00:02:35.000]   Exactly. That's what we're blaming it on.
[00:02:35.000 --> 00:02:37.000]   Non-feet of snow in Denver. It's global warming.
[00:02:37.000 --> 00:02:39.000]   Non-feet of snow.
[00:02:39.000 --> 00:02:40.000]   Oh, no.
[00:02:40.000 --> 00:02:41.000]   That's something like that.
[00:02:41.000 --> 00:02:42.000]   Jeez.
[00:02:42.000 --> 00:02:46.000]   Are you one of those people, Jerry, who doesn't buy the global warming hypothesis?
[00:02:46.000 --> 00:02:53.000]   Oh, I think there's probably some warming, but since they're also noting there's warming on Pluto,
[00:02:53.000 --> 00:02:56.000]   I'm not dead sure that was man-made.
[00:02:56.000 --> 00:03:00.000]   Well, certainly there are these earthly cycles.
[00:03:00.000 --> 00:03:04.000]   I mean, you know, when I was...
[00:03:04.000 --> 00:03:06.000]   Nobody learns history anymore.
[00:03:06.000 --> 00:03:13.000]   There were Viking colonies on the west side of Greenland at one time, dairy farms.
[00:03:13.000 --> 00:03:17.000]   Leaf the Lucky planted one there in 800, and they went...
[00:03:17.000 --> 00:03:24.000]   Did very well until about 1300 when you got the little ice age and everything just got colder and anything.
[00:03:24.000 --> 00:03:32.000]   So it ain't warm enough to have dairy farms on Greenland yet, so I'm not terribly worried about...
[00:03:32.000 --> 00:03:34.000]   How was that milk, by the way, Jerry? Do you remember?
[00:03:34.000 --> 00:03:36.000]   It was pretty good.
[00:03:36.000 --> 00:03:37.000]   It was pretty good.
[00:03:37.000 --> 00:03:39.000]   Us Vikings were...
[00:03:39.000 --> 00:03:41.000]   We liked a firm in it, you know.
[00:03:41.000 --> 00:03:44.000]   We were talking before we began about...
[00:03:44.000 --> 00:03:49.000]   I think it was today that the Wall Street Journal had a little debate between Robert Scobel,
[00:03:49.000 --> 00:03:54.000]   formerly of Microsoft Corporation, the Scobelizer Good Friend, who's now at the PodTech Network,
[00:03:54.000 --> 00:03:56.000]   where he does his own video podcast.
[00:03:56.000 --> 00:04:01.000]   And Dave Weiner, the guy who really created, or at least certainly popularized RSS,
[00:04:01.000 --> 00:04:07.000]   and was the guy who added the enclosure tag to RSS that made this podcasting thing possible.
[00:04:07.000 --> 00:04:10.000]   They were debating whether Microsoft was an innovator.
[00:04:10.000 --> 00:04:15.000]   And I'll just... I'll synopsize for those of you who haven't read the debate.
[00:04:15.000 --> 00:04:18.000]   Scobel, it was, you know, taking Microsoft's side.
[00:04:18.000 --> 00:04:21.000]   Dave Weiner started off by saying, "No, Microsoft's not an innovator.
[00:04:21.000 --> 00:04:23.000]   They're not an innovator by design."
[00:04:23.000 --> 00:04:27.000]   They prefer to follow the tail lights of companies, look for markets.
[00:04:27.000 --> 00:04:35.000]   Once it's a big enough market, they will jump into it and embrace and extend or engulf into a voward event,
[00:04:35.000 --> 00:04:38.000]   depending on your point of view.
[00:04:38.000 --> 00:04:43.000]   Scobel said, "No, no, there's all sorts of innovation going on in Microsoft."
[00:04:43.000 --> 00:04:48.000]   Just things like clear type, there's little things that make a huge difference.
[00:04:48.000 --> 00:04:52.000]   Any thoughts from the panel on that?
[00:04:52.000 --> 00:04:55.000]   Is Microsoft, Andy, is Microsoft an innovator?
[00:04:55.000 --> 00:04:57.000]   No, they're following.
[00:04:57.000 --> 00:05:00.000]   I mean, all you have to do is look at the Zoom.
[00:05:00.000 --> 00:05:03.000]   I mean, the Zoom is a big, fat disaster.
[00:05:03.000 --> 00:05:04.000]   And they didn't even do it well.
[00:05:04.000 --> 00:05:06.000]   They didn't even copy the iPod well.
[00:05:06.000 --> 00:05:07.000]   They did it badly.
[00:05:07.000 --> 00:05:13.000]   So this is a classic example of Microsoft following what they know best and missing the boat.
[00:05:13.000 --> 00:05:21.000]   I played a clip on the Windows Weekly a couple of days ago from Ferguson, the guy who hosted the Late Late Show on the CBS.
[00:05:21.000 --> 00:05:29.000]   He's talking about the Zoom and he says, "The Zoom, it's a Microsoft's attempt to beat Microsoft in the iPod market."
[00:05:29.000 --> 00:05:35.000]   To beat the iPod in the iPod market, he said, "It's five years late."
[00:05:35.000 --> 00:05:36.000]   It was funnier than that.
[00:05:36.000 --> 00:05:37.000]   There were some jokes in there.
[00:05:37.000 --> 00:05:38.000]   I'm just synopsis.
[00:05:38.000 --> 00:05:45.000]   But the Zoom is a good example of something that's not an innovation, except, well, for a couple of things, is Wi-Fi music sharing that's innovative?
[00:05:45.000 --> 00:05:46.000]   I guess.
[00:05:46.000 --> 00:05:47.000]   I don't know.
[00:05:47.000 --> 00:05:50.000]   I mean, and then I look at Vista, which kind of looks like, you know, Mac OS X.
[00:05:50.000 --> 00:05:52.000]   Yeah, good point.
[00:05:52.000 --> 00:05:53.000]   What do you think, Jeremy?
[00:05:53.000 --> 00:05:56.000]   I mean, if you follow Microsoft longer than anybody, probably.
[00:05:56.000 --> 00:05:58.000]   Well, I think they do both.
[00:05:58.000 --> 00:06:00.000]   Clear type certainly was important.
[00:06:00.000 --> 00:06:05.000]   It made it comfortable to write books on computers.
[00:06:05.000 --> 00:06:06.000]   I love it.
[00:06:06.000 --> 00:06:07.000]   Especially LCDs.
[00:06:07.000 --> 00:06:09.000]   It made a huge difference.
[00:06:09.000 --> 00:06:10.000]   Yeah, exactly.
[00:06:10.000 --> 00:06:17.000]   And man, if you turn off clear type and look at your text on an LCD, you will gag.
[00:06:17.000 --> 00:06:19.000]   Yeah, that is true.
[00:06:19.000 --> 00:06:25.000]   But Microsoft has mostly been a standard setting company.
[00:06:25.000 --> 00:06:33.000]   Their whole goal in life has been to be the people who set the standards, make the standards, and enforce the standards.
[00:06:33.000 --> 00:06:35.000]   And that's how they've become so wealthy.
[00:06:35.000 --> 00:06:38.000]   It was not an accident.
[00:06:38.000 --> 00:06:43.000]   The nonsense that this was some kind of an accidental empire is just ludicrous.
[00:06:43.000 --> 00:06:53.000]   Well, what do you think when Dave says that Microsoft's MO, MOI design is to wait until the market's worth billions, let others develop it and then enter the market?
[00:06:53.000 --> 00:06:56.000]   Yeah, I think that's about 80% true.
[00:06:56.000 --> 00:06:59.000]   Well, entering the market is all well and good.
[00:06:59.000 --> 00:07:01.000]   Entering the market is all well and good.
[00:07:01.000 --> 00:07:08.000]   But here we have Microsoft, huge company, Apple, scrambling with about 5 or 6% of the market with its OS.
[00:07:08.000 --> 00:07:14.000]   And Apple's been out there selling 60 million iPods over at least two years.
[00:07:14.000 --> 00:07:22.000]   And Microsoft's had all the advantage of seeing what Apple has been able to do and comes out with a product that isn't even me too.
[00:07:22.000 --> 00:07:23.000]   Yeah, that's the point.
[00:07:23.000 --> 00:07:25.000]   So I can't give them a lot of credit.
[00:07:25.000 --> 00:07:26.000]   And it's brown though.
[00:07:26.000 --> 00:07:27.000]   It's brown.
[00:07:27.000 --> 00:07:38.000]   Well, I think there were actually some cool innovations in Zoom, but it looks to me like they had a great hardware product that then some committee came along and said, well, you've got to add this copy protection and that.
[00:07:38.000 --> 00:07:41.000]   And by the way, we better not work with Windows Media Player.
[00:07:41.000 --> 00:07:46.000]   We better not work with the Microsoft music store and killed it.
[00:07:46.000 --> 00:07:48.000]   You know, it turned into something that was horrible.
[00:07:48.000 --> 00:07:56.000]   I have never been able to figure out what genius decided that works for sure won't work with Zoom.
[00:07:56.000 --> 00:07:57.000]   Yeah, that's crazy.
[00:07:57.000 --> 00:07:58.000]   Yeah, that's crazy.
[00:07:58.000 --> 00:07:59.000]   It plays for sure.
[00:07:59.000 --> 00:08:00.000]   It won't play.
[00:08:00.000 --> 00:08:01.000]   It plays for nothing.
[00:08:01.000 --> 00:08:04.000]   But let me throw out a red hearing here.
[00:08:04.000 --> 00:08:05.000]   All right.
[00:08:05.000 --> 00:08:06.000]   Don't say red hearing.
[00:08:06.000 --> 00:08:07.000]   You work for market watch.
[00:08:07.000 --> 00:08:08.000]   Careful.
[00:08:08.000 --> 00:08:11.000]   Let me throw out what you might consider a red hearing.
[00:08:11.000 --> 00:08:16.000]   We all are still scratching our head that there's no pod catcher inside.
[00:08:16.000 --> 00:08:17.000]   Driving would be crazy.
[00:08:17.000 --> 00:08:21.000]   I mean, that could have changed everything from a podcaster's point of view.
[00:08:21.000 --> 00:08:23.000]   But it does have Wi-Fi in it.
[00:08:23.000 --> 00:08:27.000]   And this is something I've been beating for three months, four months.
[00:08:27.000 --> 00:08:30.000]   I found a company down in New Zealand that says they're developing this.
[00:08:30.000 --> 00:08:38.000]   If you've got Wi-Fi, my gosh, you can get on the internet and let's get streaming radio into these handheld devices.
[00:08:38.000 --> 00:08:39.000]   I mean, it has radio already.
[00:08:39.000 --> 00:08:40.000]   It has FM radio.
[00:08:40.000 --> 00:08:45.000]   Wouldn't that be fantastic that you go to a Starbucks or a hot anywhere with a hotspot?
[00:08:45.000 --> 00:08:49.000]   You get online and you could listen to this podcast, but you could listen to live podcasts.
