;FFMETADATA1
genre=Podcast
artist=Leo Laporte and the TWiTs
album=TWiT April 2007
title=TWiT 95: Tastes Like Chicken
comment=http://twit.tv/95
date=2007
encoder=Lavf58.76.100
;FFMETADATA1
genre=Podcast
artist=Leo Laporte and the TWiTs
album=TWiT April 2007
title=TWiT 95: Tastes Like Chicken
comment=http://twit.tv/95
date=2007
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   >> Netcast you love.
[00:00:06.000 --> 00:00:08.000]   >> From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:14.000]   >> This is Twig.
[00:00:14.000 --> 00:00:17.000]   >> Bandwidth for this weekend tech is provided by
[00:00:17.000 --> 00:00:22.000]   AOL Radio at AOL.com/podcasting.
[00:00:22.000 --> 00:00:28.000]   [ Music ]
[00:00:28.000 --> 00:00:31.000]   >> This is Twig, this weekend tech.
[00:00:31.000 --> 00:00:34.000]   Episode 95 for April 16th, 2007.
[00:00:34.000 --> 00:00:36.000]   Tastes like chicken.
[00:00:36.000 --> 00:00:55.000]   [ Music ]
[00:00:55.000 --> 00:00:57.000]   >> It's time for this weekend tech and we're assembling a panel
[00:00:57.000 --> 00:00:59.000]   of opposing forces.
[00:00:59.000 --> 00:01:01.000]   This is going to be interesting.
[00:01:01.000 --> 00:01:05.000]   In one corner on the left we've got CNET in the face and
[00:01:05.000 --> 00:01:08.000]   shape of Mr. Tom Merritt of Buzz Out Loud.
[00:01:08.000 --> 00:01:09.000]   >> Hey Tom.
[00:01:09.000 --> 00:01:10.000]   >> Hey how's it going Leo?
[00:01:10.000 --> 00:01:11.000]   >> Thanks for having me on.
[00:01:11.000 --> 00:01:12.000]   >> Always good to have you on.
[00:01:12.000 --> 00:01:13.000]   I love doing it.
[00:01:13.000 --> 00:01:14.000]   I'm returning I'll do Buzz Out Loud on Monday.
[00:01:14.000 --> 00:01:15.000]   >> It's a deal.
[00:01:15.000 --> 00:01:17.000]   >> And also from CNET a guy who's not been on Twitter
[00:01:17.000 --> 00:01:21.000]   before but is a revered name in broadcast news.
[00:01:21.000 --> 00:01:26.000]   Long time famous news director at KPIX in Channel 5 in
[00:01:26.000 --> 00:01:29.000]   San Francisco than he was our news director at Tech TV.
[00:01:29.000 --> 00:01:32.000]   And now what do you do Harry Fuller at CNET?
[00:01:32.000 --> 00:01:33.000]   >> Good question what I do.
[00:01:33.000 --> 00:01:36.000]   I worry about the front door and video and all kinds of stuff.
[00:01:36.000 --> 00:01:38.000]   >> You're an executive editor.
[00:01:38.000 --> 00:01:40.000]   >> Yeah, so I edit all the executives.
[00:01:40.000 --> 00:01:41.000]   >> Somebody's got it.
[00:01:41.000 --> 00:01:43.000]   >> Somebody's got to watch him.
[00:01:43.000 --> 00:01:44.000]   >> It's great to have you.
[00:01:44.000 --> 00:01:45.000]   >> Thank you.
[00:01:45.000 --> 00:01:46.000]   >> Thank you for joining us.
[00:01:46.000 --> 00:01:48.000]   Get closer to the mic because we want to hear every bit of your
[00:01:48.000 --> 00:01:49.000]   pearls of wisdom.
[00:01:49.000 --> 00:01:50.000]   >> All right.
[00:01:50.000 --> 00:01:51.000]   >> You got it.
[00:01:51.000 --> 00:01:53.000]   >> Never have to get any closer to Mr. Patrick Norton.
[00:01:53.000 --> 00:01:55.000]   He's always right up on top of the mic.
[00:01:55.000 --> 00:01:57.000]   >> Mr. Patrick, DL, that's it.
[00:01:57.000 --> 00:01:58.000]   >> I turn my volume down.
[00:01:58.000 --> 00:01:59.000]   [laughter]
[00:01:59.000 --> 00:02:01.000]   He's in the Ziff Davis corner.
[00:02:01.000 --> 00:02:02.000]   We've got two over there.
[00:02:02.000 --> 00:02:05.000]   Also the cranky geek himself, John C. Devorak.
[00:02:05.000 --> 00:02:07.000]   Dot org slash block.
[00:02:07.000 --> 00:02:08.000]   >> Oh, is that again?
[00:02:08.000 --> 00:02:10.000]   >> Dot org slash block.
[00:02:10.000 --> 00:02:12.000]   You know it has a ring to it, a cadence.
[00:02:12.000 --> 00:02:14.000]   And somebody's got a bicycle bell it sounds like.
[00:02:14.000 --> 00:02:15.000]   >> It has a ring to it, you said.
[00:02:15.000 --> 00:02:16.000]   >> No, what was it?
[00:02:16.000 --> 00:02:17.000]   >> Oh, I get it.
[00:02:17.000 --> 00:02:18.000]   John's always want to be a shock-chock.
[00:02:18.000 --> 00:02:20.000]   I hear there's an opening now at CBS.
[00:02:20.000 --> 00:02:21.000]   Maybe--
[00:02:21.000 --> 00:02:22.000]   >> Yeah, I heard that too.
[00:02:22.000 --> 00:02:23.000]   >> Right, right.
[00:02:23.000 --> 00:02:24.000]   >> Dymus used to every time I did the time checks.
[00:02:24.000 --> 00:02:28.000]   When he worked at W and Bracey would play the duck quack.
[00:02:28.000 --> 00:02:29.000]   >> W and Bracey.
[00:02:29.000 --> 00:02:30.000]   >> You got his voice.
[00:02:30.000 --> 00:02:32.000]   You could take that job.
[00:02:32.000 --> 00:02:35.000]   >> I grew up, well, not grew up, but I used in college.
[00:02:35.000 --> 00:02:37.000]   I would get up early, just listen to Don.
[00:02:37.000 --> 00:02:39.000]   I'm a son of WNBC.
[00:02:39.000 --> 00:02:44.000]   >> Yeah, I just can't believe Dr. Reverend Billy Saul-Hargis
[00:02:44.000 --> 00:02:46.000]   for the first church of the Cooey Death and Discount House
[00:02:46.000 --> 00:02:48.000]   of worship has fallen so far.
[00:02:48.000 --> 00:02:49.000]   >> Didn't you do that?
[00:02:49.000 --> 00:02:51.000]   >> I don't think he's been doing Billy Saul or any of those
[00:02:51.000 --> 00:02:52.000]   characters.
[00:02:52.000 --> 00:02:54.000]   >> No, but I was-- >> No, but when I was--
[00:02:54.000 --> 00:02:57.000]   >> No, but when I was listening, when I was living in
[00:02:57.000 --> 00:03:00.000]   North Jersey, and it was all over the morning show, that was a
[00:03:00.000 --> 00:03:01.000]   huge part of it.
[00:03:01.000 --> 00:03:02.000]   >> I was singing the morning.
[00:03:02.000 --> 00:03:04.000]   >> Nook and people, it was fun.
[00:03:04.000 --> 00:03:05.000]   Great stuff.
[00:03:05.000 --> 00:03:07.000]   Do you think I must have found a job right away?
[00:03:07.000 --> 00:03:08.000]   It's not a tech story, but I'm just curious.
[00:03:08.000 --> 00:03:10.000]   >> You go right to the satellite place.
[00:03:10.000 --> 00:03:11.000]   >> That's what I figured.
[00:03:11.000 --> 00:03:13.000]   >> 50/50 chance they won't touch him because they've got to get
[00:03:13.000 --> 00:03:15.000]   through Washington, D.C., politically correct.
[00:03:15.000 --> 00:03:17.000]   They want their merger and they're not going to
[00:03:17.000 --> 00:03:20.000]   infuriate any of the politically correct people in Washington
[00:03:20.000 --> 00:03:21.000]   now.
[00:03:21.000 --> 00:03:22.000]   >> Politically correct people in Washington.
[00:03:22.000 --> 00:03:23.000]   >> Politically correct.
[00:03:23.000 --> 00:03:24.000]   >> You mean incredibly uptight.
[00:03:24.000 --> 00:03:27.000]   >> Well, that--however you want to translate, I think I'm
[00:03:27.000 --> 00:03:29.000]   Mrs. Radioactive until after the merger.
[00:03:29.000 --> 00:03:31.000]   >> Okay, well that's fine, but he's still going to end up there
[00:03:31.000 --> 00:03:33.000]   and besides, it's not that he needs the money.
[00:03:33.000 --> 00:03:38.000]   He could be picked up by one of the earthbound stations.
[00:03:38.000 --> 00:03:39.000]   I don't see why you're on it.
[00:03:39.000 --> 00:03:40.000]   >> This is just start podcasting.
[00:03:40.000 --> 00:03:41.000]   >> How about New York?
[00:03:41.000 --> 00:03:42.000]   >> I don't know.
[00:03:42.000 --> 00:03:43.000]   He may do that.
[00:03:43.000 --> 00:03:44.000]   >> He may be-- >> Because he's insulted a bunch of people,
[00:03:44.000 --> 00:03:47.000]   advertisers won't touch him with a stick and the Rutgers basketball
[00:03:47.000 --> 00:03:49.000]   team hasn't accepted his apology, but not forget his
[00:03:49.000 --> 00:03:51.000]   apology, but not forgiven him yet.
[00:03:51.000 --> 00:03:52.000]   >> Yeah.
[00:03:52.000 --> 00:03:53.000]   >> It was a nasty thing to say.
[00:03:53.000 --> 00:03:56.000]   >> Oh, it was-- >> He can go online.
[00:03:56.000 --> 00:03:59.000]   >> It wasn't anything worse than something Andrew Dies Clay would
[00:03:59.000 --> 00:04:00.000]   say.
[00:04:00.000 --> 00:04:02.000]   >> Yeah, but Andrew Dies Clay's not on a podcast.
[00:04:02.000 --> 00:04:03.000]   >> Dies Clay isn't on radio.
[00:04:03.000 --> 00:04:04.000]   >> Yeah, it was not.
[00:04:04.000 --> 00:04:05.000]   >> That's what it was.
[00:04:05.000 --> 00:04:06.000]   >> There is a tech angle.
[00:04:06.000 --> 00:04:07.000]   >> You're seeing another role model.
[00:04:07.000 --> 00:04:10.000]   >> There is a tech angle to this because it was the media
[00:04:10.000 --> 00:04:13.000]   watch blog that picked it up.
[00:04:13.000 --> 00:04:16.000]   The IMS's statement was at 6.15 in the morning.
[00:04:16.000 --> 00:04:17.000]   Nobody really heard it.
[00:04:17.000 --> 00:04:20.000]   There was no ruckus raised except by media watch.
[00:04:20.000 --> 00:04:25.000]   They immediately sent out email blasts to newspapers and
[00:04:25.000 --> 00:04:27.000]   news editors and blogged it.
[00:04:27.000 --> 00:04:28.000]   And I think it was that.
[00:04:28.000 --> 00:04:29.000]   >> Yeah, no, I agree.
[00:04:29.000 --> 00:04:30.000]   He was targeted.
[00:04:30.000 --> 00:04:31.000]   >> Yeah.
[00:04:31.000 --> 00:04:34.000]   >> And a lot of blog sites posted video once they finally got
[00:04:34.000 --> 00:04:35.000]   onto it.
[00:04:35.000 --> 00:04:36.000]   >> Is it the worst thing he's ever said?
[00:04:36.000 --> 00:04:37.000]   I really don't listen to the guy ever.
[00:04:37.000 --> 00:04:38.000]   >> Seems unlikely.
[00:04:38.000 --> 00:04:40.000]   >> I don't remember him saying anything about that.
[00:04:40.000 --> 00:04:43.000]   >> It's a pretty-- I mean, you know, the basketball team just
[00:04:43.000 --> 00:04:46.000]   comes out of an NCAA match and he says something about it.
[00:04:46.000 --> 00:04:47.000]   >> That was true.
[00:04:47.000 --> 00:04:48.000]   >> He said it was a crummy thing to say.
[00:04:48.000 --> 00:04:49.000]   >> Well, I don't know.
[00:04:49.000 --> 00:04:50.000]   He said it was a couple of years ago.
[00:04:50.000 --> 00:04:52.000]   >> About a year ago, in fact, almost exactly a year ago when the
[00:04:52.000 --> 00:04:55.000]   female reporter that worked for the Christian Science Monitor had
[00:04:55.000 --> 00:04:58.000]   gotten released by whoever was holding her hostage in the
[00:04:58.000 --> 00:05:00.000]   Middle East, he basically accused her of sleeping with her
[00:05:00.000 --> 00:05:01.000]   captives.
[00:05:01.000 --> 00:05:02.000]   >> That's pretty bad.
[00:05:02.000 --> 00:05:04.000]   >> I got the idea that that's what he built his career on,
[00:05:04.000 --> 00:05:05.000]   saying stuff like that to get people all riled up.
[00:05:05.000 --> 00:05:06.000]   >> Yeah.
[00:05:06.000 --> 00:05:07.000]   >> Just to call David Borman "Pantload."
[00:05:07.000 --> 00:05:09.000]   I thought that was-- remember Borman?
[00:05:09.000 --> 00:05:10.000]   >> Yes.
[00:05:10.000 --> 00:05:14.000]   >> He was the NBC vice president or executive producer who put
[00:05:14.000 --> 00:05:15.000]   him on MSNBC.
[00:05:15.000 --> 00:05:18.000]   I'm sure he's-- he's long-- I think he went to CNBC or CNN.
[00:05:18.000 --> 00:05:19.000]   >> CNN.
[00:05:19.000 --> 00:05:21.000]   >> So he's long gone from there.
[00:05:21.000 --> 00:05:23.000]   >> All right, big story, of course, and it's a story we missed
[00:05:23.000 --> 00:05:25.000]   with our Mac show by one day.
[00:05:25.000 --> 00:05:27.000]   We seem to be doing that a lot with the Mac show.
[00:05:27.000 --> 00:05:29.000]   >> It's Mac's always a day late in a dollar short.
[00:05:29.000 --> 00:05:30.000]   >> It's true.
[00:05:30.000 --> 00:05:31.000]   Apple.
[00:05:31.000 --> 00:05:33.000]   And I'm very curious what you guys think of this.
[00:05:33.000 --> 00:05:37.000]   Apple goes to the PR News Wire, releases a story, very simple
[00:05:37.000 --> 00:05:38.000]   story.
[00:05:38.000 --> 00:05:43.000]   In fact, maybe I'll read the actual Apple copy because--
[00:05:43.000 --> 00:05:46.000]   >> Because they've been accused by Herb Greenberg and others now
[00:05:46.000 --> 00:05:50.000]   of spinning the story, basically saying we've been working so
[00:05:50.000 --> 00:05:54.000]   hard on the iPhone.
[00:05:54.000 --> 00:05:57.000]   And boy, by the way, incidentally, the iPhone has passed
[00:05:57.000 --> 00:06:00.000]   several of its tests so far, and we are still on track for a
[00:06:00.000 --> 00:06:02.000]   June release, but we've been working-- >> Late June.
[00:06:02.000 --> 00:06:03.000]   >> Late June.
[00:06:03.000 --> 00:06:05.000]   Yeah, yeah, that's not the June 11th that everybody's been saying.
[00:06:05.000 --> 00:06:10.000]   We've been working so hard on the iPhone that, oh, golly, we just
