;FFMETADATA1
TYER=2007-07-01
title=TWiT 103: The Good, The Bad, and The iPhone
album=TWiT July 2007
genre=Podcast
comment=http://twit.tv/103
artist=Leo Laporte and the TWiTs
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:19:45.674"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="11885"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc2\\x90&amp\;\#x01\;&amp\;\#x15\;</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100
;FFMETADATA1
TYER=2007-07-01
title=TWiT 103: The Good, The Bad, and The iPhone
album=TWiT July 2007
genre=Podcast
comment=http://twit.tv/103
artist=Leo Laporte and the TWiTs
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:19:45.674"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="11885"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc2\\x90&amp\;\#x01\;&amp\;\#x15\;</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   >> Netcast you love.
[00:00:06.000 --> 00:00:08.000]   >> From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:14.000]   >> This is Twit.
[00:00:14.000 --> 00:00:17.000]   >> Bandwidth for this weekend tech is provided by
[00:00:17.000 --> 00:00:22.000]   AOL Radio at AOL.com/podcasting.
[00:00:22.000 --> 00:00:27.000]   [ Music ]
[00:00:27.000 --> 00:00:31.000]   >> This is Twit. This weekend tech, episode 103
[00:00:31.000 --> 00:00:37.000]   for July 1st, 2007. The good, the bad, and the iPhone.
[00:00:37.000 --> 00:00:40.000]   This weekend tech is brought to you by Audible.com.
[00:00:40.000 --> 00:00:44.000]   For your free audio book, visit Audible.com/Twit.
[00:00:44.000 --> 00:00:53.000]   [ Music ]
[00:00:53.000 --> 00:00:57.000]   >> It's time for Twit, 103, a very unusual Twit.
[00:00:57.000 --> 00:01:02.000]   We have the reigning monarchs of the gadget world on the show today,
[00:01:02.000 --> 00:01:05.000]   ladies and gentlemen. The crown jewels of gadgetry.
[00:01:05.000 --> 00:01:08.000]   I don't even know where to begin, so I'm just going to do it in
[00:01:08.000 --> 00:01:13.000]   alphabetical order, starting with Richard Baguoli, who is...
[00:01:13.000 --> 00:01:14.000]   >> Hi there.
[00:01:14.000 --> 00:01:16.000]   >> Are you editor in chief, editor? What is your title?
[00:01:16.000 --> 00:01:18.000]   >> I'm the editor in chief of wirelessinfo.com.
[00:01:18.000 --> 00:01:19.000]   >> Wireless.
[00:01:19.000 --> 00:01:20.000]   >> My minions below me.
[00:01:20.000 --> 00:01:24.000]   >> Wirelessinfo.com, which is a great site for wireless news.
[00:01:24.000 --> 00:01:27.000]   By the way, this is going to be the iPhone show.
[00:01:27.000 --> 00:01:29.000]   Give you a chance to tune out right now.
[00:01:29.000 --> 00:01:31.000]   Those of you who said enough with the iPhone hype already,
[00:01:31.000 --> 00:01:33.000]   but we've got to do one show where we really...
[00:01:33.000 --> 00:01:35.000]   Now that we all have them.
[00:01:35.000 --> 00:01:38.000]   And in fact, I think among the five panelists here,
[00:01:38.000 --> 00:01:41.000]   we've got over two dozen iPhones.
[00:01:41.000 --> 00:01:44.000]   So I think it's... I think we're pretty well equipped here.
[00:01:44.000 --> 00:01:47.000]   Welcome, Richard. It's good to have you your first time on Twit.
[00:01:47.000 --> 00:01:48.000]   Let's see. That's B-A.
[00:01:48.000 --> 00:01:52.000]   Now, B-E is Veronica Belmont from Buzz Out Loud.
[00:01:52.000 --> 00:01:55.000]   Always a welcome member of the Twit team.
[00:01:55.000 --> 00:01:56.000]   >> Hello.
[00:01:56.000 --> 00:01:59.000]   >> And also, of course, CNETTV.com.
[00:01:59.000 --> 00:02:05.000]   With her also, B-E-B-L, Ryan Block, who is the editor in chief of...
[00:02:05.000 --> 00:02:06.000]   And Gadget.
[00:02:06.000 --> 00:02:07.000]   >> Hello.
[00:02:07.000 --> 00:02:10.000]   >> The number one, I think, Gadget Blog.
[00:02:10.000 --> 00:02:12.000]   Is there any other? I don't think so.
[00:02:12.000 --> 00:02:13.000]   >> I hope not.
[00:02:13.000 --> 00:02:15.000]   >> We won't mention those other guys.
[00:02:15.000 --> 00:02:18.000]   And last but certainly not least, the L in the group,
[00:02:18.000 --> 00:02:21.000]   which is Callie Lewis from GeekBrief.TV. Hi, Callie.
[00:02:21.000 --> 00:02:22.000]   >> Hey.
[00:02:22.000 --> 00:02:24.000]   >> I'm so glad to get you all on.
[00:02:24.000 --> 00:02:28.000]   Because I can't think of really a better group to talk about the iPhone.
[00:02:28.000 --> 00:02:30.000]   We could have Devorak on.
[00:02:30.000 --> 00:02:32.000]   But I'll tell you what. Let me do what Devorak would do.
[00:02:32.000 --> 00:02:33.000]   >> Or would be the fun in that.
[00:02:33.000 --> 00:02:35.000]   >> Oh, no, but I really wanted to do it Devorak.
[00:02:35.000 --> 00:02:36.000]   >> All right. You all take turns.
[00:02:36.000 --> 00:02:37.000]   >> Devorak.
[00:02:37.000 --> 00:02:39.000]   >> I was looking forward to that as well.
[00:02:39.000 --> 00:02:40.000]   >> No fighting.
[00:02:40.000 --> 00:02:41.000]   >> I wanted to.
[00:02:41.000 --> 00:02:44.000]   >> All right. Tell me, Ryan, what would Devorak say about this?
[00:02:44.000 --> 00:02:48.000]   >> I thought that Ryan, Ryan, I thought that John Devorak.org/blog.
[00:02:48.000 --> 00:02:49.000]   >> Thank you. We're done.
[00:02:49.000 --> 00:02:51.000]   That's it. You're exactly right.
[00:02:51.000 --> 00:02:53.000]   We don't need John anymore. We can channel him.
[00:02:53.000 --> 00:02:54.000]   >> All right, John.
[00:02:54.000 --> 00:02:57.000]   >> He's been all along kind of an anti-iPhone guy.
[00:02:57.000 --> 00:02:58.000]   And I doubt very much he's changed his tune.
[00:02:58.000 --> 00:03:00.000]   And I certainly don't think he's had an iPhone.
[00:03:00.000 --> 00:03:04.000]   And I think that that was one of the critical elements for me was that everybody on this show
[00:03:04.000 --> 00:03:07.000]   at least have had an iPhone for 15 minutes.
[00:03:07.000 --> 00:03:10.000]   And I know that's you, Callie Lewis.
[00:03:10.000 --> 00:03:11.000]   >> Right.
[00:03:11.000 --> 00:03:12.000]   >> You've owned one for longer.
[00:03:12.000 --> 00:03:15.000]   >> I was so excited when I got the activation email finally.
[00:03:15.000 --> 00:03:19.000]   >> So I had an iBloc, an inactive iBloc for a little while.
[00:03:19.000 --> 00:03:20.000]   >> Wow.
[00:03:20.000 --> 00:03:23.000]   So you bought it. Did everybody wait in line here?
[00:03:23.000 --> 00:03:24.000]   >> I did.
[00:03:24.000 --> 00:03:25.000]   >> I did.
[00:03:25.000 --> 00:03:26.000]   >> Ten hours for me.
[00:03:26.000 --> 00:03:28.000]   >> Ten hours for Callie. How long Veronica?
[00:03:28.000 --> 00:03:29.000]   >> Only about five.
[00:03:29.000 --> 00:03:32.000]   >> Six for me. Richard, I know you didn't have to wait in line, right?
[00:03:32.000 --> 00:03:38.000]   >> Well, no, we did. We were out there at 3 o'clock in the morning on Friday outside the mall in Cambridge here.
[00:03:38.000 --> 00:03:39.000]   >> And Ryan.
[00:03:39.000 --> 00:03:40.000]   >> How about you, Ryan?
[00:03:40.000 --> 00:03:45.000]   >> I would say it was about ten, but I waited in a number of lines.
[00:03:45.000 --> 00:03:48.000]   We kind of did a multi-city line blog.
[00:03:48.000 --> 00:03:49.000]   >> Wow.
[00:03:49.000 --> 00:03:50.000]   >> That's what I call that.
[00:03:50.000 --> 00:03:51.000]   >> Have fun.
[00:03:51.000 --> 00:03:54.000]   >> And we just covered every single Apple store line that we could possibly do.
[00:03:54.000 --> 00:03:56.000]   So I was all over the South Bay covering different sides.
[00:03:56.000 --> 00:03:58.000]   >> Instead of live blogging, they did line blogging.
[00:03:58.000 --> 00:03:59.000]   >> I like it.
[00:03:59.000 --> 00:04:00.000]   >> So it's --
[00:04:00.000 --> 00:04:01.000]   >> I told you I'd bet you.
[00:04:01.000 --> 00:04:03.000]   >> You might say we were doing lines.
[00:04:03.000 --> 00:04:08.000]   >> Not only 24 iPhones among us, but also about 24 hours spent in line among us.
[00:04:08.000 --> 00:04:10.000]   >> And here's the joke on all of us.
[00:04:10.000 --> 00:04:14.000]   Today you could wander into an Apple store, leisurely stroll in,
[00:04:14.000 --> 00:04:17.000]   plunk down your five or six hundred bucks and walk out with an iPhone.
[00:04:17.000 --> 00:04:18.000]   >> Not so.
[00:04:18.000 --> 00:04:19.000]   >> In San Francisco.
[00:04:19.000 --> 00:04:20.000]   >> It sold out?
[00:04:20.000 --> 00:04:23.000]   >> No, there's another line out at the San Francisco store.
[00:04:23.000 --> 00:04:24.000]   >> Interesting.
[00:04:24.000 --> 00:04:25.000]   >> Yeah, but it wasn't a first time.
[00:04:25.000 --> 00:04:26.000]   >> People returning it.
[00:04:26.000 --> 00:04:30.000]   >> I wouldn't give up the experience for anything, though.
[00:04:30.000 --> 00:04:31.000]   That was amazing.
[00:04:31.000 --> 00:04:33.000]   >> It was a sense of community, wasn't it?
[00:04:33.000 --> 00:04:34.000]   >> Oh, yeah.
[00:04:34.000 --> 00:04:35.000]   It was great fun.
[00:04:35.000 --> 00:04:36.000]   >> Yeah.
[00:04:36.000 --> 00:04:37.000]   Or the closest thing all over the city.
[00:04:37.000 --> 00:04:38.000]   >> All over the city.
[00:04:38.000 --> 00:04:42.000]   >> I was a little -- I have to say I was nervous about being too public in line.
[00:04:42.000 --> 00:04:47.000]   I went to the small AT&T store in Petaluma because I didn't want to look like a fanboy.
[00:04:47.000 --> 00:04:50.000]   I didn't want to kind of blaze in my name out there as a fanboy.
