;FFMETADATA1
TYER=2007-07-08
title=TWiT 104: Locked, Unstocked, and Two Months Roaming
album=TWiT July 2007
genre=Podcast
comment=http://twit.tv/104
artist=Leo Laporte and the TWiTs
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:13:50.628"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="11003"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc2\\x90&amp\;\#x01\;&amp\;\#x15\;</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100
;FFMETADATA1
TYER=2007-07-08
title=TWiT 104: Locked, Unstocked, and Two Months Roaming
album=TWiT July 2007
genre=Podcast
comment=http://twit.tv/104
artist=Leo Laporte and the TWiTs
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:13:50.628"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="11003"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc2\\x90&amp\;\#x01\;&amp\;\#x15\;</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   >> Netcast you love.
[00:00:06.000 --> 00:00:08.000]   >> From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:14.000]   >> This is Twitt.
[00:00:14.000 --> 00:00:17.000]   >> Bandwidth for this weekend tech is provided by
[00:00:17.000 --> 00:00:22.000]   AOL Radio at AOL.com/podcasting.
[00:00:22.000 --> 00:00:27.000]   [ Music ]
[00:00:27.000 --> 00:00:31.000]   >> This is Twitt. This weekend tech, episode 104
[00:00:31.000 --> 00:00:33.000]   for July 8, 2007.
[00:00:33.000 --> 00:00:36.000]   Locked, unstocked, and two months roaming.
[00:00:36.000 --> 00:00:39.000]   This weekend tech is brought to you by Audible.com.
[00:00:39.000 --> 00:00:44.000]   For your free audio book, visit Audible.com/Twitt.
[00:00:44.000 --> 00:00:53.000]   [ Music ]
[00:00:53.000 --> 00:00:55.000]   >> It's time to to witt.
[00:00:55.000 --> 00:00:58.000]   >> Hello everybody. This weekend tech is on the air
[00:00:58.000 --> 00:01:00.000]   joining us right now from the UK.
[00:01:00.000 --> 00:01:03.000]   The only guy on the panel who can't get an iPhone.
[00:01:03.000 --> 00:01:08.000]   Mr. Will Harris from willharris.co.uk.
[00:01:08.000 --> 00:01:10.000]   Hey Will.
[00:01:10.000 --> 00:01:14.000]   And I only can't get an iPhone, but we can't hear him anymore.
[00:01:14.000 --> 00:01:15.000]   [ Laughter ]
[00:01:15.000 --> 00:01:17.000]   That's nice. That laughter in the background.
[00:01:17.000 --> 00:01:19.000]   Patrick Norton from DL.TV.
[00:01:19.000 --> 00:01:22.000]   His cohort from DL.TV is also here.
[00:01:22.000 --> 00:01:25.000]   Mr. Robert Heron, how are your eyes, Robert?
[00:01:25.000 --> 00:01:28.000]   >> My eyes are just about fully recovered.
[00:01:28.000 --> 00:01:29.000]   >> Yeah.
[00:01:29.000 --> 00:01:31.000]   >> Check up about a couple weeks ago and everything's perfect.
[00:01:31.000 --> 00:01:34.000]   >> Yeah. You don't have to sit upright anymore, huh?
[00:01:34.000 --> 00:01:37.000]   >> No. Face down. That was a challenge to say the least.
[00:01:37.000 --> 00:01:40.000]   But as far as retinal reattachment surgery goes,
[00:01:40.000 --> 00:01:42.000]   it went really, really well.
[00:01:42.000 --> 00:01:43.000]   >> I'm glad to hear it.
[00:01:43.000 --> 00:01:46.000]   We missed you. And you're back on DL.TV now.
[00:01:46.000 --> 00:01:48.000]   >> I am indeed. Although I'm on vacation right now.
[00:01:48.000 --> 00:01:49.000]   >> All right.
[00:01:49.000 --> 00:01:53.000]   Well, we've got some interesting high-def stories for you,
[00:01:53.000 --> 00:01:55.000]   in addition to the usual components news.
[00:01:55.000 --> 00:01:58.000]   Not a lot of iPhone news. Well, there's a little bit.
[00:01:58.000 --> 00:02:01.000]   Also here, actually, to tell us a story of his own,
[00:02:01.000 --> 00:02:04.000]   Scott Jordan, who we all know and have known for a long time,
[00:02:04.000 --> 00:02:06.000]   he's the founder of Scott E. Vest,
[00:02:06.000 --> 00:02:10.000]   which makes all the Twit merchandise and is a great place
[00:02:10.000 --> 00:02:12.000]   to go for geek gear.
[00:02:12.000 --> 00:02:13.000]   Hey, Scott.
[00:02:13.000 --> 00:02:14.000]   >> How you doing, Leo?
[00:02:14.000 --> 00:02:17.000]   >> I see we're on the front page of Think Geek this week.
[00:02:17.000 --> 00:02:18.000]   I like that.
[00:02:18.000 --> 00:02:21.000]   >> They got it up special today for the podcast.
[00:02:21.000 --> 00:02:22.000]   >> Oh, that's nice of them?
[00:02:22.000 --> 00:02:23.000]   >> Yeah.
[00:02:23.000 --> 00:02:25.000]   >> Thinkgeek.com or you can go to Twit.TV,
[00:02:25.000 --> 00:02:28.000]   and that's because we have those new hoodies,
[00:02:28.000 --> 00:02:30.000]   which are really nice.
[00:02:30.000 --> 00:02:33.000]   >> So it's not the USB Doomsday Device sub?
[00:02:33.000 --> 00:02:34.000]   >> Well, that too.
[00:02:34.000 --> 00:02:36.000]   >> We're going to be kind of like video watcher that will eat the screen.
[00:02:36.000 --> 00:02:38.000]   >> You can get that too.
[00:02:38.000 --> 00:02:39.000]   >> I love Think Geek. They're so great.
[00:02:39.000 --> 00:02:41.000]   We've had trouble with merchandise.
[00:02:41.000 --> 00:02:44.000]   And so finally, we just said we're going to go with the best.
[00:02:44.000 --> 00:02:46.000]   And that's, of course, Scott.
[00:02:46.000 --> 00:02:48.000]   They do great stuff. It's got to invest.
[00:02:48.000 --> 00:02:51.000]   And then for fulfillment, who better than Think Geek?
[00:02:51.000 --> 00:02:53.000]   Yeah, I like the USB Doomsday Device.
[00:02:53.000 --> 00:02:54.000]   It's right under that.
[00:02:54.000 --> 00:02:56.000]   The Twit Ultimate Hoodie Microfleece.
[00:02:56.000 --> 00:02:57.000]   Finally, we've got a--
[00:02:57.000 --> 00:03:00.000]   Now, I don't want to make it commercial for this,
[00:03:00.000 --> 00:03:05.000]   but finally, we've got a hoodie that really is just worthy of the name.
[00:03:05.000 --> 00:03:06.000]   And it's expensive.
[00:03:06.000 --> 00:03:07.000]   It's not cheap.
[00:03:07.000 --> 00:03:09.000]   But if you really want a nice fleece hoodie, this is beautiful.
[00:03:09.000 --> 00:03:10.000]   Soft.
[00:03:10.000 --> 00:03:12.000]   Thank you, Scott, for doing a nice job.
[00:03:12.000 --> 00:03:13.000]   >> All right.
[00:03:13.000 --> 00:03:14.000]   I appreciate all your support.
[00:03:14.000 --> 00:03:17.000]   I enjoy your podcast every week as well.
[00:03:17.000 --> 00:03:20.000]   >> We're going to send one to all of you guys.
[00:03:20.000 --> 00:03:24.000]   And anybody who wants one, go to twit.tv or Think Geek.com.
[00:03:24.000 --> 00:03:27.000]   So, Scott, you have a website.
[00:03:27.000 --> 00:03:29.000]   You do e-commerce.
[00:03:29.000 --> 00:03:32.000]   The Scotty Vess site is-- is it ScottyVess.com?
[00:03:32.000 --> 00:03:33.000]   >> That's right.
[00:03:33.000 --> 00:03:34.000]   Yeah.
[00:03:34.000 --> 00:03:37.000]   >> And like any sensible guy selling online,
[00:03:37.000 --> 00:03:40.000]   you wanted to put some sort of indicator on the front page
[00:03:40.000 --> 00:03:43.000]   that you-- you know, had security policies in place.
[00:03:43.000 --> 00:03:45.000]   That your credit card was safe, that kind of thing.
[00:03:45.000 --> 00:03:50.000]   You've got the verified by Geotrust and the BBB Online Reliability Program.
[00:03:50.000 --> 00:03:54.000]   But you got a little bit of trouble with-- with another one.
[00:03:54.000 --> 00:03:55.000]   What happened?
[00:03:55.000 --> 00:04:01.000]   >> Well, you know, I started seeing on just my own online shopping experience,
[00:04:01.000 --> 00:04:06.000]   all these hacker safe emblems popping up on a lot of major websites.
[00:04:06.000 --> 00:04:12.000]   And so I inquired with hacker safe, you know, what the deal was.
[00:04:12.000 --> 00:04:18.000]   And I was very interested to learn about what they do to provide a level of security
[00:04:18.000 --> 00:04:20.000]   for your visitors and whatnot.
[00:04:20.000 --> 00:04:23.000]   >> I've seen sites with that hacker safe logo on it.
[00:04:23.000 --> 00:04:29.000]   >> Yeah, it's amazing how many sites, especially recently, are using that.
[00:04:29.000 --> 00:04:33.000]   >> So what do they do to make-- I mean, how do you earn that besides getting that money?
[00:04:33.000 --> 00:04:36.000]   >> Well, I-- you effectively pay a fee, is what it amounts to.
[00:04:36.000 --> 00:04:45.000]   And a fee that is much more than most typical small e-commerce sites web hosting piece.
[00:04:45.000 --> 00:04:51.000]   It amounts about, I think it was like 1,800 bucks a year, about five bucks a day.
[00:04:51.000 --> 00:04:52.000]   And that's how they like to sell it.
[00:04:52.000 --> 00:04:53.000]   Just five bucks a day.
[00:04:53.000 --> 00:04:54.000]   >> Yeah.
[00:04:54.000 --> 00:04:59.000]   >> And it will increase your conversion rates by up to 15% they tell you.
[00:04:59.000 --> 00:05:02.000]   And, you know, I was very intrigued by it.
[00:05:02.000 --> 00:05:08.000]   I tried to find out a lot about the technology beyond, you know, just, you know, putting a symbol up
[00:05:08.000 --> 00:05:16.000]   another logo up on my website to understand what they're really providing in terms of hacker-proof material.
[00:05:16.000 --> 00:05:22.000]   And I had several phone calls with them and they had a very difficult time explaining their technology.
[00:05:22.000 --> 00:05:27.000]   It seems as though their biggest selling point was that, look who else is doing it.
[00:05:27.000 --> 00:05:28.000]   >> Right.
[00:05:28.000 --> 00:05:29.000]   >> And technology.
[00:05:29.000 --> 00:05:33.000]   >> There's no technology.
[00:05:33.000 --> 00:05:38.000]   >> Well, you know, they say they do this, that, and they scan your computer every 15 minutes.
[00:05:38.000 --> 00:05:39.000]   >> Oh, they do.
