;FFMETADATA1
artist=Leo Laporte and the TWiTs
title=TWiT 114: Ride The TWiT Party Jet
album=TWiT September 2007
genre=Podcast
comment=http://twit.tv/114
date=2007
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:07:58.268"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="10128"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc2\\x90&amp\;\#x01\;&amp\;\#x15\;</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100
;FFMETADATA1
artist=Leo Laporte and the TWiTs
title=TWiT 114: Ride The TWiT Party Jet
album=TWiT September 2007
genre=Podcast
comment=http://twit.tv/114
date=2007
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:07:58.268"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="10128"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc2\\x90&amp\;\#x01\;&amp\;\#x15\;</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   >> Netcast you love.
[00:00:06.000 --> 00:00:08.000]   >> From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:14.000]   >> This is Twit.
[00:00:14.000 --> 00:00:17.000]   >> Bandwidth for this weekend tech is provided by
[00:00:17.000 --> 00:00:22.000]   AOL Radio at AOL.com/podcasting.
[00:00:22.000 --> 00:00:27.000]   [ Music ]
[00:00:27.000 --> 00:00:31.000]   >> This is Twit. This weekend tech, episode 114
[00:00:31.000 --> 00:00:35.000]   for September 24th, 2007.
[00:00:35.000 --> 00:00:37.000]   Ride the Twit Party Jack.
[00:00:37.000 --> 00:00:40.000]   This weekend tech is brought to you by Audible.
[00:00:40.000 --> 00:00:45.000]   For your free book and a whole lot more, visit audible.com/twit.
[00:00:45.000 --> 00:00:48.000]   And don't forget your free chapter of the Chopin manuscript
[00:00:48.000 --> 00:00:53.000]   available from audible.com/freechapter.
[00:00:53.000 --> 00:00:56.000]   Ladies and gentlemen, Twit has convened and John C. Devorek has decided
[00:00:56.000 --> 00:01:00.000]   that he's going to play the bad kid in the back of the class
[00:01:00.000 --> 00:01:02.000]   throwing spit wads throughout the show today.
[00:01:02.000 --> 00:01:04.000]   >> Maybe.
[00:01:04.000 --> 00:01:06.000]   >> Just wanted to warn you, he's got his sound effects,
[00:01:06.000 --> 00:01:08.000]   he's not afraid to use him.
[00:01:08.000 --> 00:01:10.000]   Devorek.org/blog, am I correct?
[00:01:10.000 --> 00:01:12.000]   >> That's one place you can find me and you can find that.
[00:01:12.000 --> 00:01:15.000]   It's a nexus for all the other places I'm here in there.
[00:01:15.000 --> 00:01:18.000]   >> Are you getting more sensationalistic on that blog?
[00:01:18.000 --> 00:01:21.000]   >> No, not really. It's always been kind of sensationalistic.
[00:01:21.000 --> 00:01:24.000]   >> Because I just want to read you some of the headlines
[00:01:24.000 --> 00:01:28.000]   from the recent few posts.
[00:01:28.000 --> 00:01:32.000]   Idiots at Oregon DMV find common Dutch name offensive.
[00:01:32.000 --> 00:01:34.000]   Is 802.11?
[00:01:34.000 --> 00:01:35.000]   Now that's all right.
[00:01:35.000 --> 00:01:38.000]   Let's see, Bin Laden condemned by Manta.
[00:01:38.000 --> 00:01:40.000]   Maybe I was wrong.
[00:01:40.000 --> 00:01:41.000]   Here's one.
[00:01:41.000 --> 00:01:43.000]   Was John Paul the second euthanized?
[00:01:43.000 --> 00:01:44.000]   That's good.
[00:01:44.000 --> 00:01:50.000]   >> No, he was taken to a farm where you can play and run.
[00:01:50.000 --> 00:01:52.000]   You can visit him any time.
[00:01:52.000 --> 00:01:54.000]   >> He's in Donnie Uno.
[00:01:54.000 --> 00:01:55.000]   >> Look at your Uno.
[00:01:55.000 --> 00:01:58.000]   >> This is Andy Inaco from the colossal waste of bandwidth
[00:01:58.000 --> 00:02:01.000]   and of course the Chicago Sun-Times, not the same thing.
[00:02:01.000 --> 00:02:03.000]   >> Not the same thing.
[00:02:03.000 --> 00:02:05.000]   One is a simulation of mirror image.
[00:02:05.000 --> 00:02:07.000]   You can tell that the C-W-O-B has a go T,
[00:02:07.000 --> 00:02:09.000]   where ask the sun-times.com does not.
[00:02:09.000 --> 00:02:11.000]   I will leave it to you to guess which one is evil.
[00:02:11.000 --> 00:02:12.000]   >> Easy to tell, the difference.
[00:02:12.000 --> 00:02:16.000]   Is the new blog also at C-W-O-B or do you have a new URL for that?
[00:02:16.000 --> 00:02:20.000]   >> The new blog is having some secret testing done
[00:02:20.000 --> 00:02:22.000]   at the Minnesota Salt Flats.
[00:02:22.000 --> 00:02:25.000]   If you take a guess as to what the URL might be,
[00:02:25.000 --> 00:02:27.000]   you might be able to guess where it is.
[00:02:27.000 --> 00:02:29.000]   But basically it's a test bed so I can teach myself WordPress.
[00:02:29.000 --> 00:02:32.000]   Right now it is a glee, but it's getting better.
[00:02:32.000 --> 00:02:34.000]   >> I'm going to guess it's delicious.com.
[00:02:34.000 --> 00:02:35.000]   Am I right?
[00:02:35.000 --> 00:02:37.000]   >> It's actually Google.
[00:02:37.000 --> 00:02:39.000]   I bought Google last week.
[00:02:39.000 --> 00:02:40.000]   >> With 1-0.
[00:02:40.000 --> 00:02:41.000]   Tom Merritt is also here.
[00:02:41.000 --> 00:02:42.000]   You know him from Buzz Out Loud.
[00:02:42.000 --> 00:02:47.000]   He was also for many years executive editor of the Tech TV website
[00:02:47.000 --> 00:02:50.000]   and he is a published author.
[00:02:50.000 --> 00:02:52.000]   >> I is self-published, yes.
[00:02:52.000 --> 00:02:53.000]   >> Published author.
[00:02:53.000 --> 00:02:54.000]   You don't have to say this self.
[00:02:54.000 --> 00:02:55.000]   That's deprecating.
[00:02:55.000 --> 00:02:56.000]   >> Self-deprecating.
[00:02:56.000 --> 00:02:58.000]   >> Hey, Tom, you in a bucket?
[00:02:58.000 --> 00:03:00.000]   >> He's not in a bucket.
[00:03:00.000 --> 00:03:01.000]   >> He's in a bucket.
[00:03:01.000 --> 00:03:03.000]   >> Come out of the bucket.
[00:03:03.000 --> 00:03:04.000]   >> How did you know?
[00:03:04.000 --> 00:03:05.000]   >> There's a hole in the bucket.
[00:03:05.000 --> 00:03:06.000]   >> There lies a--
[00:03:06.000 --> 00:03:08.000]   >> I just downloaded-- not downloaded,
[00:03:08.000 --> 00:03:10.000]   purchased your book on Amazon.com.
[00:03:10.000 --> 00:03:11.000]   It's boiling point.
[00:03:11.000 --> 00:03:12.000]   >> What book is this?
[00:03:12.000 --> 00:03:13.000]   >> Boiling point.
[00:03:13.000 --> 00:03:14.000]   >> Brave, brave man.
[00:03:14.000 --> 00:03:15.000]   >> It's good.
[00:03:15.000 --> 00:03:17.000]   You use Lulu to publish that.
[00:03:17.000 --> 00:03:18.000]   >> I did, yes.
[00:03:18.000 --> 00:03:20.000]   >> Also, how much money you're going to lose on per book?
[00:03:20.000 --> 00:03:21.000]   >> You don't lose anybody.
[00:03:21.000 --> 00:03:24.000]   >> I actually broke even because you-- well, the way Lulu works,
[00:03:24.000 --> 00:03:28.000]   every time you publish, the person who's buying the book pays for the
[00:03:28.000 --> 00:03:29.000]   publishing.
[00:03:29.000 --> 00:03:32.000]   So you don't have to outlay anything unless you want to get an ISBN.
[00:03:32.000 --> 00:03:36.000]   You pay 50 bucks to get an ISBN and I've sold enough to pay for the ISBN.
[00:03:36.000 --> 00:03:37.000]   So even--
[00:03:37.000 --> 00:03:38.000]   >> Is that the ISBN--
[00:03:38.000 --> 00:03:39.000]   >> You sold 50 bucks worth?
[00:03:39.000 --> 00:03:40.000]   Is that what you're saying?
[00:03:40.000 --> 00:03:41.000]   >> Yeah.
[00:03:41.000 --> 00:03:42.000]   >> To me alone.
[00:03:42.000 --> 00:03:44.000]   >> I looked at those Lulu terms I thought they should do.
[00:03:44.000 --> 00:03:45.000]   >> They're not going to be done.
[00:03:45.000 --> 00:03:47.000]   >> No, Lulu, no, Lulu's been on demand.
[00:03:47.000 --> 00:03:51.000]   >> You can keep all the intellectual property and you don't pay anything out front.
[00:03:51.000 --> 00:03:52.000]   >> You don't get any royalty.
[00:03:52.000 --> 00:03:55.000]   They take like a piece of the action and they do this.
[00:03:55.000 --> 00:03:55.000]   >> Wait a minute, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no,
[00:03:55.000 --> 00:04:25.000]   >> No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no,
[00:04:25.000 --> 00:04:45.000]   >> No.
[00:04:45.000 --> 00:04:52.000]   >> I like Lulu.
[00:04:52.000 --> 00:04:59.000]   This is Michael Rogers.
[00:04:59.000 --> 00:05:00.000]   >> Red Hat guy.
[00:05:00.000 --> 00:05:02.000]   That's-- I confuse the two.
[00:05:02.000 --> 00:05:04.000]   >> Red Hat MP3.com.
[00:05:04.000 --> 00:05:06.000]   >> They're both, you know, guys.
[00:05:06.000 --> 00:05:09.000]   >> You spent the past six minutes just poking holes in your boat.
[00:05:09.000 --> 00:05:10.000]   I'm sure it's a great book.
[00:05:10.000 --> 00:05:12.000]   I'm sure you can have a good time publishing it.
