;FFMETADATA1
album=TWiT October 2007
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/116
genre=Podcast
title=TWiT 116: Dvorak's Pulled Pork
date=2007
encoder=Lavf58.76.100
;FFMETADATA1
album=TWiT October 2007
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/116
genre=Podcast
title=TWiT 116: Dvorak's Pulled Pork
date=2007
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   NetCasts you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:13.000]   This is Twit.
[00:00:13.000 --> 00:00:17.000]   Bandwidth for this weekend tech is provided by
[00:00:17.000 --> 00:00:22.000]   AOL Radio at AOL.com/podcasting.
[00:00:22.000 --> 00:00:27.000]   [ Music ]
[00:00:27.000 --> 00:00:31.000]   This is Twit. This weekend tech, Episode 116
[00:00:31.000 --> 00:00:34.000]   for October 8, 2007.
[00:00:34.000 --> 00:00:36.000]   Devorax Pulled Pork.
[00:00:36.000 --> 00:00:40.000]   This weekend tech is brought to you by Audible.
[00:00:40.000 --> 00:00:45.000]   For your free book and a whole lot more, visit audible.com/twit.
[00:00:45.000 --> 00:00:48.000]   And don't forget your free chapter of the Chopin manuscript
[00:00:48.000 --> 00:00:53.000]   available from audible.com/freechapter.
[00:00:53.000 --> 00:00:57.000]   This is Twit, this weekend tech, Episode 116.
[00:00:57.000 --> 00:01:03.000]   And for the first time ever, I actually have a title for the show before the show even begins.
[00:01:03.000 --> 00:01:06.000]   Zoom rhymes with doom.
[00:01:06.000 --> 00:01:08.000]   Is that right, Kevin Crewell?
[00:01:08.000 --> 00:01:09.000]   That's the CNET.
[00:01:09.000 --> 00:01:11.000]   I'm an homage to CNET there.
[00:01:11.000 --> 00:01:12.000]   And I'm homage, yes.
[00:01:12.000 --> 00:01:13.000]   Oh my gosh.
[00:01:13.000 --> 00:01:17.000]   Yes, that's one of the CNET writers that had proclaimed.
[00:01:17.000 --> 00:01:20.000]   Yeah, it doesn't really rhyme, come on.
[00:01:20.000 --> 00:01:23.000]   Oh, Mr. Literature Professor John C. Devorax.
[00:01:23.000 --> 00:01:26.000]   Let me introduce the panel and then we'll get to the bickering.
[00:01:26.000 --> 00:01:27.000]   Kevin Crewell is back.
[00:01:27.000 --> 00:01:29.000]   He is, of course, at NVIDIA.
[00:01:29.000 --> 00:01:32.000]   Before that, the editor-in-chief of the Microprocessor Report
[00:01:32.000 --> 00:01:36.000]   and often one-time contributor to Twit.
[00:01:36.000 --> 00:01:38.000]   We just kind of lost track of you, Kevin.
[00:01:38.000 --> 00:01:39.000]   Thank you.
[00:01:39.000 --> 00:01:40.000]   Thanks for having me back.
[00:01:40.000 --> 00:01:45.000]   But you've been commenting on my blog, LeoVille.com/blog quite a bit, so I thought, well, here's a man with taste.
[00:01:45.000 --> 00:01:47.000]   [ Laughter ]
[00:01:47.000 --> 00:01:48.000]   I've been haunting you.
[00:01:48.000 --> 00:01:50.000]   And I just wanted to get that in.
