;FFMETADATA1
album=TWiT May 2008
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/143
genre=Podcast
title=TWiT 143: Rasberry Crazy Ants
date=2008
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:40:39.564"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="14999"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc2\\x90&amp\;\#x01\;&amp\;\#x15\;</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100
;FFMETADATA1
album=TWiT May 2008
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/143
genre=Podcast
title=TWiT 143: Rasberry Crazy Ants
date=2008
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:40:39.564"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="14999"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc2\\x90&amp\;\#x01\;&amp\;\#x15\;</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   >> Netcast you love.
[00:00:06.000 --> 00:00:08.000]   >> From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:14.000]   >> This is Twit.
[00:00:14.000 --> 00:00:17.000]   >> Bandwidth for this weekend tech is provided by
[00:00:17.000 --> 00:00:22.000]   AOL Radio at AOL.com/podcasting.
[00:00:22.000 --> 00:00:27.000]   [ Music ]
[00:00:27.000 --> 00:00:31.000]   >> This is Twit, this weekend tech, episode 143
[00:00:31.000 --> 00:00:33.000]   from May 19, 2008.
[00:00:33.000 --> 00:00:36.000]   Raspberry Crazy Ants.
[00:00:36.000 --> 00:00:39.000]   This weekend tech is brought to you by Audible.com.
[00:00:39.000 --> 00:00:44.000]   For your free audio book, visit Audible.com/Twit.
[00:00:44.000 --> 00:00:48.000]   And by listeners like you, thanks for your donations.
[00:00:48.000 --> 00:00:52.000]   [ Music ]
[00:00:52.000 --> 00:00:54.000]   >> Welcome to Twit.
[00:00:54.000 --> 00:00:56.000]   We started the show like 10 minutes ago.
[00:00:56.000 --> 00:00:58.000]   John C. Devorak is here.
[00:00:58.000 --> 00:01:00.000]   John's going to see you again back from Korea
[00:01:00.000 --> 00:01:02.000]   at Devorak.org/blog.
[00:01:02.000 --> 00:01:03.000]   >> Exactly.
[00:01:03.000 --> 00:01:04.000]   >> Exactly.
[00:01:04.000 --> 00:01:07.000]   >> Also the real Devorak on Twitter.
[00:01:07.000 --> 00:01:09.000]   >> The real Devorak.
[00:01:09.000 --> 00:01:11.000]   Is there a fake Devorak?
[00:01:11.000 --> 00:01:13.000]   >> Well, there's somebody else named it.
[00:01:13.000 --> 00:01:14.000]   There's a couple of Devorak.
[00:01:14.000 --> 00:01:17.000]   There's somebody even named themselves the real Devorak's
[00:01:17.000 --> 00:01:19.000]   misspelling Devorak.
[00:01:19.000 --> 00:01:21.000]   >> Well, he's real for him.
[00:01:21.000 --> 00:01:23.000]   Maybe he's not you, Devorak.
[00:01:23.000 --> 00:01:25.000]   >> So Devorak.org/blog.
[00:01:25.000 --> 00:01:30.000]   Also with us, John's nemesis, his Bettenoir,
[00:01:30.000 --> 00:01:34.000]   Jason Calicanis, all the way from Sydney.
[00:01:34.000 --> 00:01:35.000]   Where it is, 8 in the morning.
[00:01:35.000 --> 00:01:36.000]   >> I know that, mate.
[00:01:36.000 --> 00:01:37.000]   >> Hey, mate.
[00:01:37.000 --> 00:01:38.000]   >> Hey, square hair.
[00:01:38.000 --> 00:01:39.000]   >> Push it on the bobbin thing.
[00:01:39.000 --> 00:01:42.000]   >> Have they told you about no walking furries yet?
[00:01:42.000 --> 00:01:44.000]   >> Yeah, I drop bass and whatnot.
[00:01:44.000 --> 00:01:46.000]   I come from a land down under.
[00:01:46.000 --> 00:01:47.000]   >> I had somebody --
[00:01:47.000 --> 00:01:48.000]   >> I had somebody who was in Australia.
[00:01:48.000 --> 00:01:50.000]   I said, "Do you hate that song?"
[00:01:50.000 --> 00:01:52.000]   They said, "No, we wish we were the national anthem."
[00:01:52.000 --> 00:01:53.000]   >> Love that song.
[00:01:53.000 --> 00:01:55.000]   >> Great song, man, at work.
[00:01:55.000 --> 00:01:58.000]   Mr. Patrick Norton from Tekzilla is also here.
[00:01:58.000 --> 00:01:59.000]   Hey, Patrick.
[00:01:59.000 --> 00:02:00.000]   >> Hey, man.
[00:02:00.000 --> 00:02:02.000]   >> Good to have you aboard.
[00:02:02.000 --> 00:02:03.000]   >> Pleasure to be here.
[00:02:03.000 --> 00:02:04.000]   >> Also --
[00:02:04.000 --> 00:02:05.000]   >> Baby explodes.
[00:02:05.000 --> 00:02:06.000]   I'll cut out.
[00:02:06.000 --> 00:02:07.000]   You want to have so many people on here.
[00:02:07.000 --> 00:02:08.000]   >> Oh, no, I like having this many people.
[00:02:08.000 --> 00:02:10.000]   It's a part-day.
[00:02:10.000 --> 00:02:14.000]   And also, we want to welcome a new Twitter who didn't know
[00:02:14.000 --> 00:02:16.000]   what he was getting into.
[00:02:16.000 --> 00:02:19.000]   Mr. Dwight Silverman, who you've seen in the Houston Chronicle,
[00:02:19.000 --> 00:02:20.000]   he's their tech reporter.
[00:02:20.000 --> 00:02:23.000]   He's also a blogger there at the Houston Chronicle website.
[00:02:23.000 --> 00:02:25.000]   And I've been reading your stuff and following you on
[00:02:25.000 --> 00:02:28.000]   Twitter for some time, and I'm so glad we could get you on the show.
[00:02:28.000 --> 00:02:29.000]   >> Well, thank you for having me.
[00:02:29.000 --> 00:02:31.000]   This is a real honor.
[00:02:31.000 --> 00:02:35.000]   >> So I think now this is officially -- except for you, Patrick,
[00:02:35.000 --> 00:02:37.000]   the old guy show.
[00:02:37.000 --> 00:02:40.000]   I guess, Jason, you're not an old guy yet.
[00:02:40.000 --> 00:02:41.000]   >> Hello, Leo.
[00:02:41.000 --> 00:02:43.000]   >> Actually, I'm pretty sure Jason is younger than I am.
[00:02:43.000 --> 00:02:44.000]   >> Also --
[00:02:44.000 --> 00:02:45.000]   >> Also --
[00:02:45.000 --> 00:02:46.000]   >> -- just an old soul.
[00:02:46.000 --> 00:02:47.000]   >> Speaking of old guys --
[00:02:47.000 --> 00:02:48.000]   >> 37.
[00:02:48.000 --> 00:02:49.000]   >> 37, yeah.
[00:02:49.000 --> 00:02:50.000]   Anybody under 40 is it.
[00:02:50.000 --> 00:02:53.000]   So we got a little balance on the panel, thanks to you and,
[00:02:53.000 --> 00:02:54.000]   Patrick.
[00:02:54.000 --> 00:02:55.000]   Also, Doug, can you just join us?
[00:02:55.000 --> 00:02:56.000]   >> You should be coming up.
[00:02:56.000 --> 00:02:57.000]   >> Hold on a second.
[00:02:57.000 --> 00:02:58.000]   Let me say hi to Doug.
[00:02:58.000 --> 00:02:59.000]   >> Hey, Leo, how are you?
[00:02:59.000 --> 00:03:00.000]   >> Doug, okay, from IT Conversations.
[00:03:00.000 --> 00:03:02.000]   >> And I'm the oldest one of all all bit.
[00:03:02.000 --> 00:03:03.000]   >> Well, maybe not.
[00:03:03.000 --> 00:03:04.000]   >> I don't know.
[00:03:04.000 --> 00:03:05.000]   >> I'm some old guys on it.
[00:03:05.000 --> 00:03:06.000]   There's some old parts of this.
[00:03:06.000 --> 00:03:07.000]   >> I don't know.
[00:03:07.000 --> 00:03:08.000]   Maybe Dwight.
[00:03:08.000 --> 00:03:09.000]   I'm 59.
[00:03:09.000 --> 00:03:10.000]   >> Can you all hear Mr. K?
[00:03:10.000 --> 00:03:12.000]   >> Yeah, he sounds good, actually.
[00:03:12.000 --> 00:03:14.000]   He sounds better than Calicannis.
[00:03:14.000 --> 00:03:15.000]   >> You know why?
[00:03:15.000 --> 00:03:16.000]   >> That's just genetic.
[00:03:16.000 --> 00:03:17.000]   >> That's because he's --
[00:03:17.000 --> 00:03:19.000]   >> He's a better voice than Calicannis.
[00:03:19.000 --> 00:03:20.000]   >> He's down the road.
[00:03:20.000 --> 00:03:21.000]   Jason's in Sydney.
[00:03:21.000 --> 00:03:22.000]   >> That's right.
[00:03:22.000 --> 00:03:24.000]   It's early in the morning there.
[00:03:24.000 --> 00:03:27.000]   Hey, by the way, in breaking news story, BBC News coming out
[00:03:27.000 --> 00:03:31.000]   right now, apparently Microsoft's mowing a fresh Yahoo deal as we
[00:03:31.000 --> 00:03:32.000]   speak.
[00:03:32.000 --> 00:03:35.000]   >> Yeah, yeah, I've been watching this on Tech meme.
[00:03:35.000 --> 00:03:37.000]   It's bumbling up.
[00:03:37.000 --> 00:03:41.000]   But they say they wouldn't consider an acquisition anymore.
[00:03:41.000 --> 00:03:43.000]   Now, this has come from the Carl Icahn.
[00:03:43.000 --> 00:03:46.000]   Carl Icahn announced last week that he was going to replace the
[00:03:46.000 --> 00:03:50.000]   Yahoo board with his own hand-picked people or tried to get the --
[00:03:50.000 --> 00:03:55.000]   you'd have to get the stockholders to do that, including Mark Cuban,
[00:03:55.000 --> 00:03:57.000]   which cracks me up.
[00:03:57.000 --> 00:03:59.000]   >> Yeah, I think -- I wrote about this in market watching.
[00:03:59.000 --> 00:04:01.000]   It's a very good column if you want to read my take on it.
[00:04:01.000 --> 00:04:05.000]   I think the whole idea was to put Mark Cuban as the new CEO and
[00:04:05.000 --> 00:04:08.000]   then sell off the company in bits and pieces over the next six
[00:04:08.000 --> 00:04:10.000]   months before the basketball season began again.
[00:04:10.000 --> 00:04:11.000]   >> Press release came out today.
[00:04:11.000 --> 00:04:12.000]   Microsoft doesn't do Sunday.
[00:04:12.000 --> 00:04:13.000]   Press release is very often.
[00:04:13.000 --> 00:04:15.000]   This must be a first.
