;FFMETADATA1
album=TWiT June 2008
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/145
genre=Podcast
title=TWiT 145: Deadly SYNs
date=2008
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:23:53.555"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="12500"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc2\\x90&amp\;\#x01\;&amp\;\#x15\;</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100
;FFMETADATA1
album=TWiT June 2008
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/145
genre=Podcast
title=TWiT 145: Deadly SYNs
date=2008
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:23:53.555"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="12500"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc2\\x90&amp\;\#x01\;&amp\;\#x15\;</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   >> Netcast you love.
[00:00:06.000 --> 00:00:08.000]   >> From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:14.000]   >> This is Twit.
[00:00:14.000 --> 00:00:17.000]   >> Bandwidth for this weekend tech is provided by
[00:00:17.000 --> 00:00:22.000]   AOL Radio at AOL.com/podcasting.
[00:00:22.000 --> 00:00:27.000]   [ Music ]
[00:00:27.000 --> 00:00:31.000]   >> This is Twit, this weekend tech, episode 145
[00:00:31.000 --> 00:00:35.000]   for June 2, 2008, Gedley Sins.
[00:00:35.000 --> 00:00:37.000]   [ Music ]
[00:00:37.000 --> 00:00:40.000]   >> This weekend tech is brought to you by Audible.com.
[00:00:40.000 --> 00:00:44.000]   For your free audio book, visit Audible.com/Twit.
[00:00:44.000 --> 00:00:48.000]   And by listeners like you, thanks for your donations.
[00:00:48.000 --> 00:00:52.000]   [ Music ]
[00:00:52.000 --> 00:00:54.000]   >> It's time for Twit, ladies and gentlemen,
[00:00:54.000 --> 00:00:58.000]   a very big show today. It's a revision, all revision 3 show.
[00:00:58.000 --> 00:01:01.000]   I'm Leo LaPorte, and joining us for the first time ever,
[00:01:01.000 --> 00:01:05.000]   I don't know how in 145 episodes we've never had him on the show.
[00:01:05.000 --> 00:01:08.000]   Ladies and gentlemen, Mr. Jim Lauterbeck, the CEO of Revision 3.
[00:01:08.000 --> 00:01:11.000]   >> It's great to be, I can't tell you how excited I am to be here.
[00:01:11.000 --> 00:01:12.000]   It's awesome.
[00:01:12.000 --> 00:01:15.000]   >> Oh, I apologize profusely for never getting you on.
[00:01:15.000 --> 00:01:18.000]   I don't know how, I don't know what happened.
[00:01:18.000 --> 00:01:21.000]   But anyway, I think because you're a CEO, I don't want to have a CEO on the show.
[00:01:21.000 --> 00:01:24.000]   >> I was just living vicariously through Patrick's experience.
[00:01:24.000 --> 00:01:27.000]   >> Well, what's the excuse for never having me on the show then, Leo?
[00:01:27.000 --> 00:01:28.000]   >> Wait a minute.
[00:01:28.000 --> 00:01:29.000]   >> Not a CEO.
[00:01:29.000 --> 00:01:31.000]   >> Is that Martin's? How do you get into my system?
[00:01:31.000 --> 00:01:33.000]   Martin Sargent?
[00:01:33.000 --> 00:01:37.000]   >> Well, it's Carmine Gallo on a valuable weekend, so you called me.
[00:01:37.000 --> 00:01:39.000]   >> I think that's it.
[00:01:39.000 --> 00:01:45.000]   Marty is one of the stars of Revision 3, Revision3.com of Internet Superstar.
[00:01:45.000 --> 00:01:47.000]   Do you still do WebDrifter? Is that in hiatus?
[00:01:47.000 --> 00:01:49.000]   >> WebDrifter is on hiatus right now.
[00:01:49.000 --> 00:01:51.000]   We're going to start WebDrifter in the fall.
[00:01:51.000 --> 00:01:52.000]   Love everyone in chat.
[00:01:52.000 --> 00:01:54.000]   That's actually my favorite show I've ever done.
[00:01:54.000 --> 00:01:56.000]   Revision3.com/webdrifter.
[00:01:56.000 --> 00:01:57.000]   Travel around the country.
[00:01:57.000 --> 00:01:59.000]   Go behind the website and create these websites out there.
[00:01:59.000 --> 00:02:02.000]   >> I guess you can't do that all the time because it takes a lot of travel.
[00:02:02.000 --> 00:02:03.000]   >> It is.
[00:02:03.000 --> 00:02:05.000]   It's really intensive, but it's super fun.
[00:02:05.000 --> 00:02:06.000]   Check it out.
[00:02:06.000 --> 00:02:08.000]   >> Wait a Carmine Gallo is on this guy here.
[00:02:08.000 --> 00:02:09.000]   Wait, oh no, I'm sorry.
[00:02:09.000 --> 00:02:10.000]   I must have been wrong.
[00:02:10.000 --> 00:02:11.000]   Wrong number.
[00:02:11.000 --> 00:02:14.000]   I do know how to get in touch with Carmine Gallo if you'd like him on.
[00:02:14.000 --> 00:02:15.000]   I think we all do.
[00:02:15.000 --> 00:02:17.000]   >> He's in my shed right now.
[00:02:17.000 --> 00:02:19.000]   >> Also here, another star from Revision3.
[00:02:19.000 --> 00:02:22.000]   Mr. Patrick Norton of Tekzilla and System fame.
[00:02:22.000 --> 00:02:23.000]   Hey Patrick.
[00:02:23.000 --> 00:02:24.000]   Hey Leo.
[00:02:24.000 --> 00:02:26.000]   And an original Twit going back to day one.
[00:02:26.000 --> 00:02:28.000]   By the way, I want to correct you, Marty.
[00:02:28.000 --> 00:02:30.000]   You have been on Twit before you know you have.
[00:02:30.000 --> 00:02:33.000]   >> Ah, I know, but I don't think it really counted.
[00:02:33.000 --> 00:02:34.000]   >> It counted.
[00:02:34.000 --> 00:02:40.000]   >> I showed up at the podcast expo and I said my piece for about 20 seconds, which was probably
[00:02:40.000 --> 00:02:43.000]   one more time than I'll get into this conversation too.
[00:02:43.000 --> 00:02:44.000]   But it was fun.
[00:02:44.000 --> 00:02:45.000]   We did it.
[00:02:45.000 --> 00:02:46.000]   It was a huge panel.
[00:02:46.000 --> 00:02:49.000]   And I came the wrong week, remember?
[00:02:49.000 --> 00:02:52.000]   I showed up a week before and I was in the parking lot.
[00:02:52.000 --> 00:02:54.000]   It's completely empty.
[00:02:54.000 --> 00:02:55.000]   >> It's really cool.
[00:02:55.000 --> 00:02:56.000]   >> Down in Ontario.
[00:02:56.000 --> 00:02:57.000]   >> Yeah.
[00:02:57.000 --> 00:02:58.000]   >> I'm excited I was to be on Twit.
[00:02:58.000 --> 00:03:01.000]   >> We drove all the way from LA to Ontario.
[00:03:01.000 --> 00:03:02.000]   There's nobody there.
[00:03:02.000 --> 00:03:04.000]   I felt for you, Marty.
[00:03:04.000 --> 00:03:05.000]   I really did.
[00:03:05.000 --> 00:03:10.000]   No, you know, the reason I haven't invited you per se, and that gets so much true of Jim,
[00:03:10.000 --> 00:03:15.000]   is I try to kind of, it's mostly working press kind of, you know, it's a new tech news stuff.
[00:03:15.000 --> 00:03:17.000]   And by the way, and I get lazy.
[00:03:17.000 --> 00:03:19.000]   You know, it's a war active, war active, war active.
[00:03:19.000 --> 00:03:20.000]   So John couldn't make it this week.
[00:03:20.000 --> 00:03:21.000]   I thought, what the heck?
[00:03:21.000 --> 00:03:28.000]   Now, in the chat room, by the way, and if you've not watched or Twit Live before, we do this
[00:03:28.000 --> 00:03:31.000]   live now at twitlive.tv and we have two chat rooms.
[00:03:31.000 --> 00:03:33.000]   We have a stickam chat room, which is full of people.
[00:03:33.000 --> 00:03:35.000]   It's 500 people in there.
[00:03:35.000 --> 00:03:38.000]   And we also have a chat room at irc.dslxtreme.com.
[00:03:38.000 --> 00:03:39.000]   There is room there.
[00:03:39.000 --> 00:03:44.000]   That chat room is a pound tech live.
[00:03:44.000 --> 00:03:47.000]   And you can join us there next, Arians in that chat room.
[00:03:47.000 --> 00:03:48.000]   He says, wait a minute.
[00:03:48.000 --> 00:03:50.000]   It's not an all revision three show.
[00:03:50.000 --> 00:03:52.000]   You're not revision three, Leo.
[00:03:52.000 --> 00:03:54.000]   And I guess that's true.
[00:03:54.000 --> 00:03:56.000]   So, coming over.
[00:03:56.000 --> 00:03:58.000]   You will be someday.
[00:03:58.000 --> 00:03:59.000]   We'd like to make an announcement.
[00:03:59.000 --> 00:04:01.000]   No, I'm not going to make an announcement.
[00:04:01.000 --> 00:04:03.000]   You know what I was really, go ahead.
[00:04:03.000 --> 00:04:05.000]   Can you, I get a, I get a favor to ask for you and Marty.
[00:04:05.000 --> 00:04:06.000]   Yes.
[00:04:06.000 --> 00:04:11.000]   I've gotten like 125 emails asking about, quote, the few.
[00:04:11.000 --> 00:04:12.000]   It worked, Marty.
[00:04:12.000 --> 00:04:14.000]   I know we were going to talk about the few.
[00:04:14.000 --> 00:04:16.000]   It worked, Marty.
[00:04:16.000 --> 00:04:17.000]   It all, it all started.
[00:04:17.000 --> 00:04:19.000]   There's never been a, I'm going to tell you right now.
[00:04:19.000 --> 00:04:21.000]   There's never been a few between me and Marty.
[00:04:21.000 --> 00:04:22.000]   In fact, I adore Marty.
[00:04:22.000 --> 00:04:23.000]   I think you know that, Marty.
[00:04:23.000 --> 00:04:25.000]   Yes, Leo.
[00:04:25.000 --> 00:04:28.000]   And maybe a little, maybe a little too much.
[00:04:28.000 --> 00:04:31.000]   But the, what happened is on Twitter, I made a joke.
[00:04:31.000 --> 00:04:33.000]   And it's a, it's a bad old joke.
[00:04:33.000 --> 00:04:35.000]   I've made many times about a restraining order.
[00:04:35.000 --> 00:04:37.000]   And I thought, God, everybody's going to know that's a joke.
[00:04:37.000 --> 00:04:40.000]   Except Marty sends me an email saying, what did you do?
[00:04:40.000 --> 00:04:41.000]   What did you do?
[00:04:41.000 --> 00:04:44.000]   Put Seagull, poop in my, my food at the ramp.
[00:04:44.000 --> 00:04:45.000]   What did you do?
[00:04:45.000 --> 00:04:46.000]   No idea what you're talking about.
