;FFMETADATA1
album=TWiT July 2008
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/150
genre=Podcast
title=TWiT 150: Hello 206.220.43.92
date=2008
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:36:44.802"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="14416"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc2\\x90&amp\;\#x01\;&amp\;\#x15\;</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100
;FFMETADATA1
album=TWiT July 2008
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/150
genre=Podcast
title=TWiT 150: Hello 206.220.43.92
date=2008
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:36:44.802"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="14416"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc2\\x90&amp\;\#x01\;&amp\;\#x15\;</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:13.000]   This is Twit.
[00:00:13.000 --> 00:00:17.000]   Bandwidth for this weekend tech is provided by
[00:00:17.000 --> 00:00:22.000]   AOL Radio at AOL.com/podcasting.
[00:00:22.000 --> 00:00:27.000]   [ Music ]
[00:00:27.000 --> 00:00:34.000]   This is Twit. This weekend tech, episode 150 for July 7th, 2008.
[00:00:34.000 --> 00:00:39.000]   Hello 206.220.43.92.
[00:00:39.000 --> 00:00:43.000]   This weekend tech is brought to you by Audible.com.
[00:00:43.000 --> 00:00:47.000]   For your free audio book, visit audible.com/twit.
[00:00:47.000 --> 00:00:51.000]   And by Go To Meeting, for your free 30-day trial,
[00:00:51.000 --> 00:00:55.000]   visit gotomeeting.com/twit.
[00:00:55.000 --> 00:00:57.000]   And by listeners like you.
[00:00:57.000 --> 00:00:59.000]   Thanks for your donations.
[00:00:59.000 --> 00:01:04.000]   This is Twit, episode 150, our Cescuiset Tenial Edition,
[00:01:04.000 --> 00:01:08.000]   and joining us today on this Fourth of July Independence Day weekend,
[00:01:08.000 --> 00:01:11.000]   which is meaningless to everybody except those of us in North.
[00:01:11.000 --> 00:01:15.000]   The North-Sawthorn East-West part of below the 49th parallel
[00:01:15.000 --> 00:01:17.000]   and above the...anyway.
[00:01:17.000 --> 00:01:20.000]   It is joining us on the panel today, Jason Calicanis,
[00:01:20.000 --> 00:01:23.000]   the lovely and talented Mahalo Man.
[00:01:23.000 --> 00:01:25.000]   Hey, Jason.
[00:01:25.000 --> 00:01:27.000]   How you doing, Leo? Thanks for having me back.
[00:01:27.000 --> 00:01:28.000]   So glad to get you back on.
[00:01:28.000 --> 00:01:32.000]   I apologize for the length of time between visits.
[00:01:32.000 --> 00:01:36.000]   But popular demand has said he has to come back.
[00:01:36.000 --> 00:01:40.000]   I think the tide has changed since sweat 57.
[00:01:40.000 --> 00:01:41.000]   It is.
[00:01:41.000 --> 00:01:42.000]   You know what?
[00:01:42.000 --> 00:01:44.000]   People tell me this all the time.
[00:01:44.000 --> 00:01:45.000]   They said, "Boy, I first hated..."
[00:01:45.000 --> 00:01:48.000]   When I first heard Jason on Twit 57, I hated him.
[00:01:48.000 --> 00:01:50.000]   Now I love him.
[00:01:50.000 --> 00:01:51.000]   Right.
[00:01:51.000 --> 00:01:53.000]   You conscious...
[00:01:53.000 --> 00:01:55.000]   Typically how my life goes, people are like...
[00:01:55.000 --> 00:01:58.000]   They say, "I really enjoy hanging out with you."
[00:01:58.000 --> 00:02:00.000]   It's incredible because when I first met you,
[00:02:00.000 --> 00:02:02.000]   I just thought you were the biggest beep.
[00:02:02.000 --> 00:02:05.000]   What is that? Why is that?
[00:02:05.000 --> 00:02:07.000]   Yeah, why is that?
[00:02:07.000 --> 00:02:10.000]   I guess my therapist this week was...
[00:02:10.000 --> 00:02:12.000]   Everybody hate me the first day and then love me the second.
[00:02:12.000 --> 00:02:14.000]   Let's ask Tom Merritt who still hates you.
[00:02:14.000 --> 00:02:16.000]   Tom Merritt from Buzz Out Loud and CNET TV.
[00:02:16.000 --> 00:02:17.000]   Hi, Tom.
[00:02:17.000 --> 00:02:18.000]   Hey, Leo.
[00:02:18.000 --> 00:02:19.000]   No, I don't hate anybody.
[00:02:19.000 --> 00:02:25.000]   I was thinking that reminded me of the movie Hancock in reverse though because I love the first half of it but then hated the second.
[00:02:25.000 --> 00:02:27.000]   Oh, I'm disappointed.
[00:02:27.000 --> 00:02:29.000]   You're like the opposite of Hancock.
[00:02:29.000 --> 00:02:31.000]   So he starts out as superhero ends up a bum?
[00:02:31.000 --> 00:02:33.000]   Well...
[00:02:33.000 --> 00:02:34.000]   Or the other way around.
[00:02:34.000 --> 00:02:38.000]   He liked and unliked of the movie going popular, yeah.
[00:02:38.000 --> 00:02:43.000]   Tom is the host of Buzz Out Loud on CNET TV soon to be the anchor of CBS Evening News.
[00:02:43.000 --> 00:02:44.000]   No, that would be Molly.
[00:02:44.000 --> 00:02:47.000]   So it's like that katie character out of there.
[00:02:47.000 --> 00:02:48.000]   Molly may be.
[00:02:48.000 --> 00:02:49.000]   Molly's good.
[00:02:49.000 --> 00:02:50.000]   Love Molly.
[00:02:50.000 --> 00:02:53.000]   She's out of town, I think, this week.
[00:02:53.000 --> 00:02:54.000]   That is correct.
[00:02:54.000 --> 00:02:56.000]   She went to get in line for the iPhone.
[00:02:56.000 --> 00:02:58.000]   They're lining up already in New Zealand.
[00:02:58.000 --> 00:03:00.000]   We'll talk about that in a second.
[00:03:00.000 --> 00:03:04.000]   Also here from the Houston Chronicle, Mr. Dwight Silverman.
[00:03:04.000 --> 00:03:07.000]   Leo, please, no spoilers on these movies.
[00:03:07.000 --> 00:03:08.000]   I haven't seen either of them.
[00:03:08.000 --> 00:03:09.000]   I haven't either.
[00:03:09.000 --> 00:03:10.000]   I haven't either.
[00:03:10.000 --> 00:03:12.000]   So I'm with you on that.
[00:03:12.000 --> 00:03:15.000]   Although my wife hated Wally, she said it was too grim, it was too industrial.
[00:03:15.000 --> 00:03:16.000]   She wasn't into it.
[00:03:16.000 --> 00:03:19.000]   And she seems like the only person in the world who hated it.
[00:03:19.000 --> 00:03:21.000]   A Pixar movie that was grim?
[00:03:21.000 --> 00:03:23.000]   I know, it doesn't sound right, does it?
[00:03:23.000 --> 00:03:24.000]   No.
[00:03:24.000 --> 00:03:29.000]   But she went with her little mentee who's a second grader and she loved it, so there you go.
[00:03:29.000 --> 00:03:31.000]   Grim enough for the second grader.
[00:03:31.000 --> 00:03:32.000]   Yeah, exactly.
[00:03:32.000 --> 00:03:35.000]   Hey, how are the Raspberry Crazy Ants in Houston, by the way?
[00:03:35.000 --> 00:03:36.000]   We've got them on the run.
[00:03:36.000 --> 00:03:37.000]   You're winning?
[00:03:37.000 --> 00:03:42.000]   We're well-known, but we have a weapon.
[00:03:42.000 --> 00:03:43.000]   We have a weapon.
[00:03:43.000 --> 00:03:44.000]   They're too crazy for us.
[00:03:44.000 --> 00:03:46.000]   I think it was 1.43.
[00:03:46.000 --> 00:03:52.400]   It was the first one I was on and we talked about these Raspberry Crazy Ants, which are
[00:03:52.400 --> 00:03:54.760]   these little bizarre ants.
[00:03:54.760 --> 00:03:56.080]   They don't move in a straight line.
[00:03:56.080 --> 00:03:57.840]   They move at different angles.
[00:03:57.840 --> 00:04:00.680]   And they just act crazy and they love electronics.
[00:04:00.680 --> 00:04:07.160]   They've been crawling into people's computers and anything that has an electronic signal.
[00:04:07.160 --> 00:04:10.400]   And they've been driving people crazy here.
[00:04:10.400 --> 00:04:22.000]   They can easily take over a house and the EPA gave an emergency approval to a new pesticide
[00:04:22.000 --> 00:04:24.120]   for use with them called Fipranil.
[00:04:24.120 --> 00:04:25.520]   Oh, that's good.
[00:04:25.520 --> 00:04:27.840]   And so now we have something that can deal with them.
[00:04:27.840 --> 00:04:30.480]   And when everybody in Houston has four noses, we'll know.
[00:04:30.480 --> 00:04:32.120]   Well, at least we don't have a Raspberry.
[00:04:32.120 --> 00:04:35.120]   It is a known carcinogen, but damn it, we'll kill our ants.
[00:04:35.120 --> 00:04:36.120]   No ants.
[00:04:36.120 --> 00:04:38.120]   How are you going to kill the ants if you don't use something deadly?
[00:04:38.120 --> 00:04:40.120]   I mean, that's the trade on the run.
[00:04:40.120 --> 00:04:42.360]   But that's right.
[00:04:42.360 --> 00:04:48.200]   So I haven't seen them except I think maybe several years ago I may have seen them in
[00:04:48.200 --> 00:04:54.200]   a house I used to own up by the old compact headquarters.
[00:04:54.200 --> 00:04:58.440]   But they are mostly the southwest part of town.
[00:04:58.440 --> 00:05:00.160]   Sounds like a haunted house.
[00:05:00.160 --> 00:05:02.400]   Up by the old compact place.
[00:05:02.400 --> 00:05:04.120]   It is haunted now.
[00:05:04.120 --> 00:05:05.120]   Yeah.
[00:05:05.120 --> 00:05:08.240]   They moved out a few years back and people say it's haunted.
[00:05:08.240 --> 00:05:09.240]   That's right.
[00:05:09.240 --> 00:05:11.240]   The ghost of Eckerd Fiverr, haunted house.
[00:05:11.240 --> 00:05:12.680]   Yeah, no kidding.
[00:05:12.680 --> 00:05:15.360]   So is it deserted, the old compact place?
[00:05:15.360 --> 00:05:18.600]   Well actually it's got, you know, it's owned by HP now.
[00:05:18.600 --> 00:05:22.600]   There are HP signs out there instead of compact signs.
[00:05:22.600 --> 00:05:28.160]   It's, they moved into about half of the buildings on the campus and they are leasing the others
[00:05:28.160 --> 00:05:30.080]   to other businesses out there.
[00:05:30.080 --> 00:05:32.560]   So there's definitely a reduced presence.
