;FFMETADATA1
album=TWiT August 2008
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/157
genre=Podcast
title=TWiT 157: Obamabots
date=2008
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:16:07.488"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="11343"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc2\\x90u+</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                           \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100
;FFMETADATA1
album=TWiT August 2008
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/157
genre=Podcast
title=TWiT 157: Obamabots
date=2008
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:16:07.488"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="11343"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc2\\x90u+</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                           \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:03.760]   [ Sound Effects ]
[00:00:03.760 --> 00:00:05.560]   Netcast you love.
[00:00:05.560 --> 00:00:07.560]   From people you trust.
[00:00:07.560 --> 00:00:10.960]   [ Music ]
[00:00:10.960 --> 00:00:12.960]   This is Twit.
[00:00:12.960 --> 00:00:21.600]   Bandwidth for this weekend tech is provided by AOL Radio at AOL.com/podcasting.
[00:00:21.600 --> 00:00:27.440]   [ Music ]
[00:00:27.440 --> 00:00:35.440]   This is Twit. This weekend tech. Episode 157 for August 25th, 2008. Obama bots.
[00:00:35.440 --> 00:00:38.440]   [ Music ]
[00:00:38.440 --> 00:00:41.440]   This weekend tech is brought to you by Audible.com.
[00:00:41.440 --> 00:00:45.440]   For your free audio book visit Audible.com/Twit.
[00:00:45.440 --> 00:00:47.440]   And by Visa.
[00:00:47.440 --> 00:00:49.440]   We all have things we like to think about.
[00:00:49.440 --> 00:00:51.440]   Online fraud shouldn't be one of them.
[00:00:51.440 --> 00:00:56.440]   Because with every purchase Visa prevents, detects, and resolves online fraud.
[00:00:56.440 --> 00:00:59.440]   That's safe, secure, Visa.
[00:00:59.440 --> 00:01:06.440]   And by GoToMyPC wherever you go access your PC and all your files, programs, and email
[00:01:06.440 --> 00:01:08.440]   remotely with GoToMyPC.
[00:01:08.440 --> 00:01:16.440]   For a free trial of this award-winning service visit GoToMyPC.com/Twit.
[00:01:16.440 --> 00:01:22.440]   It's time for Twit episode 157 and kind of to celebrate our 157th episode.
[00:01:22.440 --> 00:01:25.440]   We have 157 panelists on the show today.
[00:01:25.440 --> 00:01:27.440]   That is so exciting to me.
[00:01:27.440 --> 00:01:30.440]   It's the largest Twit. No, not that many, but it feels like it.
[00:01:30.440 --> 00:01:35.440]   Starting with the guy who's with us in studio today and who is so instrumental, so helpful
[00:01:35.440 --> 00:01:37.440]   in building the ultimate gaming machine.
[00:01:37.440 --> 00:01:39.440]   You did a great job, Ryan Trout, from PC Perspective.
[00:01:39.440 --> 00:01:40.440]   It's good to have you back.
[00:01:40.440 --> 00:01:41.440]   Thanks.
[00:01:41.440 --> 00:01:43.440]   We've been having fun with that ultimate gaming machine.
[00:01:43.440 --> 00:01:46.440]   Colleen's building it right now at the warehouse.
[00:01:46.440 --> 00:01:48.440]   Yeah, I heard they were doing the actual case modding.
[00:01:48.440 --> 00:01:54.440]   Yeah, it's amazing. This ultimate gaming machine is just faster than greased goose bit.
[00:01:54.440 --> 00:01:57.440]   John C. Devorak is also with us at devorak.org/blog.
[00:01:57.440 --> 00:01:58.440]   Hi, John.
[00:01:58.440 --> 00:01:59.440]   Hi.
[00:01:59.440 --> 00:02:01.440]   I couldn't hear what he said.
[00:02:01.440 --> 00:02:02.440]   Oh, man.
[00:02:02.440 --> 00:02:03.440]   Sorry.
[00:02:03.440 --> 00:02:04.440]   Is this any better?
[00:02:04.440 --> 00:02:05.440]   Uh.
[00:02:05.440 --> 00:02:06.440]   Much better.
[00:02:06.440 --> 00:02:07.440]   Uh.
[00:02:07.440 --> 00:02:09.440]   Yeah, devorak.org/blog.
[00:02:09.440 --> 00:02:11.440]   That's where you want to go to get a few.
[00:02:11.440 --> 00:02:14.440]   Then I hooked me to everything else, hooked you to everything else that I'm doing, which is
[00:02:14.440 --> 00:02:15.440]   plenty.
[00:02:15.440 --> 00:02:16.440]   Hello.
[00:02:16.440 --> 00:02:18.440]   Steve Gilmore says hello.
[00:02:18.440 --> 00:02:22.440]   Steve Gilmore is also doing plenty now at TechCrunch IT, where he's a blogger.
[00:02:22.440 --> 00:02:27.440]   He also does the news gang and the Gilmore gang pretty much almost as much as on camera.
[00:02:27.440 --> 00:02:28.440]   You're doing the show.
[00:02:28.440 --> 00:02:30.440]   Good to have you, Steve, via phone.
[00:02:30.440 --> 00:02:31.440]   Thanks.
[00:02:31.440 --> 00:02:34.440]   I tried to come in on Skype, but you didn't see it.
[00:02:34.440 --> 00:02:35.440]   Oh, I like you on phone.
[00:02:35.440 --> 00:02:36.440]   Okay, you got it.
[00:02:36.440 --> 00:02:39.440]   Yeah, because Steve is kind of the old school guy.
[00:02:39.440 --> 00:02:41.440]   He likes the phone.
[00:02:41.440 --> 00:02:43.440]   We also have so many people on this panel.
