;FFMETADATA1
album=TWiT September 2008
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/158
genre=Podcast
title=TWiT 158: Diddy Needs Gas
date=2008
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:34:03.590"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="14015"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc3\\x98\\xc3\\xbfq&amp\;\#x10\;</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100
;FFMETADATA1
album=TWiT September 2008
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/158
genre=Podcast
title=TWiT 158: Diddy Needs Gas
date=2008
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:34:03.590"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="14015"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc3\\x98\\xc3\\xbfq&amp\;\#x10\;</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   >> Netcast you love.
[00:00:06.000 --> 00:00:08.000]   >> From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:14.000]   >> This is Twit.
[00:00:14.000 --> 00:00:17.000]   >> Bandwidth for this weekend tech is provided by
[00:00:17.000 --> 00:00:22.000]   AOL Radio at AOL.com/podcasting.
[00:00:22.000 --> 00:00:27.000]   [ Music ]
[00:00:27.000 --> 00:00:31.000]   >> This is Twit. This weekend tech, episode 158,
[00:00:31.000 --> 00:00:36.000]   for September 1, 2008. Diddy needs gas.
[00:00:36.000 --> 00:00:38.000]   [ Music ]
[00:00:38.000 --> 00:00:41.000]   >> This weekend tech is brought to you by Audible.com.
[00:00:41.000 --> 00:00:46.000]   For your free audio book, visit Audible.com/Twit.
[00:00:46.000 --> 00:00:49.000]   And by Visa. We all have things we like to think about.
[00:00:49.000 --> 00:00:51.000]   Online fraud shouldn't be one of them.
[00:00:51.000 --> 00:00:55.000]   Because with every purchase Visa prevents, detects, and resolves
[00:00:55.000 --> 00:00:59.000]   online fraud. Safe, secure, Visa.
[00:00:59.000 --> 00:01:01.000]   And by listeners like you.
[00:01:01.000 --> 00:01:03.000]   Thanks so much for your contribution.
[00:01:03.000 --> 00:01:05.000]   We couldn't do Twit without it.
[00:01:05.000 --> 00:01:07.000]   [ Music ]
[00:01:07.000 --> 00:01:12.000]   >> This is Twit, episode 158, this week in tech.
[00:01:12.000 --> 00:01:15.000]   And we're going to talk about today's tech news, including
[00:01:15.000 --> 00:01:21.000]   Hurricane Gustav, which is as we speak, rolling towards
[00:01:21.000 --> 00:01:24.000]   Louisiana and some of our most devoted listeners.
[00:01:24.000 --> 00:01:28.000]   So if you're listening to the show, I hope you're safe and
[00:01:28.000 --> 00:01:31.000]   sound, your family's safe and sound, and your dogs and cats are not
[00:01:31.000 --> 00:01:33.000]   on the roof of your house.
[00:01:33.000 --> 00:01:35.000]   Joining us now, Ice Cube's in hand.
[00:01:35.000 --> 00:01:37.000]   It's Mr. John C. Devorak.
[00:01:37.000 --> 00:01:41.000]   You have a fine cocktail today?
[00:01:41.000 --> 00:01:44.000]   >> No, I'm still drinking tea. It's not late enough yet.
[00:01:44.000 --> 00:01:45.000]   >> Mm.
[00:01:45.000 --> 00:01:48.000]   >> That's the sun has not yet gone over the yard arm, as my
[00:01:48.000 --> 00:01:50.000]   grandfather used to say.
[00:01:50.000 --> 00:01:53.000]   >> That's the grandfather used to say the sun's over the
[00:01:53.000 --> 00:01:54.000]   yard arm somewhere.
[00:01:54.000 --> 00:01:55.000]   [ Laughter ]
[00:01:55.000 --> 00:01:57.000]   >> Grandpa was a drunk.
[00:01:57.000 --> 00:01:59.000]   >> That's Tom Merritt from Buzz Out Loud.
[00:01:59.000 --> 00:02:01.000]   >> A CBS company.
[00:02:01.000 --> 00:02:03.000]   >> How you doing, Tom?
[00:02:03.000 --> 00:02:05.000]   >> Doing well. Thanks, Leo.
[00:02:05.000 --> 00:02:06.000]   >> Good to have you on.
[00:02:06.000 --> 00:02:08.000]   Dwight Silverman from the Chronicle, the Houston Chronicle,
[00:02:08.000 --> 00:02:09.000]   who will be no doubt --
[00:02:09.000 --> 00:02:10.000]   >> It's great to be here.
[00:02:10.000 --> 00:02:12.000]   >> -- on Gustav Duty soon.
[00:02:12.000 --> 00:02:15.000]   In fact, when I asked you to join us yesterday, you said,
[00:02:15.000 --> 00:02:17.000]   "Okay, but I might be called away."
[00:02:17.000 --> 00:02:21.000]   >> Yeah, it just depended on which direction Gustav took.
[00:02:21.000 --> 00:02:24.000]   Unfortunately, Houston does not appear to be in its sights.
[00:02:24.000 --> 00:02:27.000]   I feel for the folks in Louisiana, but we're fairly
[00:02:27.000 --> 00:02:30.000]   grateful here to be missing this one.
[00:02:30.000 --> 00:02:33.000]   >> Is it bearing down right on New Orleans again?
[00:02:33.000 --> 00:02:36.000]   >> It's a little bit to the west.
[00:02:36.000 --> 00:02:40.000]   I think the last thing I saw was a grand-dial Louisiana,
[00:02:40.000 --> 00:02:41.000]   which is a little bit west.
[00:02:41.000 --> 00:02:46.000]   But of course, the east side of a hurricane is the dirty side.
[00:02:46.000 --> 00:02:47.000]   >> Right.
[00:02:47.000 --> 00:02:49.000]   >> And that's a big concern for them.
[00:02:49.000 --> 00:02:53.000]   The storm surge supposedly could be larger than Katrina,
[00:02:53.000 --> 00:02:55.000]   which of course is the thing you really want to worry about
[00:02:55.000 --> 00:02:56.000]   for a city like New Orleans.
[00:02:56.000 --> 00:02:57.000]   >> Oh, boy.
[00:02:57.000 --> 00:02:58.000]   I'll tell you what I'd worry about.
[00:02:58.000 --> 00:03:01.000]   George Bush is actually there now.
[00:03:01.000 --> 00:03:02.000]   >> Yeah.
[00:03:02.000 --> 00:03:03.000]   >> He's --
[00:03:03.000 --> 00:03:04.000]   >> And Cheney.
[00:03:04.000 --> 00:03:05.000]   >> Where's Brownie?
[00:03:05.000 --> 00:03:06.000]   Where's Brownie?
[00:03:06.000 --> 00:03:07.000]   >> Where's Brownie?
[00:03:07.000 --> 00:03:08.000]   Where's my buddy Brownie?
[00:03:08.000 --> 00:03:09.000]   >> Oh, boy.
[00:03:09.000 --> 00:03:10.000]   It's scary.
[00:03:10.000 --> 00:03:11.000]   It's really scary.
[00:03:11.000 --> 00:03:12.000]   >> He's doing a good job somewhere else.
[00:03:12.000 --> 00:03:13.000]   >> He's doing a good job.
[00:03:13.000 --> 00:03:14.000]   >> Heck of a job.
[00:03:14.000 --> 00:03:15.000]   >> Heck of a job.
[00:03:15.000 --> 00:03:16.000]   Let's see.
[00:03:16.000 --> 00:03:17.000]   Who else is here?
[00:03:17.000 --> 00:03:18.000]   John Dwight Tom Jim.
[00:03:18.000 --> 00:03:20.000]   >> Jim Lauterback of Revision 3.
[00:03:20.000 --> 00:03:21.000]   Hey, Jim.
[00:03:21.000 --> 00:03:22.000]   >> Hey, Leo.
[00:03:22.000 --> 00:03:23.000]   How are you?
[00:03:23.000 --> 00:03:24.000]   Thanks for having me on.
[00:03:24.000 --> 00:03:26.000]   >> It's good because your son Sam is in a submarine so we could
[00:03:26.000 --> 00:03:28.000]   have some time with Jim today.
[00:03:28.000 --> 00:03:31.000]   >> Yeah, actually he's on his way to sleep in the submarine in the
[00:03:31.000 --> 00:03:33.000]   bay, which is great.
[00:03:33.000 --> 00:03:35.000]   Go sleep in the submarine for the night.
[00:03:35.000 --> 00:03:38.000]   >> You said your son to sleep with the fishes?
[00:03:38.000 --> 00:03:39.000]   >> Yeah, exactly.
[00:03:39.000 --> 00:03:43.000]   There's an old World War II submarine, but it's a Cub Scout
[00:03:43.000 --> 00:03:46.000]   outing and they're on their way to go sleep there.
[00:03:46.000 --> 00:03:50.000]   And I have no desire to sleep in the submarine.
[00:03:50.000 --> 00:03:51.000]   >> I've been in that sub.
[00:03:51.000 --> 00:03:52.000]   It's actually quite cool.
[00:03:52.000 --> 00:03:54.000]   I think it is World War II vintage.
[00:03:54.000 --> 00:03:55.000]   >> Sounds stuffy.
[00:03:55.000 --> 00:03:56.000]   >> It is stuffy.
[00:03:56.000 --> 00:03:58.000]   >> Why does it sound leaky?
[00:03:58.000 --> 00:03:59.000]   >> I didn't know they let you sleep on it.
[00:03:59.000 --> 00:04:01.000]   It doesn't submerge, right?
[00:04:01.000 --> 00:04:03.000]   >> Well, I think it's partly in the water, but I don't think it
[00:04:03.000 --> 00:04:04.000]   goes all the way in.
[00:04:04.000 --> 00:04:06.000]   >> It's the Pompano or the Pompanito.
[00:04:06.000 --> 00:04:08.000]   >> Yeah, they've got all these rules.
[00:04:08.000 --> 00:04:11.000]   The kids aren't supposed to touch any dials or knobs or --
[00:04:11.000 --> 00:04:12.000]   >> Right.
[00:04:12.000 --> 00:04:13.000]   >> Dive!
[00:04:13.000 --> 00:04:16.000]   >> And then I'm supposed to eat beans.
[00:04:16.000 --> 00:04:18.000]   >> Actually, they're no nuts allowed.
[00:04:18.000 --> 00:04:20.000]   No seeds, no sunflower seeds.
[00:04:20.000 --> 00:04:21.000]   I'm not sure why.
[00:04:21.000 --> 00:04:23.000]   >> That's probably for allergies, not for --
[00:04:23.000 --> 00:04:25.000]   not because sharks like them.
[00:04:25.000 --> 00:04:28.000]   It's kind of interesting because this sub has been maintained
[00:04:28.000 --> 00:04:32.000]   just as the Jeremiah O'Brien, which is the liberty ship
[00:04:32.000 --> 00:04:35.000]   that's also docked next to it, has been maintained by enthusiasts,
[00:04:35.000 --> 00:04:38.000]   so it actually can sail.
[00:04:38.000 --> 00:04:41.000]   >> Yeah, well, maybe they'll need to go out and, I don't know,
