;FFMETADATA1
album=TWiT September 2008
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/161
genre=Podcast
title=TWiT 161: The Lemon Drop Kid
date=2008
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:53:05.333"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="16851"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">8&amp\;\#x11\;%</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100
;FFMETADATA1
album=TWiT September 2008
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/161
genre=Podcast
title=TWiT 161: The Lemon Drop Kid
date=2008
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:53:05.333"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="16851"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">8&amp\;\#x11\;%</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:13.000]   This is Twit.
[00:00:13.000 --> 00:00:17.000]   Bandwidth for this weekend tech is provided by
[00:00:17.000 --> 00:00:22.000]   AOL Radio at AOL.com/podcasting.
[00:00:22.000 --> 00:00:27.000]   [ Music ]
[00:00:27.000 --> 00:00:31.000]   This is Twit. This weekend tech, episode 161
[00:00:31.000 --> 00:00:34.000]   for September 22, 2008.
[00:00:34.000 --> 00:00:36.000]   The Lemon Drop Kid.
[00:00:36.000 --> 00:00:38.000]   [ Music ]
[00:00:38.000 --> 00:00:42.000]   This weekend tech is brought to you by Audible.com.
[00:00:42.000 --> 00:00:45.000]   Sign up for the Platinum Plan and get two free books.
[00:00:45.000 --> 00:00:48.000]   Go to Audible.com/Twit2.
[00:00:48.000 --> 00:00:52.000]   [ Music ]
[00:00:52.000 --> 00:00:54.000]   And by Go to Meeting.
[00:00:54.000 --> 00:00:59.000]   With every purchase Visa prevents, detects, and resolves
[00:00:59.000 --> 00:01:01.000]   online fraud.
[00:01:01.000 --> 00:01:03.000]   Safe, secure, Visa.
[00:01:03.000 --> 00:01:07.000]   [ Music ]
[00:01:07.000 --> 00:01:13.000]   Ladies and gentlemen, episode 161 of The World Famous.
[00:01:13.000 --> 00:01:16.000]   This weekend tech convenes a special event that will be
[00:01:16.000 --> 00:01:18.000]   available in the future.
[00:01:18.000 --> 00:01:25.000]   Ladies and gentlemen, episode 161 of The World Famous.
[00:01:25.000 --> 00:01:28.000]   This weekend tech convenes now with the All Star Cast
[00:01:28.000 --> 00:01:30.000]   starting off with our good friend Jason Calicanis from
[00:01:30.000 --> 00:01:32.000]   Mahalo. Hello Jason!
[00:01:32.000 --> 00:01:34.000]   Hey, thanks for having me.
[00:01:34.000 --> 00:01:35.000]   Thanks for having me.
[00:01:35.000 --> 00:01:36.000]   Always good to have you.
[00:01:36.000 --> 00:01:37.000]   We love you Jason.
[00:01:37.000 --> 00:01:39.000]   And this is actually going to be another one of those
[00:01:39.000 --> 00:01:42.000]   what's happening to the economy cast because Andrew Horowitz
[00:01:42.000 --> 00:01:45.000]   is also here from the Disciplined Investor podcast,
[00:01:45.000 --> 00:01:48.000]   the movie, the audio book.
[00:01:48.000 --> 00:01:49.000]   Hello Andrew.
[00:01:49.000 --> 00:01:50.000]   Hello, thank you.
[00:01:50.000 --> 00:01:52.000]   And Jason, thank you so much for playing me in the movie,
[00:01:52.000 --> 00:01:53.000]   by the way.
[00:01:53.000 --> 00:01:54.000]   I appreciate that.
[00:01:54.000 --> 00:01:55.000]   You know what?
[00:01:55.000 --> 00:01:57.000]   That could actually, he could play you in the movie.
[00:01:57.000 --> 00:01:58.000]   He has a voice.
[00:01:58.000 --> 00:02:00.000]   He has a voice of a thousand.
[00:02:00.000 --> 00:02:02.000]   Jason, can you imitate Devorak so well?
[00:02:02.000 --> 00:02:03.000]   Give me a little Andrew.
[00:02:03.000 --> 00:02:07.000]   I haven't worked on my Andrew, but catch me again during the
[00:02:07.000 --> 00:02:09.000]   Audible ad and I'll put it in.
[00:02:09.000 --> 00:02:11.000]   He'll break it out.
[00:02:11.000 --> 00:02:12.000]   He'll break it out.
[00:02:12.000 --> 00:02:15.000]   No, no, no, if you want to have a good, good read, you probably
[00:02:15.000 --> 00:02:17.000]   want to get the Jackwell just, you know, and the thing is
[00:02:17.000 --> 00:02:21.000]   it's just frustrating because the people, everybody just
[00:02:21.000 --> 00:02:24.000]   got me, it's going to bail it out and then it's the same story
[00:02:24.000 --> 00:02:25.000]   over again.
[00:02:25.000 --> 00:02:29.000]   And the guy who recorded this little diddy, you may recognize
[00:02:29.000 --> 00:02:34.000]   it, the Jeff Smith is now officially a twit.
[00:02:34.000 --> 00:02:35.000]   Hey Jeff Smith.
[00:02:35.000 --> 00:02:36.000]   Hey, how are you?
[00:02:36.000 --> 00:02:37.000]   It's so good to be running.
[00:02:37.000 --> 00:02:38.000]   Hey everybody.
[00:02:38.000 --> 00:02:41.000]   From his bar in Nashville, Tennessee, are you actually in
[00:02:41.000 --> 00:02:42.000]   the bar right now?
[00:02:42.000 --> 00:02:45.000]   No, I'm actually in my studio, but I do have a Shinerbach beer
[00:02:45.000 --> 00:02:46.000]   in hand.
[00:02:46.000 --> 00:02:47.000]   Okay, that's appropriate.
[00:02:47.000 --> 00:02:50.000]   Just in case we start talking about Devorak.org/blog.
[00:02:50.000 --> 00:02:58.000]   Actually, this is going to be a show kind of about bailouts,
[00:02:58.000 --> 00:03:02.000]   about stock markets, about finances, and you may say,
[00:03:02.000 --> 00:03:03.000]   what does that have to do with tech?
[00:03:03.000 --> 00:03:04.000]   I don't know.
[00:03:04.000 --> 00:03:05.000]   What does that have anything to do with tech?
[00:03:05.000 --> 00:03:07.000]   Let me ask Jason Calicanis first.
[00:03:07.000 --> 00:03:11.000]   Should we be worried is the tech crunch about to happen?
[00:03:11.000 --> 00:03:14.000]   This is going to have an impact.
[00:03:14.000 --> 00:03:16.000]   It's already happened already.
[00:03:16.000 --> 00:03:22.000]   There was a very wide open investment philosophy by VCs for
[00:03:22.000 --> 00:03:23.000]   the last couple of years.
[00:03:23.000 --> 00:03:26.000]   You know, try a lot of things, put a lot of money in.
[00:03:26.000 --> 00:03:30.000]   Young people, less experienced, maybe give a couple million dollars
[00:03:30.000 --> 00:03:32.000]   to first-time entrepreneurs.
[00:03:32.000 --> 00:03:35.000]   And you saw things like Y Combinator give 15, 20,000 to
[00:03:35.000 --> 00:03:37.000]   a first-time entrepreneur.
[00:03:37.000 --> 00:03:40.000]   And the reason that happens is because you have rich people
[00:03:40.000 --> 00:03:42.000]   who are investing, they're called limited partners.
[00:03:42.000 --> 00:03:45.000]   They have a little extra pocket cash.
[00:03:45.000 --> 00:03:47.000]   Yeah, I think you have angel investors and the angel
[00:03:47.000 --> 00:03:50.000]   investor pool gets bigger as the economy gets better because
[00:03:50.000 --> 00:03:52.000]   people are taking money from their houses and from their real
[00:03:52.000 --> 00:03:55.000]   estate transactions and their stock market gains and saying,
[00:03:55.000 --> 00:03:57.000]   "Gee, I've got a little section of money, which did I do with it?
[00:03:57.000 --> 00:03:58.000]   I shouldn't invest it."
[00:03:58.000 --> 00:04:00.000]   Everybody thinks that they're a venture capitalist.
[00:04:00.000 --> 00:04:03.000]   And so then you have massive amounts of things getting tried
[00:04:03.000 --> 00:04:07.000]   and that's why people go, "Oh, why is... who funded dogster?"
[00:04:07.000 --> 00:04:08.000]   No offense to those.
[00:04:08.000 --> 00:04:09.000]   It's a cool site.
[00:04:09.000 --> 00:04:11.000]   Actually, I shouldn't use that as an example, but you start to
[00:04:11.000 --> 00:04:12.000]   see these weird things.
[00:04:12.000 --> 00:04:14.000]   And that's an example of a weird thing that's actually been
[00:04:14.000 --> 00:04:17.000]   successful, but then people go, "Why does the world need the
[00:04:17.000 --> 00:04:18.000]   15th delicious?"
[00:04:18.000 --> 00:04:21.000]   And that's exactly what happened in the first bubble.
[00:04:21.000 --> 00:04:24.000]   So you have a bubble in terms of the number of people pursuing
[00:04:24.000 --> 00:04:25.000]   the same opportunity.
[00:04:25.000 --> 00:04:29.000]   Does this look like 2000 to you?
[00:04:29.000 --> 00:04:32.000]   So yeah, so you have to peel it back a little bit.
[00:04:32.000 --> 00:04:35.000]   It is like that in terms of the number of people pursuing the
[00:04:35.000 --> 00:04:36.000]   same opportunity, right?
[00:04:36.000 --> 00:04:38.000]   There's tons of copycat sites.
[00:04:38.000 --> 00:04:39.000]   Everybody's doing a friend feed now.
[00:04:39.000 --> 00:04:41.000]   Everybody's doing a Twitter.
[00:04:41.000 --> 00:04:43.000]   So you see all those things.
[00:04:43.000 --> 00:04:46.000]   But the difference is, the last time around, those companies all
[00:04:46.000 --> 00:04:48.000]   had 10 to $50 million.
[00:04:48.000 --> 00:04:49.000]   Some of them had $100 million.
[00:04:49.000 --> 00:04:52.000]   So there were hundreds of people working at each of these
[00:04:52.000 --> 00:04:54.000]   companies, thousands in some cases.
[00:04:54.000 --> 00:04:57.000]   So when it became apparent that these companies couldn't get
[00:04:57.000 --> 00:05:00.000]   funded anymore, there was a lot of fallout.
[00:05:00.000 --> 00:05:03.000]   The difference today is how many people work at, you know,
[00:05:03.000 --> 00:05:06.000]   friend feed or, you know, the 15th friend feed knockoff or the
[00:05:06.000 --> 00:05:07.000]   15th Twitter knockoff.
[00:05:07.000 --> 00:05:11.000]   It may only be five guys with no office space and, you know,
[00:05:11.000 --> 00:05:12.000]   five area on chairs.
[00:05:12.000 --> 00:05:14.000]   So when they go out of business, they just steal the area and
[00:05:14.000 --> 00:05:15.000]   chairs and go back to work.
