;FFMETADATA1
album=TWiT September 2008
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/162
genre=Podcast
title=TWiT 162: Wedding Jitter Twitter
date=2008
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:24:23.699"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="12575"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">&amp\;\#x08\;'%</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100
;FFMETADATA1
album=TWiT September 2008
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/162
genre=Podcast
title=TWiT 162: Wedding Jitter Twitter
date=2008
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:24:23.699"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="12575"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">&amp\;\#x08\;'%</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   >> Netcast you love.
[00:00:06.000 --> 00:00:08.000]   >> From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:14.000]   >> This is Twit.
[00:00:14.000 --> 00:00:17.000]   >> Bandwidth for this weekend tech is provided by
[00:00:17.000 --> 00:00:22.000]   AOL Radio at AOL.com/podcasting.
[00:00:22.000 --> 00:00:27.000]   [ Music ]
[00:00:27.000 --> 00:00:30.000]   >> This is Twit. This weekend tech.
[00:00:30.000 --> 00:00:34.000]   Episode 162 for September 29th, 2008.
[00:00:34.000 --> 00:00:37.000]   Wedding Jitter Twitter.
[00:00:37.000 --> 00:00:41.000]   This weekend tech is brought to you by Audible.com.
[00:00:41.000 --> 00:00:44.000]   Sign up for the Platinum Plan and get two free books.
[00:00:44.000 --> 00:00:48.000]   Go to Audible.com/Twit2.
[00:00:48.000 --> 00:00:53.000]   And by Gobi, the global mobile internet from Qualcomm.
[00:00:53.000 --> 00:00:57.000]   GoBe powered notebooks are now available from leading notebook manufacturers.
[00:00:57.000 --> 00:01:03.000]   Go to gobeanywhere.com/devices for the GoBe notebook for you.
[00:01:03.000 --> 00:01:06.000]   And by Visa.
[00:01:06.000 --> 00:01:12.000]   With every purchase Visa prevents, detects, and resolves online fraud.
[00:01:12.000 --> 00:01:17.000]   Safe, secure, Visa.
[00:01:17.000 --> 00:01:23.000]   This is Twit. Episode 162 coming to you from the Twit headquarters at
[00:01:23.000 --> 00:01:25.000]   beautiful downtown Petaluma, California.
[00:01:25.000 --> 00:01:30.000]   I'm Leo LaPorte joining us today in the big debate at the
[00:01:30.000 --> 00:01:31.000]   Setter table.
[00:01:31.000 --> 00:01:34.000]   Mr. John C. de Vorakt.org/blog.
[00:01:34.000 --> 00:01:35.000]   >> Hello, John.
[00:01:35.000 --> 00:01:36.000]   >> Hello, everybody.
[00:01:36.000 --> 00:01:38.000]   >> Hello, everyone.
[00:01:38.000 --> 00:01:39.000]   I want to be like Jim Lair.
[00:01:39.000 --> 00:01:42.000]   John, you could talk to Will Harris, you know.
[00:01:42.000 --> 00:01:43.000]   Will Harris is also here.
[00:01:43.000 --> 00:01:46.000]   He is from the lovely island of England.
[00:01:46.000 --> 00:01:49.000]   Somewhere to the east of us.
[00:01:49.000 --> 00:01:50.000]   >> Hello.
[00:01:50.000 --> 00:01:51.000]   >> Of Channel Flip.
[00:01:51.000 --> 00:01:55.000]   >> I'm not going to look at John for the entire section.
[00:01:55.000 --> 00:01:57.000]   >> And Andrew Horowitz is here.
[00:01:57.000 --> 00:01:59.000]   He's going to tell me I'm always right.
[00:01:59.000 --> 00:02:00.000]   >> Of course you are.
[00:02:00.000 --> 00:02:02.000]   >> Now, Andrew, we're not going to keep you for long because we want to
[00:02:02.000 --> 00:02:05.000]   leave room for Patrick Norton, who may join us in the middle of the
[00:02:05.000 --> 00:02:06.000]   show.
[00:02:06.000 --> 00:02:08.000]   Of course, with my luck, Patrick's plumbing problems will take
[00:02:08.000 --> 00:02:11.000]   hours and we won't get him and then we'll -- but anyway.
[00:02:11.000 --> 00:02:13.000]   But thank you for being here also.
[00:02:13.000 --> 00:02:16.000]   >> Well, thanks for having me.
[00:02:16.000 --> 00:02:18.000]   I had this epiphany this week.
[00:02:18.000 --> 00:02:19.000]   >> You had an epiphany.
[00:02:19.000 --> 00:02:21.000]   Should I get back in the stock market?
[00:02:21.000 --> 00:02:23.000]   I sold all my stocks because of you.
[00:02:23.000 --> 00:02:26.000]   >> Because of me, I told you I was going to give you a sign when to
[00:02:26.000 --> 00:02:27.000]   get back in, right?
[00:02:27.000 --> 00:02:28.000]   >> Yeah.
[00:02:28.000 --> 00:02:29.000]   Have you given me the sign?
[00:02:29.000 --> 00:02:30.000]   Did you wiggle your hips?
[00:02:30.000 --> 00:02:31.000]   Did you adjust your shorts?
[00:02:31.000 --> 00:02:32.000]   >> No, but that is exactly the epiphany.
[00:02:32.000 --> 00:02:33.000]   I was talking to John as a matter of fact.
[00:02:33.000 --> 00:02:35.000]   And I said, John, think about this for a second.
[00:02:35.000 --> 00:02:39.000]   It was so odd that commercial, the whole discussion about, you know,
[00:02:39.000 --> 00:02:41.000]   with the churros and the shoes and the crazy --
[00:02:41.000 --> 00:02:42.000]   >> Oh, we're back to that.
[00:02:42.000 --> 00:02:43.000]   >> Yeah, well, it came over to me.
[00:02:43.000 --> 00:02:44.000]   Listen to this.
[00:02:44.000 --> 00:02:45.000]   You're going to love this.
[00:02:45.000 --> 00:02:48.000]   When he said, give me a sign, adjust your shorts.
[00:02:48.000 --> 00:02:49.000]   It occurred to me.
[00:02:49.000 --> 00:02:50.000]   >> Short stocks.
[00:02:50.000 --> 00:02:51.000]   He was short selling.
[00:02:51.000 --> 00:02:55.000]   >> It was short selling adjusted right after that they came out with an
[00:02:55.000 --> 00:02:56.000]   18% increase in their dividend.
[00:02:56.000 --> 00:02:58.000]   They came out with a $40 billion buyback.
[00:02:58.000 --> 00:03:02.000]   The stock went up about, I don't know, about 15% right afterwards.
[00:03:02.000 --> 00:03:05.000]   It was assigned everybody out there to get out of the way Microsoft
[00:03:05.000 --> 00:03:06.000]   is starting to move again.
[00:03:06.000 --> 00:03:08.000]   What do you think?
[00:03:08.000 --> 00:03:09.000]   >> No.
[00:03:09.000 --> 00:03:12.000]   >> But I do want to get you on to explain -- because a number of people wrote to
[00:03:12.000 --> 00:03:16.000]   me and said, would you please have Andrew on and explain why this buyback.
[00:03:16.000 --> 00:03:17.000]   What does Microsoft get?
[00:03:17.000 --> 00:03:18.000]   What was it?
[00:03:18.000 --> 00:03:19.000]   A $40 billion buyback?
[00:03:19.000 --> 00:03:20.000]   What did they buyback?
[00:03:20.000 --> 00:03:21.000]   >> Well, it's interesting.
[00:03:21.000 --> 00:03:22.000]   Yeah, $40 billion.
[00:03:22.000 --> 00:03:23.000]   Well, what's that number?
[00:03:23.000 --> 00:03:25.000]   $40 billion was the number they were coming in for Yahoo, right?
[00:03:25.000 --> 00:03:26.000]   >> Oh.
[00:03:26.000 --> 00:03:27.000]   >> That's interesting.
[00:03:27.000 --> 00:03:29.000]   I think it was assigned to Yahoo, first of all, that, you know what, you guys were
[00:03:29.000 --> 00:03:30.000]   really done.
[00:03:30.000 --> 00:03:32.000]   Really -- we don't have the cash anymore.
[00:03:32.000 --> 00:03:34.000]   We spend it on a Ferrari.
[00:03:34.000 --> 00:03:35.000]   >> Right, exactly.
[00:03:35.000 --> 00:03:38.000]   And the second thing is, if you look at buybacks, without getting too technical,
[00:03:38.000 --> 00:03:42.000]   the interesting thing is when they do a buyback and at the same time do a
[00:03:42.000 --> 00:03:46.000]   dividend increase, it really doesn't cost them anything.
[00:03:46.000 --> 00:03:49.000]   And that's because they have all these shares that they're buying back and
[00:03:49.000 --> 00:03:53.000]   they have already in Treasury, and the 18% increase in dividend is going to
[00:03:53.000 --> 00:03:57.000]   equate to basically a zero cost to them on the outlay.
[00:03:57.000 --> 00:04:00.000]   So it really is kind of a good thing for them.
[00:04:00.000 --> 00:04:01.000]   >> This is more move.
[00:04:01.000 --> 00:04:02.000]   >> Yeah, very smart.
[00:04:02.000 --> 00:04:04.000]   >> Why do companies traditionally do buyback their stock?
[00:04:04.000 --> 00:04:06.000]   Is it to go private?
[00:04:06.000 --> 00:04:07.000]   >> To plug it up.
[00:04:07.000 --> 00:04:08.000]   >> Yeah, they put it up.
[00:04:08.000 --> 00:04:13.000]   It's kind of a joke, as I think John would say it's bogus.
[00:04:13.000 --> 00:04:17.000]   You know, what they do is they try to increase their EPS, their earnings per
[00:04:17.000 --> 00:04:21.000]   share, and they do it artificially because now they have less shares
[00:04:21.000 --> 00:04:24.000]   outstanding and more earnings per share.
[00:04:24.000 --> 00:04:28.000]   Frankly, I think it's a pretty -- it's a good thing, generally speaking, it
[00:04:28.000 --> 00:04:32.000]   shows the world they have a good feeling for their stock, but at the same time,
[00:04:32.000 --> 00:04:36.000]   I think it is kind of bogus because it really doesn't give you a correct
[00:04:36.000 --> 00:04:40.000]   fundamental understanding of what's happening because they're just
[00:04:40.000 --> 00:04:42.000]   artificially increasing their earnings.
[00:04:42.000 --> 00:04:44.000]   >> Yeah, their earnings for share looks better, but they actually -- they
[00:04:44.000 --> 00:04:47.000]   can't actually have -- the revenues could go down.
[00:04:47.000 --> 00:04:51.000]   >> Now, historically Microsoft has not been a dividend stock.
[00:04:51.000 --> 00:04:53.000]   When did they start paying dividends?
[00:04:53.000 --> 00:04:57.000]   >> Well, they started paying -- yeah, a few years ago, they were -- when they first
[00:04:57.000 --> 00:05:02.000]   came into the Dow, a few years back, and all of a sudden started having a
[00:05:02.000 --> 00:05:05.000]   dividend out of -- it was very, very minor, nothing major, but they started
