;FFMETADATA1
album=TWiT February 2009
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/183
genre=Podcast
title=TWiT 183: Pirates' Circus
date=2009
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a   xmpDM:genre\="Other"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\=""\\x0a   xmpDM:duration\="1:23:35.329"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="12455"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\="">\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100
;FFMETADATA1
album=TWiT February 2009
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/183
genre=Podcast
title=TWiT 183: Pirates' Circus
date=2009
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a   xmpDM:genre\="Other"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\=""\\x0a   xmpDM:duration\="1:23:35.329"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="12455"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\="">\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   >> Netcast you love.
[00:00:06.000 --> 00:00:08.000]   >> From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:14.000]   >> This is Twit.
[00:00:14.000 --> 00:00:17.000]   >> Bandwidth for this weekend tech is provided by
[00:00:17.000 --> 00:00:22.000]   AOL Radio at AOL.com/podcasting.
[00:00:22.000 --> 00:00:28.000]   [ Music ]
[00:00:28.000 --> 00:00:32.000]   >> This is Twit, this weekend tech, episode 183
[00:00:32.000 --> 00:00:35.000]   for February 23rd, 2009.
[00:00:35.000 --> 00:00:38.000]   Pirates Circus.
[00:00:38.000 --> 00:00:42.000]   This weekend tech is brought to you by GoToMyPC
[00:00:42.000 --> 00:00:46.000]   wherever you go, access your PC, and all your files,
[00:00:46.000 --> 00:00:49.000]   programs, and email remotely with GoToMyPC.
[00:00:49.000 --> 00:00:52.000]   For a free trial of this award-winning service,
[00:00:52.000 --> 00:00:57.000]   visit GoToMyPC.com/Twit.
[00:00:57.000 --> 00:01:00.000]   And by listeners like you.
[00:01:00.000 --> 00:01:02.000]   Thanks so much for your contribution.
[00:01:02.000 --> 00:01:05.000]   We couldn't do Twit without it.
[00:01:05.000 --> 00:01:08.000]   >> You are the LaParte Truman Show.
[00:01:08.000 --> 00:01:11.000]   >> It is exactly what it is, and it's so much fun.
[00:01:11.000 --> 00:01:14.000]   It's really what's neat about it is, you know,
[00:01:14.000 --> 00:01:18.000]   of course podcasting makes it flexible for everyone you
[00:01:18.000 --> 00:01:20.000]   download when you want to listen to it, but it's not
[00:01:20.000 --> 00:01:23.000]   interactive, so it's really nice to have people,
[00:01:23.000 --> 00:01:25.000]   you know, so we have 700 people in the chat,
[00:01:25.000 --> 00:01:27.000]   one chat room, 500. >> People yelling at you in real time.
[00:01:27.000 --> 00:01:30.000]   >> Yeah, it's just like Jenny Cam.
[00:01:30.000 --> 00:01:32.000]   It's just like Jenny Cam.
[00:01:32.000 --> 00:01:34.000]   What happened to her?
[00:01:34.000 --> 00:01:35.000]   >> I don't know.
[00:01:35.000 --> 00:01:37.000]   Married raising a family.
[00:01:37.000 --> 00:01:39.000]   >> How old is your baby?
[00:01:39.000 --> 00:01:41.000]   I want to say, I don't want to read her whole name.
[00:01:41.000 --> 00:01:43.000]   >> Pozy has one.
[00:01:43.000 --> 00:01:45.000]   We call her Po or Pozy.
[00:01:45.000 --> 00:01:47.000]   She's one, she just turned one, got the one here,
[00:01:47.000 --> 00:01:49.000]   Moeller's to prove it.
[00:01:49.000 --> 00:01:51.000]   >> That's so great.
[00:01:51.000 --> 00:01:52.000]   >> So it's been a year.
[00:01:52.000 --> 00:01:55.000]   >> I think that's right about when you were on last time then.
[00:01:55.000 --> 00:01:57.000]   >> Yeah, it's been a busy year.
[00:01:57.000 --> 00:02:00.000]   We, last 14, 15 months, we changed continents.
[00:02:00.000 --> 00:02:01.000]   My wife changed jobs.
[00:02:01.000 --> 00:02:03.000]   We had a baby, published a book, went in a book to her,
[00:02:03.000 --> 00:02:07.000]   published two more books, wrote two books, spent a month in
[00:02:07.000 --> 00:02:10.000]   Asia researching a book, got married three times on two
[00:02:10.000 --> 00:02:12.000]   continents, went on my honeymoon.
[00:02:12.000 --> 00:02:13.000]   >> [LAUGH]
[00:02:13.000 --> 00:02:15.000]   >> What a great year it's been.
[00:02:15.000 --> 00:02:17.000]   Been a busy 15 or 16 months.
[00:02:17.000 --> 00:02:19.000]   >> We welcome him back for the first time and about that
[00:02:19.000 --> 00:02:22.000]   long, Corey Doctorow of craphound.com.
[00:02:22.000 --> 00:02:23.000]   Of course, a great novelist.
[00:02:23.000 --> 00:02:25.000]   What's your new book, Little Brother?
[00:02:25.000 --> 00:02:27.000]   >> Well, the book that I'm working on now is called For the
[00:02:27.000 --> 00:02:31.000]   Win and it's about union organizers and gold farms.
[00:02:31.000 --> 00:02:34.000]   The next book I've got coming out is a book for grownups called
[00:02:34.000 --> 00:02:38.000]   Makers and then the book that just came out last year was called
[00:02:38.000 --> 00:02:40.000]   Little Brother and it's a young adult novel.
[00:02:40.000 --> 00:02:41.000]   It's doing really well.
[00:02:41.000 --> 00:02:43.000]   It's an eighth hardcover printing.
[00:02:43.000 --> 00:02:44.000]   >> Wow.
[00:02:44.000 --> 00:02:46.000]   >> And you do the same thing with that that you've done with your
[00:02:46.000 --> 00:02:48.000]   other novels, your Creative Commons licensed it and
[00:02:48.000 --> 00:02:51.000]   it's still in its eighth hardcover printing, folks.
[00:02:51.000 --> 00:02:52.000]   >> Oh, yeah.
[00:02:52.000 --> 00:02:55.000]   New York Times bestseller, everyone's bestseller lists up for all
[00:02:55.000 --> 00:02:56.000]   the awards.
[00:02:56.000 --> 00:02:57.000]   >> Just shows you.
[00:02:57.000 --> 00:03:00.000]   >> Now, will you call for the Win FTW just to- >> That's the
[00:03:00.000 --> 00:03:02.000]   code name as we speak.
[00:03:02.000 --> 00:03:06.000]   The file is called FTW.txt.
[00:03:06.000 --> 00:03:08.000]   >> I love it.
[00:03:08.000 --> 00:03:10.000]   >> Also with is Ryan Block from GDGT.
[00:03:10.000 --> 00:03:12.000]   Great to talk to you, Ryan.
[00:03:12.000 --> 00:03:13.000]   >> Hey, thanks for having me back.
[00:03:13.000 --> 00:03:16.000]   >> Always great to have you back on the show.
[00:03:16.000 --> 00:03:19.000]   And now I'm just wondering if there is any strife in the
[00:03:19.000 --> 00:03:23.000]   block household when Veronica became a Twitter suggested
[00:03:23.000 --> 00:03:24.000]   celebrity.
[00:03:24.000 --> 00:03:28.000]   >> She's already, so we all know that she's the celebrity in the
[00:03:28.000 --> 00:03:29.000]   family.
[00:03:29.000 --> 00:03:31.000]   >> Leaving the rest of us in the dust.
[00:03:31.000 --> 00:03:34.000]   >> I'm just happy to be associated and to get that little
[00:03:34.000 --> 00:03:35.000]   bit of run off.
[00:03:35.000 --> 00:03:37.000]   >> Well, it's great to have you.
[00:03:37.000 --> 00:03:40.000]   I actually invited Ryan and Peter Rojas and we will get you
[00:03:40.000 --> 00:03:43.000]   both on another time, but Peter responded too late and I
[00:03:43.000 --> 00:03:45.000]   had already booked the panel up.
[00:03:45.000 --> 00:03:48.000]   But we'll get you two on again then soon.
[00:03:48.000 --> 00:03:49.000]   Maybe next week, who knows?
[00:03:49.000 --> 00:03:50.000]   >> Yeah, we're not going anywhere.
[00:03:50.000 --> 00:03:51.000]   >> Good.
[00:03:51.000 --> 00:03:54.000]   Also so pleased to have him on Robert Herron, an original
[00:03:54.000 --> 00:03:55.000]   Twit.
[00:03:55.000 --> 00:03:57.000]   He was on the very first Twit episode.
[00:03:57.000 --> 00:03:58.000]   Many subsequent to that.
[00:03:58.000 --> 00:04:01.000]   And then I just, you know, we kind of, my fault, Robert
[00:04:01.000 --> 00:04:03.000]   entirely, I'm so glad to have you back on.
[00:04:03.000 --> 00:04:04.000]   >> Hey, we're busy people.
[00:04:04.000 --> 00:04:05.000]   Thanks for inviting me.
[00:04:05.000 --> 00:04:08.000]   >> The occasion is kind of sad because DLTV went into
[00:04:08.000 --> 00:04:09.000]   hiatus last week.
[00:04:09.000 --> 00:04:10.000]   >> It did.
[00:04:10.000 --> 00:04:11.000]   >> Unnecessary hiatus.
[00:04:11.000 --> 00:04:14.000]   It really was just a personnel thing, just not having enough
[00:04:14.000 --> 00:04:17.000]   space to get stuff done and basically getting that to everyone's
[00:04:17.000 --> 00:04:19.000]   attention who needed it to be, who needed to be told.
[00:04:19.000 --> 00:04:20.000]   So we're working on it.
[00:04:20.000 --> 00:04:23.000]   >> So the plan is, it really is a hiatus and not a cancelation.
[00:04:23.000 --> 00:04:24.000]   The plan is to bring it back.
[00:04:24.000 --> 00:04:25.000]   >> Totally, totally.
[00:04:25.000 --> 00:04:26.000]   >> Good.
[00:04:26.000 --> 00:04:27.000]   >> I'm glad.
[00:04:27.000 --> 00:04:30.000]   >> Along with all the other content we're doing through the
[00:04:30.000 --> 00:04:33.000]   relationship we have with Mevio and PCMag as well, including
[00:04:33.000 --> 00:04:35.000]   Devorax, great cranky geeks.
[00:04:35.000 --> 00:04:37.000]   >> He's still doing that.
[00:04:37.000 --> 00:04:38.000]   >> He is.
[00:04:38.000 --> 00:04:39.000]   >> He's nonstop.
[00:04:39.000 --> 00:04:40.000]   >> Yeah.
[00:04:40.000 --> 00:04:42.000]   And you know, there have been personnel changes there as well as
[00:04:42.000 --> 00:04:43.000]   we all know.
[00:04:43.000 --> 00:04:44.000]   >> Totally.
[00:04:44.000 --> 00:04:47.000]   And you know, it's partially the economy, just partially to just
[00:04:47.000 --> 00:04:50.000]   about getting everyone on the same page in terms of what we need
[00:04:50.000 --> 00:04:52.000]   to do to make it a better show for everyone.
[00:04:52.000 --> 00:04:53.000]   >> Good.
[00:04:53.000 --> 00:04:54.000]   Good.
[00:04:54.000 --> 00:04:55.000]   I'm glad to hear it.
[00:04:55.000 --> 00:04:58.000]   I'm also really glad and I'm going to add her right now to welcome.
[00:04:58.000 --> 00:05:01.000]   This is a big panel today, so I'm going to have to ask everybody
[00:05:01.000 --> 00:05:05.000]   to be polite and to let other people talk.
[00:05:05.000 --> 00:05:09.000]   Gina Trapani, who I've been a big fan of for ages ever since she
[00:05:09.000 --> 00:05:14.000]   started the most singularly useful blog in history, LifeHacker.com.
[00:05:14.000 --> 00:05:17.000]   And she's kind of semi-retired from LifeHacker.
[00:05:17.000 --> 00:05:22.000]   We'll ask her about that and has a new site that we're going to let
