;FFMETADATA1
album=TWiT April 2009
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/189
genre=Podcast
title=TWiT 189: The Twitter Episode
date=2009
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:25:16.750"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="12707"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc3\\xb0(,</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100
;FFMETADATA1
album=TWiT April 2009
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/189
genre=Podcast
title=TWiT 189: The Twitter Episode
date=2009
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:25:16.750"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="12707"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc3\\xb0(,</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   >> Netcast you love.
[00:00:06.000 --> 00:00:08.000]   >> From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:14.000]   >> This is Twitt.
[00:00:14.000 --> 00:00:17.000]   >> Bandwidth for this weekend tech is provided by
[00:00:17.000 --> 00:00:22.000]   AOL Radio at AOL.com/podcasting.
[00:00:22.000 --> 00:00:27.000]   [ Music ]
[00:00:27.000 --> 00:00:32.000]   >> This is Twitt, this weekend tech, episode 189 for
[00:00:32.000 --> 00:00:36.000]   April 6, 2009, the Twitter episode.
[00:00:36.000 --> 00:00:40.000]   [ Music ]
[00:00:40.000 --> 00:00:44.000]   >> This weekend tech is brought to you by Audible.com.
[00:00:44.000 --> 00:00:47.000]   Sign up for the Platinum Plan and get two free books, go to
[00:00:47.000 --> 00:00:52.000]   Audible.com/Twitt2 and follow Audible on Twitter, user id,
[00:00:52.000 --> 00:00:56.000]   Audible_Comm.
[00:00:56.000 --> 00:01:00.000]   And by GoToMeeting, the new and better way to meet with
[00:01:00.000 --> 00:01:03.000]   clients and colleagues for your free 30-day trial visit
[00:01:03.000 --> 00:01:07.000]   GoToMeeting.com/Twitt.
[00:01:07.000 --> 00:01:12.000]   And by Carbonite, the leader in online backup, backup your
[00:01:12.000 --> 00:01:16.000]   PC or Mac off-site securely and automatically.
[00:01:16.000 --> 00:01:19.000]   For a free trial offer plus two free months with purchase,
[00:01:19.000 --> 00:01:23.000]   go to Carbonite.com, offer code Twitt.
[00:01:23.000 --> 00:01:27.000]   [ Music ]
[00:01:27.000 --> 00:01:30.000]   >> This is Twitt, episode 189, ladies and gentlemen.
[00:01:30.000 --> 00:01:32.000]   And once again, we're all in studio and I like doing it that
[00:01:32.000 --> 00:01:35.000]   way because we can look deep into each other's eyes and see
[00:01:35.000 --> 00:01:37.000]   the madness inside.
[00:01:37.000 --> 00:01:43.000]   >> Let's start with a first timer, a newbie, but he's
[00:01:43.000 --> 00:01:45.000]   fit in so very well right off the top.
[00:01:45.000 --> 00:01:47.000]   Mr. Brian Brushwood of Scam School.
[00:01:47.000 --> 00:01:48.000]   >> Howdy.
[00:01:48.000 --> 00:01:50.000]   >> Direct from his engagement at the Jay Leno Show.
[00:01:50.000 --> 00:01:51.000]   >> Yeah.
[00:01:51.000 --> 00:01:52.000]   >> That was fun.
[00:01:52.000 --> 00:01:53.000]   >> That was fun.
[00:01:53.000 --> 00:01:54.000]   >> It was fun.
[00:01:54.000 --> 00:01:55.000]   It was a lot of fun.
[00:01:55.000 --> 00:01:56.000]   I mean, they treat you right.
[00:01:56.000 --> 00:01:58.000]   I mean, they pick you up at the limo, they do the whole thing.
[00:01:58.000 --> 00:02:02.000]   >> But what do you do felt that you were well managed, you know,
[00:02:02.000 --> 00:02:03.000]   for a show of that size?
[00:02:03.000 --> 00:02:05.000]   Like they kept, "Okay, Brian, you stay here.
[00:02:05.000 --> 00:02:07.000]   Someone's going to come over, going to talk to you."
[00:02:07.000 --> 00:02:09.000]   >> They do a really good job of that.
[00:02:09.000 --> 00:02:10.000]   >> What's the pre-interview?
[00:02:10.000 --> 00:02:11.000]   They do a pre-interview, right?
[00:02:11.000 --> 00:02:12.000]   >> Yeah, yeah.
[00:02:12.000 --> 00:02:14.000]   And they work out the Chit Chat beforehand and--
[00:02:14.000 --> 00:02:17.000]   >> There's no, nothing's left to chance like this show.
[00:02:17.000 --> 00:02:18.000]   >> No, no, no, no.
[00:02:18.000 --> 00:02:20.000]   They have multiple outs on the Chit Chat and they found one that
[00:02:20.000 --> 00:02:21.000]   they thought they liked.
[00:02:21.000 --> 00:02:23.000]   >> Did my people call you in pre-interview for the show?
[00:02:23.000 --> 00:02:25.000]   >> Am I supposed to say yes?
[00:02:25.000 --> 00:02:26.000]   >> No.
[00:02:26.000 --> 00:02:27.000]   >> Okay.
[00:02:27.000 --> 00:02:28.000]   >> No, no pre-interview.
[00:02:28.000 --> 00:02:29.000]   Everything's authentic here.
[00:02:29.000 --> 00:02:31.000]   >> Oh, well.
[00:02:31.000 --> 00:02:34.000]   So, is Chin as big as it looks?
[00:02:34.000 --> 00:02:35.000]   >> Yeah.
[00:02:35.000 --> 00:02:36.000]   His whole body and face is--
[00:02:36.000 --> 00:02:37.000]   >> What's all of these?
[00:02:37.000 --> 00:02:38.000]   >> Yeah, he's gigantic.
[00:02:38.000 --> 00:02:41.000]   I wear, like, you know, I'm a short guy, so I wear, like, two inch
[00:02:41.000 --> 00:02:43.000]   lifts and I got two inches on my hair.
[00:02:43.000 --> 00:02:44.000]   It's ridiculous.
[00:02:44.000 --> 00:02:45.000]   >> Oh, hi.
[00:02:45.000 --> 00:02:46.000]   >> But it's like, I--
[00:02:46.000 --> 00:02:47.000]   >> Is that what the hair's about?
[00:02:47.000 --> 00:02:48.000]   Is trying to give you a height?
[00:02:48.000 --> 00:02:49.000]   >> What's--
[00:02:49.000 --> 00:02:51.000]   >> It actually still looks like guile from Street Fighter II.
[00:02:51.000 --> 00:02:52.000]   >> Oh, yeah, that's nice.
[00:02:52.000 --> 00:02:53.000]   >> Basically.
[00:02:53.000 --> 00:02:54.000]   >> That's fair.
[00:02:54.000 --> 00:02:55.000]   That other voice-- we haven't heard this voice in a long time.
[00:02:55.000 --> 00:02:58.000]   It's so nice to see Mr. Roger Chang on the show.
[00:02:58.000 --> 00:02:59.000]   >> Ooh.
[00:02:59.000 --> 00:03:00.000]   >> Roger, we missed you!
[00:03:00.000 --> 00:03:02.000]   >> Aw, I tried to make it up here more often than--
[00:03:02.000 --> 00:03:04.000]   >> Well, now that we know there's wine involved, I hope you
[00:03:04.000 --> 00:03:05.000]   will come up more often.
[00:03:05.000 --> 00:03:06.000]   >> Yeah.
[00:03:06.000 --> 00:03:07.000]   >> No, you're not a wine drinker.
[00:03:07.000 --> 00:03:08.000]   I can get you fruit juice.
[00:03:08.000 --> 00:03:09.000]   >> Sure.
[00:03:09.000 --> 00:03:10.000]   Or a rum.
[00:03:10.000 --> 00:03:11.000]   >> A rum?
[00:03:11.000 --> 00:03:14.000]   >> They go hand in hand, really.
[00:03:14.000 --> 00:03:17.000]   >> Roger Chang is-- you are now at--
[00:03:17.000 --> 00:03:19.000]   at the revision three part of the Tekzilla team.
[00:03:19.000 --> 00:03:20.000]   >> Yes.
[00:03:20.000 --> 00:03:22.000]   >> I do produce Tekzilla and system.
[00:03:22.000 --> 00:03:23.000]   >> That's great.
[00:03:23.000 --> 00:03:24.000]   >> And we--
[00:03:24.000 --> 00:03:25.000]   >> Are you on camera much?
[00:03:25.000 --> 00:03:26.000]   Do you get much camera time?
[00:03:26.000 --> 00:03:29.000]   >> I did the last system and that's just because we're trying
[00:03:29.000 --> 00:03:32.000]   to manage our budget, so it doesn't cost me to cost me.
[00:03:32.000 --> 00:03:33.000]   >> To book yourself.
[00:03:33.000 --> 00:03:34.000]   >> That's all fun.
[00:03:34.000 --> 00:03:35.000]   >> Yeah.
[00:03:35.000 --> 00:03:36.000]   And the pre-interview is very quick.
[00:03:36.000 --> 00:03:37.000]   >> Yes.
[00:03:37.000 --> 00:03:38.000]   >> Roger, do you know anything?
[00:03:38.000 --> 00:03:39.000]   No, I don't.
[00:03:39.000 --> 00:03:40.000]   Okay, fine.
[00:03:40.000 --> 00:03:41.000]   You're great for the show.
[00:03:41.000 --> 00:03:42.000]   We're signed up.
[00:03:42.000 --> 00:03:43.000]   Well, so nice to see you.
[00:03:43.000 --> 00:03:44.000]   I really appreciate you coming up.
[00:03:44.000 --> 00:03:45.000]   You're the greatest.
[00:03:45.000 --> 00:03:46.000]   How's the folks in Modesto, the seafood--
[00:03:46.000 --> 00:03:47.000]   >> Good.
[00:03:47.000 --> 00:03:48.000]   >> --Gally, it's gone well.
[00:03:48.000 --> 00:03:49.000]   >> Fisherman's Gally still going.
[00:03:49.000 --> 00:03:52.000]   It's-- that whole town's kind of weird still.
[00:03:52.000 --> 00:03:56.000]   It's probably gotten weird since it became a car theft capital
[00:03:56.000 --> 00:03:57.000]   of the United States.
[00:03:57.000 --> 00:03:58.000]   >> They call it fat city.
[00:03:58.000 --> 00:03:59.000]   >> PHAT or--
[00:03:59.000 --> 00:04:00.000]   >> No, just F-A-T.
[00:04:00.000 --> 00:04:01.000]   >> F-A-T.
[00:04:01.000 --> 00:04:04.000]   >> And well, what's funny is because of the past ten years,
[00:04:04.000 --> 00:04:08.000]   so many people from the East Bay of San Francisco were moving
[00:04:08.000 --> 00:04:11.000]   out there because housing was so affordable and now with the
[00:04:11.000 --> 00:04:12.000]   kind of--
[00:04:12.000 --> 00:04:13.000]   >> Now the crash--
[00:04:13.000 --> 00:04:14.000]   >> -- there's a bunch of--
