;FFMETADATA1
album=TWiT April 2009
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/190
genre=Podcast
title=TWiT 190: Gripping Jobs
date=2009
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:48:35.826"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="16181"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc2\\x90\\xc3\\x872</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100
;FFMETADATA1
album=TWiT April 2009
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/190
genre=Podcast
title=TWiT 190: Gripping Jobs
date=2009
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:48:35.826"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="16181"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc2\\x90\\xc3\\x872</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   >> Netcast you love.
[00:00:06.000 --> 00:00:08.000]   >> From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:14.000]   >> This is Twit.
[00:00:14.000 --> 00:00:17.000]   >> Bandwidth for this weekend tech is provided by
[00:00:17.000 --> 00:00:22.000]   AOL Radio at AOL.com/podcasting.
[00:00:22.000 --> 00:00:27.000]   [ Music ]
[00:00:27.000 --> 00:00:31.000]   >> This is Twit, this weekend tech, episode 190 for
[00:00:31.000 --> 00:00:35.000]   April 13, 2009, gripping jobs.
[00:00:35.000 --> 00:00:38.000]   [ Music ]
[00:00:38.000 --> 00:00:42.000]   >> This weekend tech is brought to you by Audible.com.
[00:00:42.000 --> 00:00:45.000]   Sign up for the Platinum Plan and get two free books, go to
[00:00:45.000 --> 00:00:51.000]   Audible.com/Twit2 and follow Audible on Twitter, user id,
[00:00:51.000 --> 00:00:54.000]   Audible_com.
[00:00:54.000 --> 00:01:00.000]   And by, go to MyPC, the safe way to access your PC remotely.
[00:01:00.000 --> 00:01:03.000]   That's as secure as online banking.
[00:01:03.000 --> 00:01:09.000]   For your free 30-day trial, visit go to myPC.com/Twit.
[00:01:09.000 --> 00:01:14.000]   And by, squarespace.com, the fast and easy way to publish a
[00:01:14.000 --> 00:01:16.000]   high-quality website or blog.
[00:01:16.000 --> 00:01:20.000]   For a free trial and 10% off your new account, go to
[00:01:20.000 --> 00:01:27.000]   squarespace.com/Twit.
[00:01:27.000 --> 00:01:30.000]   This is Twit, this weekend tech, episode 190 with
[00:01:30.000 --> 00:01:33.000]   great cast of characters sitting around drinking wine and
[00:01:33.000 --> 00:01:35.000]   talking about the latest tech news.
[00:01:35.000 --> 00:01:39.000]   I'll start with our in-studio guest, just one, but I'm so
[00:01:39.000 --> 00:01:40.000]   glad to have her.
[00:01:40.000 --> 00:01:41.000]   Neha Tawari is here.
[00:01:41.000 --> 00:01:42.000]   It's good to have you.
[00:01:42.000 --> 00:01:43.000]   >> Thank you for having me.
[00:01:43.000 --> 00:01:46.000]   >> Neha, I just found out, was an intern on the last days of
[00:01:46.000 --> 00:01:47.000]   tech TV.
[00:01:47.000 --> 00:01:49.000]   She actually was the band that played near my God of the
[00:01:49.000 --> 00:01:51.000]   as a shimp sank.
[00:01:51.000 --> 00:01:54.000]   And then went on to revision three, hosted pop siren,
[00:01:54.000 --> 00:01:57.000]   produced techzilla, and we're so glad to have you.
[00:01:57.000 --> 00:01:58.000]   Welcome.
[00:01:58.000 --> 00:01:59.000]   >> Thank you.
[00:01:59.000 --> 00:02:00.000]   >> Back from three months in India.
[00:02:00.000 --> 00:02:03.000]   >> Yes, a little bit of a break from life tech.
[00:02:03.000 --> 00:02:06.000]   >> You can give us the perspective, the Indian's perspective
[00:02:06.000 --> 00:02:07.000]   on tech.
[00:02:07.000 --> 00:02:09.000]   Although you were saying that where you are in Northern
[00:02:09.000 --> 00:02:12.000]   India, wasn't that wired?
[00:02:12.000 --> 00:02:13.000]   >> Not really.
[00:02:13.000 --> 00:02:16.000]   I mean, sometimes you would see people on the trains using
[00:02:16.000 --> 00:02:18.000]   laptops and stuff like that.
[00:02:18.000 --> 00:02:20.000]   The cyber cafe is still very, very popular.
[00:02:20.000 --> 00:02:21.000]   >> That's where people go.
[00:02:21.000 --> 00:02:25.000]   >> And that's where, I mean, having a home computer is not
[00:02:25.000 --> 00:02:29.000]   something that's widespread other than the metros.
[00:02:29.000 --> 00:02:32.000]   In other cities, not as much.
[00:02:32.000 --> 00:02:34.000]   >> The Internet Cafe.
[00:02:34.000 --> 00:02:36.000]   That's kind of like that in other parts of the world, I think.
[00:02:36.000 --> 00:02:37.000]   >> I think so too.
[00:02:37.000 --> 00:02:39.000]   When I was in China, I saw some Internet cafes there, but they
[00:02:39.000 --> 00:02:40.000]   weren't as frequent.
[00:02:40.000 --> 00:02:44.000]   I didn't see them as frequently as I did in India.
[00:02:44.000 --> 00:02:48.000]   So, you know, but it was interesting because I'm one of
[00:02:48.000 --> 00:02:51.000]   those people that wakes up and gets on their computer and is
[00:02:51.000 --> 00:02:53.000]   just glued to it the entire day.
[00:02:53.000 --> 00:02:55.000]   I'm sure a lot of you are the same way.
[00:02:55.000 --> 00:02:57.000]   So in India, I wasn't able to do that.
[00:02:57.000 --> 00:03:00.000]   And it was just interesting to go outside, get some fresh air
[00:03:00.000 --> 00:03:02.000]   and interact with real people.
[00:03:02.000 --> 00:03:03.000]   >> Very cool.
[00:03:03.000 --> 00:03:04.000]   >> Yeah.
[00:03:04.000 --> 00:03:07.000]   >> Speaking of fresh air and real people from Oxford,
[00:03:07.000 --> 00:03:11.000]   England, our good buddy, Mr. Wilhaer, it's a long time.
[00:03:11.000 --> 00:03:13.000]   No, see, he's got a little glass of suns there.
[00:03:13.000 --> 00:03:14.000]   Hey, Will.
[00:03:14.000 --> 00:03:16.000]   Oh, no, he's lost his audio.
[00:03:16.000 --> 00:03:17.000]   >> Yeah.
[00:03:17.000 --> 00:03:19.000]   >> On "Muteth" thyself.
[00:03:19.000 --> 00:03:20.000]   >> Ah!
[00:03:20.000 --> 00:03:21.000]   >> Sorry.
[00:03:21.000 --> 00:03:22.000]   >> It's great to be here.
[00:03:22.000 --> 00:03:23.000]   >> It's great now that I can see you.
[00:03:23.000 --> 00:03:24.000]   >> I'm out of practice.
[00:03:24.000 --> 00:03:27.000]   >> I can see you via Skype-asaurus.
[00:03:27.000 --> 00:03:30.000]   Not only do I know you're speaking or not hearing, but I can
[00:03:30.000 --> 00:03:32.000]   see what you're drinking and when.
[00:03:32.000 --> 00:03:34.000]   >> All the way through.
[00:03:34.000 --> 00:03:36.000]   >> John won't let us do that.
[00:03:36.000 --> 00:03:39.000]   Also hear from Port Angeles in the northern western most poor
[00:03:39.000 --> 00:03:44.000]   of the United States of America for the continental U.S.
[00:03:44.000 --> 00:03:46.000]   John C. Duvoirach.
[00:03:46.000 --> 00:03:47.000]   >> Hey there.
[00:03:47.000 --> 00:03:48.000]   >> Great to have you.
[00:03:48.000 --> 00:03:49.000]   How was your Easter?
[00:03:49.000 --> 00:03:51.000]   >> It's still going on.
[00:03:51.000 --> 00:03:54.000]   >> Did you hide eggs for the little ones?
[00:03:54.000 --> 00:03:58.000]   >> We don't actually have any little ones, but we did hide eggs
[00:03:58.000 --> 00:03:59.000]   in the course.
[00:03:59.000 --> 00:04:01.000]   Now the eggs have money in them.
[00:04:01.000 --> 00:04:03.000]   >> Oh, that gets the kids going.
[00:04:03.000 --> 00:04:05.000]   >> So everybody's glad to participate.
[00:04:05.000 --> 00:04:10.000]   >> Gold coins.
[00:04:10.000 --> 00:04:12.000]   The leprechauns have been here.
[00:04:12.000 --> 00:04:13.000]   Wow.
[00:04:13.000 --> 00:04:14.000]   That's a great idea.
[00:04:14.000 --> 00:04:16.000]   I was trying to hide eggs for my kid, my 14-year-old.
[00:04:16.000 --> 00:04:18.000]   I said, "Henry, can I hide some eggs?"
[00:04:18.000 --> 00:04:19.000]   He said, "No."
[00:04:19.000 --> 00:04:22.000]   >> Put a couple bucks in each one or five versions.
[00:04:22.000 --> 00:04:24.000]   You'll see he'll change his song.
[00:04:24.000 --> 00:04:26.000]   >> You came up with a very good idea.
[00:04:26.000 --> 00:04:30.000]   People like how John sounds when he is in Port Angeles when he's
[00:04:30.000 --> 00:04:33.000]   up in Washington State and the reason is John?
[00:04:33.000 --> 00:04:36.000]   >> Because I'm using the fabulous PR40 from Ohio.
[00:04:36.000 --> 00:04:37.000]   >> The Ohio PR40?
[00:04:37.000 --> 00:04:40.000]   Isn't it warm and luscious and delicious?
[00:04:40.000 --> 00:04:42.000]   >> What I like about it is that, in fact, I think people should
[00:04:42.000 --> 00:04:44.000]   consider this when they're podcasting.
[00:04:44.000 --> 00:04:50.000]   It's not a condensed -- so that saves you typically $100 for a
[00:04:50.000 --> 00:04:53.000]   little preamp, and it doesn't need a compressor.
[00:04:53.000 --> 00:04:57.000]   So essentially, you saved like $200 right off the top for a
[00:04:57.000 --> 00:04:58.000]   least.
[00:04:58.000 --> 00:05:01.000]   I mean, you could really rack those numbers up if you want to.
[00:05:01.000 --> 00:05:03.000]   And the mic, I think, is around $400.
[00:05:03.000 --> 00:05:09.000]   So it's the equivalent of a $200 expense overall as opposed to,
[00:05:09.000 --> 00:05:13.000]   and the mic I usually use in AKG cost about the same, but I need
[00:05:13.000 --> 00:05:14.000]   these two pieces of equipment.
[00:05:14.000 --> 00:05:15.000]   >> Yeah, no, I like it.
[00:05:15.000 --> 00:05:16.000]   >> So it's easier.
[00:05:16.000 --> 00:05:17.000]   >> It's way to go.
[00:05:17.000 --> 00:05:19.000]   So how do you get -- I don't understand, though.
