;FFMETADATA1
album=TWiT June 2009
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/199
genre=Podcast
title=TWiT 199: I'm A Dinner Jacket
date=2009
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:31:09.965"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="13584"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">p\\xe2\\x80\\x94'</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100
;FFMETADATA1
album=TWiT June 2009
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/199
genre=Podcast
title=TWiT 199: I'm A Dinner Jacket
date=2009
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:31:09.965"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="13584"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">p\\xe2\\x80\\x94'</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:07.000]   [Music]
[00:00:07.000 --> 00:00:11.000]   [Music]
[00:00:11.000 --> 00:00:14.000]   This is TWiT.
[00:00:14.000 --> 00:00:21.000]   Bandwidth for This Week in Tech is provided by AOL Radio at AOL.com/podcasting.
[00:00:21.000 --> 00:00:27.000]   [Music]
[00:00:27.000 --> 00:00:34.000]   This is TWiT, This Week in Tech, Episode 199 for June 15, 2009.
[00:00:34.000 --> 00:00:36.000]   I'm a dinner jacket.
[00:00:36.000 --> 00:00:38.000]   [Music]
[00:00:38.000 --> 00:00:42.000]   This Week in Tech is brought to you by Audible.com.
[00:00:42.000 --> 00:00:45.000]   Sign up for the Platinum Plan and get two free books.
[00:00:45.000 --> 00:00:54.000]   Go to Audible.com/twittoo and follow Audible on Twitter, user ID Audible_com.
[00:00:54.000 --> 00:01:03.000]   And by GoToMeeting. Business travel can kill your company's profits, so do more, save more, and travel less with GoToMeeting.
[00:01:03.000 --> 00:01:08.000]   For your free 30-day trial, visit GoToMeeting.com/twitt.
[00:01:08.000 --> 00:01:16.000]   [Music]
[00:01:16.000 --> 00:01:30.000]   It's time for TWiT, the show that covers all things technology and a great panel we have here, assembled around the table virtually, so to speak, from his getaway in beautiful Washington State, John C. Dvorak.
[00:01:30.000 --> 00:01:31.000]   Hello.
[00:01:31.000 --> 00:01:32.000]   Hey, John, good to talk to you.
[00:01:32.000 --> 00:01:39.000]   Also, just back from his getaway, he had a nice, I hope, vacation, Dwight Silverman of the Houston Chronicle.
[00:01:39.000 --> 00:01:40.000]   Hey, Dwight.
[00:01:40.000 --> 00:01:50.000]   Hey, it's good to be back and great to be doing this as my first semi-official act back after taking my daughter up to orientation at the University of Missouri.
[00:01:50.000 --> 00:01:53.000]   Oh, that's where she's going, huh? That's great. Congratulations.
[00:01:53.000 --> 00:02:00.000]   So, I remember the last time we, a few months ago, we talked, you were doing college tours and getting ready for all that.
[00:02:00.000 --> 00:02:04.000]   And so, she's going to you, what do you call it, Old Mizzou, is that it?
[00:02:04.000 --> 00:02:05.000]   It's called Mizzou, right?
[00:02:05.000 --> 00:02:06.000]   Mizzou.
[00:02:06.000 --> 00:02:08.000]   Incredibly, incredibly rich in tradition.
[00:02:08.000 --> 00:02:09.000]   Oh, that's nice.
[00:02:09.000 --> 00:02:16.000]   And it's a school that started homecoming, and it is the first, it was the first journalism school, the US.
[00:02:16.000 --> 00:02:18.000]   She's not going to study journalism.
[00:02:18.000 --> 00:02:20.000]   Yes, she is.
[00:02:20.000 --> 00:02:23.000]   Yes, as much as I try to dissuade her, that's what she wants to do.
[00:02:23.000 --> 00:02:26.000]   She must be very worried and proud.
[00:02:26.000 --> 00:02:27.000]   Yeah.
[00:02:27.000 --> 00:02:28.000]   But yes.
[00:02:28.000 --> 00:02:30.000]   And buggy whip manufacturing.
[00:02:30.000 --> 00:02:33.000]   There's a future in buggy whips, kids.
[00:02:33.000 --> 00:02:39.000]   But she's going into the convergence, she's going to do, she's going to focus on online, so at least she's taking the right track.
[00:02:39.000 --> 00:02:44.000]   Well, I think it's actually great. I mean, you still need the traditions of journalism.
[00:02:44.000 --> 00:02:49.000]   You still need the ethics, the background. I think that's, I mean, online journalists are still journalists.
[00:02:49.000 --> 00:02:53.000]   It's just because the dead tree newspapers going away doesn't mean that we don't need journalists.
[00:02:53.000 --> 00:02:54.000]   Right, right.
[00:02:54.000 --> 00:03:03.000]   Also here, Doug Kaye, the proto-podcaster, the guy who I think you are now officially the longest continuous running podcaster in the world.
[00:03:03.000 --> 00:03:05.000]   You didn't say oldest podcaster. Thank you.
[00:03:05.000 --> 00:03:06.000]   You're not the oldest, I guarantee you.
[00:03:06.000 --> 00:03:08.000]   It is the longest. Yeah, six years old.
[00:03:08.000 --> 00:03:09.000]   Six years.
[00:03:09.000 --> 00:03:10.000]   IT conversations.
[00:03:10.000 --> 00:03:11.000]   Six years last week.
[00:03:11.000 --> 00:03:16.000]   He's also at conversationsnetwork.org and has really been one of the people who's really forwarded this medium.
[00:03:16.000 --> 00:03:18.000]   You were way ahead of the, you knew.
[00:03:18.000 --> 00:03:23.000]   If you don't count yourself and about a half a dozen other people.
[00:03:23.000 --> 00:03:27.000]   Yeah, but you're discounting 20 years of radio.
