;FFMETADATA1
album=TWiT July 2009
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/205
genre=Podcast
title=TWiT 205: Step Up To The Guru Bar
date=2009
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a   xmpDM:genre\="Other"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\=""\\x0a   xmpDM:duration\="1:48:48.058"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="16212"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\="">\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100
;FFMETADATA1
album=TWiT July 2009
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/205
genre=Podcast
title=TWiT 205: Step Up To The Guru Bar
date=2009
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a   xmpDM:genre\="Other"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\=""\\x0a   xmpDM:duration\="1:48:48.058"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="16212"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\="">\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:07.000]   [Music]
[00:00:07.000 --> 00:00:13.000]   This is TWiT.
[00:00:13.000 --> 00:00:19.000]   Bandwidth for this week in tech is provided by AOL Music and Spinner.com
[00:00:19.000 --> 00:00:23.000]   where you can get free MP3s, exclusive interviews and more.
[00:00:23.000 --> 00:00:28.000]   [Music]
[00:00:28.000 --> 00:00:35.000]   This is TWiT This Week in Tech, Episode 205, July 27, 2009.
[00:00:35.000 --> 00:00:38.000]   Step up to the GUI bar.
[00:00:38.000 --> 00:00:42.000]   This Week in Tech is brought to you by Audible.com.
[00:00:42.000 --> 00:00:45.000]   Sign up for the platinum plan and get two free books.
[00:00:45.000 --> 00:00:53.000]   Go to Audible.com/Twitt2 and follow Audible on Twitter, user ID Audible_com.
[00:00:53.000 --> 00:00:57.000]   And by GoToMeeting.
[00:00:57.000 --> 00:01:02.000]   Picture yourself on a phone call sharing and explaining something visual with GoToMeeting.
[00:01:02.000 --> 00:01:07.000]   For your free 30-day trial, visit GoToMeeting.com/Twitt.
[00:01:07.000 --> 00:01:15.000]   And by Squarespace.com, the fast and easy way to publish a high quality website or blog.
[00:01:15.000 --> 00:01:21.000]   For a free trial and 10% off your new account, go to Squarespace.com/Twitt.
[00:01:21.000 --> 00:01:28.000]   [Music]
[00:01:28.000 --> 00:01:34.000]   This is TWiT This Week in Tech, Registered Trademark, TWiT LLC.
[00:01:34.000 --> 00:01:41.000]   I'm Leo Laporte and joining us today around the table we've got, so pleased, from the UK, Mr. Pete Cashmore of Mashable fame.
[00:01:41.000 --> 00:01:43.000]   Great to have you back, Pete.
[00:01:43.000 --> 00:01:44.000]   Thank you. Good to be here.
[00:01:44.000 --> 00:01:45.000]   Thanks for being here.
[00:01:45.000 --> 00:01:50.000]   Also here, the man who helped me get elected president of the internet, Jason Heiner of Tech Republic,
[00:01:50.000 --> 00:01:52.000]   the editor-in-chief. Hi, Jason.
[00:01:52.000 --> 00:01:54.000]   Hey, Leo. Glad to be here.
[00:01:54.000 --> 00:01:59.000]   I have to tell you, I listen to a lot of podcasts and I always come back to Buzz Out Loud, Twitter, and Cranky Geeks.
[00:01:59.000 --> 00:02:02.000]   So being on Twitter is kind of like checking something off my bucket list.
[00:02:02.000 --> 00:02:06.000]   Now, if only Pete would do a podcast. Do you do a podcast, Pete?
[00:02:06.000 --> 00:02:10.000]   No, it's not really. I mean, you've got that market sewn up, Leo.
[00:02:10.000 --> 00:02:13.000]   Good. Thank you. Keep up the good work. I appreciate it.
[00:02:13.000 --> 00:02:18.000]   And also here, first time ever on video, which is really remarkable.
[00:02:18.000 --> 00:02:20.000]   It's not the first time I've ever been on video.
[00:02:20.000 --> 00:02:22.000]   No, but on this show.
[00:02:22.000 --> 00:02:24.000]   Yes, I got a camera out there glued up to the wall.
[00:02:24.000 --> 00:02:30.000]   So folks, if you listen to the audio of the show, which most, which is like 99.99% of you do, you're missing out.
[00:02:30.000 --> 00:02:34.000]   You can watch the video. We produce it live 6 p.m. Eastern every Sunday.
[00:02:34.000 --> 00:02:41.000]   We don't release the video. We just produce it, but we never release it.
[00:02:41.000 --> 00:02:44.000]   And it's kind of a treat to see you, John. Well, thank you all for being here.
[00:02:44.000 --> 00:02:47.000]   And John, thank you for filling in for me when I was in China. I really appreciate it.
[00:02:47.000 --> 00:02:54.000]   Yeah, that was fun. And by the way, this when you go to the commercial this time, you can see when I leave to go base the meat.
[00:02:54.000 --> 00:02:57.000]   I know. We'll know. You'll know.
