;FFMETADATA1
album=TWiT August 2009
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/209
genre=Podcast
title=TWiT 209: Dvorak Shrugged
date=2009
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:40:37.766"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="14994"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc2\\xb8G"</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100
;FFMETADATA1
album=TWiT August 2009
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/209
genre=Podcast
title=TWiT 209: Dvorak Shrugged
date=2009
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="1:40:37.766"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="14994"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc2\\xb8G"</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:03.760]   [ Sound Effects ]
[00:00:03.760 --> 00:00:05.440]   Netcast you love.
[00:00:05.440 --> 00:00:07.440]   From people you trust.
[00:00:07.440 --> 00:00:11.040]   [ Music ]
[00:00:11.040 --> 00:00:12.840]   This is Twit.
[00:00:12.840 --> 00:00:18.880]   Bandwidth for this weekend tech is provided by AOLMusic and Spinner.com,
[00:00:18.880 --> 00:00:22.560]   where you can get free MP3s, exclusive interviews, and more.
[00:00:22.560 --> 00:00:28.160]   [ Music ]
[00:00:28.160 --> 00:00:35.120]   This is Twit, this weekend tech, episode 209 for August 24, 2009.
[00:00:35.120 --> 00:00:36.920]   Devorak Shrugged.
[00:00:36.920 --> 00:00:38.880]   [ Music ]
[00:00:38.880 --> 00:00:42.880]   This weekend tech is brought to you by Audible.com.
[00:00:42.880 --> 00:00:48.360]   Sign up for the Platinum plan and get two free books, go to Audible.com/Twit2
[00:00:48.360 --> 00:00:54.800]   and follow Audible on Twitter, user ID Audible_com.
[00:00:54.800 --> 00:00:57.080]   And by Go to Meeting.
[00:00:57.080 --> 00:01:02.520]   Picture yourself on a phone call sharing and explaining something visual with Go to Meeting.
[00:01:02.520 --> 00:01:08.240]   For your free 30-day trial visit GoToMeeting.com/Twit.
[00:01:08.240 --> 00:01:15.040]   And by Squarespace.com, the fast and easy way to publish a high quality website or blog.
[00:01:15.040 --> 00:01:21.480]   For a free trial and 10% off your new account, go to squarespace.com/Twit.
[00:01:21.480 --> 00:01:26.920]   [ Music ]
[00:01:26.920 --> 00:01:29.880]   This is Twit, this weekend tech, the stories.
[00:01:29.880 --> 00:01:32.360]   Are yours, the conversation is ours.
[00:01:32.360 --> 00:01:34.960]   John C. Devorak.
[00:01:34.960 --> 00:01:37.120]   From the channel Devorak.
[00:01:37.120 --> 00:01:38.680]   Tech 5, no agenda.
[00:01:38.680 --> 00:01:40.080]   Cranky geeks.
[00:01:40.080 --> 00:01:41.880]   Formerly of Silicon Spin.
[00:01:41.880 --> 00:01:43.760]   PC columnist.
[00:01:43.760 --> 00:01:44.520]   Markerwatch.
[00:01:44.520 --> 00:01:45.720]   And Markerwatch.
[00:01:45.720 --> 00:01:46.800]   Thank you, John, for being here today.
[00:01:46.800 --> 00:01:49.200]   Also Bug Magazine in Croatia.
[00:01:49.200 --> 00:01:49.840]   Bug?
[00:01:49.840 --> 00:01:50.840]   Yeah, bug.
[00:01:50.840 --> 00:01:52.480]   Is it a-- you write about entomology?
[00:01:52.480 --> 00:01:54.080]   Po in Brazil.
[00:01:54.080 --> 00:01:55.760]   And info in Brazil.
[00:01:55.760 --> 00:02:00.120]   When we first started working together, John and I have been working together since 1991.
[00:02:00.120 --> 00:02:04.480]   And when we first started working together, I think you were in 23 magazines, 23 columns
[00:02:04.480 --> 00:02:05.480]   a month.
[00:02:05.480 --> 00:02:09.920]   It was 23 columns a month, but it wasn't a lot of it was cheated by you.
[00:02:09.920 --> 00:02:10.920]   Yeah, PCMag was like--
[00:02:10.920 --> 00:02:12.320]   Well, it was also written for the examiner.
[00:02:12.320 --> 00:02:14.080]   Yeah, it was like, every day.
[00:02:14.080 --> 00:02:15.080]   Yeah.
[00:02:15.080 --> 00:02:16.080]   I hate that.
[00:02:16.080 --> 00:02:17.080]   I hate that.
[00:02:17.080 --> 00:02:20.400]   Also with this, and in the first time, and I'm really thrilled to get you on the show,
[00:02:20.400 --> 00:02:22.120]   Om Malek from GigaOMA.
[00:02:22.120 --> 00:02:25.480]   Hey Leo, thanks for having me.
[00:02:25.480 --> 00:02:27.720]   You've got an empire now over at GigaOMA.
[00:02:27.720 --> 00:02:29.480]   I don't know.
[00:02:29.480 --> 00:02:31.160]   Not as big an empire as you have.
[00:02:31.160 --> 00:02:34.480]   Well, how many-- so it was originally just your blog, and now you've got a number of
[00:02:34.480 --> 00:02:37.640]   bloggers working for you, and it seems like a number of channels too.
[00:02:37.640 --> 00:02:38.640]   Right.
[00:02:38.640 --> 00:02:40.640]   We have seven blogs now, including GigaOMA.
[00:02:40.640 --> 00:02:48.720]   We have new TV, Earth2Tech, WebWorkerDaily, Ostatic, the Apple Blog, and JK on the run including.
[00:02:48.720 --> 00:02:53.800]   And we've just launched a subscription service called GigaOMA Pro, which is a research service
