;FFMETADATA1
encoded_by=iTunes v7.0
title=TWiT 218: Escape From Farmville
artist=Leo Laporte and the TWiTs
album=TWiT October 2009
genre=Podcast
comment=http://twit.tv/218
date=2009
encoder=Lavf58.76.100
;FFMETADATA1
encoded_by=iTunes v7.0
title=TWiT 218: Escape From Farmville
artist=Leo Laporte and the TWiTs
album=TWiT October 2009
genre=Podcast
comment=http://twit.tv/218
date=2009
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:03.760]   [ Sound Effects ]
[00:00:03.760 --> 00:00:05.440]   Netcast you love.
[00:00:05.440 --> 00:00:07.440]   From people you trust.
[00:00:07.440 --> 00:00:11.040]   [ Music ]
[00:00:11.040 --> 00:00:12.840]   This is Twit.
[00:00:12.840 --> 00:00:18.880]   Bandwidth for this weekend tech is provided by AOLMusic and Spinner.com,
[00:00:18.880 --> 00:00:22.480]   where you can get free MP3s, exclusive interviews, and more.
[00:00:22.480 --> 00:00:28.080]   [ Music ]
[00:00:28.080 --> 00:00:30.480]   This is Twit, this weekend tech.
[00:00:30.480 --> 00:00:34.880]   Episode 218 for October 26, 2009.
[00:00:34.880 --> 00:00:36.880]   Escape from Farmville.
[00:00:36.880 --> 00:00:38.800]   [ Music ]
[00:00:38.800 --> 00:00:42.520]   This weekend tech is brought to you by Audible.com.
[00:00:42.520 --> 00:00:45.800]   This week a new Audible exclusive, The Copper Bracelet.
[00:00:45.800 --> 00:00:49.680]   Your first chapter is available now free, no credit card necessary,
[00:00:49.680 --> 00:00:54.440]   at Audible.com/TwitCauper.
[00:00:54.440 --> 00:00:57.280]   And by Squarespace.com.
[00:00:57.280 --> 00:01:01.280]   The fast and easy way to publish a high quality website or blog.
[00:01:01.280 --> 00:01:08.880]   For a free trial and 10% off your new account, go to squarespace.com/Twit.
[00:01:08.880 --> 00:01:13.080]   And by, go to my PC, unchain yourself from your office PC,
[00:01:13.080 --> 00:01:17.600]   and access it from anywhere with Go to My PC for your free 30 day trial.
[00:01:17.600 --> 00:01:20.840]   Visit GoToMyPC.com/Twit.
[00:01:20.840 --> 00:01:27.360]   [ Music ]
[00:01:27.360 --> 00:01:29.360]   It's time for Twit, this weekend tech.
[00:01:29.360 --> 00:01:32.880]   Today, the child centric version.
[00:01:32.880 --> 00:01:36.040]   Because in studio with us, Mr. Seamus Norton.
[00:01:36.040 --> 00:01:38.240]   Hello Seamus, how you doing?
[00:01:38.240 --> 00:01:39.840]   [ Laughter ]
[00:01:39.840 --> 00:01:42.320]   And his father, Mr. Patrick Norton, hey, good to see you.
[00:01:42.320 --> 00:01:43.040]   Good to be here.
[00:01:43.040 --> 00:01:45.160]   His t-shirt today says science.
[00:01:45.160 --> 00:01:46.640]   It works, bitches.
[00:01:46.640 --> 00:01:51.280]   It's an XKCD. If you've never been to the cartoon side XKCD,
[00:01:51.280 --> 00:01:52.000]   you should go.
[00:01:52.000 --> 00:01:53.600]   They're into science and math.
[00:01:53.600 --> 00:01:54.360]   I love it.
[00:01:54.360 --> 00:01:56.800]   Somebody said there's going to be an animated XKCD.
[00:01:56.800 --> 00:01:58.880]   That's a really frightening thing to contemplate.
[00:01:58.880 --> 00:02:00.480]   Because it's stick figures.
[00:02:00.480 --> 00:02:03.000]   Well, I can deal with stick figure theater, actually,
[00:02:03.000 --> 00:02:04.320]   is one of the best things I've ever seen.
[00:02:04.320 --> 00:02:07.760]   Where they summarize, you know, it's like bunny theater.
[00:02:07.760 --> 00:02:11.680]   It's like basically 60 second summaries of plastic sin they maw.
[00:02:11.680 --> 00:02:13.480]   Like Jaws.
[00:02:13.480 --> 00:02:17.880]   And now also with us, Mr. John C. Devorek.
[00:02:17.880 --> 00:02:18.400]   Dead, dead.
[00:02:18.400 --> 00:02:20.240]   So Seamus is looking at the monitor saying,
[00:02:20.240 --> 00:02:21.160]   "Dad, at the picture."
[00:02:21.160 --> 00:02:22.560]   Pointing at you and saying, "Dad, at the picture."
[00:02:22.560 --> 00:02:24.240]   Well, you know, when you had Patrick.
[00:02:24.240 --> 00:02:25.240]   Well, let's put Patrick back.
[00:02:25.240 --> 00:02:26.240]   Let's put Patrick.
[00:02:26.240 --> 00:02:28.000]   It's "Dad, at" on the monitor.
[00:02:28.000 --> 00:02:31.640]   Yes, channeldevorek.com, devorek.org/blog.
[00:02:31.640 --> 00:02:33.480]   And whatever else we could.
[00:02:33.480 --> 00:02:35.440]   Also with us, Mr. Dwight Silverman all the way
[00:02:35.440 --> 00:02:37.640]   from Houston of the Houston Chronicle.
[00:02:37.640 --> 00:02:40.880]   And the tech blog at blogs.cron.com/techblog.
[00:02:40.880 --> 00:02:42.600]   Hey, Dwight, good to have you.
[00:02:42.600 --> 00:02:43.440]   Great to be here.
[00:02:43.440 --> 00:02:44.880]   Leo, thank you for inviting me.
[00:02:44.880 --> 00:02:48.480]   We had a Windows House Party here on Thursday
[00:02:48.480 --> 00:02:49.800]   for the launch of Windows 7.
[00:02:49.800 --> 00:02:53.000]   And look, we have a Jigsaw puzzle, a Windows 7 Jigsaw puzzle.
[00:02:53.000 --> 00:02:54.480]   And Seamus is going to put it together.
[00:02:54.480 --> 00:02:55.840]   That's exciting.
[00:02:55.840 --> 00:02:57.200]   Those just are chewing on the pieces.
[00:02:57.200 --> 00:02:59.360]   He can chew it, so I don't keep-- do anything he wants with that.
[00:02:59.360 --> 00:02:59.880]   That's--
[00:02:59.880 --> 00:03:00.720]   It's a puzzle.
[00:03:00.720 --> 00:03:02.560]   It's a micro-- well, you know, actually we had a race.
[00:03:02.560 --> 00:03:05.080]   We wanted to see if it would be faster to install Windows 7
[00:03:05.080 --> 00:03:06.440]   or put the puzzle together.
[00:03:06.440 --> 00:03:08.800]   And puzzle one, but it was a pretty easy puzzle.
[00:03:08.800 --> 00:03:09.840]   Dwight, are you hearing--
[00:03:09.840 --> 00:03:13.480]   Is that-- yeah, is that the picture of the guy floating
[00:03:13.480 --> 00:03:14.040]   in midair?
[00:03:14.040 --> 00:03:14.600]   Is that what's--
[00:03:14.600 --> 00:03:16.320]   It's the turtle with the city on its back.
[00:03:16.320 --> 00:03:17.520]   One of the--
[00:03:17.520 --> 00:03:19.640]   One of the few things that they surprised us
[00:03:19.640 --> 00:03:22.820]   with, from those of us who used the release
[00:03:22.820 --> 00:03:25.560]   candidate 7100, in fact, as far as I could tell,
[00:03:25.560 --> 00:03:26.720]   the only thing that was different.
[00:03:26.720 --> 00:03:30.800]   So it was that telling you that the thing runs like a turtle?
[00:03:30.800 --> 00:03:32.520]   Is that what the product is like?
[00:03:32.520 --> 00:03:33.360]   Is like a turtle's--
[00:03:33.360 --> 00:03:34.000]   It's turtles all the way down.
[00:03:34.000 --> 00:03:35.520]   It's turtles all the way down.
[00:03:35.520 --> 00:03:36.720]   I do know that's great.
[00:03:36.720 --> 00:03:38.440]   Want to tell it?
[00:03:38.440 --> 00:03:39.120]   You'll do it better.
