;FFMETADATA1
album=This Week In Tech 2012
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/343
encoded_by=iTunes v7.0
genre=Podcast
title=TWiT 343: Small Dog Big Phone
track=343
date=2012
encoder=Lavf58.76.100
;FFMETADATA1
album=This Week In Tech 2012
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/343
encoded_by=iTunes v7.0
genre=Podcast
title=TWiT 343: Small Dog Big Phone
track=343
date=2012
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.760]   It's time for Twit this weekend tech white Silverman joins John C. Devorak and Jolie Odell
[00:00:04.760 --> 00:00:08.800]   We're gonna talk about the big Apple announcement. What could the iPad 3 be?
[00:00:08.800 --> 00:00:15.560]   We'll also talk about AT&T's decision to throttle its customers and a whole lot more this weekend tech is next
[00:00:15.560 --> 00:00:23.400]   Netcasts you love from people you trust
[00:00:23.400 --> 00:00:29.200]   This is Twit
[00:00:30.160 --> 00:00:35.160]   Audio bandwidth for this weekend tech is provided by the new WinApp for Android
[00:00:35.160 --> 00:00:42.320]   Featuring wireless sync and one-click iTunes import now with free daily music downloads and full-length CD listening parties
[00:00:42.320 --> 00:00:46.280]   Download it for free at WinApp.com/Android
[00:00:46.280 --> 00:00:50.640]   Video bandwidth for Twit is provided by cash fly at CACHE
[00:00:50.640 --> 00:00:53.360]   FLY.com
[00:00:58.200 --> 00:01:06.440]   This is Twit this weekend tech episode 343 recorded March 4th 2012 small dog big phone
[00:01:06.440 --> 00:01:14.600]   This weekend tech is brought to you by carbonite online backup automatic continuous and unlimited backup for your computer files
[00:01:14.600 --> 00:01:21.280]   Only fifty nine dollars a year try it free at carbonite.com use the offer code TWIT to get two bonus months with purchase
[00:01:21.280 --> 00:01:28.560]   And buy Gazelle the easy way to sell or recycle your used electronic gadgets from your home or office
[00:01:28.560 --> 00:01:32.920]   Don't just sell it Gazelle it Gazelle your used gadgets today at Gazelle
[00:01:32.920 --> 00:01:38.600]   Dot-com and buy audible dot-com sign up for the platinum plan and get two free books go to audible dot-com
[00:01:38.600 --> 00:01:44.440]   Slash twit - don't forget to follow audible on Twitter user ID audible underscore calm
[00:01:50.520 --> 00:01:54.280]   Welcome to twits this week in tech look at the weeks news
[00:01:54.280 --> 00:01:56.840]   as
[00:01:56.840 --> 00:02:02.760]   Synopsized by this amazing cast of characters starting with to my right mr. John C. Devorak of
[00:02:02.760 --> 00:02:08.680]   The channel devoring to my life you look for your camera and then pointed at it very nicely that he's a pro
[00:02:08.680 --> 00:02:13.260]   This guy is a trained professional who has a box of OS - look what you got me
[00:02:13.260 --> 00:02:18.200]   Look at me an OS - because you used to be a fanatic OS - I was a big OS - promoter
[00:02:18.200 --> 00:02:22.000]   I wrote a lot good on it. You love warp. Yeah, but the problem was it's
[00:02:22.000 --> 00:02:28.880]   One day I just I went cold turkey against this product. Yeah, well, we're gonna you're gonna find out how you feel about windows 8
[00:02:28.880 --> 00:02:31.820]   Which is I think the reincarnation of OS - warp well, that's
[00:02:31.820 --> 00:02:39.240]   We'll talk about it in a second also here. Why am I why am I leaving out Jolio Dell? It's so great to have you back
[00:02:39.240 --> 00:02:45.040]   Welcome Jolie nice to see you you're writing in fact you're gonna you're off to South by a little a couple of weeks
[00:02:45.040 --> 00:02:47.040]   Yes, I am working for
[00:02:47.360 --> 00:02:53.680]   Venture beat venture beat still I keep asking as if you just started working there as if you might move on job hop
[00:02:53.680 --> 00:02:59.720]   But no, I gave my notice at venture beat for five years from Monday or so you're stuck there now
[00:02:59.720 --> 00:03:06.700]   For the next five years until I retire well, you go always have a job at any time. We love Jolio Dell. It's great to have you
[00:03:06.700 --> 00:03:12.280]   Also here another guy. I'm crazy about mr. Dwight Silverman of the Houston Chronicle
[00:03:12.280 --> 00:03:15.880]   Blogged out on Leo. How are you great to see you? I'm well
[00:03:16.680 --> 00:03:18.800]   Have to be here virtually happy March
[00:03:18.800 --> 00:03:24.360]   What is the weather like in Houston right now? Oh, it's gorgeous. It's San Francisco gorgeous today
