;FFMETADATA1
title=Live from Lake Tinky Winky
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=400
genre=Podcast
comment=http://www.twit.tv/twit
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2013
encoder=Lavf58.76.100
;FFMETADATA1
title=Live from Lake Tinky Winky
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=400
genre=Podcast
comment=http://www.twit.tv/twit
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2013
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.940]   It's time for Treadt this week in Tech Plate Morris is here along with Scott Johnson
[00:00:04.940 --> 00:00:12.060]   We're gonna say goodbye to Roger Ebert talk about the new Facebook home and speculate on what the next iPhone could do
[00:00:12.060 --> 00:00:14.060]   It would wake the world up. It's all ahead
[00:00:14.060 --> 00:00:21.680]   Netcasts you love from people you trust
[00:00:21.680 --> 00:00:27.500]   This is toys
[00:00:28.420 --> 00:00:33.420]   Audio bandwidth for this week in tech is provided by the new win app for Android
[00:00:33.420 --> 00:00:40.600]   Featuring wireless sync and one-click iTunes import now with free daily music downloads and full-length CD listening parties
[00:00:40.600 --> 00:00:42.940]   Download it for free at winamp.com
[00:00:42.940 --> 00:00:49.100]   Slash Android video bandwidth for Twitter is provided by cash fly at CAC HE
[00:00:49.100 --> 00:00:51.620]   FLY calm
[00:00:55.820 --> 00:01:01.820]   This is Twitter this weekend tech episode 400 recorded April 7 2013
[00:01:01.820 --> 00:01:04.140]   Lie from Lake Tinky Winky
[00:01:04.140 --> 00:01:11.960]   This week in tech is brought to you by go to meeting with HD faces from Citrix the powerfully simple way to meet and collaborate with
[00:01:11.960 --> 00:01:15.180]   colleagues and clients anywhere you could share the same screen and
[00:01:15.180 --> 00:01:22.440]   See each other face to face with HD video conferencing even from an iPad sign up for your 30-day free trial today
[00:01:22.440 --> 00:01:28.320]   Visit go to meeting calm click on the try it free button and use the promo code twit and buy
[00:01:28.320 --> 00:01:33.920]   Audible calm sign up for the platinum plan and get two free books go to audible calm
[00:01:33.920 --> 00:01:40.800]   Swift to and to kick off the new release of dimension of miracles audible is sending a lucky winner to comic-con
[00:01:40.800 --> 00:01:45.640]   New York enter to win at audible calm slash sweeps and
[00:01:46.280 --> 00:01:53.260]   Buy square space the all-in-one platform that makes it fast and easy to create a professional website blog
[00:01:53.260 --> 00:01:58.340]   Portfolio or online store check out their new commerce solution
[00:01:58.340 --> 00:02:03.980]   So you can start selling stuff immediately or a free trial and 10% off your first purchase on new accounts
[00:02:03.980 --> 00:02:13.220]   Go to squarespace calm and use the offer code twits for and buy stamps calm start using your time more effectively with stamps calm
[00:02:13.220 --> 00:02:19.220]   Use stamps calm to buy and print real u.s. Postage the instant you need it right from your desk for our special offer
[00:02:19.220 --> 00:02:22.340]   Go to stamps calm click the microphone and enter twins
[00:02:22.340 --> 00:02:31.660]   It's time for twit this week in tech the show that covers all the week's tech news with a great cast
[00:02:31.660 --> 00:02:40.140]   Joining us by voice only, but that's all right. Tim Stevens editor-in-chief of end gadget. He is having a little wind problem
[00:02:42.500 --> 00:02:44.820]   It could really affect your connectivity as bad as yeah
[00:02:44.820 --> 00:02:47.660]   I'm on altE to the home up here and it is a little bit dependent on the weather
[00:02:47.660 --> 00:02:53.980]   So thank you for having me by voice only okay. Yeah, and just stay over there with your wind problem also
[00:02:53.980 --> 00:03:04.700]   It's already I've already broken bad we were talking about this before the show I just feel like
[00:03:04.700 --> 00:03:09.380]   Folks you're gonna enjoy the next few years on twit because I'm just falling apart
[00:03:10.580 --> 00:03:16.900]   And I told I was supposed to apologize to you Clayton for mistreating Natalie Morris last time she was I thought she was great
[00:03:16.900 --> 00:03:21.580]   She's I have no idea what she had a blast. Yeah, it has a blast. Oh good
[00:03:21.580 --> 00:03:27.460]   Yeah, I have no idea and look we we have the thickest skin. Yeah, you could ever find so we have great time
[00:03:27.460 --> 00:03:30.340]   Please don't tell her I apologize because then she'll start thinking of well
[00:03:30.340 --> 00:03:32.220]   What did he say and that we don't want to bring back? Yeah?
[00:03:32.220 --> 00:03:37.540]   No, I think if anything you were rooting through my my sci-fi books. We did do that
[00:03:37.540 --> 00:03:39.820]   That's what I'm supposed to apologize for do you mind?
[00:03:39.820 --> 00:03:46.060]   I got home and wondered why all my Star Trek books were rearranged why was why was number three?
[00:03:46.060 --> 00:03:51.500]   In front of number number two. I don't get that I remember my shelf
[00:03:51.500 --> 00:03:57.820]   The I'm supposed to apologize to you for Natalie now. I remember yeah, I think Devorak put her up to it
[00:03:57.820 --> 00:04:01.620]   Hey rifle through Clayton back there and find out what books he's having no
[00:04:01.620 --> 00:04:03.620]   You know it gave you a new dimension
[00:04:03.620 --> 00:04:05.860]   Because we know you use the handsome
[00:04:05.860 --> 00:04:09.900]   Charming Clayton Morris of Fox and Friends the tech journalist. You're so polished
[00:04:09.900 --> 00:04:16.020]   You're kind of the James Bond of tech journalists to know that you have a little bit of a you know a geek side is good
[00:04:16.020 --> 00:04:21.420]   Oh total geek side. Yeah, you see those early James blush Star Trek novels ladies
[00:04:21.420 --> 00:04:28.300]   And when you when you like to come home with me because I can show you my my novels
[00:04:28.300 --> 00:04:31.920]   First edition also joining us
[00:04:32.420 --> 00:04:36.260]   Scott Johnson the only man in the world who has launched more podcasts than I have
[00:04:36.260 --> 00:04:42.760]   It's pretty close. Oh my god. Oh, it's been since Vegas when we were there for the enemy and I lost every category
[00:04:42.760 --> 00:04:46.860]   I was nominated new media expo, but you were nominated and it's a joy to be nominated
[00:04:46.860 --> 00:04:47.780]   Yeah, I was nice
[00:04:47.780 --> 00:04:52.100]   So it was great to see you and hang out with everybody but thanks for having me on I I have a there's a there's an interesting
[00:04:52.100 --> 00:05:00.020]   Story to be told here. I have the the notoriety of being on the last Twitter episode before you guys moved the following day
[00:05:00.380 --> 00:05:02.380]   Wow cottage and
[00:05:02.380 --> 00:05:05.940]   Now Harry I'm in a very uneventful no reason to be here today
[00:05:05.940 --> 00:05:09.180]   So that's not true because ladies and gentlemen. This is episode
[00:05:09.180 --> 00:05:16.660]   400 of Twit whoa you have trumpets to play. I know I saw that tonight the rundown. I looked at Natalie said 400
[00:05:16.660 --> 00:05:22.740]   I am honored. You know it's it's we should we should celebrate there should be but we do so many shows
[00:05:22.740 --> 00:05:26.660]   And there's always one of them crossing a hundred mark that I just don't pay any attention anymore
[00:05:26.780 --> 00:05:31.060]   But we should thank you for the present you guys sent ahead of the show that was very nice of you
[00:05:31.060 --> 00:05:37.940]   We actually we actually do have trumpets if we really want them. No, you said trombone. I think oh, okay
[00:05:37.940 --> 00:05:43.540]   But anyway 400 size, but I was saying Scott. I was just looking through your Wikipedia
[00:05:43.540 --> 00:05:50.020]   Extra life radio the instance app Slappy. Yeah, the diary of a cartoonist forecast
