;FFMETADATA1
title=C is for Chicken
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=418
genre=Podcast
comment=http://www.twit.tv/twit
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2013
encoder=Lavf58.76.100
;FFMETADATA1
title=C is for Chicken
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=418
genre=Podcast
comment=http://www.twit.tv/twit
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2013
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:03.760]   If time for Twit this week at Tech, a little program note.
[00:00:03.760 --> 00:00:09.240]   Last week we had a little problem in the production and many of you got shortened audio of Twit
[00:00:09.240 --> 00:00:10.240]   37 minutes.
[00:00:10.240 --> 00:00:14.520]   If you got that, please refresh the feed and read download because you will get the full
[00:00:14.520 --> 00:00:16.080]   version of last week's Twit.
[00:00:16.080 --> 00:00:19.680]   Or just forget about it and listen because this week's even better.
[00:00:19.680 --> 00:00:23.040]   Miriam Jwar from Engadget is here Casey Newton from The Verge.
[00:00:23.040 --> 00:00:28.040]   We've got Patrick Norton, Patrick Bejah and Patrick LaPorte plus a robot.
[00:00:28.040 --> 00:00:29.320]   It's all next on Twit.
[00:00:29.320 --> 00:00:34.640]   Netcast you love.
[00:00:34.640 --> 00:00:39.840]   From people you trust.
[00:00:39.840 --> 00:00:42.080]   This is Twit.
[00:00:42.080 --> 00:00:53.800]   Bandwidth for this week in Tech is provided by CashFly at C-A-C-H-E-F-L-Y dot com.
[00:00:53.800 --> 00:00:55.800]   This is Twit, this week in Tech.
[00:00:55.800 --> 00:01:01.920]   On episode 418, recorded August 11, 2013, C is for chicken.
[00:01:01.920 --> 00:01:05.160]   This week in Tech is brought to you by GoToAssist from Citrix.
[00:01:05.160 --> 00:01:09.040]   Take control of your IT world from one simple cloud-based platform.
[00:01:09.040 --> 00:01:12.360]   Provide live or unattended support to all your users and anywhere.
[00:01:12.360 --> 00:01:14.400]   Sign up for your 30-day free trial today.
[00:01:14.400 --> 00:01:18.600]   Visit GoToAssist.com and use the promo code Twit.
[00:01:18.600 --> 00:01:23.640]   And buy Squarespace, the all-in-one platform that makes it fast and easy to create your
[00:01:23.640 --> 00:01:26.840]   own professional website or online portfolio.
[00:01:26.840 --> 00:01:33.560]   For a free trial and 10% off, go to squarespace.com and use the offer code Twit8.
[00:01:33.560 --> 00:01:35.560]   And buy Stamps.com.
[00:01:35.560 --> 00:01:38.480]   Use Stamps.com to buy and print real U.S. postage.
[00:01:38.480 --> 00:01:42.960]   The instant you need it right from your desk for our special offer, visit Stamps.com now.
[00:01:42.960 --> 00:01:45.800]   Click on the microphone and enter Twits.
[00:01:45.800 --> 00:01:49.840]   And buy Gazelle, the fastest, simple way to sell your used gadgets.
[00:01:49.840 --> 00:01:53.200]   Find out what your used Samsung Galaxy, iPhone or other smart phone is worth.
[00:01:53.200 --> 00:01:55.200]   And go to www.zagazelle.com.
[00:01:55.200 --> 00:02:00.680]   It's time for Twit this week in Tech to show the covers of the week's Tech News.
