;FFMETADATA1
title=Shave My Dog
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=445
genre=Podcast
comment=http://www.twit.tv/twit
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2014
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:03.080]   It's time for Twit this week in Tech.
[00:00:03.080 --> 00:00:07.360]   O'Malley joins Serenity Caldwell and the great John Graham coming.
[00:00:07.360 --> 00:00:10.860]   To talk about the Time Warner Cable Comcast merger,
[00:00:10.860 --> 00:00:13.400]   looks like it may actually go through.
[00:00:13.400 --> 00:00:15.000]   Is Google really evil?
[00:00:15.000 --> 00:00:17.720]   Our panel says absolutely.
[00:00:17.720 --> 00:00:20.240]   And we'll talk about the latest from Scriptkitties.
[00:00:20.240 --> 00:00:23.280]   It turns out, if that's some real good new tools
[00:00:23.280 --> 00:00:26.000]   at the disposal, it's all coming up next on Twit.
[00:00:29.440 --> 00:00:31.520]   NetCasts you love.
[00:00:31.520 --> 00:00:32.880]   From people you trust.
[00:00:32.880 --> 00:00:39.200]   This is Twit.
[00:00:39.200 --> 00:00:45.520]   Bandwidth for this week in Tech is provided by CashFly at C-A-C-H-E-F-L-Y.com.
[00:00:45.520 --> 00:00:58.280]   This is Twit, this week in Tech, episode 445, recorded February 16, 2014.
[00:00:58.280 --> 00:01:01.080]   Shave my dog.
[00:01:01.080 --> 00:01:03.880]   This week in Tech is brought to you by Hover.com.
[00:01:03.880 --> 00:01:06.960]   Hover is the best way to buy and manage domain names.
[00:01:06.960 --> 00:01:09.400]   It's simple, honest, and easy to use.
[00:01:09.400 --> 00:01:13.400]   For 10% off your first purchase, visit hover.com/twit2
[00:01:13.400 --> 00:01:18.040]   and use the offer code, Twit2, and buy audible.com.
[00:01:18.040 --> 00:01:20.160]   Sign up for the Platinum plan and get two free books.
[00:01:20.160 --> 00:01:22.880]   Visit audible.com/twit2.
[00:01:22.880 --> 00:01:24.560]   And don't forget to follow Audible on Twitter,
[00:01:24.560 --> 00:01:27.880]   user ID Audible_com.
[00:01:27.880 --> 00:01:31.440]   And buy FreshBooks, the simple cloud accounting solution
[00:01:31.440 --> 00:01:33.920]   that helps thousands of entrepreneurs and small business owners
