;FFMETADATA1
title=Crazy Train
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=462
genre=Podcast
comment=http://www.twit.tv/twit
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2014
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:03.160]   It's time for Twit this week in Tech.
[00:00:03.160 --> 00:00:06.800]   White Silverman joins Jolie Odell and John C. Devorek.
[00:00:06.800 --> 00:00:08.520]   It's a hot mess.
[00:00:08.520 --> 00:00:09.640]   We'll talk about Verizon.
[00:00:09.640 --> 00:00:15.560]   We'll talk about Comcast, the NSA, the new phone from Amazon.
[00:00:15.560 --> 00:00:18.400]   If it really is a phone and a whole lot more.
[00:00:18.400 --> 00:00:20.640]   It's a crazy train coming up next.
[00:00:20.640 --> 00:00:21.640]   Up to it.
[00:00:21.640 --> 00:00:24.160]   [MUSIC PLAYING]
[00:00:24.160 --> 00:00:26.200]   Netcasts you love.
[00:00:26.200 --> 00:00:27.560]   From people you trust.
[00:00:27.560 --> 00:00:30.920]   [MUSIC PLAYING]
[00:00:30.920 --> 00:00:33.880]   This is Twit.
[00:00:33.880 --> 00:00:40.320]   Bandwidth for this week in Tech is provided by CashFly at C-A-C-H-E-F-L-Y.com.
[00:00:40.320 --> 00:00:44.960]   [MUSIC PLAYING]
[00:00:44.960 --> 00:00:47.280]   This is Twit this week in Tech.
[00:00:47.280 --> 00:00:52.280]   Episode 462, recorded June 15, 2014.
[00:00:52.280 --> 00:00:54.440]   Crazy Train.
[00:00:54.440 --> 00:00:57.280]   This week in Tech is brought to you by Zip Recruiter.
[00:00:57.280 --> 00:01:00.840]   Zip Recruiter makes hiring faster, easier, and cheaper.
[00:01:00.840 --> 00:01:04.000]   Post your job to 50-plus job boards with one click.
[00:01:04.000 --> 00:01:06.600]   Try Zip Recruiter for a free four-day trial now
[00:01:06.600 --> 00:01:08.920]   at zippergrutter.com/twit.
[00:01:08.920 --> 00:01:12.240]   That's ziprecruiter.com/twit.
[00:01:12.240 --> 00:01:14.240]   And by audible.com.
[00:01:14.240 --> 00:01:17.040]   Sign up for the platinum plan and get two free books.
[00:01:17.040 --> 00:01:19.160]   Go to audible.com/twit2.
[00:01:19.160 --> 00:01:21.200]   And don't forget to follow Audible on Twitter,
[00:01:21.200 --> 00:01:24.680]   user ID audible_com.
[00:01:24.680 --> 00:01:26.880]   And by personal capital.
[00:01:26.880 --> 00:01:28.320]   With personal capital, you'll finally
[00:01:28.320 --> 00:01:30.400]   have all your financial life in one place
[00:01:30.400 --> 00:01:32.560]   and get a clear view of everything you own.
[00:01:32.560 --> 00:01:34.480]   Best of all, it's free.
[00:01:34.480 --> 00:01:39.720]   To sign up, go to personalcapital.com/twit.
[00:01:39.720 --> 00:01:41.200]   It's time for Twit this week in Tech
[00:01:41.200 --> 00:01:43.520]   to show the covers of all the tech news.
[00:01:43.520 --> 00:01:47.240]   And every once in a while, there are certain people
[00:01:47.240 --> 00:01:50.040]   we have on Twit that are just fan favorites.
[00:01:50.040 --> 00:01:52.920]   And we try to spread it out a little bit,
[00:01:52.920 --> 00:01:53.920]   kind of make it a special thing.
[00:01:53.920 --> 00:01:55.960]   This is going to be one of those Twits where you probably
[00:01:55.960 --> 00:01:57.840]   already know because you looked at the label on the box.
[00:01:57.840 --> 00:01:59.560]   You're going to want to listen to this.
[00:01:59.560 --> 00:02:01.960]   Because yes, we have Jolio Dell.
[00:02:01.960 --> 00:02:03.000]   It's great to have you.
[00:02:03.000 --> 00:02:03.760]   My pleasure.
[00:02:03.760 --> 00:02:07.280]   From venturebeat.com, right?
[00:02:07.280 --> 00:02:08.320]   Venturebeat.com.
[00:02:08.320 --> 00:02:09.920]   I am now the managing editor.
[00:02:09.920 --> 00:02:11.000]   They put me in charge.
[00:02:11.000 --> 00:02:13.000]   The woman in charge of venturebeat.
[00:02:13.000 --> 00:02:14.360]   Managing editor Jolio Dell.
[00:02:14.360 --> 00:02:15.080]   Great to have you.
[00:02:15.080 --> 00:02:15.680]   Thank you.
[00:02:15.680 --> 00:02:17.880]   She brought us Luscious Fruit and Shandis,
[00:02:17.880 --> 00:02:20.000]   which is a beer and lemonade.
[00:02:20.000 --> 00:02:20.880]   Because it's summertime.
[00:02:20.880 --> 00:02:21.480]   Confection.
[00:02:21.480 --> 00:02:23.400]   It's perfect for the hot weather.
[00:02:23.400 --> 00:02:26.200]   John C. Devorak is also here because it's like bookends.
[00:02:26.200 --> 00:02:28.320]   If Jolie's here, John must be here.
[00:02:28.320 --> 00:02:29.320]   Here, here, here.
[00:02:29.320 --> 00:02:30.520]   Yeah, look at that.
[00:02:30.520 --> 00:02:31.320]   You know, you're blonde.
[00:02:31.320 --> 00:02:32.120]   I would say you're grave.
[00:02:32.120 --> 00:02:33.840]   But you're actually blonde.
[00:02:33.840 --> 00:02:35.040]   You know, that's funny.
[00:02:35.040 --> 00:02:35.920]   You're grave.
[00:02:35.920 --> 00:02:36.520]   I'm grave.
[00:02:36.520 --> 00:02:37.680]   You can change it.
[00:02:37.680 --> 00:02:38.400]   You're a gentleman.
[00:02:38.400 --> 00:02:39.520]   She used to be a redhead.
[00:02:39.520 --> 00:02:40.120]   Precisely.
[00:02:40.120 --> 00:02:41.120]   But time for ages.
[00:02:41.120 --> 00:02:41.600]   I'm a racist.
[00:02:41.600 --> 00:02:42.120]   You're a different.
[00:02:42.120 --> 00:02:42.320]   You have different--
[00:02:42.320 --> 00:02:43.360]   You have different--
[00:02:43.360 --> 00:02:44.560]   I go through phases.
[00:02:44.560 --> 00:02:47.760]   Although, I know ladies, they get that nice tint put in
[00:02:47.760 --> 00:02:52.000]   so they can be silver or purpleish or blueish or golden.
[00:02:52.000 --> 00:02:53.600]   You know, I like doing your head.
[00:02:53.600 --> 00:02:56.760]   The rainbow colors in your head.
[00:02:56.760 --> 00:02:57.000]   Go from the--
[00:02:57.000 --> 00:03:01.000]   And also, hear from the Houston Chronicle, Mr. Dwight Silverman.
[00:03:01.000 --> 00:03:02.640]   Always good to have you.
[00:03:02.640 --> 00:03:04.200]   Hey, good to be here, Leo.
[00:03:04.200 --> 00:03:06.400]   And we are going to talk about the week's tech news.
[00:03:06.400 --> 00:03:10.200]   In fact, let's start off with a story that Dwight broke this week.
[00:03:10.200 --> 00:03:12.560]   Houston, varying numbers.
[00:03:12.560 --> 00:03:15.520]   You said 50,000 Comcast users in Houston.
[00:03:15.520 --> 00:03:20.000]   I saw another that was even larger, are now sharing their internet,
[00:03:20.000 --> 00:03:21.920]   whether they like it or not.
[00:03:21.920 --> 00:03:24.280]   Comcast has been doing this all over the country since last year.
[00:03:24.280 --> 00:03:25.840]   If we've had it here in the Bay Area,
[00:03:25.840 --> 00:03:29.280]   if you're a Comcast customer and you notice, gee, there's Wi-Fi everywhere.
[00:03:29.280 --> 00:03:33.640]   That's because residential Wi-Fi routers from Comcast
[00:03:33.640 --> 00:03:37.800]   are automatically being put into hotspot mode.
[00:03:37.800 --> 00:03:38.600]   Yeah, they launched--
[00:03:38.600 --> 00:03:39.280]   What?
[00:03:39.280 --> 00:03:40.560]   --a much 50,000--
[00:03:40.560 --> 00:03:40.920]   50,000--
[00:03:40.920 --> 00:03:42.160]   --here in Houston.
[00:03:42.160 --> 00:03:46.920]   But the goal by the end of the month is for them to have 150,000 of them.
[00:03:46.920 --> 00:03:48.920]   And basically, what they've done--
[00:03:48.920 --> 00:03:51.920]   Comcast has this one router that they've been distributing here
[00:03:51.920 --> 00:03:53.640]   in another city for about two years.
[00:03:53.640 --> 00:03:55.280]   It's an Aries router.
[00:03:55.280 --> 00:03:57.320]   And they have split off one of the channels
[00:03:57.320 --> 00:04:00.120]   and separated it out of the residential routers
[00:04:00.120 --> 00:04:05.360]   and set it up with an SSID that says, "Exfinity Wi-Fi."
[00:04:05.360 --> 00:04:12.720]   And anyone else who's a Comcast customer can come in and connect to it for free,
[00:04:12.720 --> 00:04:15.360]   they just log in with their Comcast login.
[00:04:15.360 --> 00:04:18.280]   In San Francisco, you can go almost anywhere in town
[00:04:18.280 --> 00:04:23.080]   and get on Wi-Fi if you're a Comcast customer by logging into Wi-Fi access points.
[00:04:23.080 --> 00:04:27.080]   But this seems to me a classic example of a company doing something good for them
[00:04:27.080 --> 00:04:28.600]   that's bad for their customers.
[00:04:28.600 --> 00:04:29.800]   Why is it bad for the customers?
[00:04:29.800 --> 00:04:32.040]   Because it's using your bandwidth.
[00:04:32.040 --> 00:04:35.400]   Now, they say there's no security issue, right?
[00:04:35.400 --> 00:04:38.520]   Well, the reason is it separates into two channels.
[00:04:38.520 --> 00:04:41.120]   In a DOCSIS 3 modem, you have multiple channels
[00:04:41.120 --> 00:04:43.760]   and the way they achieve the different speeds on it.
[00:04:43.760 --> 00:04:45.360]   I got it.
[00:04:45.360 --> 00:04:47.200]   I'm blustering here with this mic.
[00:04:47.200 --> 00:04:48.840]   There you go. That looks great.
[00:04:48.840 --> 00:04:49.840]   That looks really great.
[00:04:49.840 --> 00:04:50.840]   It's a glass.
[00:04:50.840 --> 00:04:51.840]   It's a great revving.
[00:04:51.840 --> 00:04:54.440]   If you straighten that, it will be a glass.
[00:04:54.440 --> 00:04:58.000]   If you straighten the boom, don't have it tilted towards your mouth.
[00:04:58.000 --> 00:04:59.000]   That's a great product.
[00:04:59.000 --> 00:05:00.520]   Don't have it down under my mouth now.
[00:05:00.520 --> 00:05:01.520]   That's good.
[00:05:01.520 --> 00:05:02.520]   You sound good.
[00:05:02.520 --> 00:05:07.280]   So the way it works is that in DOCSIS 3 modem, there are multiple channels that can
[00:05:07.280 --> 00:05:13.200]   be bound to provide you services, how they get different tiers of speed.
[00:05:13.200 --> 00:05:17.640]   And they've broken one off and are dedicating it just for this.
[00:05:17.640 --> 00:05:20.560]   So it doesn't count against your cap or your total bandwidth?
[00:05:20.560 --> 00:05:22.360]   No, there's no cap on Comcast.
[00:05:22.360 --> 00:05:23.360]   Oh, yeah.
[00:05:23.360 --> 00:05:24.360]   There's 250 gigabyte cap on Comcast.
[00:05:24.360 --> 00:05:25.360]   Not anymore.
[00:05:25.360 --> 00:05:26.360]   They dropped that.
[00:05:26.360 --> 00:05:27.360]   They did.
[00:05:27.360 --> 00:05:28.360]   They dropped that a while back.
[00:05:28.360 --> 00:05:32.800]   There are some cities where they're experimenting with tiered services similar to the way cellular
[00:05:32.800 --> 00:05:33.960]   broadband works.
[00:05:33.960 --> 00:05:38.480]   But in Houston, and in most of their markets, there is no longer a cap.
[00:05:38.480 --> 00:05:41.880]   So the 250 gig, actually, even when they launched it, they said we're going to experiment
[00:05:41.880 --> 00:05:42.880]   with this.
[00:05:42.880 --> 00:05:44.640]   I guess the experiment was a failure.
[00:05:44.640 --> 00:05:47.200]   Because I've received notices saying you've exceeded the monthly cap.
[00:05:47.200 --> 00:05:49.040]   What are you doing all day?
[00:05:49.040 --> 00:06:01.180]   Town
[00:06:01.180 --> 00:06:22.580]   Surprise
[00:06:22.580 --> 00:06:44.140]   for
[00:06:44.140 --> 00:06:59.340]   the
[00:06:59.340 --> 00:07:26.060]   same
[00:07:26.060 --> 00:07:53.420]   for
[00:07:53.420 --> 00:08:00.420]   the
[00:08:00.420 --> 00:08:27.140]   same
[00:08:27.140 --> 00:08:28.140]   as
[00:08:28.140 --> 00:08:28.140]   the same
[00:08:28.140 --> 00:08:29.140]   as the same
[00:08:29.140 --> 00:08:30.140]   as the same
[00:08:30.140 --> 00:08:31.140]   as the same
[00:08:31.140 --> 00:08:32.140]   as the same
[00:08:32.140 --> 00:08:33.140]   as the same
[00:08:33.140 --> 00:08:34.140]   as the same
[00:08:34.140 --> 00:08:35.140]   as the same
[00:08:35.140 --> 00:08:36.140]   as the same
[00:08:36.140 --> 00:08:37.140]   as the same
[00:08:37.140 --> 00:08:38.140]   as the same
[00:08:38.140 --> 00:08:39.140]   as the same
[00:08:39.140 --> 00:08:40.140]   as the same
[00:08:40.140 --> 00:08:41.140]   as the same
[00:08:41.140 --> 00:08:42.140]   as the same
[00:08:42.140 --> 00:08:43.140]   as the same
[00:08:43.140 --> 00:08:44.140]   as the same
[00:08:44.140 --> 00:08:45.140]   as the same
[00:08:45.140 --> 00:08:46.140]   as the same
[00:08:46.140 --> 00:08:47.140]   as the same
[00:08:47.140 --> 00:08:48.140]   as the same
[00:08:48.140 --> 00:08:49.140]   as the same
[00:08:49.140 --> 00:08:50.140]   as the same
[00:08:50.140 --> 00:08:51.140]   as the same
[00:08:51.140 --> 00:08:52.140]   as the same
[00:08:52.140 --> 00:08:53.140]   as the same
[00:08:53.140 --> 00:08:54.140]   as the same
[00:08:54.140 --> 00:08:55.140]   as the same
[00:08:55.140 --> 00:08:56.140]   as the same
[00:08:56.140 --> 00:08:57.140]   as the same
[00:08:57.140 --> 00:08:58.140]   as the same
[00:08:58.140 --> 00:08:59.140]   as the same
[00:08:59.140 --> 00:09:00.140]   as the same
[00:09:00.140 --> 00:09:01.140]   as the same
[00:09:01.140 --> 00:09:02.140]   as the same
[00:09:02.140 --> 00:09:03.140]   as the same
[00:09:03.140 --> 00:09:04.140]   as the same
[00:09:04.140 --> 00:09:05.140]   as the same
[00:09:05.140 --> 00:09:06.140]   as the
[00:09:06.140 --> 00:09:07.140]   same
