;FFMETADATA1
title=I Love Saggy Pants
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=479
genre=Podcast
comment=http://twit.tv/twit
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2014
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:06.240]   It's time for Twit This Week in Tech, a great panel for you with John C. Devorak, Patrick
[00:00:06.240 --> 00:00:07.240]   Norton, Nielei Patel.
[00:00:07.240 --> 00:00:10.440]   We're going to debate what Apple's going to announce on Thursday.
[00:00:10.440 --> 00:00:11.440]   None of us agree.
[00:00:11.440 --> 00:00:14.920]   We'll talk about Gameurgate and what it really means.
[00:00:14.920 --> 00:00:21.040]   And a little bit about Microsoft's amazing new software that lets you write text on your
[00:00:21.040 --> 00:00:22.040]   smartwatch.
[00:00:22.040 --> 00:00:27.360]   It's all coming up next on Twit.
[00:00:27.360 --> 00:00:34.360]   And what cast you love from people you trust.
[00:00:34.360 --> 00:00:36.960]   This is Twit.
[00:00:36.960 --> 00:00:44.600]   Bandwidth for this week in Tech is provided by CashFly at CACHEFLY.com.
[00:00:44.600 --> 00:00:49.600]   This is Twit.
[00:00:49.600 --> 00:00:55.440]   This Week in Tech, Episode 479 recorded October 12, 2014.
[00:00:55.440 --> 00:00:57.920]   I love saggy pants.
[00:00:57.920 --> 00:01:01.480]   This Week in Tech is brought to you by Stamps.com.
[00:01:01.480 --> 00:01:04.320]   Start using your time more effectively with Stamps.com.
[00:01:04.320 --> 00:01:06.960]   Use Stamps.com to buy and print real U.S. posters.
[00:01:06.960 --> 00:01:11.520]   The instant you need it right from your desk for our special offer go to Stamps.com.
[00:01:11.520 --> 00:01:13.160]   Click the microphone and enter Twit.
[00:01:13.160 --> 00:01:14.160]   That's Stamps.com.
[00:01:14.160 --> 00:01:16.360]   Offer code Twit.
[00:01:16.360 --> 00:01:21.720]   And by Citrix Go To Meeting, the powerfully simple way to meet with coworkers and clients
[00:01:21.720 --> 00:01:25.200]   from the convenience of your computer, smartphone or tablet.
[00:01:25.200 --> 00:01:29.600]   Enter the same screen and see each other face to face with HD video conferencing.
[00:01:29.600 --> 00:01:31.720]   Start your 30-day free trial of Go To Meeting today.
[00:01:31.720 --> 00:01:35.120]   Visit GoToMeeting.com and click the Try It Free button.
[00:01:35.120 --> 00:01:36.800]   And by Carbonite.
[00:01:36.800 --> 00:01:40.680]   Whether you have one computer at home or several at your small business, Carbonite backs up
[00:01:40.680 --> 00:01:43.800]   your files to the cloud automatically and continually.
[00:01:43.800 --> 00:01:47.200]   Plus access your files anytime, anywhere with a free app.
[00:01:47.200 --> 00:01:49.680]   Start your free trial at Carbonite.com.
[00:01:49.680 --> 00:01:51.200]   No credit card required.
[00:01:51.200 --> 00:01:55.320]   Use the offer code Twit to get two bonus months with purchase.
[00:01:55.320 --> 00:01:59.720]   And by Gazelle, the fast and simple way to sell your used gadgets.
[00:01:59.720 --> 00:02:05.040]   Find out what your used iPhone, iPad or other Apple product is worth at Gazelle.com.
[00:02:05.040 --> 00:02:08.640]   It's time for Twit This Week in Tech!
[00:02:08.640 --> 00:02:12.360]   The show where we talk about the week's tech news.
[00:02:12.360 --> 00:02:14.720]   I started to do a pick call I think there.
[00:02:14.720 --> 00:02:18.480]   That's because we have from the middle of the country, where scene Wisconsin ladies and
[00:02:18.480 --> 00:02:23.680]   gentlemen Mr. Niele Patel, he has moved to the Big Apple, but he's always a Green Bay
[00:02:23.680 --> 00:02:24.680]   fan.
[00:02:24.680 --> 00:02:26.680]   It's always in his heart.
[00:02:26.680 --> 00:02:28.560]   Congratulations on the victory.
[00:02:28.560 --> 00:02:29.720]   Aaron 12, last minute.
[00:02:29.720 --> 00:02:30.720]   Good stuff.
[00:02:30.720 --> 00:02:31.720]   That's exciting.
[00:02:31.720 --> 00:02:32.720]   Yeah.
[00:02:32.720 --> 00:02:35.600]   And now you've got the verge all to yourself.
[00:02:35.600 --> 00:02:38.520]   I am a tyrant.
[00:02:38.520 --> 00:02:42.120]   You got rid of that Polsky guy and it's all you all the time.
[00:02:42.120 --> 00:02:43.320]   I'm mad with power.
[00:02:43.320 --> 00:02:45.480]   No Josh, like he just launched Bloomberg Politics.
[00:02:45.480 --> 00:02:46.480]   He's doing a great job.
[00:02:46.480 --> 00:02:47.480]   I saw that.
[00:02:47.480 --> 00:02:50.640]   It's digital for Bloomberg, which is actually probably a very interesting job.
[00:02:50.640 --> 00:02:51.880]   Yeah, I'm sure.
[00:02:51.880 --> 00:02:54.320]   He's got a lot of money to play with and politics looks great.
[00:02:54.320 --> 00:02:55.720]   So congratulations to him.
[00:02:55.720 --> 00:02:57.520]   He's not doing technology at all.
[00:02:57.520 --> 00:02:58.520]   It's just politics.
[00:02:58.520 --> 00:03:01.320]   I think they're going to launch a range of sites.
[00:03:01.320 --> 00:03:03.440]   He's got a big job ahead of him.
[00:03:03.440 --> 00:03:04.440]   That's the first.
[00:03:04.440 --> 00:03:05.440]   Yeah.
[00:03:05.440 --> 00:03:07.160]   But the verge is mine.
[00:03:07.160 --> 00:03:10.280]   And I'm in charge of the verge now.
[00:03:10.280 --> 00:03:13.000]   You've got to say that in the Daffy Duck voice.
[00:03:13.000 --> 00:03:14.000]   Yeah, exactly.
[00:03:14.000 --> 00:03:18.560]   Yeah, look, we ran the thing together for a long time and now I'm proud to carry it on.
[00:03:18.560 --> 00:03:20.160]   And we've got a great team.
[00:03:20.160 --> 00:03:22.560]   Most of our founding team is still in place and it's going to be fun.
[00:03:22.560 --> 00:03:23.560]   Awesome.
[00:03:23.560 --> 00:03:24.560]   We haven't had you on an age.
[00:03:24.560 --> 00:03:25.560]   It's so welcome.
[00:03:25.560 --> 00:03:26.560]   It's going to have you back.
[00:03:26.560 --> 00:03:27.560]   Yeah, it's been a busy year.
[00:03:27.560 --> 00:03:28.560]   So I'm glad to be here.
[00:03:28.560 --> 00:03:29.560]   Woohoo!
[00:03:29.560 --> 00:03:30.560]   Yeah.
[00:03:30.560 --> 00:03:32.960]   And Green Bay One.
[00:03:32.960 --> 00:03:33.960]   They won last minute.
[00:03:33.960 --> 00:03:34.960]   Yes.
[00:03:34.960 --> 00:03:35.960]   You see the fake spike?
[00:03:35.960 --> 00:03:36.960]   No.
[00:03:36.960 --> 00:03:37.960]   I mean, it was very fun.
[00:03:37.960 --> 00:03:38.960]   That's how they won.
[00:03:38.960 --> 00:03:40.640]   They faked a spike and then ran it in.
[00:03:40.640 --> 00:03:41.640]   No, they came very...
[00:03:41.640 --> 00:03:42.640]   They faked a spike.
[00:03:42.640 --> 00:03:43.640]   It came very close.
[00:03:43.640 --> 00:03:44.640]   And the big deal with the big deal.
[00:03:44.640 --> 00:03:47.640]   And the big deal with the big deal with the big deal with the big deal with the big deal.
[00:03:47.640 --> 00:03:50.640]   And the big deal with the big deal with the big deal with the big deal with the big deal.
[00:03:50.640 --> 00:03:53.640]   And the big deal with the big deal with the big deal with the big deal with the big deal.
[00:03:53.640 --> 00:03:56.640]   And the big deal with the big deal with the big deal with the big deal with the big deal.
[00:03:56.640 --> 00:04:01.640]   And the big deal with the big deal with the big deal with the big deal with the big deal.
[00:04:01.640 --> 00:04:04.640]   And the big deal with the big deal with the big deal with the big deal with the big deal.
[00:04:04.640 --> 00:04:07.640]   And the big deal with the big deal with the big deal with the big deal.
[00:04:07.640 --> 00:04:10.640]   And the big deal with the big deal with the big deal with the big deal.
[00:04:10.640 --> 00:04:12.640]   And the big deal with the big deal with the big deal with the big deal.
[00:04:12.640 --> 00:04:14.640]   But Techzilla.com.
[00:04:14.640 --> 00:04:20.640]   Patrick and I are the low rent NELI and Joshua of the screen.
[00:04:20.640 --> 00:04:23.640]   I would prefer to say that NELI and Joshua without taste and style.
[00:04:23.640 --> 00:04:26.640]   Yeah, the same idea.
[00:04:26.640 --> 00:04:29.640]   Or as somebody at Tech TV once said, "What is it?"
[00:04:29.640 --> 00:04:31.640]   The lunch bucket, NELI and Joshua.
[00:04:31.640 --> 00:04:34.640]   No, I was the one who owned the lunch bucket crowd.
[00:04:34.640 --> 00:04:39.640]   Anyway, we joined together each week to talk about...
[00:04:39.640 --> 00:04:41.640]   I feel like church.
[00:04:41.640 --> 00:04:42.640]   The tech.
[00:04:42.640 --> 00:04:43.640]   Every Sunday.
[00:04:43.640 --> 00:04:44.640]   News.
[00:04:44.640 --> 00:04:45.640]   Every Sunday.
[00:04:45.640 --> 00:04:51.640]   I think we should talk about this Apple invitation first.
[00:04:51.640 --> 00:05:00.640]   Last Apple event, last month, the iPhone event, the invitation did not have any kind of hints.
[00:05:00.640 --> 00:05:02.640]   It was just kind of really basic.
[00:05:02.640 --> 00:05:04.640]   You couldn't read into it.
[00:05:04.640 --> 00:05:05.640]   Did you have to?
[00:05:05.640 --> 00:05:07.640]   Well, we knew it was an iPhone, right?
[00:05:07.640 --> 00:05:14.640]   But this time, and even though I would say most people say, "Oh, yeah, this is their October iPad event,"
[00:05:14.640 --> 00:05:18.640]   their invitation was very cryptic.
[00:05:18.640 --> 00:05:22.640]   And of course, this is great marketing because what happens?
[00:05:22.640 --> 00:05:23.640]   What do you think that is?
[00:05:23.640 --> 00:05:24.640]   I see something.
[00:05:24.640 --> 00:05:27.640]   I see a finger pushing into mush.
[00:05:27.640 --> 00:05:30.640]   The new screen is going to be very mushy and soft.
[00:05:30.640 --> 00:05:36.640]   Actually, I suppose one could say that that is more than just the Apple stem in the top of the apple.
[00:05:36.640 --> 00:05:40.640]   That that could be interpreted as other things like a finger pushing into mush.
[00:05:40.640 --> 00:05:41.640]   One could.
[00:05:41.640 --> 00:05:42.640]   One could.
[00:05:42.640 --> 00:05:43.640]   One was playing "Pictionary" and "Drunk."
[00:05:43.640 --> 00:05:49.640]   First of all, I feel taken advantage of because I don't want to feed into this apple.
[00:05:49.640 --> 00:05:52.640]   Let's get some free publicity by giving it to me.
[00:05:52.640 --> 00:05:53.640]   You can do best.
[00:05:53.640 --> 00:05:54.640]   Let's move on to the next story.
[00:05:54.640 --> 00:05:55.640]   No, but I can't.
[00:05:55.640 --> 00:05:56.640]   I'm in with Patrick.
[00:05:56.640 --> 00:05:57.640]   Oh, yeah.
[00:05:57.640 --> 00:05:59.640]   It's been way too long.
[00:05:59.640 --> 00:06:01.640]   It says that right there.
[00:06:01.640 --> 00:06:05.640]   That is a challenge.
[00:06:05.640 --> 00:06:09.640]   They're throwing down the gauntlet saying, "Oh, what do you think?"
[00:06:09.640 --> 00:06:12.640]   So look, obviously, Neil I know.
[00:06:12.640 --> 00:06:14.640]   So we'll just ask Neil I know.
[00:06:14.640 --> 00:06:15.640]   What is that?
[00:06:15.640 --> 00:06:19.640]   I think we're going to see a lot of emphasis on the Mac at this one.
[00:06:19.640 --> 00:06:21.640]   Really, not the iPad.
[00:06:21.640 --> 00:06:25.640]   The iPad, of course, but the iPad is on a yearly cadence.
[00:06:25.640 --> 00:06:28.640]   So you will, I think there will almost certainly be a new iPad.
[00:06:28.640 --> 00:06:29.640]   I think it will get bigger.
[00:06:29.640 --> 00:06:34.640]   I think that they have to do something with the iPad to goose growth.
[00:06:34.640 --> 00:06:37.640]   The iPad sales have been flat for a long time.
[00:06:37.640 --> 00:06:42.640]   So I think a bigger iPad that's more enterprise gear that can do multiple apps, all that stuff will happen.
[00:06:42.640 --> 00:06:44.640]   I think that's pretty expected.
[00:06:44.640 --> 00:06:47.640]   But I think way too long is actually a reference to the Macintosh.
[00:06:47.640 --> 00:06:49.640]   I think Yosemite is about to come out.
[00:06:49.640 --> 00:06:51.640]   I think that it will almost certainly happen at this event.
[00:06:51.640 --> 00:06:55.640]   And then you will see, here are my guesses and they are just guesses.
[00:06:55.640 --> 00:07:00.640]   I think retina iMac and retina MacBook Air are probably the 12 inch size.
[00:07:00.640 --> 00:07:04.640]   And I think those will be actually enormous sellers.
[00:07:04.640 --> 00:07:10.640]   And I think the fact that those two products will be enormous sellers against the incredible growth of the iPhone
[00:07:10.640 --> 00:07:14.640]   is the reason that the iPad needs to be changed in some way.
[00:07:14.640 --> 00:07:16.640]   Because the sales have been flat.
[00:07:16.640 --> 00:07:19.640]   I think people who have iPads know what they can do.
[00:07:19.640 --> 00:07:22.640]   They're understood products.
[00:07:22.640 --> 00:07:25.640]   There's nothing surprising about a new iPad for people.
[00:07:25.640 --> 00:07:31.640]   Whereas with a new Mac, and it's time to upgrade a Mac, you know what you'll get out of a new Mac.
[00:07:31.640 --> 00:07:38.640]   The way that you don't necessarily know what you'll get out of upgrading from an iPad 4 to an iPad Air besides it's thinner.
[00:07:38.640 --> 00:07:40.640]   And so I think you'll see new Macs.
[00:07:40.640 --> 00:07:41.640]   They'll be exciting.
[00:07:41.640 --> 00:07:42.640]   People will be excited about them.
[00:07:42.640 --> 00:07:43.640]   They'll buy a lot of them.
[00:07:43.640 --> 00:07:49.640]   But the real question mark is how do you differentiate the iPad in a world where you are selling lots and lots of MacBook Airs.
[00:07:49.640 --> 00:07:53.640]   Apple's not the fifth biggest PC vendor in the world according to IDC.
[00:07:53.640 --> 00:07:58.640]   And you are selling a gigantic iPhone that I have and I love, the 6 Plus.
[00:07:58.640 --> 00:08:00.640]   Which is really creeping in on that iPad mini territory.
[00:08:00.640 --> 00:08:04.640]   So the question mark is really, I think it's win-wasting long.
[00:08:04.640 --> 00:08:05.640]   It's all about the Mac.
[00:08:05.640 --> 00:08:12.640]   They're going to come at the Mac with a lot of innovation, a lot of, I mean, they are, Apple's very excited about how well the Mac is doing right now.
[00:08:12.640 --> 00:08:14.640]   So I think we're going to come at that really hard.
[00:08:14.640 --> 00:08:15.640]   The question is really the iPad.
[00:08:15.640 --> 00:08:18.640]   And how do you start differentiating the iPad against these other two products?
[00:08:18.640 --> 00:08:24.640]   I think the main thing they're going to do here is they're going to roll out some touch screen, iMac, touch screen, air.
[00:08:24.640 --> 00:08:26.640]   I think that's the mushy thing.
[00:08:26.640 --> 00:08:30.640]   I have to say, until you said that, I thought it was an Apple.
[00:08:30.640 --> 00:08:31.640]   Foolish me.
[00:08:31.640 --> 00:08:34.640]   It does know that when you say it, it looks a little bit like something squishing.
[00:08:34.640 --> 00:08:38.640]   I think I make a big deal out of it as though they invented it and the next thing you know, they're going to sell a lot.
[00:08:38.640 --> 00:08:40.640]   Alright, I'm going to tell you all what it is.
[00:08:40.640 --> 00:08:42.640]   But first, let's have Patrick guess.
[00:08:42.640 --> 00:08:43.640]   I'm down with the iPad.
[00:08:43.640 --> 00:08:47.640]   I want to see the iPad in the form factor that the iPhone 6s are in.
[00:08:47.640 --> 00:08:52.640]   I want to see anything that looks like a decent performance improvement and more memory on the Macs.
[00:08:52.640 --> 00:08:55.640]   Especially the smaller 6s. It's really elegant.
[00:08:55.640 --> 00:08:57.640]   I don't want to sign a touch ID, right?
[00:08:57.640 --> 00:08:58.640]   They'll do a fingerprint reader.
[00:08:58.640 --> 00:09:00.640]   Yes, because Apple, I guess.
[00:09:00.640 --> 00:09:05.640]   Another thing they'll talk a lot about, I think, on this event is Apple Pay, which rolls out later this month.
[00:09:05.640 --> 00:09:07.640]   I was going to say, well, they do Apple Pay on the tablets.
[00:09:07.640 --> 00:09:09.640]   Is that part of the differentiator?
[00:09:09.640 --> 00:09:11.640]   You can't do it without the touch ID, right?
[00:09:11.640 --> 00:09:14.640]   Dieter Bone, the executive editor of the Verge.
[00:09:14.640 --> 00:09:16.640]   He also recently got a promotion.
[00:09:16.640 --> 00:09:21.640]   His big theory is that the iPad will have Apple Pay as a register.
[00:09:21.640 --> 00:09:25.640]   So you will, like, small businesses use Apple Pay as a cash register.
