;FFMETADATA1
title=\#LoveThySelfie
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=541
genre=Podcast
comment=http://twit.tv/twit
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:02.640]   It's time for Twit this week in Tech.
[00:00:02.640 --> 00:00:04.920]   Wow, do we have a fun show for you?
[00:00:04.920 --> 00:00:08.520]   Lauren Hockenson joins Alex Wilhelm and Liberty Madison,
[00:00:08.520 --> 00:00:10.440]   a brand new member of the Twit panel.
[00:00:10.440 --> 00:00:12.000]   Yeah, it's the Millennial edition,
[00:00:12.000 --> 00:00:14.720]   and we'll talk about everything from Apple to Google
[00:00:14.720 --> 00:00:17.000]   to Facebook to selfies.
[00:00:17.000 --> 00:00:18.640]   Twit is next.
[00:00:18.640 --> 00:00:24.360]   Netcast you love.
[00:00:24.360 --> 00:00:25.840]   - From people you trust.
[00:00:29.520 --> 00:00:31.880]   This is Twit.
[00:00:31.880 --> 00:00:35.200]   - Bandwidth for this week in Tech is provided by CashFly
[00:00:35.200 --> 00:00:38.520]   at CACHEFLY.com.
[00:00:38.520 --> 00:00:41.100]   (upbeat music)
[00:00:41.100 --> 00:00:45.360]   This is Twit this week in Tech,
[00:00:45.360 --> 00:00:50.360]   episode 541 recorded Sunday, December 20th, 2015.
[00:00:50.360 --> 00:00:53.280]   Hashtag love thy selfie.
[00:00:53.280 --> 00:00:57.920]   This week in Tech is brought to you by FreshBooks,
[00:00:57.920 --> 00:01:00.400]   the super simple cloud accounting software.
[00:01:00.400 --> 00:01:03.280]   It's giving thousands of freelancers and small businesses
[00:01:03.280 --> 00:01:06.120]   the tools to save time billing and get paid faster.
[00:01:06.120 --> 00:01:09.920]   Try it free at freshbooks.com/twit.
[00:01:09.920 --> 00:01:12.400]   And buy stamps.com.
[00:01:12.400 --> 00:01:15.280]   Start using your time more effectively with stamps.com.
[00:01:15.280 --> 00:01:18.120]   Use stamps.com to buy and print real US postage,
[00:01:18.120 --> 00:01:20.400]   the instant you need it right from your desk.
[00:01:20.400 --> 00:01:23.120]   For our special offer, go to stamps.com now,
[00:01:23.120 --> 00:01:26.080]   click on the microphone and enter Twit.
[00:01:26.080 --> 00:01:28.280]   And buy audible.com.
[00:01:28.280 --> 00:01:31.280]   Sign up for the Platinum plan and get two free books,
[00:01:31.280 --> 00:01:34.240]   go to audible.com/twit2.
[00:01:34.240 --> 00:01:35.800]   Don't forget to follow Audible on Twitter,
[00:01:35.800 --> 00:01:39.400]   user ID Audible_com.
[00:01:39.400 --> 00:01:42.640]   And buy Gazelle, the online marketplace
[00:01:42.640 --> 00:01:44.920]   for buying and selling used gadgets.
[00:01:44.920 --> 00:01:47.720]   Shop from a variety of certified pre-owned electronics
[00:01:47.720 --> 00:01:49.680]   or trade one in for cash.
[00:01:49.680 --> 00:01:54.160]   Give new life to a used device at gazelle.com today.
[00:01:54.160 --> 00:01:57.920]   [MUSIC PLAYING]
[00:01:57.920 --> 00:02:00.040]   It's time for Twit this weekend tech.
[00:02:00.040 --> 00:02:01.600]   Show where we cover the latest tech news.
[00:02:01.600 --> 00:02:04.360]   This is the millennial edition.
[00:02:04.360 --> 00:02:05.600]   I don't know if we did that on purpose.
[00:02:05.600 --> 00:02:07.400]   I think we did.
[00:02:07.400 --> 00:02:11.160]   Because everybody here is young, except from Waugh.
[00:02:11.160 --> 00:02:14.080]   Alex, you're the old man of the group.
[00:02:14.080 --> 00:02:16.440]   At 26, if that's true, I'm going to find a nice bridge
[00:02:16.440 --> 00:02:19.080]   on the way home and fling my carcass on it.
[00:02:19.080 --> 00:02:20.080]   But yeah, yeah, I'm kind of--
[00:02:20.080 --> 00:02:21.400]   I'm more than twice your age.
[00:02:21.400 --> 00:02:22.680]   And you're twice as cool.
[00:02:22.680 --> 00:02:23.560]   No.
[00:02:23.560 --> 00:02:25.720]   Well, although Lauren Hockenson says,
[00:02:25.720 --> 00:02:28.960]   you're an old man in the young man's body.
[00:02:28.960 --> 00:02:29.320]   Yeah.
[00:02:29.320 --> 00:02:30.360]   I don't endorse that comment.
[00:02:30.360 --> 00:02:32.560]   That's her personal conjecture.
[00:02:32.560 --> 00:02:34.640]   Lauren is with the next web.
[00:02:34.640 --> 00:02:35.600]   Nice to have you.
[00:02:35.600 --> 00:02:37.320]   Alex, was it TechCrunch?
[00:02:37.320 --> 00:02:38.160]   Where are you going?
[00:02:38.160 --> 00:02:39.400]   I'm still TechCrunch to the end of the year.
[00:02:39.400 --> 00:02:39.840]   So I'm not--
[00:02:39.840 --> 00:02:41.120]   I'm not much longer.
[00:02:41.120 --> 00:02:42.400]   I want to go for a walk.
[00:02:42.400 --> 00:02:44.480]   I'm joining a company called Mattermark.
[00:02:44.480 --> 00:02:47.240]   There's Mattermark.com if you want to look it up.
[00:02:47.240 --> 00:02:48.960]   They do a lot of data on private startups.
[00:02:48.960 --> 00:02:50.880]   And I'm going to join as their editor in chief.
[00:02:50.880 --> 00:02:52.120]   And I'm going to be doing a lot of analysis
[00:02:52.120 --> 00:02:52.880]   and research on that.
[00:02:52.880 --> 00:02:54.680]   So I'm going to be doing a lot of analysis.
[00:02:54.680 --> 00:02:56.120]   I'm going to be doing a lot of analysis.
[00:02:56.120 --> 00:02:57.760]   I'm going to be doing a lot of analysis.
[00:02:57.760 --> 00:02:59.000]   I'm going to be doing a lot of analysis.
[00:02:59.000 --> 00:02:59.960]   I'm going to be doing a lot of analysis.
[00:02:59.960 --> 00:03:01.400]   I'm going to be doing a lot of analysis.
[00:03:01.400 --> 00:03:02.800]   I'm going to be doing a lot of analysis.
[00:03:02.800 --> 00:03:04.240]   I'm going to be doing a lot of analysis.
[00:03:04.240 --> 00:03:05.640]   I'm going to be doing a lot of analysis.
[00:03:05.640 --> 00:03:07.160]   I'm going to be doing a lot of analysis.
[00:03:07.160 --> 00:03:08.600]   I'm going to be doing a lot of analysis.
[00:03:08.600 --> 00:03:10.040]   I'm going to be doing a lot of analysis.
[00:03:10.040 --> 00:03:11.080]   I'm going to be doing a lot of analysis.
[00:03:11.080 --> 00:03:12.440]   I'm going to be doing a lot of analysis.
[00:03:12.440 --> 00:03:13.600]   I'm going to be doing a lot of analysis.
[00:03:13.600 --> 00:03:15.040]   I'm going to be doing a lot of analysis.
[00:03:15.040 --> 00:03:21.600]   So their mission is different, but are you going to be for investors or are you going to be a public face?
[00:03:21.600 --> 00:03:25.280]   I think more on public face, I'm definitely going to be writing for a general broad audience.
[00:03:25.280 --> 00:03:27.760]   I don't think any restrictions on what I can or can do.
[00:03:27.760 --> 00:03:29.360]   I think this will come on the show.
[00:03:29.360 --> 00:03:30.480]   Sounds like a great gig.
[00:03:30.480 --> 00:03:31.280]   I'm very excited.
[00:03:31.280 --> 00:03:32.160]   I'm really happy for you.
[00:03:32.160 --> 00:03:33.200]   Congratulations.
[00:03:33.200 --> 00:03:35.320]   Also with this, and this is her first time, and I'm really thrilled.
[00:03:35.320 --> 00:03:41.040]   In fact, I only met her last week, and she's only heard twice, but I was so impressed.
[00:03:41.040 --> 00:03:43.440]   I said, "You're coming back Liberty Madison."
[00:03:43.440 --> 00:03:44.560]   Thank you so much, will you?
[00:03:44.560 --> 00:03:49.120]   libertymedicine.com/tag that tech girl.
[00:03:49.120 --> 00:03:50.000]   That's me.
[00:03:50.000 --> 00:03:51.840]   #thattechgirl.
[00:03:51.840 --> 00:03:53.520]   And so nice to have you.
[00:03:53.520 --> 00:03:58.240]   You cover, it says, "You're the startup life for the millennial."
[00:03:58.240 --> 00:03:59.040]   That's correct.
[00:03:59.040 --> 00:04:00.640]   And you're absolutely right.
[00:04:00.640 --> 00:04:02.960]   Last week was my first time actually singing to it.
[00:04:02.960 --> 00:04:05.280]   And thank you so much for inviting me back.
[00:04:05.280 --> 00:04:10.480]   This is a baptism by fire because welcome, because it isn't...
[00:04:10.480 --> 00:04:13.760]   It's an unusual round table, but I've already told you the ground rules,
[00:04:13.760 --> 00:04:17.680]   which is just inject yourself at any point.
[00:04:17.680 --> 00:04:19.600]   And if possible, that's not all talk at once.
[00:04:19.600 --> 00:04:20.400]   And that's about it, right?
[00:04:20.400 --> 00:04:21.360]   Right.
[00:04:21.360 --> 00:04:25.360]   And I think you'll all have opinions about most of these stories.
[00:04:25.360 --> 00:04:26.160]   There's a...
[00:04:26.160 --> 00:04:30.880]   This is normally kind of a slow week, to be honest, as we get the run up to Christmas.
[00:04:30.880 --> 00:04:34.480]   But there was a lot of news this week.
[00:04:34.480 --> 00:04:36.720]   Next week, I should just mention a programming note.
[00:04:36.720 --> 00:04:40.480]   We are going to do our traditional holiday gathering.
[00:04:41.040 --> 00:04:47.440]   And Paul and Storm will join us, O-Dokta, the GizWiz musical performance from the Deena Hollicks.
[00:04:47.440 --> 00:04:48.960]   You should enjoy them.
[00:04:48.960 --> 00:04:51.440]   And it's fun.
[00:04:51.440 --> 00:04:53.520]   And it's going to be kind of more comedy less news,
[00:04:53.520 --> 00:04:55.760]   because really, two days after Christmas is more comedy.
[00:04:55.760 --> 00:04:57.360]   More comedy, no news.
[00:04:57.360 --> 00:04:58.400]   No news.
[00:04:58.400 --> 00:04:59.120]   No news.
[00:04:59.120 --> 00:04:59.760]   It's pretty bad.
[00:04:59.760 --> 00:05:00.560]   No news.
[00:05:00.560 --> 00:05:01.120]   But it's awesome.
[00:05:01.120 --> 00:05:01.680]   Go into it.
[00:05:01.680 --> 00:05:04.960]   And then the following week will be our best of.
[00:05:04.960 --> 00:05:07.120]   And I think it's too late now.
[00:05:07.120 --> 00:05:10.560]   At this point, it's pretty locked.
[00:05:10.560 --> 00:05:13.040]   Although I suppose you could submit some last-minute things,
[00:05:13.040 --> 00:05:14.640]   because I do have a few more moments to pick.
[00:05:14.640 --> 00:05:15.760]   But we're almost there.
[00:05:15.760 --> 00:05:18.880]   Fit.tv/bestoff for last-minute submissions.
[00:05:18.880 --> 00:05:24.640]   And of great note, this is Jason Howell's last time running the board for this week in tech.
[00:05:24.640 --> 00:05:26.720]   We've moved him upstairs to full-time hosting.
[00:05:26.720 --> 00:05:29.920]   He and Megan Maroney are going to host our new TNT,
[00:05:29.920 --> 00:05:31.520]   which will be at a new time.
[00:05:31.520 --> 00:05:34.080]   We're moving it from 10 in the morning to 4 in the afternoon,
[00:05:34.080 --> 00:05:36.720]   Pacific 4th, Pacific 7 p.m. Eastern.
[00:05:36.720 --> 00:05:39.840]   That's right at midnight UTC.
[00:05:39.840 --> 00:05:43.600]   And the idea is that we want to get capture all the tech news of the day
[00:05:43.600 --> 00:05:45.840]   and have a show ready for you in the morning on your commute.
[00:05:45.840 --> 00:05:47.440]   So I think that's a good time.
[00:05:47.440 --> 00:05:48.640]   I would agree.
[00:05:48.640 --> 00:05:49.200]   Yeah.
[00:05:49.200 --> 00:05:50.560]   Hangouts message from somewhere.
[00:05:50.560 --> 00:05:51.120]   I'm not really.
[00:05:51.120 --> 00:05:51.920]   Is that you or me?
[00:05:51.920 --> 00:05:53.120]   I think that might be you.
[00:05:53.120 --> 00:05:56.560]   Well, I don't want people to hang out messaging me right now, that's for sure.
[00:05:56.560 --> 00:05:57.520]   [LAUGHTER]
[00:05:57.520 --> 00:05:58.480]   I'm thinking.
[00:05:58.480 --> 00:05:59.760]   I'm thinking some type of phone.
[00:05:59.760 --> 00:06:00.320]   No, it's not.
[00:06:00.320 --> 00:06:00.960]   No, it's me.
[00:06:00.960 --> 00:06:03.200]   It was loud enough that it's probably coming from my computer.
