;FFMETADATA1
title=Our Holiday Special
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=542
genre=Podcast
comment=http://twit.tv/twit
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:03.720]   It's time for "Twin" this weekend tech.
[00:00:03.720 --> 00:00:10.160]   And an amazing show for you involving Paul Storm, O and J.J.
[00:00:10.160 --> 00:00:13.400]   Oh, what's his name?
[00:00:13.400 --> 00:00:18.280]   O and J.J. Oh, Dr. Stone, and Dick Di Martello,
[00:00:18.280 --> 00:00:21.400]   copie Samantha Moonshine, and Star Wars spoilers.
[00:00:21.400 --> 00:00:23.840]   It's going to be an amazing holiday special.
[00:00:23.840 --> 00:00:24.640]   Stay tuned.
[00:00:27.560 --> 00:00:30.960]   And at Cassie Love, from People You Trust.
[00:00:30.960 --> 00:00:37.160]   This is "Twin."
[00:00:37.160 --> 00:00:40.480]   Bandwidth for this weekend tech is provided by CashFly
[00:00:40.480 --> 00:00:43.200]   at CACHEFLY.com.
[00:00:43.200 --> 00:00:54.000]   This is "Twin" this weekend tech, episode 542, recorded Friday,
[00:00:54.000 --> 00:01:00.160]   December 18, 2015, for AirDate, December 27, 2015,
[00:01:00.160 --> 00:01:02.600]   our holiday special.
[00:01:02.600 --> 00:01:05.000]   This weekend tech is brought to you by Headspace.
[00:01:05.000 --> 00:01:08.440]   Train your mind for a healthier, less stressed life.
[00:01:08.440 --> 00:01:11.960]   Download the free Headspace app and begin their Take 10 program
[00:01:11.960 --> 00:01:17.440]   for 10 days of guided meditation at headspace.com/twit.
[00:01:17.440 --> 00:01:21.160]   And by lynda.com, the online learning platform,
[00:01:21.160 --> 00:01:24.160]   with over 3,000 on-demand video courses
[00:01:24.160 --> 00:01:26.160]   to help you strengthen your business technology
[00:01:26.160 --> 00:01:27.600]   and creative skills.
[00:01:27.600 --> 00:01:31.800]   For a free 10-day trial, visit lynda.com/twit2.
[00:01:31.800 --> 00:01:38.240]   That's lynda.com/twit.
[00:01:38.240 --> 00:01:41.760]   And by FreshBooks, the super simple cloud accounting
[00:01:41.760 --> 00:01:44.220]   software that's giving thousands of freelancers
[00:01:44.220 --> 00:01:47.160]   and small businesses the tools to save time billing
[00:01:47.160 --> 00:01:48.560]   and get paid faster.
[00:01:48.560 --> 00:01:51.040]   Try it free at freshbooks.com.
[00:01:51.040 --> 00:01:54.920]   And by audible.com.
[00:01:54.920 --> 00:01:58.000]   Sign up for the platinum plan and get two free books.
[00:01:58.000 --> 00:02:00.680]   Go to audible.com/twit2.
[00:02:00.680 --> 00:02:03.560]   And don't forget to follow Audible on Twitter, user ID,
[00:02:03.560 --> 00:02:07.920]   Audible_com.
[00:02:07.920 --> 00:02:12.680]   It's time for our famous this weekend tech holiday special
[00:02:12.680 --> 00:02:17.200]   on Boxing Day, ladies and gentlemen, and alphabetical order.
[00:02:17.200 --> 00:02:24.000]   Owen J. J. Stone, Paul, and Storm, the Gizwiz,
[00:02:24.000 --> 00:02:29.040]   and to kick us off our special musical guest, The Ratic.
[00:02:29.040 --> 00:02:34.480]   Who has called out there?
[00:02:34.480 --> 00:02:36.560]   We just two of five, but we appreciate being here
[00:02:36.560 --> 00:02:37.680]   for your Christmas special.
[00:02:37.680 --> 00:02:38.240]   That's right.
[00:02:38.240 --> 00:02:38.520]   It's Christmas.
[00:02:38.520 --> 00:02:39.960]   We got a gift coming at the end of this song.
[00:02:39.960 --> 00:02:41.840]   All around the world tonight.
[00:02:41.840 --> 00:02:43.280]   And this song is no exception.
[00:02:43.280 --> 00:02:44.200]   Did they know?
[00:02:44.200 --> 00:02:44.960]   Uh-uh.
[00:02:44.960 --> 00:02:48.080]   We're going to go Christmas on them.
[00:02:48.080 --> 00:02:52.800]   Well, the one that we love belongs to somebody else.
[00:02:52.800 --> 00:03:03.120]   She sings her songs of love to somebody else.
[00:03:03.120 --> 00:03:10.560]   I don't even know when I like got my arms around her.
[00:03:10.560 --> 00:03:11.520]   Oh.
[00:03:11.520 --> 00:03:16.960]   Well, I know her thoughts are strong for somebody else.
[00:03:16.960 --> 00:03:19.440]   Cuckoo, cuckoo, baby.
[00:03:19.440 --> 00:03:27.120]   And the Christmas hands she holds belong to somebody else.
[00:03:27.120 --> 00:03:34.480]   Well, I guess they're not so cold for somebody else.
[00:03:34.480 --> 00:03:39.320]   Well, it's tough to be alone on a shelf.
[00:03:39.320 --> 00:03:42.280]   Worst of all, in love by yourself.
[00:03:42.280 --> 00:03:47.640]   Because the one that we love belongs to somebody else.
[00:03:47.640 --> 00:03:51.400]   And the Christmas time like this,
[00:03:51.400 --> 00:03:53.840]   I'm feeling more conica, kind of.
[00:03:53.840 --> 00:03:54.840]   Hey, yay.
[00:03:54.840 --> 00:03:56.560]   Someone turn up the band, baby.
[00:03:56.560 --> 00:03:59.000]   The waterworks, turn them on now, where to go,
[00:03:59.000 --> 00:04:01.200]   and how did we get to this place, Dean?
[00:04:01.200 --> 00:04:02.680]   It wasn't my idea.
[00:04:02.680 --> 00:04:03.640]   Oh, you're alone.
[00:04:03.640 --> 00:04:04.440]   Are you going to take another?
[00:04:04.440 --> 00:04:05.320]   This is me, huh?
[00:04:05.320 --> 00:04:06.400]   All right.
[00:04:06.400 --> 00:04:11.400]   Well, the one we love belongs to somebody else.
[00:04:11.400 --> 00:04:14.360]   Oh, my friends, it's a Tivol story.
[00:04:14.360 --> 00:04:19.520]   Oh, she sings her songs of love to somebody else.
[00:04:19.520 --> 00:04:22.440]   Very sad, but had some more.
[00:04:22.440 --> 00:04:24.520]   So Italian, I don't know how to do that.
[00:04:24.520 --> 00:04:29.960]   Even when she's got her arms around me.
[00:04:29.960 --> 00:04:36.000]   Well, I know her feeling strong for somebody else.
[00:04:36.000 --> 00:04:37.840]   Oh, somebody else.
[00:04:37.840 --> 00:04:42.440]   And the one I'll hold belongs to somebody else.
[00:04:42.440 --> 00:04:45.640]   Hold on to somebody else.
[00:04:45.640 --> 00:04:50.640]   Well, I'll bet they're not so cold for somebody else.
[00:04:50.640 --> 00:04:53.640]   To somebody else.
[00:04:53.640 --> 00:04:58.440]   Well, it's tough to be alone on a shelf.
[00:04:58.440 --> 00:05:01.400]   Worst to fall in love by yourself,
[00:05:01.400 --> 00:05:05.240]   because the one we love belongs.
[00:05:05.240 --> 00:05:12.040]   You know the one we love keeps singing that song to somebody.
[00:05:12.040 --> 00:05:13.520]   Dude, that's right.
[00:05:13.520 --> 00:05:15.320]   It's a hold of me.
[00:05:15.320 --> 00:05:17.480]   Yeah, Christmas, Christmas.
[00:05:17.480 --> 00:05:18.920]   It's a Christmas.
[00:05:18.920 --> 00:05:20.600]   And there's King's Maryland, Linies,
[00:05:20.600 --> 00:05:22.120]   because the band got here today.
[00:05:22.120 --> 00:05:23.480]   Hey, gentlemen, awesome.
[00:05:23.480 --> 00:05:24.720]   The Dean of Holics, everybody.
[00:05:24.720 --> 00:05:26.920]   We're going to see more of them in just a little bit.
[00:05:26.920 --> 00:05:27.280]   Welcome.
[00:05:27.280 --> 00:05:32.560]   Welcome to our Twit This Week in Tech holiday show.
[00:05:32.560 --> 00:05:34.880]   As always, we like to bring together
[00:05:34.880 --> 00:05:36.200]   the tops and entertainment.
[00:05:36.200 --> 00:05:37.960]   Paul and Storm are here.
[00:05:37.960 --> 00:05:40.560]   But I was informed their contract, their writer
[00:05:40.560 --> 00:05:42.360]   doesn't allow them to perform music.
[00:05:42.360 --> 00:05:45.280]   So I hope you don't mind, but we brought in a musical act, Paul.
[00:05:45.280 --> 00:05:46.120]   I hope you don't mind.
[00:05:46.120 --> 00:05:48.360]   You guys can't meet our rate anyway.
[00:05:48.360 --> 00:05:49.720]   I can't afford you.
[00:05:49.720 --> 00:05:50.600]   You guys are great.
[00:05:50.600 --> 00:05:52.440]   You're coming to town soon.
[00:05:52.440 --> 00:05:53.800]   And we'll talk about that.
[00:05:53.800 --> 00:05:54.160]   What is that?
[00:05:54.160 --> 00:05:54.960]   Tweaker Fest?
[00:05:54.960 --> 00:05:56.000]   What is that thing you do?
[00:05:56.000 --> 00:05:56.920]   Sketchfest.
[00:05:56.920 --> 00:05:57.920]   Sketchfest.
[00:05:57.920 --> 00:05:58.600]   Yeah.
[00:05:58.600 --> 00:05:59.440]   And then--
[00:05:59.440 --> 00:06:01.760]   [LAUGHTER]
[00:06:01.760 --> 00:06:05.920]   You're coming to town to score the really, really good drug.
[00:06:05.920 --> 00:06:07.520]   Paul Sabarin.
[00:06:07.520 --> 00:06:08.440]   It's great to have--
[00:06:08.440 --> 00:06:08.920]   Sabarin.
[00:06:08.920 --> 00:06:10.920]   Sabarin, I don't know who you are.
[00:06:10.920 --> 00:06:14.080]   We booked you, and I got some Jaeger, and we're ready to go.
[00:06:14.080 --> 00:06:15.240]   We're ready to roll.
[00:06:15.240 --> 00:06:16.680]   We're going to have a wonderful time.
[00:06:16.680 --> 00:06:19.920]   Look at this new to the group.
[00:06:19.920 --> 00:06:20.920]   Storm, are you OK?
[00:06:20.920 --> 00:06:22.920]   Are you doing all right in there?
[00:06:22.920 --> 00:06:24.400]   Do you have--
[00:06:24.400 --> 00:06:25.040]   Oh.
[00:06:25.040 --> 00:06:25.600]   I mean--
[00:06:25.600 --> 00:06:26.600]   Oh, right.
[00:06:26.600 --> 00:06:27.600]   Yeah, absolutely.
[00:06:27.600 --> 00:06:28.600]   Yeah, go.
[00:06:28.600 --> 00:06:29.600]   It's not the constant companion.
[00:06:29.600 --> 00:06:33.800]   It's not Boxing Day without our good friend, Jolly J.
[00:06:33.800 --> 00:06:35.320]   And he's here.
[00:06:35.320 --> 00:06:35.840]   Yeah.
[00:06:35.840 --> 00:06:37.960]   Well, you know--
[00:06:37.960 --> 00:06:39.400]   Oh, my God.
[00:06:39.400 --> 00:06:40.640]   Who was it got this started?
[00:06:40.640 --> 00:06:43.920]   Was it you or Paul that was drinking a couple of years ago?
[00:06:43.920 --> 00:06:46.160]   Paul does not drink, so I'm pretty sure it was--
[00:06:46.160 --> 00:06:46.960]   Must have been you.
[00:06:46.960 --> 00:06:47.720]   --beating you.
[00:06:47.720 --> 00:06:50.720]   But I honestly don't remember.
[00:06:50.720 --> 00:06:52.480]   But I have this bottle, so--
[00:06:52.480 --> 00:06:55.000]   And then it multiplied because Colton pulled one out
[00:06:55.000 --> 00:06:56.120]   and Hodren pulled one out.
[00:06:56.120 --> 00:06:59.560]   I thought we classed the act up with some liquor in a bag.
[00:06:59.560 --> 00:07:00.080]   A little crown.
[00:07:00.080 --> 00:07:01.080]   Whoa.
[00:07:01.080 --> 00:07:02.080]   Whoa.
[00:07:02.080 --> 00:07:03.080]   See that's good.
[00:07:03.080 --> 00:07:04.280]   That's easy.
[00:07:04.280 --> 00:07:07.240]   That's Canadian for doing it to come out.
[00:07:07.240 --> 00:07:09.560]   Also, oh, Dr. Oh, Dr.--
[00:07:09.560 --> 00:07:11.280]   It's not looking too happy.
[00:07:11.280 --> 00:07:13.320]   Oh, Dr. is here.
[00:07:13.320 --> 00:07:14.440]   Did you see Star Wars?
[00:07:14.440 --> 00:07:16.760]   Is that why it's sitting there behind you?
[00:07:16.760 --> 00:07:17.280]   Yeah.
[00:07:17.280 --> 00:07:20.800]   I was told we may not mention Star Wars.
[00:07:20.800 --> 00:07:22.920]   I will not spoil anything for anybody,
[00:07:22.920 --> 00:07:24.800]   because I'm not the only time person on the way.
[00:07:24.800 --> 00:07:26.720]   I know it's a normal run out.
[00:07:26.720 --> 00:07:28.160]   And also, this is great.
[00:07:28.160 --> 00:07:30.280]   Dicty Bartolo, Mads Madis-Trader,
[00:07:30.280 --> 00:07:31.480]   and the Giz was just joining us.
