;FFMETADATA1
title=Foursquare for Drunks
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=717
genre=Podcast
comment=http://twit.tv/twit
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2019
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.800]   It's time for Twit this week in tech. We have a great panel for you a first-timer
[00:00:04.800 --> 00:00:11.280]   Louise Mazzakis from Wired and formerly of motherboard. She's a great security expert joins aunt Pruitt and
[00:00:11.280 --> 00:00:17.220]   From Windows Central Daniel Robino lots to talk about build starts tomorrow will give you a preview
[00:00:17.220 --> 00:00:26.680]   So is Google IO on Tuesday? We'll talk about that Facebook's developers conference was last week and which of the presidential candidates has secure email
[00:00:26.680 --> 00:00:31.240]   I'll give you a hint most do not it's all coming up next on Twit
[00:00:31.240 --> 00:00:36.880]   Netcasts you love from people you trust
[00:00:36.880 --> 00:00:42.600]   This is twit
[00:00:42.600 --> 00:00:53.080]   This is twit this week in tech episode
[00:00:53.840 --> 00:00:57.640]   2017 recorded Sunday May 5th 2019
[00:00:57.640 --> 00:01:02.280]   4 square for drunks this week in tech is brought to you by
[00:01:02.280 --> 00:01:06.720]   Thousand eyes companies that run in the cloud rely on thousand eyes
[00:01:06.720 --> 00:01:12.560]   It's the place they go first to see understand and improve the digital experience of their cloud-based
[00:01:12.560 --> 00:01:19.360]   applications and services to the cloud right and improve services for your customers and employees today visit
[00:01:19.360 --> 00:01:21.160]   thousand eyes calm
[00:01:21.160 --> 00:01:29.000]   Slash Twit and buy fresh books the number one accounting software in the cloud for self-employed professionals and their teams
[00:01:29.000 --> 00:01:32.600]   Try it free for 30 days at fresh books calm
[00:01:32.600 --> 00:01:34.880]   and by
[00:01:34.880 --> 00:01:38.820]   Last pass the number one most preferred password manager
[00:01:38.820 --> 00:01:46.720]   Just remember your master password and last pass remembers the rest visit last pass calm slash twit to learn more
[00:01:47.080 --> 00:01:55.120]   and by Atlassian Atlassian software powers the full spectrum of collaboration between IT teams and the rest of your
[00:01:55.120 --> 00:02:02.400]   Organization visit Atlassian comm slash IT to see what IT can be by giving their products a try for free
[00:02:02.400 --> 00:02:08.640]   It's time for Twit this week in tech the show we cover the weeks tech news
[00:02:08.640 --> 00:02:14.360]   We have a very fine panel assembled for you this week Dan Robino is here Daniel is a
[00:02:15.200 --> 00:02:20.880]   Writer of course at a Windows central executive editor. You don't even write anymore probably
[00:02:20.880 --> 00:02:24.000]   When I try to appear on TV and YouTube
[00:02:24.000 --> 00:02:30.560]   Lot easier and it looks like Daniel. You're carefully situated next to a hotel safe. So I'm
[00:02:30.560 --> 00:02:40.800]   Thinking you're probably already in Seattle for tomorrow's build conference. Yeah, I got here a day early beautiful weather in Seattle
[00:02:41.120 --> 00:02:48.720]   For once it's like really nice here. It's 60s 70s and it's sunny out. So it's gonna be a pretty exciting week
[00:02:48.720 --> 00:02:56.640]   Maybe maybe before the show admitted you said it's so boring. Yeah, Bill this year. I'm just not feeling it
[00:02:56.640 --> 00:02:58.400]   I'm sure there'll be some interesting announcements
[00:02:58.400 --> 00:03:01.920]   I mean there are some things we know about that are interesting and exciting but
[00:03:01.920 --> 00:03:08.400]   Obviously Microsoft is playing a different level these days compared to where like Google and Apple are so it's a little bit less
[00:03:08.760 --> 00:03:14.040]   Exciting to talk about say Azure and advance is there even if it's super important even if they make a ton of money
[00:03:14.040 --> 00:03:17.240]   I don't care. We're talking about a dupe whether you want to or not
[00:03:17.240 --> 00:03:20.280]   Data lakes
[00:03:20.280 --> 00:03:30.120]   Also with us and Pruitt he is drinking a fine centaurie whiskey this week contributing right at tech republic and don't forget his YouTube channel
[00:03:30.120 --> 00:03:32.120]   Ant Pruitt hello ant
[00:03:32.120 --> 00:03:35.240]   Hello mr. LaPorte. How you doing is it are you in between Clemson?
[00:03:36.000 --> 00:03:38.000]   Seasons now you just can relax a little bit
[00:03:38.000 --> 00:03:44.960]   No, it's baseball season. Oh man. There's always something it's baseball season and we just signed the top
[00:03:44.960 --> 00:03:48.520]   Quarterback in the country for football. Well, there you go
[00:03:48.520 --> 00:03:54.960]   Yeah, I think I suspect that's correct. How do you know if a high school player is gonna be good? You don't know that
[00:03:54.960 --> 00:04:02.080]   Well, if you guess it Texas high school football isn't really high school football
[00:04:03.360 --> 00:04:07.040]   Right there are some California some states work. Yeah
[00:04:07.040 --> 00:04:13.600]   Look at our current quarterback from Georgia that won the national championship for us last year as a freshman
[00:04:13.600 --> 00:04:17.200]   He was rated number one pretty amazing as a freshman. Wow
[00:04:17.200 --> 00:04:22.480]   Getting younger and younger and a new contributor. We've seen her before on Tech News weekly
[00:04:22.480 --> 00:04:27.760]   Louise met sakas is here. She's a staff writer or wired you might remember her from motherboard. Hi, Louise
[00:04:27.760 --> 00:04:32.960]   Hey, what's up? How are you? You uh, your paris martinot was in exactly the same seat last week
[00:04:32.960 --> 00:04:36.640]   So, okay, I want to clarify she sits right there
[00:04:36.640 --> 00:04:44.560]   Here, okay, it's actually one and a half feet over there is a difference there is a difference. Yeah
[00:04:44.560 --> 00:04:47.120]   Louise covers uh
[00:04:47.120 --> 00:04:49.120]   Security for wired, which is awesome
[00:04:49.120 --> 00:04:54.080]   Yeah, I'm technically a security reporter. Well and little teeny weeny phone show us that phone
[00:04:54.080 --> 00:04:56.720]   Yes teeny tiny phones
[00:04:56.720 --> 00:05:02.560]   That's so cute. That's so cute. It's so cute. It's a fake no kia 33 10
[00:05:03.120 --> 00:05:04.640]   Kind of a knock off
[00:05:04.640 --> 00:05:10.960]   You can see the little no kia logo. Your says no kia. You got it in hong kong. So it's uh, that's sort of counterfeit
[00:05:10.960 --> 00:05:12.160]   Sort of
[00:05:12.160 --> 00:05:16.640]   Yeah, I think that uh the us customs probably would not let you import one like this here
[00:05:16.640 --> 00:05:19.440]   But you can get one that has you know the cheapy
[00:05:19.440 --> 00:05:25.200]   Chinese logo on instead. Yeah, I actually I just I saw yours and I bought it. I saw your article about it
[00:05:25.200 --> 00:05:27.200]   I bought it's $21
[00:05:27.200 --> 00:05:30.800]   Hell yeah, I'm trying to sort of trend everyone watching you should also get one
[00:05:31.440 --> 00:05:32.960]   I
[00:05:32.960 --> 00:05:35.440]   $21 is the size of your thumb
[00:05:35.440 --> 00:05:40.400]   Uh, yeah, oh, I can't wait to make phone calls on it and it just blow people's minds
[00:05:40.400 --> 00:05:44.640]   Does it have feel pretty I didn't ask and I should have before about it. Does it have snake on it?
[00:05:44.640 --> 00:05:49.120]   No, it doesn't have snake. I don't think I haven't uh some of them are different
[00:05:49.120 --> 00:05:52.880]   So mine has a voice changer, which is pretty fun. So it's like the
[00:05:52.880 --> 00:05:55.760]   Oh, this is always calling
[00:05:55.760 --> 00:05:58.560]   Exactly. So it's like the ultimate prank call machine
[00:05:59.200 --> 00:06:03.600]   For sure. So maybe yours will have that they kind of differ a little bit depending on like where you get it
[00:06:03.600 --> 00:06:08.320]   I think but the amazon one I think does have the voice changing capability. So have fun with that
[00:06:08.320 --> 00:06:11.360]   And I should warn you she calls this phone her son
[00:06:11.360 --> 00:06:15.360]   Yeah, I think it's great
[00:06:15.360 --> 00:06:22.720]   And you guys as long as you don't carry him in a baby bjorn in front of you as you walk through brooklyn
[00:06:22.720 --> 00:06:24.080]   I think you're all right
[00:06:24.080 --> 00:06:26.720]   No, but I am trying to get him a keychain. I feel like that would be nice
[00:06:26.800 --> 00:06:29.440]   Oh, yeah, you could you could actually have him on your keychain
[00:06:29.440 --> 00:06:36.080]   Yeah, yeah, he has one of those little holes that you could remember back in the day with the flip phones or whatever where you could have like those little
[00:06:36.080 --> 00:06:40.400]   Key charms and stuff. Yeah. Yeah. He has a little slot for one of those. I want to see
[00:06:40.400 --> 00:06:45.920]   Yeah, I see at the bottom like a little string. That's hilarious. I should have prepared myself. It's probably you know
[00:06:45.920 --> 00:06:47.920]   USB
[00:06:47.920 --> 00:06:51.360]   Tight the the old-fashioned micro USB charging. I bet you
[00:06:51.360 --> 00:06:54.720]   Yeah, it comes with a charging cord though. It doesn't come with the brick
[00:06:54.880 --> 00:06:59.440]   So you have to have like an iPhone brick to put the USB in but plenty of those lying around
[00:06:59.440 --> 00:07:05.680]   Yeah, yeah, we all have a brick or two. I did not throw out all my old USB micro USB cables
[00:07:05.680 --> 00:07:08.880]   Yeah, exactly. No
[00:07:08.880 --> 00:07:12.640]   Yeah, you have a use for it now. So let's see this week we have
[00:07:12.640 --> 00:07:17.280]   Build in fact, we're gonna cover that tomorrow. I have to get up at eight in the morning
[00:07:17.280 --> 00:07:22.160]   Bill Gates wouldn't have done that to me before it's a little early. Yeah starts today
[00:07:23.120 --> 00:07:25.120]   Please get up before eight
[00:07:25.120 --> 00:07:27.120]   I have to get up at six or seven
[00:07:27.120 --> 00:07:30.880]   Takes me an hour to put on my makeup and fix my face and hair
[00:07:30.880 --> 00:07:35.760]   You're gonna see a whole different Leo on Monday morning
[00:07:35.760 --> 00:07:42.560]   Uh, so yeah, you can just camp out at the office there. Stay here. Why go home? Yeah, so uh
[00:07:42.560 --> 00:07:45.040]   Now the
[00:07:45.040 --> 00:07:49.520]   We debated this because Daniel you remember last year's build keynote
[00:07:50.160 --> 00:07:52.720]   Went for a world record three and a half hours
[00:07:52.720 --> 00:07:56.400]   So long they actually had a stretching session in the middle of it
[00:07:56.400 --> 00:08:00.560]   That's right, which I refuse to participate in on that that yeah
[00:08:00.560 --> 00:08:04.320]   Didn't they bring like a yoga person out and she showed people what to do
[00:08:04.320 --> 00:08:06.960]   You know it was awkward. It was a little weird
[00:08:06.960 --> 00:08:12.720]   I don't know what what they're doing with these key notes tomorrow is gonna be a little strange too. They have three of them
[00:08:12.720 --> 00:08:14.080]   technically
[00:08:14.080 --> 00:08:17.920]   Uh, so there's the main one which is such in the delas vision keynote. That's
[00:08:18.320 --> 00:08:21.680]   What I would say is the exciting one, but oh, that's a bad sign
[00:08:21.680 --> 00:08:25.040]   Exciting one
[00:08:25.040 --> 00:08:31.760]   Vision stuff comes in right and we'll see you some of the more interesting announcements unless you're really really into scott
[00:08:31.760 --> 00:08:38.960]   Gertrines azure server stuff, which is super important. I don't want to knock it down. It's just the one I usually pass on
[00:08:38.960 --> 00:08:43.360]   But yeah, it's gonna be you know the interesting morning. So it's gonna be
[00:08:44.080 --> 00:08:48.320]   Apparently because satya nadella's vision thing is sometimes a little
[00:08:48.320 --> 00:08:53.600]   Up in the clouds they brought in ball throughout marriage of falling to explain it afterwards
[00:08:53.600 --> 00:08:58.640]   They're gonna do a post keynote kind of explainer
