;FFMETADATA1
title=Who Owns the Clone
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=816
genre=Podcast
comment=https://twit.tv/twit
copyright=These podcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2021
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.680]   It's time for Twit this week in tech. You are in luck a great show to come
[00:00:04.680 --> 00:00:08.920]   It always is great when Amy Webb's here from the future today Institute and one of the original
[00:00:08.920 --> 00:00:12.400]   Twit stars Kevin Rose the dark tipper
[00:00:12.400 --> 00:00:16.860]   We have lots to talk about Kevin's an expert on blockchain and modern finance
[00:00:16.860 --> 00:00:24.160]   We'll talk about his crypto punk collection the ships still stuck. We'll get a traffic report direct from the Suez canal
[00:00:24.680 --> 00:00:31.800]   Twitter's unofficial mayor quits is there anything Twitter could have done better and then Kevin will show us his bones
[00:00:31.800 --> 00:00:38.520]   He's he's just got a full body scan and the pictures are amazing. It's all coming up next on Twitter
[00:00:38.520 --> 00:00:44.120]   Podcasts you love from people you trust
[00:00:44.120 --> 00:00:47.320]   This is twit
[00:00:54.200 --> 00:01:01.840]   This is twit this week at tech episode 816 recorded Sunday March 28th 2021
[00:01:01.840 --> 00:01:04.200]   Who owns the clone?
[00:01:04.200 --> 00:01:12.320]   This week at tech is brought to you by babble babble's made learning a new language fun and easy with bite-sized lessons
[00:01:12.320 --> 00:01:18.520]   You'll actually use in the real world purchase a three month babble subscription and get an additional three months free
[00:01:18.520 --> 00:01:21.320]   Go to babble.com and use the promo code TWIT
[00:01:22.000 --> 00:01:29.480]   And by Udacity build your tech skills through industry leading programs created and recognized by top companies worldwide
[00:01:29.480 --> 00:01:37.480]   With a nano degree from Udacity in its littlest 12 weeks visit Udacity.com/twit and use the coupon code TWIT
[00:01:37.480 --> 00:01:41.320]   At checkout to get 50% off through May 30th 2021
[00:01:41.320 --> 00:01:48.320]   And by mint mobile mint mobile secret sauce is there the first company to sell wireless service
[00:01:48.760 --> 00:01:56.560]   online only to get your new wireless plan for just 15 dollars a month and get it shipped to your door free go to mint mobile
