;FFMETADATA1
title=St Jeff's Memorial Hospital
artist=Megan Morrone, Roberto Baldwin, Ashley Esqueda, Jason Howell
album_artist=TWiT
publisher=TWiT
album=This Week in Tech
TRDA=2022-07-24
track=885
language=English
genre=Podcast
comment=Amazon Buys One Medical, Google Glass AR, Netflix Ad-Supported		
encoded_by=Uniblab 5.3
date=2022
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:01.520]   It's time for Twit.
[00:00:01.520 --> 00:00:04.120]   This week in Tech, I'm Jason Howell, filling in for Leo LaPorte.
[00:00:04.120 --> 00:00:09.320]   Today we've got some awesome guests joining me today is Ashley Aschetha, Roberto Baldwin,
[00:00:09.320 --> 00:00:13.520]   and Megan Moroni, where you have so much fun, so much news to discuss.
[00:00:13.520 --> 00:00:16.320]   Amazon buying one medical.
[00:00:16.320 --> 00:00:19.160]   What might prime healthcare actually look like?
[00:00:19.160 --> 00:00:20.720]   We take some guesses.
[00:00:20.720 --> 00:00:23.480]   Also Snap and Twitter earnings lagging.
[00:00:23.480 --> 00:00:28.560]   That's largely thanks to a diminishing ad spend market.
[00:00:28.560 --> 00:00:29.880]   What does it mean for big tech?
[00:00:29.880 --> 00:00:30.880]   What's coming up?
[00:00:30.880 --> 00:00:32.560]   Subscriptions for in-car features?
[00:00:32.560 --> 00:00:33.560]   Hot or not?
[00:00:33.560 --> 00:00:36.240]   I think not, but we've got a nice discussion there.
[00:00:36.240 --> 00:00:41.440]   How Netflix's identity, which is binging content, is actually biting its butt.
[00:00:41.440 --> 00:00:47.880]   Plus so much more coming up next on This Week in Tech.
[00:00:47.880 --> 00:00:48.880]   Podcasts you love.
[00:00:48.880 --> 00:00:51.880]   From people you trust.
[00:00:51.880 --> 00:00:54.880]   This is Twit.
[00:00:54.880 --> 00:01:08.600]   This week in Tech, episode 885, recorded Sunday, July 24th, 2022.
[00:01:08.600 --> 00:01:11.200]   St. Jeff's Memorial Hospital.
[00:01:11.200 --> 00:01:14.520]   This episode of This Week in Tech is brought to you by Zip Recruiter.
[00:01:14.520 --> 00:01:17.360]   Certain people make my life easier by helping me out.
[00:01:17.360 --> 00:01:21.920]   And Zip Recruiter makes hiring easier because they do the work for you.
[00:01:21.920 --> 00:01:22.920]   How?
[00:01:22.920 --> 00:01:27.720]   Zip Recruiter's technology finds great candidates and you can invite them to apply.
