;FFMETADATA1
album=This Week in Tech
genre=Podcast
encoded_by=Uniblab 5.3
title=Elon's Little Chisel
language=English
artist=Leo Laporte, Alex Kantrowitz, Ranjan Roy
album_artist=TWiT
publisher=TWiT
track=937
date=2023
TRDA=2023-07-24
comment=<p>Twitter to X, FedNow, Meta&\#039\;s LLaMA 2, riding in a Waymo, Kevin Mitnick</p>\

encoder=Lavf60.3.100

[00:00:00.000 --> 00:00:04.560]   It's time for Twit this week in Tech. It's a big technology takeover this week on
[00:00:04.560 --> 00:00:12.840]   Twit we've got Alex Cantor which you know him well from the big technology podcast and sub-stack his co-host Rajan Roy
[00:00:12.840 --> 00:00:19.240]   From read margins.com joins us and we are gonna talk about all the big stories Elon Musk says
[00:00:19.240 --> 00:00:22.120]   I am changing the name of Twitter today
[00:00:22.120 --> 00:00:28.080]   Activision and Microsoft the deal is a go, but is it good for gamers?
[00:00:28.200 --> 00:00:35.720]   We'll also talk about Apple's victory as they go to the Supreme Court to appeal the latest judgment in Apple versus
[00:00:35.720 --> 00:00:39.920]   Epic and it's the release of a new AI model from
[00:00:39.920 --> 00:00:42.680]   Facebook why is it a good thing?
[00:00:42.680 --> 00:00:49.520]   Alex and ron John explain all of that and a whole lot more coming up next plus we say goodbye to an old friend on Twit
[00:00:49.520 --> 00:00:52.720]   The show is brought to you by Cisco
[00:00:53.200 --> 00:01:00.200]   Iraqi without a cloud managed network businesses inevitably fall behind experience the ease and efficiency of
[00:01:00.200 --> 00:01:06.480]   Maraki's single platform to elevate the place where your employees and customers come together Cisco Maraki
[00:01:06.480 --> 00:01:11.560]   Maximizes uptime and minimizes loss to digitally transform your organization
[00:01:11.560 --> 00:01:21.040]   Maraki's intuitive interface increased connectivity and multi-site management keep your organization operating seamlessly and securely wherever your team is
[00:01:21.040 --> 00:01:29.480]   Let's Cisco Maraki's 24/7 available support help your organizations remote on site and hybrid teams always do their best work
[00:01:29.480 --> 00:01:33.120]   Visit maraki.sisco.com/twit
[00:01:33.120 --> 00:01:39.080]   Podcasts you love from people you trust
[00:01:39.080 --> 00:01:42.240]   This is Twit
[00:01:47.200 --> 00:01:54.080]   This is Twit this week at Tech episode 937 recorded Sunday July 23rd
