;FFMETADATA1
title=TWiT Episode 23
comment=http://twit.tv/23
album=TWiT September 2005
TYER=2005-09-18
genre=Podcast
artist=Leo Laporte
encoder=Lavf58.76.100
;FFMETADATA1
title=TWiT Episode 23
comment=http://twit.tv/23
album=TWiT September 2005
TYER=2005-09-18
genre=Podcast
artist=Leo Laporte
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:06.420]   This is Twitch this week in tech episode 23 for September 18 2005
[00:00:06.420 --> 00:00:15.860]   Cheer here
[00:00:15.860 --> 00:00:20.840]   This is nice here. We are once again at Noonan's bar in drill and beautiful larkspur landing, California
[00:00:20.840 --> 00:00:26.480]   And with a large crowd this time and we're glad you're here and you came for the pocket protectors didn't you that was
[00:00:26.720 --> 00:00:30.280]   That was the real reason there here. Let me introduce around the table our
[00:00:30.280 --> 00:00:35.760]   Twits and say right up front that John C. Devorek and Patrick Norton were scared off by the audience and
[00:00:35.760 --> 00:00:41.760]   And well John said I want Bordeaux and couldn't we didn't have any for him and Patrick, you know
[00:00:41.760 --> 00:00:46.800]   How much coffee can one guy drink so but let me introduce Alex Lindsey from the pixel core
[00:00:46.800 --> 00:00:51.700]   He is here and actually with his pixel core camera crew. Hello. Hello, so we're gonna do it
[00:00:51.700 --> 00:00:55.240]   We have a three camera shoot going on here. It's a test see how this works
[00:00:55.240 --> 00:01:01.200]   Yeah, exactly and we'll do it. We'll just Kevin will distribute it on revision 3 and and she's actually switching it live
[00:01:01.200 --> 00:01:07.160]   He's got a crew of a lot of people you want to introduce the people that you you brought here or do you even know their names?
[00:01:07.160 --> 00:01:12.460]   I don't think I'll blank out on somebody. I'm sure but we have who's our director
[00:01:12.460 --> 00:01:16.860]   Is she directing? Yeah, and I'm blanking out on your name right now. I'm sorry what?
[00:01:16.860 --> 00:01:23.840]   Sandra Sandra. Yeah, that's it. So Sandra and then we have Gene Tony Mike on the cameras Ken jean
[00:01:23.840 --> 00:01:29.560]   My brother Joe is back here. Hey Joe. Oh, that's your brother. Yeah, so that's great
[00:01:29.560 --> 00:01:32.860]   But we're gonna yeah, we're trying to do a plane around with a lot
[00:01:32.860 --> 00:01:38.880]   This is like a big marriage here because I've got that my my staff Matt Granowitz key
[00:01:38.880 --> 00:01:44.720]   The twin intern and then we've got and then of course and oh and I want to introduce of course
[00:01:44.720 --> 00:01:47.240]   I'll go around and then I'll introduce our special guys Kevin Rose is here
[00:01:47.240 --> 00:01:50.240]   back from the the the wars
[00:01:51.160 --> 00:01:55.800]   With a big story to which we'll talk about in just a sec. It feels like dignity. I mean we're drinking here
[00:01:55.800 --> 00:02:00.200]   We're having a good time. It's like what do you have in there? It's a hay-po-vison. Hey, but vice
[00:02:00.200 --> 00:02:03.720]   Yeah, you know, this is you know, there's a brew public part of this so you can have anything you want
[00:02:03.720 --> 00:02:09.720]   It's the chairs are nice and comfortable. I love the leather chairs, you know people thought we were making this up on Twitter 22
[00:02:09.720 --> 00:02:13.920]   But now they can see is it was the real thing David Prager also here good to be here
[00:02:13.920 --> 00:02:17.520]   I mean you're sporting the pocket protector. Let's go. I am sporting it looks a little weird on my shirt
[00:02:17.520 --> 00:02:19.840]   but you know I like that that's the twit pocket protector and
[00:02:20.560 --> 00:02:25.160]   Robert Herron welcome from PC magazine you do a lot of this now
[00:02:25.160 --> 00:02:27.160]   I see you all the time on digital life TV
[00:02:27.160 --> 00:02:32.280]   Our new studio finished up. I think it's this week of the walls will be I kind of like the half finished wall look
[00:02:32.280 --> 00:02:35.560]   Yeah, it's not bad. It's better than that playing gray wall. We were shooting away
[00:02:35.560 --> 00:02:39.720]   That was actually the back corner. Yeah, but I but I like it kind of half and it was kind of hip, you know
[00:02:39.720 --> 00:02:46.080]   Kind of that and my new lab is on this. Oh, that's great your HD lab more space and we have a special guest today with us
[00:02:46.080 --> 00:02:51.800]   And I'm really thrilled to have him. He's really in many ways the true father podcasting Doug K of IT conversations
[00:02:51.800 --> 00:02:56.960]   It's here Doug. It's great to have you. It was great to be here. You know, I live only a mile away and I heard there was free beer
[00:02:56.960 --> 00:02:58.960]   You walk
[00:02:58.960 --> 00:03:00.960]   I walk a mile for a free beer
[00:03:00.960 --> 00:03:08.880]   Doug started IT conversations when in 2001 it's actually two two thousand three three, but you've been podcasting podcasting since almost
