;FFMETADATA1
title=TWiT 34: Leoless
artist=Patrick Norton and the TWiTs
album=TWiT December 2005
iTunSMPB= 00000000 00000210 000008E8 00000000086B6308 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
genre=Podcast
comment=http://twit.tv/34
encoded_by=iTunes v6.0.1
iTunNORM= 00000B1E 000000A1 00031AF7 0000664A 0014796D 002FC063 0000828C 0000B959 000000D0 0030DFD6
date=2005
encoder=Lavf58.76.100
;FFMETADATA1
title=TWiT 34: Leoless
artist=Patrick Norton and the TWiTs
album=TWiT December 2005
iTunSMPB= 00000000 00000210 000008E8 00000000086B6308 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
genre=Podcast
comment=http://twit.tv/34
encoded_by=iTunes v6.0.1
iTunNORM= 00000B1E 000000A1 00031AF7 0000664A 0014796D 002FC063 0000828C 0000B959 000000D0 0030DFD6
date=2005
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:07.280]   Alright in three two one ladies and gentlemen welcome to episode number 34 of Twit this week of technology
[00:00:07.280 --> 00:00:33.280]   [Music]
[00:00:33.280 --> 00:00:43.280]   [Music]
[00:00:43.280 --> 00:01:11.280]   [Music]
[00:01:11.280 --> 00:01:39.280]   [Music]
[00:01:39.280 --> 00:02:07.280]   [Music]
[00:02:07.280 --> 00:02:35.280]   [Music]
[00:02:35.280 --> 00:03:03.280]   [Music]
[00:03:03.280 --> 00:03:31.280]   [Music]
[00:03:31.280 --> 00:03:59.280]   [Music]
[00:03:59.280 --> 00:04:27.280]   [Music]
[00:04:27.280 --> 00:04:55.280]   [Music]
[00:04:55.280 --> 00:05:07.280]   [Music]
[00:05:07.280 --> 00:05:23.280]   [Music]
[00:05:23.280 --> 00:05:51.280]   [Music]
[00:05:51.280 --> 00:06:19.280]   [Music]
[00:06:19.280 --> 00:06:39.280]   [Music]
[00:06:39.280 --> 00:06:59.280]   [Music]
[00:06:59.280 --> 00:07:19.280]   [Music]
[00:07:19.280 --> 00:07:39.280]   [Music]
[00:07:39.280 --> 00:07:59.280]   [Music]
[00:07:59.280 --> 00:08:19.280]   [Music]
[00:08:19.280 --> 00:08:39.280]   [Music]
[00:08:39.280 --> 00:08:59.280]   [Music]
[00:08:59.280 --> 00:09:19.280]   [Music]
[00:09:19.280 --> 00:09:39.280]   [Music]
[00:09:39.280 --> 00:09:59.280]   [Music]
[00:09:59.280 --> 00:10:19.280]   [Music]
[00:10:19.280 --> 00:10:39.280]   [Music]
[00:10:39.280 --> 00:10:59.280]   [Music]
[00:10:59.280 --> 00:11:19.280]   [Music]
[00:11:19.280 --> 00:11:39.280]   [Music]
[00:11:39.280 --> 00:11:59.280]   [Music]
[00:11:59.280 --> 00:12:19.280]   [Music]
[00:12:19.280 --> 00:12:39.280]   [Music]
[00:12:39.280 --> 00:12:59.280]   [Music]
[00:12:59.280 --> 00:13:19.280]   [Music]
[00:13:19.280 --> 00:13:39.280]   [Music]
[00:13:39.280 --> 00:13:59.280]   [Music]
[00:13:59.280 --> 00:14:19.280]   [Music]
[00:14:19.280 --> 00:14:39.280]   [Music]
[00:14:39.280 --> 00:14:59.280]   [Music]
[00:14:59.280 --> 00:15:19.280]   [Music]
[00:15:19.280 --> 00:15:39.280]   [Music]
[00:15:39.280 --> 00:15:59.280]   [Music]
[00:15:59.280 --> 00:16:19.280]   [Music]
[00:16:19.280 --> 00:16:39.280]   [Music]
[00:16:39.280 --> 00:16:59.280]   [Music]
[00:16:59.280 --> 00:17:19.280]   [Music]
[00:17:19.280 --> 00:17:39.280]   [Music]
[00:17:39.280 --> 00:17:59.280]   [Music]
[00:17:59.280 --> 00:18:19.280]   [Music]
[00:18:19.280 --> 00:18:39.280]   [Music]
