;FFMETADATA1
genre=Podcast
artist=Leo Laporte and the TWiTs
album=TWiT January 2007
title=TWiT 84: Hahn, I'm Home!
comment=http://twit.tv/84
date=2007
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a   xmpDM:genre\="Other"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\=""\\x0a   xmpDM:duration\="1:15:01.649"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="11179"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\="">\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100
;FFMETADATA1
genre=Podcast
artist=Leo Laporte and the TWiTs
album=TWiT January 2007
title=TWiT 84: Hahn, I'm Home!
comment=http://twit.tv/84
date=2007
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a   xmpDM:genre\="Other"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\=""\\x0a   xmpDM:duration\="1:15:01.649"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="11179"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\="">\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   Netcast you love.
[00:00:06.000 --> 00:00:08.000]   From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:13.000]   This is Twit.
[00:00:13.000 --> 00:00:17.000]   Bandwidth for this weekend tech is provided by
[00:00:17.000 --> 00:00:21.000]   AOL Radio at AOL.com/podcasting.
[00:00:21.000 --> 00:00:28.000]   [ Music ]
[00:00:28.000 --> 00:00:30.000]   This is Twit, this weekend tech.
[00:00:30.000 --> 00:00:34.000]   Episode 84 for January 14th, 2007.
[00:00:34.000 --> 00:00:36.000]   On "I'm Home."
[00:00:36.000 --> 00:00:45.000]   [ Music ]
[00:00:45.000 --> 00:00:51.000]   [ Music ]
[00:00:51.000 --> 00:00:52.000]   They're back from Vegas.
[00:00:52.000 --> 00:00:56.000]   Our prodigals have returned and now it's time to talk CES
[00:00:56.000 --> 00:00:59.000]   on TWIT.
[00:00:59.000 --> 00:01:02.000]   Let's start with somebody who's never been on Twit before
[00:01:02.000 --> 00:01:05.000]   but is an old friend from Tech TV Days, Hans Schoy.
[00:01:05.000 --> 00:01:07.000]   Hey, Hans, it's good to talk to you.
[00:01:07.000 --> 00:01:08.000]   You've got it done a long time.
[00:01:08.000 --> 00:01:09.000]   It's been ages.
[00:01:09.000 --> 00:01:10.000]   It's been ages.
[00:01:10.000 --> 00:01:11.000]   Yeah.
[00:01:11.000 --> 00:01:13.000]   And you're doing "Indigital Now."
[00:01:13.000 --> 00:01:14.000]   I know which is really great.
[00:01:14.000 --> 00:01:17.000]   That's a video podcast on revision 3.
[00:01:17.000 --> 00:01:18.000]   Yeah.
[00:01:18.000 --> 00:01:19.000]   Yep.
[00:01:19.000 --> 00:01:20.000]   Keep them busy.
[00:01:20.000 --> 00:01:23.000]   Did you guys do stuff from CES for that show?
[00:01:23.000 --> 00:01:25.000]   Yeah, we actually did two episodes.
[00:01:25.000 --> 00:01:27.000]   We were there for four days.
[00:01:27.000 --> 00:01:29.000]   Like that whole four days at CES.
[00:01:29.000 --> 00:01:33.000]   And then later I want to talk about your home entertainment
[00:01:33.000 --> 00:01:35.000]   contest because that's a great contest.
[00:01:35.000 --> 00:01:36.000]   Yeah.
[00:01:36.000 --> 00:01:37.000]   That was fun.
[00:01:37.000 --> 00:01:39.000]   And I agreed with your choices.
[00:01:39.000 --> 00:01:40.000]   Yeah, well, yeah.
[00:01:40.000 --> 00:01:42.000]   Well, you got to watch the show to get the results,
[00:01:42.000 --> 00:01:44.000]   but I was a little disappointed with the results.
[00:01:44.000 --> 00:01:45.000]   You were?
[00:01:45.000 --> 00:01:46.000]   Yeah.
[00:01:46.000 --> 00:01:49.000]   Well, you know, maybe I'll reveal a little bit of it.
[00:01:49.000 --> 00:01:50.000]   I'll get a good point.
[00:01:50.000 --> 00:01:52.000]   Yeah, because when Gregor comes on, he never reveals anything.
[00:01:52.000 --> 00:01:53.000]   Yeah, I know.
[00:01:53.000 --> 00:01:55.000]   Yeah, he's pretty close-mouth.
[00:01:55.000 --> 00:01:56.000]   Anyway, it's great to have you on.
[00:01:56.000 --> 00:01:59.000]   And we'll talk about, I think mostly this show is going to be about CES.
[00:01:59.000 --> 00:02:02.000]   We did so much coverage on the Twit Network for Macworld.
[00:02:02.000 --> 00:02:09.000]   I mean, last count, we've posted 19 podcasts about Macworld in four days.
[00:02:09.000 --> 00:02:11.000]   And I think there are about five or six more.
[00:02:11.000 --> 00:02:14.000]   So we have enough about the iPhone already.
[00:02:14.000 --> 00:02:15.000]   Okay.
[00:02:15.000 --> 00:02:17.000]   Joining us also, Corey Doctorow.
[00:02:17.000 --> 00:02:19.000]   Great to have you there.
[00:02:19.000 --> 00:02:21.000]   Thanks for joining us from Boing Boing.net.
[00:02:21.000 --> 00:02:26.000]   And also the author of a new short story collection called Overclocked.
[00:02:26.000 --> 00:02:27.000]   Overclocked?
[00:02:27.000 --> 00:02:29.000]   Story's the future present.
[00:02:29.000 --> 00:02:31.000]   So is it the present or the future?
[00:02:31.000 --> 00:02:33.000]   Stories of the future present.
[00:02:33.000 --> 00:02:36.000]   My new writerly gimmick is predicting the present.
[00:02:36.000 --> 00:02:39.000]   So it makes being a science fiction writer a lot easier.
[00:02:39.000 --> 00:02:44.000]   You take something in the news like, you know, someone announcing that they're using Mexican sweatshops
[00:02:44.000 --> 00:02:48.000]   to produce labor for gold farming and multiplayer worlds.
[00:02:48.000 --> 00:02:49.000]   Right.
[00:02:49.000 --> 00:02:50.000]   And then you write a story about it.
[00:02:50.000 --> 00:02:53.600]   And then as that phenomenon grows, every time there's a new story about it, someone writes
[00:02:53.600 --> 00:02:57.000]   to you and says, you predicted this, man, you totally predicted this.
[00:02:57.000 --> 00:02:58.000]   Except that it was going on.
[00:02:58.000 --> 00:02:59.000]   Yes.
[00:02:59.000 --> 00:03:00.000]   That's right.
[00:03:00.000 --> 00:03:02.000]   I predicted it after it started.
[00:03:02.000 --> 00:03:04.000]   It was tough, but I did it.
[00:03:04.000 --> 00:03:09.600]   If you think about it, I mean, things like that are so futuristic in science fiction that
[00:03:09.600 --> 00:03:12.000]   they make perfect premises for sci-fi.
[00:03:12.000 --> 00:03:18.000]   I mean, people actually working to make gold for people in World of Warcraft.
[00:03:18.000 --> 00:03:20.000]   And this is a booming economy.
[00:03:20.000 --> 00:03:21.000]   Absolutely.
[00:03:21.000 --> 00:03:27.000]   And, you know, whether or not the stories that surround this are a mixture of truth and fiction.
[00:03:27.000 --> 00:03:30.320]   And the nice thing about writing science fiction about that is that you don't have to worry
[00:03:30.320 --> 00:03:31.320]   about which they are.
[00:03:31.320 --> 00:03:35.480]   Because, you know, this is sort of this kind of dark artist surrounding swirling with rumors
[00:03:35.480 --> 00:03:36.480]   and so on.
[00:03:36.480 --> 00:03:39.360]   So they say that, you know, in parts of China, the rice harvest didn't come in this time.
[00:03:39.360 --> 00:03:43.000]   Because rice farmers had figured out that they could make more money farming gold.
[00:03:43.000 --> 00:03:44.600]   I don't even care whether that's true.
[00:03:44.600 --> 00:03:45.600]   It's so cool.
[00:03:45.600 --> 00:03:46.600]   Right.
[00:03:46.600 --> 00:03:47.600]   So as a science fiction writer, I don't have to worry about it.
[00:03:47.600 --> 00:03:48.600]   I don't have to care.
[00:03:48.600 --> 00:03:50.320]   It's just a great premise.
[00:03:50.320 --> 00:03:51.320]   I love it.
[00:03:51.320 --> 00:03:52.320]   Yeah.
[00:03:52.320 --> 00:03:53.320]   Yeah.
[00:03:53.320 --> 00:03:54.320]   I love it.
[00:03:54.320 --> 00:03:55.320]   John C. Devorek is also here.
[00:03:55.320 --> 00:03:58.440]   Like Han Shoy John was in Las Vegas for the Consumer Electronics Show.
[00:03:58.440 --> 00:04:01.240]   Did you go to Macworld when you got back on Thursday at all, John?
[00:04:01.240 --> 00:04:02.240]   Yeah.
[00:04:02.240 --> 00:04:04.600]   For a few minutes, I didn't find the show that entertaining.
[00:04:04.600 --> 00:04:05.600]   I don't know.
[00:04:05.600 --> 00:04:10.240]   I mean, of all of the stuff that went on, certainly CES, of course, has always had, you
[00:04:10.240 --> 00:04:14.280]   know, thousands of product announcements and a lot to do with high-def TV.
[00:04:14.280 --> 00:04:18.160]   And in fact, I'm hoping, you know, we were going to have Robert Heronon because he's
[00:04:18.160 --> 00:04:19.960]   our high-def TV expert.
[00:04:19.960 --> 00:04:25.440]   And apparently Patrick and Roger Chang just pulled up in the van from CES about 10 minutes
[00:04:25.440 --> 00:04:26.440]   ago.
[00:04:26.440 --> 00:04:31.120]   And so he's helping them offload and we'll get him on as soon as he's done doing that.
[00:04:31.120 --> 00:04:33.000]   Maybe all three of them.
[00:04:33.000 --> 00:04:37.280]   But I have to say to me, if you take all of the announcements put together from CES,
[00:04:37.280 --> 00:04:42.480]   none of them got as much press or interest as the iPhone announcement from Apple.
[00:04:42.480 --> 00:04:43.480]   Yeah.
[00:04:43.480 --> 00:04:44.800]   That's, you know, I've written about this.
[00:04:44.800 --> 00:04:48.400]   It's always going to be the case because of the number of Mavens out there who just,
[00:04:48.400 --> 00:04:53.120]   whatever Apple does, they fall over themselves like a bunch of maniacs, you know, just to
[00:04:53.120 --> 00:04:54.520]   promote whatever Steve does.
[00:04:54.520 --> 00:04:56.360]   He's got a bunch of people hypnotized.
[00:04:56.360 --> 00:04:58.640]   It's pretty obvious.
[00:04:58.640 --> 00:05:03.240]   The, absolutely, the reality of the distortion field was on in full force in San Francisco
[00:05:03.240 --> 00:05:04.240]   on Tuesday.
[00:05:04.240 --> 00:05:07.480]   Not that the phone wasn't interesting or that the phone got more attention at CES.
[00:05:07.480 --> 00:05:11.120]   In fact, that was kind of the running gag, which is the biggest announcement at CES,
[00:05:11.120 --> 00:05:14.800]   because Apple's announcement in San Francisco of the iPhone.
[00:05:14.800 --> 00:05:18.240]   I'm wondering if Apple should start thinking of it as itself as a consumer electronics
[00:05:18.240 --> 00:05:22.520]   company and just go to CES, you know, give it up and go to CES next year and the year
[00:05:22.520 --> 00:05:23.520]   after both.
[00:05:23.520 --> 00:05:25.720]   No, I think that'd be crazy, man.
[00:05:25.720 --> 00:05:26.720]   You think so?
[00:05:26.720 --> 00:05:29.040]   Well, they've dropped the word computer from the name of the company.
[00:05:29.040 --> 00:05:30.200]   They're just Apple now.
[00:05:30.200 --> 00:05:34.960]   But why would they go to CES where they just be one part of the show?
[00:05:34.960 --> 00:05:40.080]   They get to be the whole show and they get all the publicity at CES because the entire
