;FFMETADATA1
genre=Podcast
artist=Leo Laporte and the TWiTs
title=TWiT 85: The Podfather
comment=http://twit.tv/85
date=2007
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a   xmpDM:genre\="Other"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\=""\\x0a   xmpDM:duration\="1:14:31.706"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="11105"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\="">\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100
;FFMETADATA1
genre=Podcast
artist=Leo Laporte and the TWiTs
title=TWiT 85: The Podfather
comment=http://twit.tv/85
date=2007
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a   xmpDM:genre\="Other"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\=""\\x0a   xmpDM:duration\="1:14:31.706"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="11105"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\="">\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:03.760]   [ Sound Effects ]
[00:00:03.760 --> 00:00:05.440]   Netcast you love.
[00:00:05.440 --> 00:00:07.440]   From people you trust.
[00:00:07.440 --> 00:00:11.040]   [ Music ]
[00:00:11.040 --> 00:00:12.840]   This is Twit.
[00:00:12.840 --> 00:00:21.280]   Bandwidth for this weekend tech is provided by AOL Radio at AOL.com/podcasting.
[00:00:21.280 --> 00:00:27.680]   [ Music ]
[00:00:27.680 --> 00:00:30.160]   This is Twit, this weekend tech.
[00:00:30.160 --> 00:00:34.440]   Episode 85 for January 22nd, 2007.
[00:00:34.440 --> 00:00:36.040]   The Podfather.
[00:00:36.040 --> 00:00:50.040]   [ Music ]
[00:00:50.040 --> 00:00:51.520]   It is time to twit.
[00:00:51.520 --> 00:00:54.240]   And Patrick Norton is back from a long hiatus.
[00:00:54.240 --> 00:00:55.720]   [ Laughter ]
[00:00:55.720 --> 00:00:58.760]   I hope that hiatus has been operated on and has now completely removed.
[00:00:58.760 --> 00:01:00.120]   We've missed you, Patrick.
[00:01:00.120 --> 00:01:03.440]   Oh, well, it's that darn business production schedule.
[00:01:03.440 --> 00:01:05.480]   See us holiday travel thing.
[00:01:05.480 --> 00:01:06.480]   [ Laughter ]
[00:01:06.480 --> 00:01:11.560]   Yeah, between Dusty Trucks and trade shows in Vegas, it's hard to get, Patrick, but
[00:01:11.560 --> 00:01:12.560]   we're glad to have you.
[00:01:12.560 --> 00:01:14.120]   And I know you have a lot of seats.
[00:01:14.120 --> 00:01:16.920]   Trapped in Wyoming behind the snowstorm was part of it.
[00:01:16.920 --> 00:01:17.920]   Oh, dear.
[00:01:17.920 --> 00:01:18.920]   Oh, wow.
[00:01:18.920 --> 00:01:19.920]   That was unplanned?
[00:01:19.920 --> 00:01:22.280]   No, I love Vlerving Wyoming.
[00:01:22.280 --> 00:01:25.000]   It's one of my favorite towns in Wyoming after Jackson Hole.
[00:01:25.000 --> 00:01:29.000]   I was not planning on spending, you know, a day and a half there waiting for a route
[00:01:29.000 --> 00:01:31.600]   80 to open up on my way home.
[00:01:31.600 --> 00:01:33.120]   Wow, wow.
[00:01:33.120 --> 00:01:38.840]   Also from Great Britain on the line, Will Harris from bit-tech.net.
[00:01:38.840 --> 00:01:43.080]   He's become one of our most welcome regulars.
[00:01:43.080 --> 00:01:48.200]   And he's the guy who stirred up the whole thing with the pink jumper and the pink glasses
[00:01:48.200 --> 00:01:49.520]   and Adam Curry.
[00:01:49.520 --> 00:01:54.960]   It was your idea to offer him $20 and lo and behold, look here, he is, ladies and gentlemen.
[00:01:54.960 --> 00:02:00.720]   The pod father himself, the founder of Podshow, of course, the original podcaster with his
[00:02:00.720 --> 00:02:03.480]   daily source code still going strong over 500 episodes.
[00:02:03.480 --> 00:02:05.680]   Adam, I'm so glad we could have you on the tour.
[00:02:05.680 --> 00:02:09.080]   Oh, it's really great to be here, Leo, and you may now kiss the ring.
[00:02:09.080 --> 00:02:10.080]   Go ahead.
[00:02:10.080 --> 00:02:11.840]   Can I tongue it?
[00:02:11.840 --> 00:02:12.840]   Is it okay to tongue it?
[00:02:12.840 --> 00:02:15.640]   Yeah, as long as you get around all the edges.
[00:02:15.640 --> 00:02:17.640]   How polished it.
[00:02:17.640 --> 00:02:18.640]   Will you?
[00:02:18.640 --> 00:02:19.640]   We're just going to the pub.
[00:02:19.640 --> 00:02:22.560]   Y'all can call us when you're done with us.
[00:02:22.560 --> 00:02:24.160]   Slightly unsettling the splash.
