;FFMETADATA1
TYER=2007-05-13
title=TWiT 97: Cedar Closet Linings
album=TWiT May 2007
genre=Podcast
comment=http://twit.tv/97
artist=Leo Laporte and the TWiTs
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="56:39.620"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="8443"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc2\\x90&amp\;\#x01\;&amp\;\#x15\;</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100
;FFMETADATA1
TYER=2007-05-13
title=TWiT 97: Cedar Closet Linings
album=TWiT May 2007
genre=Podcast
comment=http://twit.tv/97
artist=Leo Laporte and the TWiTs
id3v2_priv.XMP=<?xpacket begin\="\\xef\\xbb\\xbf" id\="W5M0MpCehiHzreSzNTczkc9d"?>\\x0a<x:xmpmeta xmlns:x\="adobe:ns:meta/" x:xmptk\="3.1.2-113">\\x0a <rdf:RDF xmlns:rdf\="http://www.w3.org/1999/02/22-rdf-syntax-ns\#">\\x0a  <rdf:Description rdf:about\=""\\x0a    xmlns:xmpDM\="http://ns.adobe.com/xmp/1.0/DynamicMedia/"\\x0a    xmlns:dc\="http://purl.org/dc/elements/1.1/"\\x0a   xmpDM:audioSampleRate\="44100"\\x0a   xmpDM:audioSampleType\="32-bit"\\x0a   xmpDM:audioChannelType\="1"\\x0a   xmpDM:audioCompressor\="Windows PCM IEEE Float  (0.24 float type 3)"\\x0a   xmpDM:duration\="56:39.620"\\x0a   xmpDM:loop\="False"\\x0a   xmpDM:numberOfBeats\="8443"\\x0a   xmpDM:key\="C"\\x0a   xmpDM:tempo\="149"\\x0a   xmpDM:stretchMode\="Fixed Length"\\x0a   xmpDM:relativeTimestamp\=""\\x0a   xmpDM:genre\="Other">\\x0a   <dc:title>\\x0a    <rdf:Alt>\\x0a     <rdf:li xml:lang\="x-default">\\xc2\\x90&amp\;\#x01\;&amp\;\#x15\;</rdf:li>\\x0a    </rdf:Alt>\\x0a   </dc:title>\\x0a  </rdf:Description>\\x0a </rdf:RDF>\\x0a</x:xmpmeta>\\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                                    \\x0a                                                                                     \\x0a<?xpacket end\="w"?>
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.000]   [ Sound Effects ]
[00:00:04.000 --> 00:00:06.000]   >> Netcast you love.
[00:00:06.000 --> 00:00:08.000]   >> From people you trust.
[00:00:08.000 --> 00:00:11.000]   [ Music ]
[00:00:11.000 --> 00:00:14.000]   >> This is Twit.
[00:00:14.000 --> 00:00:17.000]   >> Bandwidth for this weekend tech is provided by
[00:00:17.000 --> 00:00:22.000]   AOL Radio at AOL.com/podcasting.
[00:00:22.000 --> 00:00:28.000]   [ Music ]
[00:00:28.000 --> 00:00:31.000]   >> This is Twit. This weekend tech, episode 97,
[00:00:31.000 --> 00:00:37.000]   from May 13, 2007. Cedar Classic Linings.
[00:00:37.000 --> 00:00:40.000]   This weekend tech is brought to you by Audible.com.
[00:00:40.000 --> 00:00:47.000]   Get your free download today at audible.com/twit.
[00:00:47.000 --> 00:00:53.000]   [ Music ]
[00:00:53.000 --> 00:00:56.000]   >> This is Twit, episode 97.
[00:00:56.000 --> 00:00:59.000]   Oh my goodness, we're getting closer and closer to 100.
[00:00:59.000 --> 00:01:03.000]   And I feel every, every episode of it.
[00:01:03.000 --> 00:01:06.000]   Ladies and gentlemen, John C. Devorak, the cornerstone of the Twit
[00:01:06.000 --> 00:01:09.000]   empire at devorak.org/blog.
[00:01:09.000 --> 00:01:11.000]   He's square and made of cement.
[00:01:11.000 --> 00:01:12.000]   Hello, John.
[00:01:12.000 --> 00:01:14.000]   >> Hey, devorak.org/blog.
[00:01:14.000 --> 00:01:15.000]   >> I said that already.
[00:01:15.000 --> 00:01:17.000]   >> Oh, you did? What was it again?
[00:01:17.000 --> 00:01:19.000]   >> I think it was, I said devorak.org/blog.
[00:01:19.000 --> 00:01:20.000]   Is that right?
[00:01:20.000 --> 00:01:21.000]   >> Okay, cool.
[00:01:21.000 --> 00:01:22.000]   The reason I have to make up for a last time,
[00:01:22.000 --> 00:01:23.000]   because the last cranky geeks I did,
[00:01:23.000 --> 00:01:25.000]   somebody pointed out, I never mentioned it once.
[00:01:25.000 --> 00:01:26.000]   >> There you go.
[00:01:26.000 --> 00:01:27.000]   >> Yeah, terrible.
[00:01:27.000 --> 00:01:28.000]   >> He's getting sweet.
[00:01:28.000 --> 00:01:31.000]   You're going to have to start calling it sweet geeks.
[00:01:31.000 --> 00:01:32.000]   >> Oh.
[00:01:32.000 --> 00:01:35.000]   >> Hey, that's, is that Kent Nichols, I hear?
[00:01:35.000 --> 00:01:36.000]   >> Well, who?
[00:01:36.000 --> 00:01:38.000]   >> Hello, Kent Nichols from Ask a Ninja.
[00:01:38.000 --> 00:01:40.000]   >> Hey, how's it going, Leo?
[00:01:40.000 --> 00:01:41.000]   >> It's going great.
[00:01:41.000 --> 00:01:42.000]   It's great to talk to you.
[00:01:42.000 --> 00:01:44.000]   You know we're big fans.
[00:01:44.000 --> 00:01:46.000]   And why the last time you appeared on Twitter was the most
[00:01:46.000 --> 00:01:47.000]   notorious episode ever.
[00:01:47.000 --> 00:01:50.000]   >> It was the most notorious episode ever.
[00:01:50.000 --> 00:01:53.000]   Yeah, which was, it's quite an honor.
[00:01:53.000 --> 00:01:56.000]   But hopefully we can live up to that.
[00:01:56.000 --> 00:01:59.000]   >> You know, you were really a side show because the reason it
[00:01:59.000 --> 00:02:03.000]   was a notorious episode was Jason Calicanis,
[00:02:03.000 --> 00:02:05.000]   Andrew Barron and Dave Weiner.
[00:02:05.000 --> 00:02:06.000]   >> Yes.
[00:02:06.000 --> 00:02:08.000]   >> Getting the three of them in the same room,
[00:02:08.000 --> 00:02:10.000]   just asking for trouble.
[00:02:10.000 --> 00:02:12.000]   So the ninja was very quiet in that episode.
[00:02:12.000 --> 00:02:14.000]   You only, only threatened to kill me once.
[00:02:14.000 --> 00:02:15.000]   >> Yeah, I came in late.
[00:02:15.000 --> 00:02:17.000]   I came in late and I could hardly hear anything.
[00:02:17.000 --> 00:02:18.000]   And then it was,
[00:02:18.000 --> 00:02:22.000]   Andrew Barron was just saying that he wanted to be the next
[00:02:22.000 --> 00:02:23.000]   one.
[00:02:23.000 --> 00:02:25.000]   >> I was just saying that I was a Rupert Murdoch and saying that
[00:02:25.000 --> 00:02:27.000]   Jason Calicanis didn't know anything about business.
[00:02:27.000 --> 00:02:29.000]   >> But he wanted to be old and wrinkled?
[00:02:29.000 --> 00:02:30.000]   >> Yes.
[00:02:30.000 --> 00:02:32.000]   >> Oh, the Wall Street Journal.
[00:02:32.000 --> 00:02:33.000]   >> Yeah.
[00:02:33.000 --> 00:02:35.000]   >> So, you see, let's introduce David Prager.
[00:02:35.000 --> 00:02:38.000]   Then I actually have a question about Rupert.
[00:02:38.000 --> 00:02:41.000]   David Prager is here from revision three, the --
[00:02:41.000 --> 00:02:42.000]   >> From system.org.
[00:02:42.000 --> 00:02:44.000]   That's why STM.org.
[00:02:44.000 --> 00:02:45.000]   >> What?
[00:02:45.000 --> 00:02:46.000]   >> We're relaunching system.
[00:02:46.000 --> 00:02:47.000]   That's my plan.
[00:02:47.000 --> 00:02:48.000]   >> What?
[00:02:48.000 --> 00:02:49.000]   >> I'm done.
[00:02:49.000 --> 00:02:50.000]   >> Wait a minute.
[00:02:50.000 --> 00:02:52.000]   >> Really?
[00:02:52.000 --> 00:02:53.000]   >> Yeah.
[00:02:53.000 --> 00:02:54.000]   >> It's out now.
[00:02:54.000 --> 00:02:55.000]   Yeah, it should be out now.
[00:02:55.000 --> 00:02:56.000]   When everyone hears this, it's out.
[00:02:56.000 --> 00:02:58.000]   And then we'll have another one the next week.
[00:02:58.000 --> 00:02:59.000]   >> Oh, my God.
[00:02:59.000 --> 00:03:00.000]   Are you going to have the --
[00:03:00.000 --> 00:03:01.000]   >> The next week and then we'll have them every other week.
[00:03:01.000 --> 00:03:04.000]   >> Zero, nine, EF, thought -- I mean, who's on?
[00:03:04.000 --> 00:03:05.000]   Who's on?
[00:03:05.000 --> 00:03:07.000]   >> What we're doing is we're showing what's maker fair.
[00:03:07.000 --> 00:03:08.000]   >> What's maker fair?
[00:03:08.000 --> 00:03:09.000]   >> Actually does.
[00:03:09.000 --> 00:03:11.000]   We're going to put the number to use and crack some HDD.
[00:03:11.000 --> 00:03:12.000]   >> Oh, that's good.
[00:03:12.000 --> 00:03:13.000]   >> Now it's getting to be kidding.
[00:03:13.000 --> 00:03:14.000]   >> You're not?
[00:03:14.000 --> 00:03:15.000]   >> Oh, man.
[00:03:15.000 --> 00:03:16.000]   That would be fun.
[00:03:16.000 --> 00:03:17.000]   I don't know how.
[00:03:17.000 --> 00:03:18.000]   >> Wait a minute.
[00:03:18.000 --> 00:03:20.000]   >> I don't know what you're supposed to do with the --
[00:03:20.000 --> 00:03:21.000]   >> No one does.
[00:03:21.000 --> 00:03:22.000]   >> Oh, man.
[00:03:22.000 --> 00:03:23.000]   I felt so guilty.
[00:03:23.000 --> 00:03:26.000]   Like, as early in the day when the whole dig thing blew up, I am
[00:03:26.000 --> 00:03:28.000]   Kevin the number.
[00:03:28.000 --> 00:03:29.000]   And I was like, "Hey."
[00:03:29.000 --> 00:03:30.000]   I put it on my eye.
[00:03:30.000 --> 00:03:31.000]   >> I thought it was funny.
[00:03:31.000 --> 00:03:33.000]   >> And then later I was like, "Oh, I feel so bad."
[00:03:33.000 --> 00:03:34.000]   >> I made him cry.
[00:03:34.000 --> 00:03:35.000]   >> I did.
[00:03:35.000 --> 00:03:36.000]   I did.
[00:03:36.000 --> 00:03:37.000]   I did.
[00:03:37.000 --> 00:03:38.000]   I didn't.
[00:03:38.000 --> 00:03:39.000]   I don't want to see that anywhere.
[00:03:39.000 --> 00:03:42.000]   >> Well, just in case people are worried about us getting so
[00:03:42.000 --> 00:03:44.000]   much more than that, I'm not going to say that.
[00:03:44.000 --> 00:03:49.000]   >> No?
[00:03:49.000 --> 00:03:52.000]   >> Well, just in case people are worried about us getting sued
[00:03:52.000 --> 00:03:55.000]   to the ground, I actually -- you may know -- have noticed that
[00:03:55.000 --> 00:03:59.000]   the episode 96 or last episode did have a number much like that
[00:03:59.000 --> 00:04:01.000]   number, but not -- I kind of --
[00:04:01.000 --> 00:04:02.000]   >> Oh, so you're --
[00:04:02.000 --> 00:04:04.000]   >> Hey, I did the same thing in my blog.
[00:04:04.000 --> 00:04:05.000]   >> I'm a pussy.
[00:04:05.000 --> 00:04:06.000]   >> No, I don't think it's even that.
[00:04:06.000 --> 00:04:07.000]   I mean, who cares?
[00:04:07.000 --> 00:04:08.000]   Because it's just a number.
[00:04:08.000 --> 00:04:09.000]   Nobody's going to use it.
[00:04:09.000 --> 00:04:10.000]   >> No one.
[00:04:10.000 --> 00:04:12.000]   >> And anyone who's going to use the number is going to go to a
[00:04:12.000 --> 00:04:13.000]   good hacker site.
